sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
irene had messed up whose rug?,-65.63660430908203,-65.05034637451172,-55.714447021484375,-94.44929504394531,-89.00827026367188,-93.35538482666016,-70.2090835571289,-70.50817108154297,-61.04430389404297,-95.39506530761719,-91.57351684570312,-95.20513153076172,-63.8376579284668,-61.49931716918945,-64.92310333251953,-85.7715072631836,-87.63041687011719,-87.3589096069336
whose had irene messed up rug?,-77.5783920288086,-84.28182220458984,-71.69194030761719,-111.02694702148438,-102.24751281738281,-108.42097473144531,-86.79373168945312,-91.13673400878906,-78.54313659667969,-114.96414184570312,-104.259521484375,-112.41424560546875,-82.74103546142578,-80.00978088378906,-79.43040466308594,-104.42975616455078,-103.12657928466797,-104.40719604492188
edward has returned to which customers?,-46.15467071533203,-53.36857604980469,-47.51667785644531,-61.111045837402344,-61.3021125793457,-66.69491577148438,-47.167381286621094,-57.84888458251953,-52.148292541503906,-63.53911590576172,-63.033451080322266,-70.38511657714844,-70.65385437011719,-65.51190185546875,-71.34494018554688,-66.14886474609375,-66.36590576171875,-69.60542297363281
which has edward returned to customers?,-57.61107635498047,-61.171974182128906,-64.98277282714844,-67.84554290771484,-59.11018753051758,-69.40008544921875,-63.79290771484375,-73.29806518554688,-63.21284484863281,-70.07472229003906,-60.61471939086914,-68.62138366699219,-69.36241149902344,-64.99662780761719,-79.55393981933594,-70.94718933105469,-70.62994384765625,-68.99763488769531
holly is taking which blouse?,-52.660186767578125,-54.49713134765625,-53.014225006103516,-66.3731460571289,-64.68449401855469,-61.130279541015625,-54.67161178588867,-59.47786331176758,-56.11238479614258,-66.989990234375,-63.63170623779297,-61.812583923339844,-64.49346160888672,-56.25061798095703,-72.84526824951172,-73.2785873413086,-74.40007019042969,-75.39738464355469
which is holly taking blouse?,-61.403770446777344,-59.09243392944336,-54.876888275146484,-65.60311889648438,-63.004539489746094,-60.21502685546875,-66.03791046142578,-66.33978271484375,-58.73345184326172,-69.04487609863281,-65.02468872070312,-61.47517776489258,-61.149085998535156,-59.83125305175781,-73.62188720703125,-68.08133697509766,-69.78168487548828,-70.71176147460938
all women had known what teachers?,-61.446258544921875,-59.023887634277344,-60.20061492919922,-57.65358352661133,-60.98394775390625,-58.675418853759766,-70.84558868408203,-70.42149353027344,-59.55974197387695,-59.61086654663086,-59.177284240722656,-58.31444549560547,-53.148048400878906,-53.22578430175781,-61.542144775390625,-60.93016052246094,-60.507137298583984,-62.09761047363281
what had all women known teachers?,-67.59677124023438,-72.65098571777344,-68.09715270996094,-58.87882614135742,-57.78573989868164,-62.32842254638672,-80.45222473144531,-85.26152801513672,-71.61707305908203,-64.15970611572266,-60.15361022949219,-63.15264892578125,-66.76165771484375,-68.52556610107422,-72.58531951904297,-69.9713134765625,-70.99934387207031,-70.56111145019531
that truck will hurt which senator?,-70.01904296875,-68.96489715576172,-63.365562438964844,-75.55040740966797,-77.89088439941406,-72.571044921875,-74.19575500488281,-74.68870544433594,-79.8429183959961,-75.24800109863281,-76.80803680419922,-73.43513488769531,-70.18513488769531,-74.80848693847656,-75.9147720336914,-84.8897933959961,-80.09178161621094,-84.25300598144531
which will that truck hurt senator?,-70.54582977294922,-71.51055908203125,-66.87928771972656,-82.59185791015625,-82.48023986816406,-82.69711303710938,-74.67353820800781,-74.57825469970703,-71.28028869628906,-87.34901428222656,-82.8703384399414,-86.75099182128906,-73.68238067626953,-79.47354888916016,-80.57701110839844,-87.635986328125,-88.57650756835938,-93.78246307373047
helen did drive to whose glacier?,-70.50214385986328,-70.69426727294922,-71.02725982666016,-71.15654754638672,-69.67720794677734,-64.40357208251953,-75.70464324951172,-84.25829315185547,-78.4862060546875,-73.09608459472656,-70.15970611572266,-66.71648406982422,-81.04467010498047,-82.67179870605469,-86.32982635498047,-84.94087219238281,-82.53478240966797,-83.33860778808594
whose did helen drive to glacier?,-66.14714050292969,-60.61289978027344,-57.96241760253906,-92.6401596069336,-84.29049682617188,-84.30950927734375,-77.73811340332031,-72.39434814453125,-62.88264846801758,-98.50630187988281,-87.23680877685547,-85.59227752685547,-73.86128997802734,-72.57510375976562,-73.65667724609375,-93.11278533935547,-91.54027557373047,-94.39986419677734
some documentary has disagreed with what commentaries?,-114.11197662353516,-115.21147155761719,-117.73602294921875,-63.12600326538086,-61.21473693847656,-69.11880493164062,-127.49047088623047,-132.27146911621094,-131.66140747070312,-67.29805755615234,-66.43199157714844,-64.09171295166016,-121.10132598876953,-122.05021667480469,-129.95018005371094,-71.81808471679688,-70.56226348876953,-78.14911651611328
