sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
kayla concealed who a lot of guests that were scaring many people complain about.,-139.48532104492188,-141.95779418945312,-137.65167236328125,-118.53044128417969,-120.4268798828125,-118.38418579101562,-164.6361083984375,-154.2860565185547,-163.23121643066406,-122.14379119873047,-119.11572265625,-117.34469604492188,-135.50552368164062,-137.03726196289062,-136.65769958496094,-125.33057403564453,-120.40164184570312,-117.97601318359375
kayla concealed that a lot of guests that were scaring many people complain about.,-129.58181762695312,-131.1914520263672,-126.60362243652344,-110.03099822998047,-113.5356674194336,-107.39872741699219,-146.65228271484375,-143.76840209960938,-148.38214111328125,-113.41241455078125,-112.56669616699219,-108.32640075683594,-129.8812255859375,-132.7596435546875,-135.33018493652344,-116.41960906982422,-111.71334838867188,-107.15520477294922
martin did find out what every cashier that shouldn't drink wore.,-106.85819244384766,-106.2224349975586,-103.65760040283203,-101.45585632324219,-101.7517318725586,-100.00736999511719,-119.8146743774414,-109.5434799194336,-111.13077545166016,-108.39083099365234,-101.29579162597656,-102.97261047363281,-112.69654846191406,-113.89444732666016,-125.1700439453125,-92.037109375,-95.79566955566406,-84.50798797607422
martin did find out that every cashier that shouldn't drink wore.,-106.57637786865234,-108.54964447021484,-106.6308822631836,-92.16866302490234,-93.19828796386719,-91.01495361328125,-118.40274047851562,-110.61554718017578,-113.85096740722656,-97.65789031982422,-93.53392791748047,-95.06600189208984,-114.90135955810547,-115.11833953857422,-124.5644302368164,-90.61170959472656,-91.46448516845703,-82.6783218383789
the borgias haven't figured out what blouses that have disgusted kenneth look like.,-154.83819580078125,-149.31285095214844,-138.5657196044922,-123.3744888305664,-122.87240600585938,-125.11381530761719,-165.6754608154297,-170.86077880859375,-152.11105346679688,-123.60701751708984,-127.95875549316406,-120.81721496582031,-152.7270965576172,-154.05039978027344,-162.85423278808594,-154.67567443847656,-148.40560913085938,-156.69691467285156
the borgias haven't figured out that blouses that have disgusted kenneth look like.,-153.6049346923828,-149.41769409179688,-135.1724395751953,-116.73112487792969,-117.37155151367188,-118.11207580566406,-161.1999053955078,-166.63710021972656,-150.9707794189453,-118.3651351928711,-120.86583709716797,-115.12245178222656,-143.65451049804688,-148.9374237060547,-152.69003295898438,-153.09405517578125,-144.01344299316406,-155.20635986328125
colleen has revealed what every print that isn't existing looked like.,-116.67407989501953,-116.53226470947266,-117.92378234863281,-113.93304443359375,-105.36981201171875,-111.70606994628906,-127.1220474243164,-122.59838104248047,-134.73391723632812,-115.06086730957031,-112.29593658447266,-114.42578887939453,-141.07630920410156,-144.4132843017578,-147.00363159179688,-94.39488983154297,-96.7942886352539,-99.52220153808594
colleen has revealed that every print that isn't existing looked like.,-112.72747802734375,-115.37814331054688,-113.5821762084961,-102.59358215332031,-97.44415283203125,-103.19966125488281,-119.37757873535156,-121.59733581542969,-128.6116485595703,-104.2130355834961,-101.04400634765625,-108.81806945800781,-135.71060180664062,-138.0735626220703,-147.00796508789062,-86.480712890625,-88.83700561523438,-88.74714660644531
all banks forget what many steps that couldn't irritate carrie resemble.,-159.2908935546875,-167.10845947265625,-152.24673461914062,-117.26828002929688,-111.87957763671875,-112.60931396484375,-182.89486694335938,-194.31370544433594,-178.0360870361328,-121.12086486816406,-115.74234771728516,-118.63014221191406,-167.00453186035156,-170.5530242919922,-170.12306213378906,-114.62831115722656,-114.49897766113281,-111.7586669921875
all banks forget that many steps that couldn't irritate carrie resemble.,-158.55247497558594,-163.11793518066406,-149.72085571289062,-112.86428833007812,-114.04601287841797,-112.55941772460938,-181.3556365966797,-189.90695190429688,-169.18673706054688,-117.14665985107422,-119.84310913085938,-118.25601959228516,-164.63388061523438,-167.73806762695312,-162.3431854248047,-113.56259155273438,-114.67385864257812,-111.5465316772461
some pedestrians haven't realized who those ladies that alarms samantha had boasted about.,-176.57400512695312,-166.7434539794922,-154.2239990234375,-121.77495574951172,-121.90235137939453,-116.67424011230469,-199.39279174804688,-184.15774536132812,-173.14894104003906,-119.23756408691406,-122.03375244140625,-113.77050018310547,-176.96522521972656,-173.09774780273438,-175.7052764892578,-162.7102508544922,-157.9070281982422,-161.95721435546875
