sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur poursuit une nouvelle mission et grandit très rapidement,-12.003217697143555,-11.957117080688477,-13.363604545593262,-8.167238235473633,-9.622450828552246,-8.973132133483887
les visiteurs poursuivent une nouvelle mission et grandit très rapidement,-12.437955856323242,-12.558829307556152,-13.003124237060547,-9.722617149353027,-11.648309707641602,-10.314570426940918
les visiteurs poursuivent une nouvelle mission et grandissent très rapidement,-19.748018264770508,-17.153331756591797,-25.089630603790283,-10.945326805114746,-11.626579284667969,-9.798714637756348
le visiteur poursuit une nouvelle mission et grandissent très rapidement,-21.31278419494629,-17.55383014678955,-26.630876064300537,-16.599961280822754,-14.72397518157959,-12.737524509429932
le visiteur poursuit une nouvelle mission et apprend une nouvelle histoire,-12.682271957397461,-12.103083610534668,-13.025934219360352,-9.178735733032227,-7.249940395355225,-8.143646240234375
les visiteurs poursuivent une nouvelle mission et apprend une nouvelle histoire,-12.634836196899414,-12.46984577178955,-12.534444808959961,-11.939650535583496,-11.710554122924805,-12.190075874328613
les visiteurs poursuivent une nouvelle mission et apprennent une nouvelle histoire,-13.130498886108398,-12.765103340148926,-14.830602645874023,-7.856752395629883,-10.758968353271484,-9.758682250976562
le visiteur poursuit une nouvelle mission et apprennent une nouvelle histoire,-15.004557609558105,-13.76789379119873,-15.755022048950195,-12.897491455078125,-12.9435396194458,-13.669219970703125
le visiteur poursuit une nouvelle mission et descend les escaliers de la maison,-8.089536666870117,-11.41403865814209,-10.879549026489258,-10.506896018981934,-9.767183303833008,-8.916411399841309
les visiteurs poursuivent une nouvelle mission et descend les escaliers de la maison,-8.535959243774414,-11.799093246459961,-10.288208961486816,-8.776535034179688,-9.526510238647461,-8.461889266967773
les visiteurs poursuivent une nouvelle mission et descendent les escaliers de la maison,-11.158027648925781,-13.619956016540527,-13.576671600341797,-8.917691230773926,-10.929482460021973,-8.74977970123291
le visiteur poursuit une nouvelle mission et descendent les escaliers de la maison,-12.075732231140137,-14.144626140594482,-14.647964000701904,-19.03873634338379,-17.52657985687256,-16.78572130203247
le visiteur poursuit une nouvelle mission et attend le repas chaud,-8.847529411315918,-11.82603931427002,-11.837456703186035,-10.201656341552734,-8.881431579589844,-8.382787704467773
les visiteurs poursuivent une nouvelle mission et attend le repas chaud,-9.42417049407959,-12.667926788330078,-11.216829299926758,-9.989204406738281,-10.149160385131836,-8.796213150024414
les visiteurs poursuivent une nouvelle mission et attendent le repas chaud,-13.739757537841797,-15.959925651550293,-13.201303482055664,-10.037247657775879,-10.283394813537598,-9.090620040893555
le visiteur poursuit une nouvelle mission et attendent le repas chaud,-16.36139678955078,-16.909503936767578,-14.98136568069458,-18.313785552978516,-15.129689693450928,-15.558829307556152
le visiteur poursuit une nouvelle mission et arrive au lieu de rendez-vous,-8.901840209960938,-12.098485946655273,-11.56606388092041,-7.194724082946777,-5.10014533996582,-6.319536209106445
les visiteurs poursuivent une nouvelle mission et arrive au lieu de rendez-vous,-9.91766357421875,-12.754352569580078,-10.955513954162598,-8.416363716125488,-7.401566982269287,-8.090526580810547
les visiteurs poursuivent une nouvelle mission et arrivent au lieu de rendez-vous,-10.877010345458984,-11.645695686340332,-9.762246131896973,-7.626018047332764,-5.3258442878723145,-5.644249439239502
le visiteur poursuit une nouvelle mission et arrivent au lieu de rendez-vous,-11.553888320922852,-12.19753646850586,-11.029818534851074,-12.21020221710205,-9.986433982849121,-8.541897773742676
le visiteur poursuit une nouvelle mission et met la nappe sur la table,-9.893256187438965,-10.467336654663086,-10.675357818603516,-6.168361186981201,-5.195755958557129,-4.757835865020752
les visiteurs poursuivent une nouvelle mission et met la nappe sur la table,-10.1818265914917,-10.155019760131836,-10.608338356018066,-8.11033821105957,-7.699444770812988,-7.723477840423584
les visiteurs poursuivent une nouvelle mission et mettent la nappe sur la table,-9.408515930175781,-11.641776084899902,-13.013869285583496,-6.402341365814209,-5.488727569580078,-6.80465841293335
le visiteur poursuit une nouvelle mission et mettent la nappe sur la table,-10.411358833312988,-13.150973320007324,-14.351415634155273,-10.370809555053711,-10.041836738586426,-9.393588066101074
le visiteur grandit très rapidement et apprend une nouvelle histoire,-13.147575378417969,-13.852008819580078,-10.755413055419922,-9.675399780273438,-10.423839569091797,-8.037952423095703
les visiteurs grandissent très rapidement et apprend une nouvelle histoire,-12.524176597595215,-12.901617050170898,-10.185322761535645,-11.897893905639648,-11.328445434570312,-10.75329875946045
les visiteurs grandissent très rapidement et apprennent une nouvelle histoire,-12.456443786621094,-12.915525436401367,-11.274746894836426,-8.23951768875122,-7.816386699676514,-8.084180355072021
le visiteur grandit très rapidement et apprennent une nouvelle histoire,-14.734344482421875,-15.901556015014648,-13.5173978805542,-13.970224380493164,-11.807547569274902,-13.839118957519531
le visiteur grandit très rapidement et descend les escaliers de la maison,-9.657951354980469,-9.861680030822754,-7.636296272277832,-8.497200012207031,-9.008023262023926,-8.252571105957031
les visiteurs grandissent très rapidement et descend les escaliers de la maison,-9.880816459655762,-12.222724914550781,-8.988079071044922,-7.410542011260986,-8.240816116333008,-8.447076797485352
les visiteurs grandissent très rapidement et descendent les escaliers de la maison,-11.724967002868652,-13.193192481994629,-10.521139144897461,-7.57811975479126,-8.297807693481445,-8.799067497253418
le visiteur grandit très rapidement et descendent les escaliers de la maison,-13.746519565582275,-13.685416221618652,-9.30704402923584,-14.91348934173584,-12.102363586425781,-15.366785526275635
le visiteur grandit très rapidement et attend le repas chaud,-9.026268005371094,-10.12853717803955,-8.94564151763916,-9.030397415161133,-12.2090482711792,-9.073884010314941
les visiteurs grandissent très rapidement et attend le repas chaud,-8.962233543395996,-11.318706512451172,-9.02579116821289,-8.306129455566406,-10.015388488769531,-8.204238891601562
les visiteurs grandissent très rapidement et attendent le repas chaud,-11.592041969299316,-14.405132293701172,-9.515822410583496,-8.441545486450195,-10.033313751220703,-9.13626480102539
le visiteur grandit très rapidement et attendent le repas chaud,-15.434886932373047,-16.399975299835205,-10.773337364196777,-16.52254009246826,-14.688013076782227,-15.65061330795288
le visiteur grandit très rapidement et arrive au lieu de rendez-vous,-8.594682693481445,-10.110164642333984,-7.478479385375977,-5.7344746589660645,-7.886314868927002,-4.999821186065674
les visiteurs grandissent très rapidement et arrive au lieu de rendez-vous,-9.337239265441895,-10.918980598449707,-7.287557601928711,-7.734144687652588,-8.606587409973145,-7.7201361656188965
les visiteurs grandissent très rapidement et arrivent au lieu de rendez-vous,-9.84671688079834,-11.024870872497559,-9.431212425231934,-6.686923980712891,-7.401301860809326,-6.406886100769043
le visiteur grandit très rapidement et arrivent au lieu de rendez-vous,-10.840786933898926,-11.264509201049805,-9.174491882324219,-12.089428901672363,-12.507183074951172,-12.096416473388672
le visiteur grandit très rapidement et met la nappe sur la table,-11.229342460632324,-11.09476089477539,-9.774410247802734,-7.244375228881836,-8.516644477844238,-5.501234531402588
les visiteurs grandissent très rapidement et met la nappe sur la table,-10.605635643005371,-11.075977325439453,-10.186311721801758,-8.976703643798828,-8.600805282592773,-9.370633125305176
les visiteurs grandissent très rapidement et mettent la nappe sur la table,-10.462864875793457,-12.392775535583496,-12.374015808105469,-7.46120023727417,-6.863284111022949,-5.516839027404785
le visiteur grandit très rapidement et mettent la nappe sur la table,-12.88150405883789,-13.10654067993164,-12.962982177734375,-11.6619291305542,-11.452043533325195,-10.637080192565918
