sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
had bruce ever played?,-48.93565368652344,-40.17218017578125,-47.805057525634766,-61.19068145751953,-58.762447357177734,-59.003841400146484,-56.88481140136719,-49.25743103027344,-55.60894775390625,-63.683189392089844,-57.02229309082031,-59.72164535522461,-44.049617767333984,-36.97644805908203,-53.762115478515625,-54.65729904174805,-50.85448455810547,-53.69072341918945
bruce had ever played.,-51.86315155029297,-51.51604080200195,-49.592742919921875,-35.30830764770508,-39.636322021484375,-36.678993225097656,-54.05888748168945,-52.158233642578125,-54.85126876831055,-38.12989044189453,-43.57148361206055,-35.66730499267578,-58.11491775512695,-59.61872863769531,-67.59422302246094,-43.04444122314453,-37.39775085449219,-40.15174102783203
had patrick ever answered?,-50.509613037109375,-49.596866607666016,-47.336509704589844,-49.774803161621094,-48.27079772949219,-46.977203369140625,-57.8594970703125,-53.076229095458984,-51.624542236328125,-50.05080795288086,-44.140357971191406,-44.95166015625,-49.94028854370117,-56.883399963378906,-49.826576232910156,-69.72328186035156,-63.48570251464844,-71.4288330078125
patrick had ever answered.,-51.01388168334961,-55.05180358886719,-50.201148986816406,-20.89768409729004,-25.2850284576416,-21.81122589111328,-56.10976028442383,-55.51397705078125,-54.348968505859375,-20.61635971069336,-21.806060791015625,-20.285839080810547,-56.43647384643555,-58.61857604980469,-54.2696647644043,-58.37177658081055,-49.30279541015625,-52.778263092041016
do some carts ever accelerate?,-76.70854187011719,-90.42305755615234,-84.34017181396484,-62.64276885986328,-61.174285888671875,-65.69639587402344,-79.43670654296875,-109.99271392822266,-100.25947570800781,-61.214115142822266,-63.503990173339844,-65.0284652709961,-80.9814682006836,-82.13932037353516,-85.19483184814453,-89.16061401367188,-92.88027954101562,-84.50328063964844
some carts do ever accelerate.,-80.1814193725586,-92.18641662597656,-82.92861938476562,-52.111080169677734,-46.75794982910156,-49.28105545043945,-88.65448760986328,-104.01545715332031,-97.49235534667969,-46.396881103515625,-45.43478012084961,-44.63738250732422,-87.9914321899414,-94.00981140136719,-88.87179565429688,-62.34589385986328,-59.280399322509766,-56.67491149902344
will dawn ever know jeffrey?,-63.396644592285156,-61.659393310546875,-56.16969299316406,-65.28913116455078,-68.9161605834961,-66.94639587402344,-71.90422058105469,-62.339935302734375,-60.60684585571289,-67.6678237915039,-70.19810485839844,-68.05422973632812,-67.09510803222656,-75.38786315917969,-72.97063446044922,-92.25592041015625,-90.10425567626953,-97.6491928100586
dawn will ever know jeffrey.,-62.72437286376953,-66.73795318603516,-58.318870544433594,-52.479034423828125,-56.81195831298828,-47.8994140625,-69.07302856445312,-75.213623046875,-58.70042037963867,-51.99540710449219,-59.94963836669922,-47.46129608154297,-78.86773681640625,-74.2942886352539,-79.10294342041016,-61.207244873046875,-60.007259368896484,-64.74874114990234
should monica ever grin?,-54.30974578857422,-54.98023986816406,-58.45808410644531,-66.66658020019531,-65.37923431396484,-65.81410217285156,-56.25530242919922,-71.98004913330078,-68.65478515625,-70.5774154663086,-65.77596282958984,-67.96807098388672,-66.71183013916016,-63.67445373535156,-65.9385986328125,-87.187744140625,-83.31338500976562,-83.44246673583984
monica should ever grin.,-58.253990173339844,-59.82317352294922,-57.706459045410156,-48.58420181274414,-56.50043487548828,-52.5806884765625,-68.65895080566406,-69.62285614013672,-69.88520812988281,-50.09527587890625,-58.572288513183594,-52.05044174194336,-65.42169189453125,-64.72307586669922,-69.39521026611328,-57.99032211303711,-61.39680099487305,-67.34479522705078
