sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
james is pleasant to flee from.,-54.48527908325195,-62.14842987060547,-59.461029052734375,-41.88255310058594,-42.26448059082031,-43.69804382324219,-54.268798828125,-70.93201446533203,-72.54885864257812,-41.615909576416016,-42.28007888793945,-42.14628219604492,-73.5663833618164,-64.88151550292969,-70.28053283691406,-51.208343505859375,-49.44029998779297,-49.625404357910156
james is apt to flee from.,-74.19092559814453,-73.7482681274414,-80.19462585449219,-60.214256286621094,-55.38045883178711,-65.3946762084961,-81.27806091308594,-86.97872161865234,-83.99799346923828,-61.219482421875,-58.37042236328125,-66.8680419921875,-82.21398162841797,-77.76245880126953,-71.3238754272461,-53.86114501953125,-58.866119384765625,-60.31055450439453
samuel's lawyer was easy to reference.,-87.06632995605469,-81.30302429199219,-90.67941284179688,-47.74796676635742,-54.466758728027344,-56.849639892578125,-92.31016540527344,-88.9425048828125,-94.73795318603516,-49.19303512573242,-56.5203857421875,-59.28780746459961,-91.70184326171875,-90.58578491210938,-92.74922943115234,-58.869449615478516,-57.47640609741211,-56.585968017578125
samuel's lawyer was certain to reference.,-90.13005065917969,-88.2310562133789,-91.48406982421875,-53.274940490722656,-61.75180435180664,-57.069679260253906,-99.98439025878906,-97.20159912109375,-98.35675811767578,-55.99662399291992,-65.89274597167969,-59.52641296386719,-98.15724182128906,-93.39440155029297,-99.65050506591797,-63.86689376831055,-66.0466537475586,-61.807186126708984
benjamin's tutor was easy to boast about.,-83.75953674316406,-90.90528106689453,-88.6055679321289,-55.137508392333984,-61.76139450073242,-57.60693359375,-96.85588073730469,-105.22920227050781,-103.58375549316406,-54.025146484375,-62.628265380859375,-57.97590255737305,-93.7544174194336,-97.77020263671875,-103.30084991455078,-62.8883056640625,-61.57318878173828,-59.65326690673828
benjamin's tutor was certain to boast about.,-87.71117401123047,-94.37452697753906,-90.41127014160156,-59.14514923095703,-69.53987121582031,-62.91604232788086,-98.41252899169922,-109.89043426513672,-116.1971664428711,-57.81280517578125,-71.26193237304688,-65.42296600341797,-104.09832000732422,-97.97433471679688,-112.49878692626953,-71.6524658203125,-73.22371673583984,-69.4783706665039
laura isn't interesting to cure.,-61.20146942138672,-61.612247467041016,-60.91261291503906,-53.664154052734375,-51.50459289550781,-55.58891296386719,-61.80616760253906,-68.36531066894531,-56.640167236328125,-52.114295959472656,-52.97700119018555,-56.948177337646484,-57.55143737792969,-55.57781219482422,-60.569522857666016,-65.72402954101562,-63.718597412109375,-60.50000762939453
laura isn't soon to cure.,-63.78181076049805,-63.4791374206543,-60.39413833618164,-59.44545364379883,-53.8145866394043,-53.381797790527344,-68.1423110961914,-71.74651336669922,-62.30314636230469,-54.301307678222656,-54.502464294433594,-54.40000915527344,-59.336326599121094,-61.82530212402344,-60.55718994140625,-70.0788803100586,-64.16801452636719,-60.760772705078125
some jacket wasn't ready to wear.,-56.05319595336914,-55.9813346862793,-57.14728546142578,-62.81174850463867,-60.57328414916992,-65.06755065917969,-62.84427261352539,-64.53005981445312,-57.77121353149414,-62.54166793823242,-62.7089958190918,-66.42678833007812,-51.304718017578125,-51.01576232910156,-46.1334228515625,-55.80083465576172,-51.56391906738281,-52.20049285888672
some jacket wasn't bound to wear.,-67.87770080566406,-68.03706359863281,-65.6839370727539,-66.43431854248047,-64.76882934570312,-68.9981918334961,-77.3663330078125,-73.91607666015625,-65.68452453613281,-68.30790710449219,-67.83966064453125,-71.52928161621094,-66.8615951538086,-63.029518127441406,-60.92571258544922,-59.11040496826172,-56.02779769897461,-56.48312759399414
many drivers aren't difficult to reference.,-67.93700408935547,-62.6434211730957,-68.41065216064453,-50.96451187133789,-53.8707389831543,-56.54515075683594,-77.71831512451172,-71.37498474121094,-77.69275665283203,-52.926918029785156,-54.66351318359375,-59.9902458190918,-69.98030090332031,-63.947662353515625,-69.25840759277344,-44.55489730834961,-44.60060119628906,-47.55026626586914
many drivers aren't likely to reference.,-82.85746765136719,-71.76859283447266,-75.85681915283203,-53.380794525146484,-56.83306884765625,-57.52003479003906,-92.17394256591797,-79.52847290039062,-84.46990966796875,-56.065372467041016,-58.72444152832031,-60.20494079589844,-79.34378814697266,-79.57467651367188,-81.26708221435547,-48.4903564453125,-46.76084899902344,-49.621612548828125
julia wasn't fun to talk to.,-50.64229202270508,-43.35559844970703,-50.140480041503906,-57.653621673583984,-58.5220947265625,-54.91600036621094,-54.62403106689453,-46.178104400634766,-56.31645202636719,-56.3377571105957,-62.463783264160156,-56.86415100097656,-44.96553039550781,-43.09227752685547,-45.78544235229492,-56.8974609375,-57.594268798828125,-58.261146545410156
julia wasn't unlikely to talk to.,-64.33719635009766,-60.52248001098633,-66.77509307861328,-58.72827911376953,-53.06766128540039,-54.30427169799805,-67.9596176147461,-71.85415649414062,-77.48080444335938,-60.424739837646484,-56.287567138671875,-56.20703887939453,-68.18477630615234,-65.76366424560547,-70.36910247802734,-50.647125244140625,-56.16573715209961,-52.10023498535156
valerie's colleagues aren't pleasant to respect.,-94.84430694580078,-107.36890411376953,-95.56735229492188,-57.16957473754883,-51.77436447143555,-54.07478332519531,-106.23725891113281,-108.41089630126953,-107.31024932861328,-55.495582580566406,-51.3600959777832,-53.098854064941406,-115.5849380493164,-109.1272201538086,-116.38864135742188,-65.37345886230469,-60.80024719238281,-71.6820068359375
valerie's colleagues aren't likely to respect.,-106.65436553955078,-119.4229736328125,-108.0636215209961,-62.86238098144531,-64.02678680419922,-59.226646423339844,-118.37620544433594,-119.40290069580078,-113.91495513916016,-61.89714813232422,-66.99211120605469,-59.96968078613281,-112.9092025756836,-114.58476257324219,-117.38841247558594,-56.63993835449219,-51.23331069946289,-65.51753234863281
veronica isn't boring to conceal.,-76.77743530273438,-70.96974182128906,-73.8123550415039,-54.60976791381836,-49.96243667602539,-57.97271728515625,-78.65117645263672,-80.84483337402344,-86.48296356201172,-54.64435577392578,-53.437808990478516,-60.95274353027344,-74.73815155029297,-74.69483947753906,-74.02064514160156,-70.20136260986328,-68.39012145996094,-74.54598999023438
veronica isn't unlikely to conceal.,-87.70498657226562,-86.15615844726562,-84.70765686035156,-43.7901725769043,-41.125614166259766,-47.323917388916016,-85.9918212890625,-97.6588134765625,-90.74677276611328,-42.659725189208984,-44.3427619934082,-47.19093704223633,-90.13924407958984,-92.07391357421875,-93.61021423339844,-61.56599807739258,-63.4111442565918,-64.83824157714844
stacey wasn't interesting to listen to.,-65.71886444091797,-59.96118927001953,-61.79511260986328,-72.86412048339844,-66.98302459716797,-70.90137481689453,-71.10212707519531,-67.06914520263672,-69.91014099121094,-73.65887451171875,-69.05653381347656,-72.54826354980469,-57.379451751708984,-55.71182632446289,-56.99765396118164,-64.03086853027344,-62.925209045410156,-61.561370849609375
stacey wasn't soon to listen to.,-67.26947784423828,-61.97880172729492,-63.674583435058594,-74.25386810302734,-64.25514221191406,-67.7395248413086,-78.36872863769531,-70.8402328491211,-77.68959045410156,-75.65612030029297,-66.28855895996094,-68.92398071289062,-62.51504135131836,-64.31962585449219,-64.21159362792969,-58.70116424560547,-58.755714416503906,-58.964176177978516
those glasses aren't hard work to wear.,-53.85638427734375,-60.090599060058594,-55.57249450683594,-69.12297821044922,-68.9567642211914,-71.67916107177734,-65.46633911132812,-68.32575225830078,-59.58811950683594,-70.05467987060547,-69.55302429199219,-72.7514419555664,-42.227272033691406,-52.073387145996094,-46.08287048339844,-60.91822052001953,-62.79783248901367,-61.49779510498047
those glasses aren't soon to wear.,-54.90519332885742,-58.96422576904297,-55.66181945800781,-69.68594360351562,-64.3781509399414,-64.87702178955078,-64.55665588378906,-68.69865417480469,-65.04104614257812,-72.6004867553711,-65.35171508789062,-65.24742889404297,-46.649322509765625,-47.94744873046875,-42.260169982910156,-57.85677719116211,-54.23011016845703,-56.17842102050781
linda was interesting to reference.,-57.381805419921875,-56.52324295043945,-60.56317138671875,-47.72509765625,-52.923667907714844,-55.40799331665039,-62.50175857543945,-63.185447692871094,-65.49040985107422,-49.228416442871094,-53.452369689941406,-57.96721649169922,-65.25393676757812,-56.50568389892578,-57.294883728027344,-57.514434814453125,-56.513519287109375,-54.63801193237305
linda was soon to reference.,-61.07809066772461,-59.51156234741211,-60.786033630371094,-43.764320373535156,-49.91251754760742,-48.510406494140625,-65.4910659790039,-67.91553497314453,-58.47517395019531,-45.06388854980469,-49.77885055541992,-49.46040344238281,-68.7663345336914,-64.90055847167969,-64.89344787597656,-58.65140914916992,-59.34346008300781,-54.62309646606445
this waitress is exciting to conceal.,-74.74137115478516,-78.1805648803711,-74.59886932373047,-39.545677185058594,-49.482330322265625,-50.570308685302734,-86.24869537353516,-82.43095397949219,-80.059326171875,-36.051292419433594,-53.30824279785156,-49.30419158935547,-85.43309020996094,-79.96049499511719,-77.86234283447266,-62.78459167480469,-59.94631576538086,-62.50814437866211
this waitress is unlikely to conceal.,-82.01573944091797,-91.77308654785156,-85.4324951171875,-31.11040496826172,-40.25395584106445,-43.40117263793945,-92.29778289794922,-93.65511322021484,-92.330810546875,-26.839046478271484,-41.56780242919922,-40.908267974853516,-93.40467071533203,-91.4164810180664,-89.24577331542969,-59.18236541748047,-60.028629302978516,-60.06311798095703
some drivers are tough to listen to.,-61.71293640136719,-59.50897979736328,-61.021881103515625,-57.88726806640625,-52.73662567138672,-63.40657043457031,-67.16204833984375,-64.48906707763672,-68.53911590576172,-59.14282989501953,-55.0317497253418,-65.7143783569336,-59.93461608886719,-61.80091094970703,-60.26043701171875,-54.1154670715332,-51.996829986572266,-63.0467529296875
some drivers are apt to listen to.,-76.67704010009766,-70.92340850830078,-75.32028198242188,-62.844024658203125,-64.34132385253906,-63.30937576293945,-75.85540771484375,-77.68326568603516,-80.5656509399414,-60.69758224487305,-67.50859832763672,-63.9166374206543,-74.58781433105469,-80.95258331298828,-68.06646728515625,-60.22234344482422,-58.14701843261719,-68.0103988647461
omar wasn't interesting to reference.,-63.500091552734375,-60.94207000732422,-59.755653381347656,-56.95823669433594,-58.160308837890625,-64.46823120117188,-67.69648742675781,-67.81717681884766,-61.028263092041016,-58.69641876220703,-58.75531005859375,-66.79906463623047,-70.63831329345703,-59.956703186035156,-64.27615356445312,-59.233802795410156,-58.93333435058594,-58.86769104003906
