sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who have those men revealed they helped?,-72.66996002197266,-67.18377685546875,-69.5341567993164,-74.48565673828125,-75.79495239257812,-74.6373291015625,-92.06629943847656,-77.50457000732422,-69.7686538696289,-73.28440856933594,-78.04010009765625,-75.76506805419922,-85.35735321044922,-81.82168579101562,-82.43289184570312,-80.65187072753906,-70.94046020507812,-82.2738037109375
who have those men revealed who helped?,-68.62762451171875,-67.33912658691406,-71.25956726074219,-76.52473449707031,-78.48686981201172,-74.08761596679688,-84.12841796875,-76.00882720947266,-69.94277954101562,-77.254638671875,-81.23790740966797,-75.10613250732422,-82.22216796875,-80.76416015625,-77.78475952148438,-81.50021362304688,-74.59166717529297,-83.7289810180664
who isn't craig realizing he kisses?,-83.81069946289062,-74.09671020507812,-76.7579345703125,-83.62310791015625,-79.267578125,-89.42279052734375,-99.63814544677734,-74.82789611816406,-82.79466247558594,-86.26394653320312,-88.01387786865234,-91.6666030883789,-92.84904479980469,-86.80172729492188,-71.90275573730469,-93.97897338867188,-97.04735565185547,-102.31525421142578
who isn't craig realizing who kisses?,-81.44227600097656,-77.25212097167969,-76.95777893066406,-80.0252456665039,-80.78265380859375,-90.04550170898438,-99.40502166748047,-79.02525329589844,-87.03417205810547,-83.1734848022461,-87.35967254638672,-93.06254577636719,-89.93843078613281,-79.29559326171875,-69.8599624633789,-91.8688735961914,-96.99554443359375,-103.54436492919922
who are those associations discovering they saw?,-73.5032730102539,-71.99491882324219,-74.6678237915039,-83.79389953613281,-82.20606994628906,-75.77983093261719,-90.54131317138672,-83.50181579589844,-78.96023559570312,-86.51490020751953,-84.32989501953125,-74.77206420898438,-76.85952758789062,-76.7367172241211,-74.16744232177734,-89.1487808227539,-87.41314697265625,-91.62490844726562
who are those associations discovering who saw?,-73.60218048095703,-76.72928619384766,-76.0553207397461,-88.1908187866211,-78.70687866210938,-78.1976547241211,-86.70598602294922,-90.1693115234375,-78.79290008544922,-87.81201171875,-78.92670440673828,-77.28384399414062,-80.11747741699219,-82.03223419189453,-73.56249237060547,-86.61296844482422,-87.78775024414062,-93.3976821899414
what wasn't nicole discovering she climbed down?,-73.89079284667969,-71.4907455444336,-80.03267669677734,-91.80941772460938,-88.87284851074219,-88.4251480102539,-86.32339477539062,-75.07244873046875,-79.76801300048828,-96.73111724853516,-92.20771026611328,-92.37882995605469,-74.7781753540039,-68.89563751220703,-74.81967163085938,-91.00906372070312,-94.63555145263672,-96.54927825927734
what wasn't nicole discovering who climbed down?,-76.01063537597656,-78.779052734375,-83.72742462158203,-90.66710662841797,-85.24542236328125,-86.42121887207031,-87.58686828613281,-88.09196472167969,-83.96224212646484,-94.04579162597656,-88.7691879272461,-88.59855651855469,-80.86016845703125,-70.48680114746094,-74.35324096679688,-92.4531478881836,-96.82179260253906,-101.70023345947266
what could alan discover he has run around?,-85.11290740966797,-84.98846435546875,-82.45640563964844,-93.07538604736328,-89.4827880859375,-88.24446105957031,-99.01144409179688,-96.91170501708984,-92.3643798828125,-96.55572509765625,-91.7883071899414,-92.21210479736328,-84.08773803710938,-86.40963745117188,-90.11183166503906,-76.28103637695312,-84.6857681274414,-85.59355926513672
what could alan discover who has run around?,-83.08014678955078,-84.75353240966797,-86.56838989257812,-94.70446014404297,-87.63640594482422,-83.90518951416016,-92.95687103271484,-96.60916137695312,-96.28860473632812,-99.29194641113281,-91.52519226074219,-90.22793579101562,-90.76692199707031,-86.9281997680664,-95.7912826538086,-83.909912109375,-88.18376159667969,-92.25215911865234
who shouldn't andrew find out he was embarrassing?,-82.19092559814453,-85.43488311767578,-82.08641815185547,-60.30878448486328,-63.726295471191406,-58.079315185546875,-83.04500579833984,-83.84760284423828,-86.10289001464844,-60.92898941040039,-62.99915313720703,-54.19330596923828,-92.64913940429688,-82.57891082763672,-90.98594665527344,-105.20335388183594,-101.13060760498047,-102.62626647949219
who shouldn't andrew find out what was embarrassing?,-86.02523803710938,-89.62274169921875,-84.41403198242188,-58.86963653564453,-61.98192596435547,-54.5482177734375,-85.36695861816406,-91.0325698852539,-85.17398071289062,-59.578948974609375,-59.66309356689453,-51.59794998168945,-89.56202697753906,-76.77399444580078,-89.75251770019531,-100.32772827148438,-97.7641830444336,-99.05326843261719
what was this woman revealing she would examine?,-76.98193359375,-73.29639434814453,-73.81963348388672,-71.78144073486328,-64.44080352783203,-72.2486343383789,-81.38495635986328,-78.25572204589844,-78.5567626953125,-74.17715454101562,-69.21537017822266,-73.56471252441406,-84.25403594970703,-73.8602294921875,-82.5602035522461,-69.21189880371094,-68.84255981445312,-70.66273498535156
what was this woman revealing who would examine?,-79.55397033691406,-73.4012222290039,-74.33544921875,-73.00965881347656,-63.7332763671875,-71.31148529052734,-87.54542541503906,-79.24750518798828,-78.94791412353516,-75.98751068115234,-68.86034393310547,-71.84359741210938,-89.35276794433594,-76.05072021484375,-82.56007385253906,-73.3156967163086,-69.9231948852539,-71.59614562988281
what didn't edward conceal he hasn't noticed?,-92.35556030273438,-95.60167694091797,-93.28583526611328,-88.68751525878906,-87.33900451660156,-86.26834106445312,-101.20899200439453,-99.20761108398438,-101.49734497070312,-93.0662612915039,-90.5377426147461,-91.38287353515625,-79.86076354980469,-82.19038391113281,-85.17706298828125,-92.01605987548828,-89.74002838134766,-88.41333770751953
what didn't edward conceal who hasn't noticed?,-92.68734741210938,-98.89056396484375,-97.3167495727539,-88.14112854003906,-83.56743621826172,-85.82904052734375,-103.99880981445312,-101.36495208740234,-101.22950744628906,-92.75267791748047,-86.44957733154297,-86.70307159423828,-82.98542785644531,-85.30038452148438,-85.6847152709961,-88.03817749023438,-87.82406616210938,-86.97185516357422
who hadn't tanya known she hadn't visited?,-79.18805694580078,-78.76850128173828,-77.3742446899414,-92.2237777709961,-94.6424331665039,-104.05795288085938,-90.02701568603516,-87.64024353027344,-81.8145751953125,-94.40032958984375,-100.91850280761719,-108.13876342773438,-70.49258422851562,-69.93224334716797,-71.92838287353516,-90.40355682373047,-87.53907012939453,-86.92503356933594
who hadn't tanya known who hadn't visited?,-81.05046844482422,-82.39379119873047,-74.64875030517578,-94.07453918457031,-94.87652587890625,-101.90956115722656,-92.57785034179688,-92.26171112060547,-83.75029754638672,-96.58447265625,-98.8108139038086,-106.33311462402344,-66.53276824951172,-65.31846618652344,-65.1612777709961,-87.21863555908203,-85.38381958007812,-89.82487487792969
who wasn't teresa forgetting she sees?,-79.51382446289062,-79.52696990966797,-81.49282836914062,-91.10856628417969,-82.81839752197266,-83.31256866455078,-83.63402557373047,-88.80082702636719,-90.83395385742188,-92.90584564208984,-86.69910430908203,-87.2624740600586,-87.2802505493164,-83.25611114501953,-84.58145141601562,-106.29375457763672,-105.0340805053711,-102.75577545166016
who wasn't teresa forgetting who sees?,-77.524658203125,-81.23419189453125,-82.28081512451172,-86.11920928955078,-77.3955307006836,-83.58377075195312,-84.79843139648438,-88.15308380126953,-91.80265045166016,-87.02316284179688,-81.6790771484375,-86.21188354492188,-81.10853576660156,-78.08527374267578,-78.05155944824219,-101.5837173461914,-100.55574035644531,-103.49337768554688
who can't douglas realize he had investigated?,-67.66717529296875,-69.59671783447266,-74.82086944580078,-74.74601745605469,-65.03457641601562,-72.01923370361328,-71.35090637207031,-66.98775482177734,-70.17118835449219,-72.83403778076172,-64.81941986083984,-69.57208251953125,-80.82789611816406,-87.05078125,-89.85298156738281,-84.53858184814453,-87.1258316040039,-87.59834289550781
who can't douglas realize who had investigated?,-70.67089080810547,-71.53539276123047,-73.97370147705078,-77.49267578125,-70.23527526855469,-74.62907409667969,-77.72859191894531,-70.26329803466797,-72.21798706054688,-76.74539947509766,-69.41415405273438,-72.46476745605469,-84.73267364501953,-87.9421615600586,-92.6958236694336,-85.24373626708984,-86.078857421875,-87.97235870361328
