sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
laura ended the finger that can make boats .,-56.4210090637207,-52.50776672363281,-55.334774017333984,-63.313175201416016,-65.16832733154297,-66.8929443359375,-54.210147857666016,-61.372459411621094,-62.74730682373047,-63.77688217163086,-64.20294189453125,-68.17525482177734,-76.83307647705078,-62.99293518066406,-69.7900390625,-69.35539245605469,-74.34318542480469,-68.325927734375
laura ended who the finger can make boats .,-64.94567108154297,-60.1118278503418,-67.9862060546875,-67.81713104248047,-69.18972778320312,-74.460693359375,-68.35911560058594,-68.69562530517578,-67.2622299194336,-69.66035461425781,-68.54145050048828,-76.7441177368164,-81.96942138671875,-67.5588607788086,-75.78607940673828,-79.84497833251953,-85.68367004394531,-77.6247787475586
laura ended the finger that is watching boats .,-60.275184631347656,-60.37364959716797,-58.94253921508789,-64.70565032958984,-67.0557861328125,-71.31376647949219,-62.422969818115234,-72.98184204101562,-63.615360260009766,-65.15245819091797,-68.20272064208984,-73.97895050048828,-83.24607849121094,-66.39498901367188,-73.808837890625,-76.85369873046875,-82.20182037353516,-75.06982421875
laura ended who the finger is watching boats .,-62.573219299316406,-62.548580169677734,-68.6961898803711,-69.9804916381836,-72.25857543945312,-78.00883483886719,-67.8854751586914,-72.72078704833984,-68.5129623413086,-71.3868637084961,-73.32421112060547,-80.23543548583984,-85.5810775756836,-67.93804931640625,-77.41344451904297,-85.12499237060547,-90.03230285644531,-82.33599853515625
philip related to the call that can find whales .,-68.35125732421875,-76.00269317626953,-65.77142333984375,-55.25625228881836,-61.443023681640625,-58.06757354736328,-76.78861999511719,-86.04864501953125,-72.59635925292969,-58.787113189697266,-62.9869270324707,-57.49579620361328,-75.0126953125,-74.28213500976562,-78.19855499267578,-63.060791015625,-63.4842643737793,-64.95800018310547
philip related to who the call can find whales .,-75.54552459716797,-88.18787384033203,-72.40878295898438,-63.155296325683594,-70.24729919433594,-63.673316955566406,-85.6247329711914,-98.88336944580078,-78.9959487915039,-63.94206237792969,-71.3426513671875,-62.55586242675781,-84.02840423583984,-81.6480484008789,-84.52497863769531,-71.29106903076172,-68.09561157226562,-70.8275146484375
philip related to the call that is moving whales .,-69.41349792480469,-74.8126220703125,-69.2405776977539,-51.872005462646484,-57.621185302734375,-55.81916809082031,-74.31206512451172,-88.1259765625,-75.71562194824219,-55.338191986083984,-61.56686782836914,-55.68269348144531,-82.05706024169922,-77.70563507080078,-81.80078887939453,-67.37610626220703,-70.51879119873047,-67.15068054199219
philip related to who the call is moving whales .,-69.02278137207031,-77.90625,-70.19374084472656,-58.09690856933594,-65.10819244384766,-61.812721252441406,-77.44414520263672,-90.81617736816406,-71.19580078125,-60.342105865478516,-67.52607727050781,-60.78749084472656,-85.51789093017578,-77.64859008789062,-83.55620574951172,-74.89307403564453,-73.65446472167969,-73.46661376953125
michael ended the picture that can record words .,-57.8881721496582,-48.124671936035156,-47.73716735839844,-58.44696807861328,-51.37544250488281,-54.25321960449219,-60.94762420654297,-65.13077545166016,-57.896846771240234,-60.82773208618164,-55.103599548339844,-55.70425796508789,-59.98142623901367,-61.44465637207031,-64.8996353149414,-59.01274871826172,-57.72673416137695,-60.617549896240234
michael ended who the picture can record words .,-64.96812438964844,-60.87875747680664,-59.17744827270508,-61.23488998413086,-57.60803985595703,-59.61223220825195,-69.78646087646484,-74.46794891357422,-64.6528091430664,-63.57524871826172,-58.0013542175293,-59.33485412597656,-70.47078704833984,-70.16718292236328,-69.48231506347656,-72.47376251220703,-67.16111755371094,-69.19860076904297
