sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
whose museums had dana alarmed?,-72.66566467285156,-76.76985931396484,-72.51851654052734,-93.137939453125,-84.77082061767578,-85.17781066894531,-87.99916076660156,-85.09938049316406,-81.53901672363281,-96.76248931884766,-84.69931030273438,-91.44412231445312,-71.689208984375,-76.50492858886719,-84.12149047851562,-101.4453125,-95.85733032226562,-109.01891326904297
whose had dana alarmed museums?,-81.52399444580078,-80.20490264892578,-85.75331115722656,-102.24480438232422,-93.16214752197266,-94.1780776977539,-101.76676940917969,-91.97710418701172,-94.45741271972656,-105.94218444824219,-96.04994201660156,-101.11583709716797,-80.54766082763672,-83.36505889892578,-93.6086654663086,-103.92111206054688,-98.86030578613281,-114.3403549194336
whose hat should tonya wear?,-56.47861099243164,-57.39842987060547,-55.85499572753906,-102.59709930419922,-97.1021728515625,-92.42045593261719,-70.61715698242188,-65.88218688964844,-58.33530044555664,-110.68033599853516,-105.07589721679688,-99.77096557617188,-52.461910247802734,-52.838504791259766,-50.28866958618164,-91.9188461303711,-95.83332824707031,-92.71183013916016
whose should tonya wear hat?,-59.82527542114258,-58.6971435546875,-52.58041000366211,-98.0696029663086,-90.4074935913086,-91.49671936035156,-71.50083923339844,-67.91162109375,-57.44269561767578,-102.40890502929688,-96.94197845458984,-99.6994400024414,-56.83449172973633,-61.58415985107422,-58.08012390136719,-87.50829315185547,-95.94365692138672,-93.14299774169922
what movies is renee concealing?,-60.467220306396484,-66.541015625,-56.456275939941406,-72.93971252441406,-73.18199157714844,-62.96849822998047,-67.7516098022461,-73.05354309082031,-65.16568756103516,-73.5001449584961,-74.97410583496094,-64.75182342529297,-72.25364685058594,-75.9794921875,-75.55064392089844,-93.0288314819336,-91.68888854980469,-90.35765075683594
what is renee concealing movies?,-62.24861145019531,-63.669776916503906,-56.458465576171875,-78.9283447265625,-85.78414154052734,-68.20479583740234,-65.46662902832031,-68.19062805175781,-63.054893493652344,-84.2466812133789,-87.81918334960938,-70.57752990722656,-72.53324127197266,-76.47769927978516,-77.4413070678711,-89.57962799072266,-90.66312408447266,-87.57382202148438
what bicycle was rebecca noticing?,-69.519775390625,-70.388427734375,-72.01420593261719,-76.95235443115234,-79.75825500488281,-63.71255111694336,-73.07978820800781,-78.05838012695312,-70.81161499023438,-78.18760681152344,-85.51058959960938,-65.76280975341797,-73.40990447998047,-79.49533081054688,-79.24784088134766,-99.8118667602539,-101.32142639160156,-95.21157836914062
what was rebecca noticing bicycle?,-62.64190673828125,-67.105712890625,-67.88921356201172,-61.796287536621094,-66.22749328613281,-49.2022705078125,-61.30986022949219,-69.0317153930664,-66.23689270019531,-59.42059326171875,-66.5035400390625,-47.6024284362793,-71.81942749023438,-76.58452606201172,-76.62351989746094,-98.71533966064453,-99.56060791015625,-97.284912109375
which senator should jesus visit?,-69.83091735839844,-70.6837387084961,-73.93157958984375,-78.88417053222656,-76.85610961914062,-81.489501953125,-75.81719970703125,-75.93986511230469,-80.55757141113281,-79.54491424560547,-75.76856231689453,-83.87134552001953,-74.35055541992188,-75.09464263916016,-69.03469848632812,-80.67741394042969,-83.24237823486328,-78.2100830078125
which should jesus visit senator?,-71.74896240234375,-80.34130859375,-71.59315490722656,-72.34817504882812,-66.20924377441406,-73.48991394042969,-74.46147918701172,-92.07695007324219,-83.09380340576172,-73.90652465820312,-64.50985717773438,-79.67947387695312,-69.34965515136719,-69.32286071777344,-75.6645736694336,-79.59844207763672,-79.68376922607422,-74.0243148803711
what fish is a person healing?,-61.664268493652344,-53.65614700317383,-61.93038558959961,-60.52030944824219,-61.01373291015625,-59.80221176147461,-62.59784698486328,-62.83210754394531,-66.49028778076172,-60.98541259765625,-63.03913116455078,-61.3597526550293,-66.87770080566406,-66.61323547363281,-66.47123718261719,-64.7015380859375,-63.291542053222656,-61.9577751159668
what is a person healing fish?,-61.488101959228516,-55.7825927734375,-61.15034103393555,-63.900394439697266,-59.38035202026367,-63.75382995605469,-71.92082977294922,-67.57565307617188,-68.33009338378906,-66.564208984375,-61.80413055419922,-68.05997467041016,-62.81055450439453,-64.36764526367188,-59.98143005371094,-60.678749084472656,-61.56599426269531,-60.524444580078125
what dancers should kristen respect?,-76.75526428222656,-76.56532287597656,-62.26228332519531,-74.93008422851562,-81.17940521240234,-74.59259796142578,-86.86309051513672,-90.29109191894531,-69.48435974121094,-73.26646423339844,-86.28855895996094,-73.966552734375,-78.3291015625,-71.21803283691406,-78.97616577148438,-86.93061065673828,-86.99224090576172,-81.3019790649414
