sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
cynthia scans these hard books.,-68.81531524658203,-69.84510040283203,-79.19927978515625,-69.5162124633789,-67.9522705078125,-68.66000366210938,-79.1639404296875,-76.36641693115234,-87.69636535644531,-70.3050765991211,-69.96694946289062,-70.48797607421875,-96.41503143310547,-80.76610565185547,-87.03515625,-87.83872985839844,-84.02345275878906,-87.5378646850586
cynthia scans this hard books.,-69.84867858886719,-75.03060150146484,-78.62881469726562,-69.8797607421875,-68.06124877929688,-66.23636627197266,-80.91268920898438,-81.99872589111328,-88.17098999023438,-71.50345611572266,-72.13381958007812,-67.72903442382812,-101.44052124023438,-88.08287811279297,-92.61166381835938,-86.23326873779297,-85.66357421875,-89.16541290283203
donna might hire this serious actress.,-95.78367614746094,-92.8126449584961,-97.79835510253906,-69.864990234375,-74.40863037109375,-67.33169555664062,-113.18721008300781,-110.1207504272461,-105.58822631835938,-69.8405990600586,-76.27626037597656,-68.2649154663086,-91.91496276855469,-89.13591003417969,-88.91832733154297,-72.12134552001953,-73.59616088867188,-72.58878326416016
donna might hire these serious actress.,-92.60420227050781,-94.65135192871094,-99.4853515625,-72.75202178955078,-71.15763854980469,-70.49470520019531,-107.48871612548828,-110.25785827636719,-107.18759155273438,-73.67924499511719,-73.75389862060547,-71.38993835449219,-97.07315063476562,-90.79623413085938,-91.76404571533203,-79.03938293457031,-77.0063705444336,-78.98872375488281
wendy forgot those upset doctors.,-65.5091323852539,-72.9399185180664,-73.3111572265625,-61.289825439453125,-66.38128662109375,-57.102787017822266,-69.54022979736328,-77.25473022460938,-73.38096618652344,-61.52275848388672,-67.6717529296875,-52.9980354309082,-70.6291732788086,-66.29452514648438,-70.3262710571289,-93.67919921875,-88.37727355957031,-93.01497650146484
wendy forgot that upset doctors.,-67.250244140625,-72.60321807861328,-72.985595703125,-59.081634521484375,-62.32912063598633,-57.911617279052734,-72.43309783935547,-77.05643463134766,-72.71619415283203,-59.52155685424805,-62.655242919921875,-55.401023864746094,-74.19925689697266,-68.2508544921875,-75.73128509521484,-89.12957763671875,-88.58145904541016,-90.37458801269531
carlos hasn't fired those uncertain students.,-95.08061218261719,-94.12430572509766,-103.53321838378906,-85.01144409179688,-79.88722229003906,-78.34815979003906,-106.6737060546875,-96.37696838378906,-113.25406646728516,-86.06977081298828,-79.31865692138672,-75.63471984863281,-110.43681335449219,-109.52975463867188,-119.17079162597656,-75.10871887207031,-75.06095123291016,-80.0920639038086
carlos hasn't fired that uncertain students.,-90.75688934326172,-89.56002044677734,-100.84159851074219,-84.47976684570312,-82.16874694824219,-75.92716979980469,-106.60901641845703,-97.08773803710938,-111.23668670654297,-85.46178436279297,-82.82809448242188,-73.2791748046875,-106.74369812011719,-106.44369506835938,-114.19292449951172,-71.5759048461914,-71.62425231933594,-70.12580871582031
claire will conceal those hopeful cashiers.,-95.74800109863281,-98.38381958007812,-101.18348693847656,-67.22815704345703,-73.93535614013672,-67.98307800292969,-103.27494812011719,-103.43453979492188,-114.84031677246094,-68.3070068359375,-74.33148193359375,-69.05632019042969,-130.93658447265625,-120.5680160522461,-120.18104553222656,-97.43816375732422,-88.57122802734375,-94.00641632080078
claire will conceal that hopeful cashiers.,-91.88267517089844,-94.26075744628906,-102.75765991210938,-63.64237976074219,-73.588623046875,-69.00677490234375,-105.405517578125,-102.8017807006836,-116.79966735839844,-65.00630950927734,-70.82711791992188,-67.2436294555664,-128.5102996826172,-116.94625091552734,-118.47184753417969,-90.47164916992188,-84.0266342163086,-88.01294708251953
some actors buy these gray books.,-78.86968231201172,-76.8779525756836,-82.58373260498047,-62.16836166381836,-65.09245300292969,-62.6177864074707,-92.33882904052734,-79.71871948242188,-95.65596771240234,-66.46664428710938,-63.33636474609375,-66.03074645996094,-80.57339477539062,-77.39472198486328,-79.80007934570312,-59.97239685058594,-58.49003219604492,-57.829322814941406
some actors buy this gray books.,-82.332763671875,-79.54257202148438,-84.33203887939453,-61.011009216308594,-60.05744934082031,-58.56501770019531,-94.4961929321289,-83.8795166015625,-95.54423522949219,-62.43305206298828,-58.95294952392578,-59.54242706298828,-84.8964614868164,-82.27494812011719,-83.55760955810547,-59.5429573059082,-60.153621673583984,-60.25688171386719
jerry appreciates this lost report.,-69.76199340820312,-72.38434600830078,-73.52527618408203,-41.89006042480469,-48.04533386230469,-44.18281936645508,-74.79598999023438,-78.13846588134766,-73.77051544189453,-43.86716079711914,-47.418575286865234,-44.503135681152344,-81.09593963623047,-81.13836669921875,-76.37278747558594,-79.75101470947266,-79.25749206542969,-76.75535583496094
jerry appreciates these lost report.,-71.45706939697266,-73.99327087402344,-73.73101806640625,-43.35737228393555,-48.25080108642578,-45.136878967285156,-73.50567626953125,-77.21931457519531,-76.16783142089844,-43.090476989746094,-46.886375427246094,-44.47605514526367,-83.13642120361328,-80.57868957519531,-74.40449523925781,-82.08949279785156,-79.0797119140625,-78.04779052734375
deanna reveals these black public parks.,-84.79727935791016,-90.48627471923828,-89.6734848022461,-84.071533203125,-72.84976196289062,-72.89610290527344,-97.54297637939453,-96.1941146850586,-104.73991394042969,-86.46353149414062,-74.20710754394531,-72.86359405517578,-111.72509002685547,-100.46197509765625,-106.25000762939453,-79.59270477294922,-76.29199981689453,-77.6786880493164
