sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
this customer who had visited most children has worn some shoes.,-115.80072021484375,-108.19422912597656,-105.07926940917969,-88.75778198242188,-82.92900085449219,-89.35762786865234,-141.26983642578125,-123.15404510498047,-116.7154769897461,-92.45447540283203,-81.68502807617188,-89.6502685546875,-101.0964584350586,-91.84381866455078,-96.613525390625,-89.05647277832031,-86.28357696533203,-83.97439575195312
this customer who had visited most children have worn some shoes.,-113.95360565185547,-107.05326843261719,-104.9964828491211,-87.87358093261719,-85.19076538085938,-90.81329345703125,-135.71958923339844,-120.83991241455078,-117.61946868896484,-91.20882415771484,-83.99842834472656,-91.36769104003906,-95.90591430664062,-90.33668518066406,-93.11051940917969,-88.74921417236328,-89.3745346069336,-83.18221282958984
this boy that didn't question all guests has forgotten about what wasn't vaporizing.,-133.50567626953125,-143.26284790039062,-138.94497680664062,-122.5035171508789,-120.38143157958984,-118.4580078125,-145.2063751220703,-153.130126953125,-142.29917907714844,-119.82747650146484,-122.9294204711914,-119.28202819824219,-136.1966552734375,-135.22499084472656,-144.7368621826172,-123.20030212402344,-125.33909606933594,-122.78582763671875
this boy that didn't question all guests have forgotten about what wasn't vaporizing.,-130.7054901123047,-141.48638916015625,-134.58932495117188,-123.65298461914062,-123.90835571289062,-118.20912170410156,-142.39151000976562,-148.51046752929688,-142.21914672851562,-121.75257110595703,-126.47635650634766,-120.12101745605469,-136.77992248535156,-131.89364624023438,-141.13658142089844,-121.82717895507812,-124.08432006835938,-120.35281372070312
boys that aren't disturbing natalie suffer.,-69.82137298583984,-74.42681884765625,-76.61881256103516,-63.65837097167969,-66.6983413696289,-63.412776947021484,-68.69023895263672,-74.78848266601562,-81.0898208618164,-62.8442497253418,-67.45654296875,-65.27117156982422,-105.55879211425781,-102.36235046386719,-103.07018280029297,-84.65902709960938,-87.29864501953125,-90.06605529785156
boys that aren't disturbing natalie suffers.,-71.98176574707031,-75.08922576904297,-81.84040832519531,-63.890228271484375,-65.80204010009766,-61.771419525146484,-71.54863739013672,-76.79388427734375,-81.41311645507812,-63.60136795043945,-65.87598419189453,-64.15538024902344,-107.54474639892578,-103.78572845458984,-106.47218322753906,-90.0936279296875,-89.40933990478516,-91.40169525146484
some customers who irritates amelia do persuade galileo to come here.,-148.91815185546875,-142.35064697265625,-153.84561157226562,-98.49913787841797,-92.9045181274414,-105.7815933227539,-167.9890899658203,-161.02883911132812,-156.19613647460938,-99.92010498046875,-93.43614959716797,-110.6290512084961,-170.0799560546875,-173.17694091796875,-176.89620971679688,-116.79034423828125,-113.82786560058594,-112.63677978515625
some customers who irritates amelia does persuade galileo to come here.,-151.0804901123047,-141.40826416015625,-156.57650756835938,-97.91499328613281,-93.74351501464844,-104.56570434570312,-165.26840209960938,-160.35350036621094,-162.221435546875,-102.44297790527344,-95.61004638671875,-109.59268188476562,-175.15469360351562,-171.40597534179688,-179.07867431640625,-116.36153411865234,-115.32313537597656,-112.7686767578125
many children that had questioned this government do cooperate.,-106.2593002319336,-103.30992126464844,-105.54022216796875,-73.50199127197266,-80.02574920654297,-72.80816650390625,-115.265380859375,-122.80724334716797,-113.06798553466797,-74.48699951171875,-81.09513092041016,-74.10362243652344,-114.15337371826172,-118.1427001953125,-120.56270599365234,-82.8251953125,-78.10266876220703,-83.85002899169922
many children that had questioned this government does cooperate.,-105.38167572021484,-104.04900360107422,-107.88435363769531,-70.38986206054688,-74.72282409667969,-69.65875244140625,-113.48500061035156,-124.9812240600586,-119.35044860839844,-71.98551177978516,-76.27073669433594,-70.8252944946289,-113.1964111328125,-114.83283996582031,-119.27421569824219,-81.93061828613281,-77.82316589355469,-84.7660903930664
a lot of schools that have concealed adam worry.,-88.78165435791016,-99.28561401367188,-86.3714828491211,-63.65915298461914,-64.7313232421875,-67.88675689697266,-95.48114013671875,-110.22749328613281,-89.51177215576172,-61.61752700805664,-68.25177764892578,-72.37012481689453,-93.3216323852539,-101.25923919677734,-102.91102600097656,-81.4560546875,-65.6617431640625,-72.11663818359375
a lot of schools that have concealed adam worries.,-82.45862579345703,-94.64929962158203,-87.43942260742188,-64.99305725097656,-65.33320617675781,-72.9862289428711,-83.01171875,-101.82044219970703,-85.45850372314453,-62.78325271606445,-68.16712951660156,-75.44757843017578,-100.96034240722656,-103.85746002197266,-104.11344909667969,-85.31398010253906,-74.1269302368164,-75.88740539550781
all pedestrians that wouldn't shock william read.,-116.75103759765625,-109.18147277832031,-113.77645874023438,-70.80850219726562,-71.19744873046875,-67.22988891601562,-131.58583068847656,-115.69873809814453,-120.97484588623047,-72.94577026367188,-70.77946472167969,-66.46712493896484,-101.86619567871094,-111.33582305908203,-115.3138427734375,-75.50633239746094,-76.81824493408203,-77.80906677246094
all pedestrians that wouldn't shock william reads.,-115.0313491821289,-110.99181365966797,-117.21543884277344,-75.30941772460938,-75.97432708740234,-74.41378784179688,-127.81781768798828,-122.10740661621094,-123.69355773925781,-77.76806640625,-76.12284851074219,-74.80228424072266,-105.92654418945312,-112.79801940917969,-118.2386703491211,-83.47920227050781,-81.01927947998047,-79.59004211425781
the girl who had visited most guests is curing a woman.,-110.92679595947266,-109.8905029296875,-112.77433776855469,-86.07080078125,-86.73046875,-84.35393524169922,-127.35989379882812,-125.3724594116211,-124.64867401123047,-89.36747741699219,-88.10426330566406,-88.043701171875,-106.69264221191406,-98.60440826416016,-103.98699188232422,-81.45663452148438,-82.04749298095703,-83.10735321044922
the girl who had visited most guests were curing a woman.,-111.99371337890625,-107.98295593261719,-110.70706939697266,-86.87814331054688,-89.84837341308594,-86.1277084350586,-130.1143341064453,-122.07884979248047,-120.57749938964844,-90.34580993652344,-91.41913604736328,-89.97633361816406,-104.21065521240234,-96.87813568115234,-97.28838348388672,-78.73881530761719,-82.03255462646484,-80.74230194091797
