sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who were all men and eric leaving?,-64.24055480957031,-64.09363555908203,-67.73394775390625,-69.84356689453125,-71.72097778320312,-75.0682601928711,-73.92100524902344,-73.35386657714844,-77.37786865234375,-70.02743530273438,-75.54641723632812,-76.70277404785156,-71.72687530517578,-62.029144287109375,-64.71722412109375,-78.0945816040039,-80.38292694091797,-79.54397583007812
who were all men leaving and eric?,-67.28804016113281,-66.16312408447266,-67.6009521484375,-67.02818298339844,-67.29210662841797,-66.2667007446289,-80.08169555664062,-77.45230865478516,-81.5683822631836,-69.14714813232422,-69.22281646728516,-68.487060546875,-62.85036849975586,-59.89460754394531,-64.6528549194336,-81.23530578613281,-81.52837371826172,-82.00413513183594
who will elizabeth and gregory cure?,-60.4290657043457,-67.0873794555664,-67.31588745117188,-73.40162658691406,-66.48898315429688,-74.08968353271484,-63.1318473815918,-79.86546325683594,-74.35400390625,-75.1753921508789,-69.1226806640625,-75.35311889648438,-72.55076599121094,-70.3900146484375,-66.34181213378906,-75.91739654541016,-78.01644134521484,-75.09634399414062
who could elizabeth cure and gregory?,-68.73148345947266,-81.0502700805664,-78.90718841552734,-74.49357604980469,-66.18333435058594,-74.93119812011719,-71.09354400634766,-88.72977447509766,-89.58956909179688,-73.10431671142578,-66.79846954345703,-71.61127471923828,-86.25791931152344,-80.13448333740234,-80.4013671875,-79.10295104980469,-86.71343231201172,-80.65711975097656
what do that legislature and janice bother?,-117.92694854736328,-110.22250366210938,-112.57666778564453,-84.51264190673828,-89.26240539550781,-86.88180541992188,-125.58321380615234,-121.06314086914062,-120.11732482910156,-92.14763641357422,-89.55609130859375,-91.15353393554688,-108.72433471679688,-106.43280792236328,-113.59169006347656,-93.95745849609375,-92.89899444580078,-92.841552734375
what could that legislature bother and janice?,-118.10044860839844,-112.53380584716797,-123.58773803710938,-93.12910461425781,-90.23088073730469,-91.98800659179688,-130.8450927734375,-128.6870574951172,-134.9864501953125,-95.12741088867188,-89.69999694824219,-93.66938018798828,-114.2640380859375,-117.45797729492188,-117.5257797241211,-93.27066040039062,-97.97323608398438,-100.78157806396484
what were some museum and a lot of patients insulting?,-72.38701629638672,-68.51348114013672,-73.39820098876953,-90.14545440673828,-82.83653259277344,-78.8359146118164,-78.58358764648438,-74.18070983886719,-89.85284423828125,-90.95634460449219,-86.34769439697266,-77.65625,-71.89871978759766,-85.46936798095703,-82.0925064086914,-94.06526184082031,-98.20362854003906,-97.22555541992188
what is some museum insulting and a lot of patients?,-75.41093444824219,-77.80155181884766,-80.9604263305664,-85.22816467285156,-77.63971710205078,-79.21905517578125,-84.16077423095703,-82.69807434082031,-90.32807922363281,-87.5810775756836,-81.11322784423828,-81.6810302734375,-85.58245086669922,-87.04935455322266,-88.21957397460938,-86.20408630371094,-84.22579956054688,-90.4395980834961
who should keith and andrea climb up?,-75.78034973144531,-72.01863861083984,-78.46781158447266,-94.7115249633789,-92.6058120727539,-85.45803833007812,-78.09323120117188,-82.89102172851562,-79.46432495117188,-91.95436096191406,-95.46012115478516,-88.4171371459961,-89.67396545410156,-90.03990936279297,-89.2713394165039,-104.59828186035156,-111.23188781738281,-108.63363647460938
who might keith climb up and andrea?,-71.9081039428711,-76.5621566772461,-80.85384368896484,-96.93267822265625,-93.93949127197266,-97.35723114013672,-77.7400131225586,-89.62212371826172,-91.3552474975586,-93.18948364257812,-96.3211441040039,-102.47441101074219,-79.00102233886719,-78.07440185546875,-86.4337158203125,-103.82598876953125,-106.35747528076172,-107.05154418945312
