sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
patricia had changed.,-41.544925689697266,-43.38387680053711,-44.1952018737793,-38.152671813964844,-39.02186584472656,-35.45361328125,-48.927879333496094,-43.33795166015625,-46.55669021606445,-38.9020881652832,-39.33534622192383,-36.51680374145508,-44.69211959838867,-46.9372444152832,-47.9334716796875,-53.227638244628906,-46.9857292175293,-48.67314529418945
patricia had forgotten.,-39.16618347167969,-43.00442886352539,-46.983604431152344,-25.127220153808594,-26.358278274536133,-27.93405532836914,-47.91413879394531,-42.43444061279297,-48.685699462890625,-25.009227752685547,-27.84408187866211,-28.759897232055664,-43.847900390625,-43.43059158325195,-43.62311935424805,-69.76968383789062,-65.21514129638672,-67.44901275634766
a lot of closets could fling open.,-78.60011291503906,-81.79097747802734,-80.13584899902344,-68.50737762451172,-69.88294982910156,-78.27705383300781,-86.2347640991211,-90.75187683105469,-90.08900451660156,-68.14824676513672,-68.87562561035156,-82.38671875,-88.93290710449219,-89.10330200195312,-78.7939682006836,-70.87459564208984,-66.28050231933594,-73.3743667602539
a lot of closets could buy.,-57.122413635253906,-58.244712829589844,-60.183013916015625,-52.16184997558594,-56.17179489135742,-57.28437805175781,-59.2587890625,-57.861385345458984,-58.98664855957031,-53.299049377441406,-55.86308670043945,-60.86425018310547,-60.448368072509766,-62.62022018432617,-59.456398010253906,-48.45249938964844,-48.04589080810547,-47.33726501464844
all pants loosen.,-46.41550064086914,-55.7349853515625,-58.499046325683594,-40.69972229003906,-39.98185729980469,-44.583499908447266,-53.18879699707031,-59.29737091064453,-61.86983871459961,-42.90278625488281,-38.70307159423828,-46.25580978393555,-55.053688049316406,-52.736793518066406,-62.62379455566406,-50.51594543457031,-49.44392776489258,-48.81285858154297
all pants brought.,-47.18562316894531,-50.6048469543457,-49.783321380615234,-41.48506164550781,-44.361366271972656,-41.739845275878906,-59.781036376953125,-55.086585998535156,-55.09001922607422,-43.93450927734375,-44.322357177734375,-42.528465270996094,-52.91150665283203,-51.04790496826172,-57.49010467529297,-43.86451721191406,-40.03730010986328,-42.02629089355469
many glasses aren't warping.,-64.89485931396484,-62.31990432739258,-58.14166259765625,-50.68263626098633,-49.55062484741211,-55.591636657714844,-71.23963165283203,-67.0362548828125,-66.42696380615234,-49.593292236328125,-51.305686950683594,-55.50466537475586,-60.835140228271484,-68.4507064819336,-59.996646881103516,-59.376678466796875,-54.74711990356445,-58.2065544128418
many glasses aren't messing up.,-56.36566925048828,-54.452667236328125,-48.729156494140625,-61.57318878173828,-72.23658752441406,-59.201011657714844,-66.54151153564453,-60.30669403076172,-53.47711944580078,-61.45052719116211,-75.60358428955078,-60.67208480834961,-44.572792053222656,-49.83521270751953,-46.84300994873047,-57.03114700317383,-49.09135818481445,-56.64793395996094
a screen was fading.,-56.21656036376953,-57.80133056640625,-55.88983917236328,-37.44443130493164,-39.730892181396484,-45.77935028076172,-57.54095458984375,-62.594844818115234,-62.84324645996094,-38.06320571899414,-40.49291229248047,-45.605648040771484,-55.2592887878418,-52.431156158447266,-54.36826705932617,-50.618770599365234,-51.926517486572266,-55.14822769165039
a screen was cleaning.,-53.813819885253906,-54.68620300292969,-54.236968994140625,-43.90232849121094,-45.36127853393555,-45.249935150146484,-58.452430725097656,-59.81132125854492,-59.32670593261719,-44.83137512207031,-47.79398727416992,-46.149749755859375,-50.80694580078125,-54.135353088378906,-52.18412780761719,-44.3304557800293,-44.22495651245117,-42.377960205078125
every mountain sells.,-41.95435333251953,-41.06521987915039,-41.698402404785156,-30.435606002807617,-43.65318298339844,-37.149105072021484,-45.55055236816406,-43.963592529296875,-44.766090393066406,-30.77254295349121,-44.071006774902344,-36.55986404418945,-58.607723236083984,-48.79793930053711,-55.815773010253906,-43.09988784790039,-41.23564910888672,-42.91835021972656
every mountain climbs down.,-51.04192352294922,-51.40370178222656,-51.21534729003906,-41.59785079956055,-40.320091247558594,-45.13226318359375,-57.072547912597656,-56.425270080566406,-56.31983184814453,-43.6275749206543,-41.784515380859375,-44.46675491333008,-46.4727668762207,-44.635498046875,-39.53571319580078,-48.44956970214844,-47.59884262084961,-47.9018440246582
all rivers can't melt.,-57.18456268310547,-56.011634826660156,-58.713539123535156,-40.514183044433594,-40.30904769897461,-41.221988677978516,-57.91038131713867,-54.60887145996094,-60.345767974853516,-43.0450325012207,-40.36268615722656,-42.14392852783203,-51.2714729309082,-52.1939811706543,-55.02781295776367,-50.70275115966797,-50.305274963378906,-50.29722595214844
all rivers can't reveal.,-63.9393424987793,-65.93592071533203,-66.194580078125,-41.25075149536133,-40.00398254394531,-38.16827392578125,-64.05557250976562,-66.0764389038086,-69.01332092285156,-44.240047454833984,-43.126991271972656,-40.92106246948242,-71.90125274658203,-68.16121673583984,-75.13032531738281,-55.826011657714844,-56.0018424987793,-54.4683723449707
that skirt isn't unfolding.,-54.84645462036133,-52.44026184082031,-52.735435485839844,-50.09654998779297,-51.3646125793457,-50.09726333618164,-57.64746856689453,-62.9281005859375,-53.10946273803711,-51.45891189575195,-50.153419494628906,-51.26370620727539,-53.97993850708008,-55.77567672729492,-53.253501892089844,-54.259559631347656,-55.898094177246094,-55.149837493896484
that skirt isn't cleaning.,-56.03243637084961,-55.504791259765625,-54.34603500366211,-50.61775588989258,-54.332759857177734,-51.62091064453125,-59.833030700683594,-60.5164909362793,-62.30027770996094,-53.5418815612793,-54.38774871826172,-52.65639877319336,-50.09687042236328,-51.49850082397461,-48.677459716796875,-48.447715759277344,-49.3447265625,-50.7785758972168
that shawl shrank.,-53.94950485229492,-52.886802673339844,-59.179073333740234,-35.01258850097656,-33.25087356567383,-30.295352935791016,-59.480133056640625,-57.06874084472656,-70.3291015625,-37.25531768798828,-26.396358489990234,-31.817058563232422,-69.68480682373047,-73.77079772949219,-70.6025619506836,-50.57493209838867,-54.6458740234375,-50.902122497558594
that shawl reveals.,-48.83572006225586,-58.25212097167969,-56.52009582519531,-36.50663375854492,-34.521697998046875,-34.82012939453125,-53.8890380859375,-57.06816101074219,-60.770530700683594,-38.69611358642578,-32.30028533935547,-37.747615814208984,-78.96125030517578,-73.09458923339844,-72.93055725097656,-53.5396728515625,-51.414520263671875,-50.261749267578125
those bananas are ripening.,-57.97010040283203,-56.73419189453125,-62.691871643066406,-41.886329650878906,-45.6735954284668,-43.93175506591797,-67.73788452148438,-64.49111938476562,-75.419189453125,-38.31798553466797,-43.809104919433594,-45.80446243286133,-56.689632415771484,-65.42748260498047,-64.63652038574219,-60.57682800292969,-59.41545867919922,-58.260738372802734
those bananas are cleaning.,-44.786643981933594,-51.66476821899414,-47.13509750366211,-44.079498291015625,-46.138668060302734,-46.87046813964844,-51.43449783325195,-57.659828186035156,-53.712921142578125,-40.17129135131836,-44.21625518798828,-46.63169479370117,-48.350399017333984,-50.248191833496094,-48.215301513671875,-54.72100830078125,-52.24151611328125,-52.02607345581055
a lot of chairs shattered.,-46.81615447998047,-49.35054397583008,-48.245269775390625,-37.12245559692383,-36.8450813293457,-38.38176727294922,-52.28746795654297,-50.9433708190918,-57.587066650390625,-34.7261962890625,-37.664146423339844,-40.3610954284668,-55.627803802490234,-52.736839294433594,-65.02079010009766,-54.73619842529297,-54.20051956176758,-53.92755889892578
a lot of chairs found.,-41.57560729980469,-43.38225555419922,-44.021324157714844,-40.80453872680664,-47.517337799072266,-42.19480514526367,-48.55995178222656,-47.15919494628906,-46.56431579589844,-42.999267578125,-49.486717224121094,-42.68233871459961,-44.930049896240234,-41.92155456542969,-45.022804260253906,-43.69939041137695,-42.34381103515625,-41.22760772705078
these carriages have maneuvered.,-74.3271484375,-78.91481018066406,-74.40362548828125,-38.27079772949219,-37.716739654541016,-32.73193359375,-79.56294250488281,-87.38016510009766,-81.20528411865234,-31.739023208618164,-38.6874885559082,-31.871644973754883,-83.76933288574219,-76.8575439453125,-84.22477722167969,-59.29865264892578,-57.33570098876953,-57.32661819458008
these carriages have looked like.,-52.934452056884766,-53.857643127441406,-50.38384246826172,-44.432395935058594,-51.800048828125,-43.43761444091797,-61.03887176513672,-55.731964111328125,-55.482452392578125,-45.90755844116211,-51.52978515625,-44.91111755371094,-60.19739532470703,-54.877113342285156,-49.954010009765625,-56.110328674316406,-51.131614685058594,-48.69668960571289
clyde's oncologists weren't reuniting.,-107.98865509033203,-110.27734375,-99.36814880371094,-69.8343734741211,-75.1216812133789,-65.48074340820312,-126.88250732421875,-127.38348388671875,-111.09217834472656,-67.21522521972656,-75.73097229003906,-66.48103332519531,-118.08673095703125,-110.52005767822266,-120.11827087402344,-109.06257629394531,-98.51156616210938,-103.97705841064453
clyde's oncologists weren't boring.,-98.93647003173828,-101.77412414550781,-88.1197509765625,-66.8932113647461,-75.51942443847656,-65.28318786621094,-118.37237548828125,-114.9487075805664,-93.0491943359375,-61.742584228515625,-78.47119140625,-68.16644287109375,-107.69619750976562,-96.3148193359375,-105.79740142822266,-105.99970245361328,-99.6751937866211,-103.11538696289062
benjamin's tutors spin around.,-69.48954772949219,-69.63861846923828,-64.4561996459961,-42.85064697265625,-39.91944122314453,-49.29995346069336,-83.52593994140625,-79.82392120361328,-73.44074249267578,-44.6405029296875,-37.50761795043945,-48.33479690551758,-65.38591003417969,-66.80289459228516,-68.89787292480469,-67.22281646728516,-60.18661880493164,-65.5294418334961
