sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
a lot of nieces of some actor aren't scared.,-101.02063751220703,-95.75541687011719,-99.72702026367188,-68.62926483154297,-73.72752380371094,-71.52314758300781,-112.3656997680664,-112.07939147949219,-108.69586181640625,-69.30844116210938,-74.38204956054688,-74.7796401977539,-87.25553894042969,-87.51699829101562,-87.05809020996094,-75.0677261352539,-79.75791931152344,-77.82722473144531
a lot of nieces of some actor aren't wept.,-109.59428405761719,-100.56257629394531,-111.19027709960938,-70.87161254882812,-77.24525451660156,-79.52639770507812,-117.48100280761719,-116.75959777832031,-123.85537719726562,-73.56254577636719,-77.52372741699219,-84.16918182373047,-97.58956909179688,-96.05826568603516,-89.40119934082031,-69.79399871826172,-74.42172241210938,-69.74168395996094
mitchell's grandfathers are forgotten.,-76.02920532226562,-82.51786804199219,-68.82023620605469,-29.21666717529297,-33.65216064453125,-39.906009674072266,-88.37374877929688,-89.72970581054688,-86.96517944335938,-25.454862594604492,-33.108062744140625,-39.17539978027344,-89.567626953125,-95.38330841064453,-88.01375579833984,-69.28055572509766,-64.9034423828125,-69.31079864501953
mitchell's grandfathers are concurred.,-66.84346771240234,-72.99942016601562,-63.260841369628906,-31.84444236755371,-33.614646911621094,-42.49329376220703,-78.64724731445312,-79.68667602539062,-80.09046173095703,-33.11570358276367,-33.6680793762207,-41.943031311035156,-89.23929595947266,-96.69734954833984,-92.94422149658203,-66.77110290527344,-61.87238693237305,-65.6290283203125
the clintons were attacked.,-60.62549591064453,-57.156490325927734,-56.342140197753906,-35.656185150146484,-36.713661193847656,-33.92281723022461,-63.990169525146484,-54.82847595214844,-61.24556350708008,-36.17162322998047,-36.66615676879883,-34.27425003051758,-64.76686096191406,-58.609134674072266,-67.22442626953125,-47.914268493652344,-47.40367126464844,-53.29673767089844
the clintons were replied.,-58.32258605957031,-57.752532958984375,-56.622467041015625,-24.942733764648438,-31.010208129882812,-27.78167152404785,-65.3753662109375,-59.802223205566406,-66.96005249023438,-28.225675582885742,-29.91436004638672,-28.711856842041016,-67.09989929199219,-59.00302505493164,-61.786643981933594,-52.459625244140625,-43.612674713134766,-52.97344207763672
most cashiers are disliked.,-66.90869903564453,-60.43128967285156,-64.05615234375,-39.85626983642578,-37.69044876098633,-35.35459899902344,-64.46482849121094,-65.45948028564453,-63.71515655517578,-41.21717071533203,-38.59953689575195,-34.616641998291016,-73.59220886230469,-77.80418395996094,-84.07316589355469,-56.941314697265625,-53.26116943359375,-54.80226135253906
most cashiers are flirted.,-63.7755126953125,-57.33320236206055,-62.891963958740234,-43.6706657409668,-45.26807403564453,-41.98755645751953,-61.838134765625,-66.8863754272461,-71.54423522949219,-45.456905364990234,-43.03374481201172,-40.963653564453125,-74.5237045288086,-74.14168548583984,-74.2190933227539,-59.577667236328125,-54.99407196044922,-58.6820182800293
a lot of libraries were distracted.,-56.91405487060547,-58.738468170166016,-60.30683135986328,-23.988197326660156,-32.9943962097168,-26.67624282836914,-61.52366638183594,-58.7530632019043,-61.22722625732422,-22.889802932739258,-33.726776123046875,-23.368812561035156,-66.35749053955078,-68.6913070678711,-63.483924865722656,-55.85791015625,-51.28651428222656,-56.03790283203125
a lot of libraries were communicated.,-70.21017456054688,-59.352596282958984,-58.89879608154297,-32.474647521972656,-39.1008415222168,-33.14326477050781,-69.2809829711914,-57.83763885498047,-58.96878433227539,-31.70555877685547,-37.65071105957031,-31.096162796020508,-76.6151123046875,-80.54959869384766,-77.24343872070312,-52.99783706665039,-48.5230598449707,-53.64790725708008
