sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
only the grandsons of the impressionists who colleen is appreciating ever encourage phillip to stretch.,-170.74928283691406,-163.06407165527344,-167.2194366455078,-113.12379455566406,-117.27071380615234,-124.40202331542969,-176.43089294433594,-171.82553100585938,-169.8585205078125,-118.42164611816406,-120.62348175048828,-123.90254211425781,-204.53944396972656,-203.8856201171875,-202.42344665527344,-155.48841857910156,-161.94290161132812,-167.4728546142578
the grandsons of the impressionists who only colleen is appreciating ever encourage phillip to stretch.,-178.96127319335938,-170.43023681640625,-179.4345703125,-121.85734558105469,-126.4915771484375,-130.59817504882812,-192.85621643066406,-179.53363037109375,-182.06155395507812,-129.8566436767578,-130.71310424804688,-130.4650115966797,-208.20932006835938,-203.23570251464844,-202.70619201660156,-158.5260467529297,-165.31785583496094,-169.45758056640625
only that story about monet that mark would research does ever worry richard.,-140.6557159423828,-135.8534393310547,-142.15090942382812,-123.14832305908203,-131.72862243652344,-134.69610595703125,-155.99237060546875,-150.18890380859375,-157.3148193359375,-128.73532104492188,-137.4434356689453,-140.9374542236328,-140.92227172851562,-150.7113800048828,-146.58763122558594,-136.80267333984375,-127.28520202636719,-131.0035400390625
that story about monet that only mark would research does ever worry richard.,-137.60641479492188,-140.3589630126953,-143.36602783203125,-130.297607421875,-138.1095428466797,-135.4247283935547,-152.518798828125,-154.0089569091797,-159.2014923095703,-136.4033660888672,-147.45846557617188,-141.90908813476562,-146.43399047851562,-155.67086791992188,-148.96754455566406,-134.77285766601562,-128.2432861328125,-128.5621337890625
only a popsicle that danielle admires ever freezes.,-93.84686279296875,-95.30506134033203,-101.08409118652344,-113.02578735351562,-116.3260269165039,-120.70858001708984,-95.32223510742188,-98.04694366455078,-97.3937759399414,-110.86721801757812,-117.43091583251953,-128.98536682128906,-99.94773864746094,-106.84336853027344,-103.90188598632812,-127.70057678222656,-118.42318725585938,-129.98924255371094
a popsicle that only danielle admires ever freezes.,-93.6881103515625,-97.04561614990234,-106.28620147705078,-117.51792907714844,-118.02909851074219,-122.84510803222656,-93.91521453857422,-101.38046264648438,-104.61473846435547,-118.57041931152344,-121.02102661132812,-131.80218505859375,-107.2586441040039,-116.15172576904297,-108.70804595947266,-126.40570831298828,-118.59547424316406,-128.08106994628906
only naomi's sisters that martin had questioned ever seem to look like a light.,-122.14815521240234,-132.694580078125,-133.1993408203125,-117.21839904785156,-121.5943832397461,-118.87211608886719,-138.54763793945312,-155.9810333251953,-150.19772338867188,-118.8238525390625,-124.77609252929688,-119.00669860839844,-113.83059692382812,-112.5139389038086,-102.94213104248047,-103.49494934082031,-106.98063659667969,-98.72866821289062
naomi's sisters that only martin had questioned ever seem to look like a light.,-120.83189392089844,-138.67283630371094,-133.73109436035156,-109.38530731201172,-106.17758178710938,-114.79695129394531,-138.2030487060547,-162.54893493652344,-149.53590393066406,-109.31997680664062,-112.5930404663086,-114.7936782836914,-124.47903442382812,-118.92477416992188,-117.13180541992188,-106.3939208984375,-108.06348419189453,-101.23323059082031
only those companies that these associations stun had ever enticed benjamin's ex-husband to write.,-196.52999877929688,-194.25311279296875,-209.27711486816406,-164.82327270507812,-162.3588409423828,-157.8963623046875,-224.97256469726562,-214.8739776611328,-241.26666259765625,-161.85525512695312,-165.18536376953125,-159.06239318847656,-201.2377471923828,-205.69161987304688,-216.12811279296875,-167.68873596191406,-165.29550170898438,-169.8079833984375
those companies that only these associations stun had ever enticed benjamin's ex-husband to write.,-202.1067657470703,-202.7930450439453,-217.98301696777344,-170.5121612548828,-167.37474060058594,-157.0654296875,-232.10565185546875,-231.79928588867188,-249.9261474609375,-172.6273651123047,-171.03892517089844,-158.365966796875,-203.7007293701172,-211.08883666992188,-218.239990234375,-168.78807067871094,-166.9140625,-168.7487335205078
