sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
will mark want himself ?,-29.092737197875977,-26.814090728759766,-31.872406005859375,-38.66779708862305,-41.2721061706543,-42.97100830078125,-32.985450744628906,-28.859676361083984,-38.0388298034668,-38.76359939575195,-41.93800354003906,-44.027000427246094,-45.588134765625,-44.30620574951172,-43.95069885253906,-41.54427719116211,-44.05670928955078,-46.826839447021484
will mark want herself ?,-30.720491409301758,-31.868911743164062,-33.171226501464844,-40.348941802978516,-46.52561950683594,-45.28782272338867,-33.0722770690918,-34.32902526855469,-42.01469421386719,-43.110591888427734,-49.10871887207031,-48.707340240478516,-54.04246520996094,-50.22846603393555,-47.93962097167969,-44.10459899902344,-43.84715270996094,-49.14466857910156
will a woman want herself ?,-30.545955657958984,-32.95486831665039,-32.841278076171875,-46.83503341674805,-46.02177429199219,-46.509544372558594,-35.74915313720703,-36.25224304199219,-36.92497253417969,-52.35313034057617,-51.84638214111328,-50.577552795410156,-54.18458557128906,-48.634193420410156,-47.20416259765625,-44.29036331176758,-39.105247497558594,-44.82872009277344
will a woman want himself ?,-34.722896575927734,-32.095428466796875,-35.88688659667969,-48.62290954589844,-45.21551513671875,-44.60685348510742,-42.00239944458008,-33.09355926513672,-41.52311325073242,-52.96953201293945,-48.28902816772461,-44.94968795776367,-56.34490966796875,-50.15443420410156,-50.11717987060547,-42.912635803222656,-40.31651306152344,-43.318603515625
mark will not want himself .,-23.940547943115234,-26.35190200805664,-31.146751403808594,-29.83924674987793,-35.75941467285156,-36.57240295410156,-30.141576766967773,-29.31452751159668,-34.13716125488281,-32.27058029174805,-36.85691833496094,-36.13678741455078,-47.050636291503906,-43.95828628540039,-45.59917449951172,-33.560298919677734,-35.1410026550293,-30.991121292114258
mark will not want herself .,-26.961519241333008,-31.241994857788086,-30.917133331298828,-29.359973907470703,-35.77361297607422,-35.135860443115234,-31.429174423217773,-36.10224151611328,-35.07136535644531,-32.39079666137695,-37.461647033691406,-35.52271270751953,-54.596012115478516,-50.64738464355469,-48.29293441772461,-34.434120178222656,-35.46521759033203,-31.547103881835938
a woman will not want herself .,-35.372337341308594,-38.6341667175293,-37.39567565917969,-30.883190155029297,-36.438873291015625,-34.86423110961914,-41.05846405029297,-44.073974609375,-41.321739196777344,-33.36415481567383,-36.44682312011719,-36.46236801147461,-57.00568389892578,-50.21820068359375,-50.929786682128906,-27.309648513793945,-27.069002151489258,-22.687152862548828
a woman will not want himself .,-36.50585174560547,-37.89939498901367,-40.40181350708008,-33.36345672607422,-37.038177490234375,-38.107059478759766,-43.99870681762695,-41.053245544433594,-42.84797286987305,-36.54556655883789,-36.82148742675781,-39.11977767944336,-59.70220947265625,-51.308494567871094,-52.38505554199219,-26.421669006347656,-26.508926391601562,-23.06863021850586
should alexander make himself the scale ?,-53.66303253173828,-46.6929817199707,-53.602840423583984,-58.22270965576172,-52.54097366333008,-59.713722229003906,-52.08445358276367,-55.071449279785156,-50.007877349853516,-61.11986541748047,-52.000144958496094,-58.40325164794922,-68.7691650390625,-62.28192138671875,-67.22863006591797,-58.49696731567383,-65.28739929199219,-61.176513671875
should alexander make herself the scale ?,-56.4635009765625,-50.62489318847656,-51.9046630859375,-58.54881286621094,-53.732688903808594,-62.460960388183594,-57.56475067138672,-60.14930725097656,-53.17747497558594,-61.67561721801758,-53.41358947753906,-62.691890716552734,-70.19480895996094,-59.787109375,-67.8417739868164,-62.76982879638672,-66.4299087524414,-66.51121520996094
should a woman make herself the scale ?,-42.90481185913086,-44.43806457519531,-48.13732147216797,-55.323917388916016,-51.423404693603516,-55.90744400024414,-50.36821746826172,-45.477874755859375,-50.809452056884766,-55.67023468017578,-50.20283126831055,-58.26547622680664,-63.97223663330078,-51.916839599609375,-54.330196380615234,-60.863365173339844,-59.28962707519531,-62.870811462402344
