sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
is the whale getting the person ?,-28.774423599243164,-29.29649543762207,-27.492801666259766,-47.297027587890625,-47.48948669433594,-47.39157485961914,-31.648895263671875,-29.485591888427734,-31.171035766601562,-50.79657745361328,-48.16020202636719,-48.39508056640625,-55.827598571777344,-44.27558898925781,-43.35623550415039,-49.39967727661133,-45.93102264404297,-48.41551971435547
is the whale gets the person ?,-36.061561584472656,-35.401885986328125,-34.8931999206543,-42.956199645996094,-44.52293014526367,-42.36577606201172,-37.28419494628906,-38.22883605957031,-38.105838775634766,-48.851051330566406,-46.74456024169922,-41.35628128051758,-56.02995300292969,-44.82719802856445,-42.666908264160156,-46.33861541748047,-43.8961181640625,-47.02002716064453
can the whale order ?,-26.529706954956055,-23.353242874145508,-24.34650993347168,-35.176517486572266,-38.71900177001953,-37.01216506958008,-28.568119049072266,-25.929943084716797,-25.247026443481445,-37.02525329589844,-39.35002899169922,-36.14299774169922,-50.40003967285156,-40.1706428527832,-40.599117279052734,-47.63011169433594,-47.013938903808594,-44.26445770263672
can the whale orders ?,-34.338111877441406,-34.28053665161133,-30.539714813232422,-40.50390625,-41.18745422363281,-42.65583801269531,-38.5230827331543,-37.208778381347656,-33.176082611083984,-41.562744140625,-41.04362487792969,-41.14447021484375,-49.254249572753906,-41.237892150878906,-49.30386734008789,-50.593570709228516,-49.67342758178711,-47.2219352722168
is the lady finding the valley ?,-34.46360778808594,-33.62997817993164,-35.968605041503906,-47.76810073852539,-45.31818771362305,-48.26475524902344,-39.07465744018555,-38.211551666259766,-35.348114013671875,-48.680686950683594,-46.476234436035156,-48.82154083251953,-58.88109588623047,-51.46323013305664,-46.01866149902344,-51.775779724121094,-53.838382720947266,-50.58245849609375
is the lady finds the valley ?,-39.79552459716797,-35.9001579284668,-42.28390121459961,-46.26964569091797,-41.448883056640625,-45.622745513916016,-44.552494049072266,-42.71048355102539,-43.47483825683594,-47.837589263916016,-42.79390335083008,-47.046871185302734,-59.286949157714844,-50.954612731933594,-43.286376953125,-49.0288200378418,-50.32716369628906,-47.04561996459961
can the lady want ?,-22.437719345092773,-25.112350463867188,-21.794530868530273,-39.81388473510742,-39.17567825317383,-41.54720687866211,-25.813337326049805,-28.787593841552734,-23.656169891357422,-40.79207229614258,-38.48781204223633,-41.8417854309082,-45.55274200439453,-33.12227249145508,-35.786529541015625,-41.40815734863281,-40.06378936767578,-39.320411682128906
can the lady wants ?,-27.811901092529297,-28.972454071044922,-26.30260467529297,-38.864627838134766,-42.2450065612793,-42.314212799072266,-31.887332916259766,-30.801652908325195,-29.764293670654297,-43.08681869506836,-41.71977996826172,-42.642555236816406,-41.55867004394531,-34.202880859375,-36.8513298034668,-47.856380462646484,-45.08800506591797,-40.96827697753906
is the bank finding the night ?,-37.19947052001953,-39.03584289550781,-36.781089782714844,-48.32181930541992,-45.67308044433594,-46.36820983886719,-42.598182678222656,-42.79464340209961,-43.20539093017578,-50.21767044067383,-46.10165786743164,-44.46950149536133,-65.33968353271484,-47.87054443359375,-46.272796630859375,-49.9081916809082,-51.295658111572266,-49.913665771484375
is the bank finds the night ?,-43.275291442871094,-43.38855743408203,-43.57965850830078,-43.370384216308594,-40.006004333496094,-43.84414291381836,-47.93975830078125,-50.271568298339844,-47.22998809814453,-45.2784309387207,-40.4943733215332,-42.68791580200195,-60.273406982421875,-42.96693801879883,-42.88614273071289,-49.56214141845703,-49.439903259277344,-53.31448745727539
can the bank become ?,-29.256914138793945,-30.014116287231445,-25.943607330322266,-39.389896392822266,-36.84861755371094,-40.95368576049805,-30.55648422241211,-36.633262634277344,-28.476160049438477,-39.51654815673828,-37.13243103027344,-38.63700485229492,-49.256591796875,-44.11748504638672,-44.134124755859375,-50.54314422607422,-51.01095962524414,-49.47743606567383
can the bank becomes ?,-35.78606033325195,-35.3171501159668,-34.88185119628906,-35.20781707763672,-34.84508514404297,-38.550636291503906,-42.405826568603516,-40.2286262512207,-38.19377899169922,-35.496337890625,-35.92125701904297,-37.798770904541016,-50.2072639465332,-44.94425582885742,-44.020286560058594,-49.26569366455078,-49.241737365722656,-49.32005310058594
is the bird playing ?,-16.205541610717773,-16.813735961914062,-16.745473861694336,-34.637779235839844,-34.311214447021484,-33.30345153808594,-19.60739517211914,-19.117290496826172,-17.078542709350586,-36.64104080200195,-34.301307678222656,-34.6457633972168,-44.947837829589844,-36.42778778076172,-35.15677261352539,-41.8715705871582,-44.52479934692383,-39.92509841918945
is the bird plays ?,-26.257368087768555,-25.99234390258789,-24.12775993347168,-39.10839080810547,-35.588706970214844,-36.24151611328125,-30.506193161010742,-29.832012176513672,-25.05607032775879,-42.26005554199219,-36.686279296875,-38.49152374267578,-45.62946319580078,-38.48929214477539,-35.61100769042969,-40.65464401245117,-44.123016357421875,-41.92789840698242
