sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
tara would ascertain it to be noteworthy that kenneth didn't wash.,-174.75454711914062,-161.9698486328125,-172.03848266601562,-103.01217651367188,-104.15744018554688,-111.91111755371094,-200.1104736328125,-172.3399658203125,-190.5161895751953,-103.36787414550781,-106.22119140625,-110.84012603759766,-164.92849731445312,-168.76351928710938,-172.2308349609375,-102.20829010009766,-92.73666381835938,-95.82273864746094
tara wouldn't entice it to be noteworthy that kenneth didn't wash.,-171.67300415039062,-160.4232177734375,-173.42315673828125,-112.57838439941406,-107.79485321044922,-115.26453399658203,-190.6791229248047,-168.13076782226562,-180.52957153320312,-112.20374298095703,-106.94975280761719,-114.32319641113281,-152.2833251953125,-155.57229614257812,-162.84335327148438,-100.70909118652344,-92.11904907226562,-99.32467651367188
carla could declare it to be not so important that these doctors observe rhonda.,-152.37599182128906,-159.2901153564453,-153.0594024658203,-99.9931640625,-108.49188232421875,-97.79434204101562,-165.65853881835938,-178.14495849609375,-166.42938232421875,-101.39085388183594,-112.98603057861328,-98.53724670410156,-160.80148315429688,-159.95938110351562,-155.83387756347656,-95.62367248535156,-96.90443420410156,-98.31327819824219
carla can convince it to be not so important that these doctors observe rhonda.,-141.32687377929688,-149.37191772460938,-143.68321228027344,-101.60289764404297,-106.20130920410156,-101.58338928222656,-148.38890075683594,-157.38523864746094,-164.38291931152344,-100.60179901123047,-109.22737884521484,-104.26473999023438,-162.83323669433594,-160.0044403076172,-153.627685546875,-97.55110168457031,-101.05596923828125,-95.30059814453125
nina anticipated it to be nice that jacqueline exists.,-104.71764373779297,-95.05335235595703,-105.93187713623047,-77.47078704833984,-80.78532409667969,-85.72590637207031,-117.36827087402344,-90.4251937866211,-101.194580078125,-78.72349548339844,-82.81786346435547,-81.94131469726562,-133.42530822753906,-135.37734985351562,-137.49005126953125,-97.84356689453125,-101.53986358642578,-98.85677337646484
nina obligated it to be nice that jacqueline exists.,-87.475341796875,-90.1580810546875,-101.16200256347656,-90.31890869140625,-85.40392303466797,-92.2637939453125,-91.44477844238281,-78.58454132080078,-95.80876159667969,-89.409912109375,-88.2602767944336,-86.3587417602539,-132.55169677734375,-142.1433563232422,-139.1894073486328,-97.73396301269531,-101.7161636352539,-99.83293914794922
some granddaughter of bruce did find it to be expected that a lot of legislatures try to conceal colleen.,-196.39569091796875,-198.6922149658203,-182.18984985351562,-127.9845199584961,-124.13699340820312,-120.26112365722656,-221.7649688720703,-223.0124053955078,-210.42575073242188,-126.57282257080078,-121.85206604003906,-121.33413696289062,-207.5946502685547,-192.00848388671875,-194.75865173339844,-138.03082275390625,-136.9097900390625,-136.24427795410156
some granddaughter of bruce would force it to be expected that a lot of legislatures try to conceal colleen.,-198.0165557861328,-206.4712677001953,-192.62069702148438,-127.5562744140625,-129.61343383789062,-121.14273834228516,-229.1005859375,-223.26226806640625,-223.59596252441406,-126.34358978271484,-130.4906005859375,-124.97293853759766,-220.44369506835938,-203.63137817382812,-204.0313262939453,-139.44598388671875,-140.4134521484375,-141.46336364746094
charles's brothers hadn't considered it to be not so amusing that every man exercised.,-125.2333755493164,-131.00599670410156,-132.18356323242188,-80.14816284179688,-82.44316864013672,-81.70469665527344,-137.79493713378906,-142.78005981445312,-149.3777313232422,-76.4000244140625,-81.87088012695312,-86.01140594482422,-156.37753295898438,-144.64744567871094,-157.612548828125,-86.53167724609375,-88.04347229003906,-86.92815399169922
charles's brothers motivate it to be not so amusing that every man exercised.,-135.4181365966797,-137.5632781982422,-138.99032592773438,-78.56051635742188,-84.84790802001953,-89.56187438964844,-146.33375549316406,-156.70477294921875,-151.45486450195312,-78.7432632446289,-84.88199615478516,-91.19009399414062,-159.85919189453125,-160.93255615234375,-163.81040954589844,-95.01255798339844,-95.2635269165039,-91.70165252685547
maria discovers it to be not so good that karla couldn't need carlos to question candice.,-171.3209686279297,-162.8432159423828,-172.5343780517578,-129.006591796875,-136.6837921142578,-132.55364990234375,-182.52035522460938,-171.82296752929688,-179.5394287109375,-132.83010864257812,-139.7884979248047,-135.67926025390625,-185.52670288085938,-176.04684448242188,-166.53140258789062,-116.3275375366211,-118.12422943115234,-120.93142700195312
maria shouldn't ask it to be not so good that karla couldn't need carlos to question candice.,-166.45632934570312,-153.8500518798828,-165.86070251464844,-144.79763793945312,-147.24668884277344,-148.05197143554688,-180.95396423339844,-169.8064422607422,-172.34527587890625,-150.76251220703125,-147.38827514648438,-151.58267211914062,-164.51426696777344,-160.9135284423828,-154.6036376953125,-124.069580078125,-125.00615692138672,-130.7854766845703
walter considers it to be lucky that angela walks through many museums.,-144.5193634033203,-144.12725830078125,-140.80252075195312,-101.2317123413086,-98.11787414550781,-87.69754028320312,-154.72344970703125,-156.81829833984375,-163.3335723876953,-102.54889678955078,-102.75028991699219,-88.62745666503906,-157.2772216796875,-146.78741455078125,-154.0347442626953,-102.59794616699219,-104.74464416503906,-107.63848114013672
walter hadn't pressed it to be lucky that angela walks through many museums.,-134.36988830566406,-139.38003540039062,-136.90281677246094,-120.32565307617188,-109.41597747802734,-101.90156555175781,-146.04771423339844,-142.6992950439453,-149.685546875,-124.12094116210938,-113.29244995117188,-106.13160705566406,-149.45249938964844,-134.25579833984375,-152.15521240234375,-112.32936096191406,-110.26873779296875,-113.31529998779297
noah can't predict it to be not so funny that some pasta blackens.,-127.10404968261719,-129.32557678222656,-129.73931884765625,-123.0335693359375,-118.17672729492188,-118.35081481933594,-139.04566955566406,-135.58035278320312,-138.44044494628906,-128.7215118408203,-121.31304168701172,-122.26419067382812,-141.10044860839844,-137.64486694335938,-136.85122680664062,-115.65607452392578,-112.05583953857422,-118.74215698242188
