sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
it's himself that this cashier attacked.,-72.13729095458984,-71.89352416992188,-70.49425506591797,-68.6904296875,-77.28849792480469,-76.4502944946289,-79.7837142944336,-73.61231231689453,-74.7903060913086,-68.731201171875,-81.95295715332031,-79.14366149902344,-93.79715728759766,-82.1677017211914,-96.30935668945312,-76.2278823852539,-73.68590545654297,-76.00547790527344
it's himself that attacked this cashier.,-75.46843719482422,-82.29820251464844,-71.47003173828125,-73.74552917480469,-77.06024169921875,-76.13638305664062,-80.98532104492188,-92.9845962524414,-73.33911895751953,-78.17227935791016,-79.22357177734375,-78.20654296875,-95.23041534423828,-79.49368286132812,-93.3888931274414,-73.58390045166016,-72.95257568359375,-66.52786254882812
it's herself that andrea attacked.,-81.0770492553711,-72.6937484741211,-74.21002197265625,-71.31539916992188,-68.51705169677734,-65.58826446533203,-84.7286148071289,-75.0750732421875,-80.88443756103516,-72.76724243164062,-71.81104278564453,-68.55308532714844,-76.96516418457031,-75.36978149414062,-84.18521118164062,-68.93251037597656,-69.43927001953125,-71.81107330322266
it's herself that attacked andrea.,-74.88369750976562,-74.9914779663086,-80.37550354003906,-65.03623962402344,-63.85614776611328,-62.575923919677734,-74.09913635253906,-81.6055908203125,-84.51911163330078,-59.03994369506836,-67.11487579345703,-64.8504409790039,-78.93516540527344,-73.460693359375,-81.42967987060547,-59.3036003112793,-63.49494552612305,-63.45077133178711
it's herself that sharon talked about.,-70.02794647216797,-66.63245391845703,-64.94442749023438,-65.49993133544922,-65.00042724609375,-67.56524658203125,-78.87361145019531,-70.77989959716797,-73.13818359375,-64.772216796875,-68.50946044921875,-70.23902130126953,-63.610015869140625,-55.051422119140625,-56.12237548828125,-62.27510070800781,-56.99760437011719,-58.925907135009766
it's herself that talked about sharon.,-79.26176452636719,-74.29666137695312,-72.58965301513672,-58.62247085571289,-56.83995056152344,-59.86506652832031,-88.86740112304688,-85.59733581542969,-81.56132507324219,-58.78020477294922,-58.75490188598633,-60.558834075927734,-72.58739471435547,-63.17530822753906,-64.105224609375,-64.28324890136719,-58.31085205078125,-62.626686096191406
it's himself that todd described.,-73.55353546142578,-76.09727478027344,-70.33794403076172,-71.58934783935547,-66.39288330078125,-72.67048645019531,-80.53416442871094,-78.73130798339844,-74.61707305908203,-72.48945617675781,-69.63580322265625,-75.37382507324219,-85.02915954589844,-82.57765197753906,-86.33270263671875,-64.90367126464844,-69.35501861572266,-66.51985931396484
it's himself that described todd.,-73.50098419189453,-74.94938659667969,-73.44068145751953,-67.597412109375,-64.62666320800781,-61.01618194580078,-76.64896392822266,-80.41876983642578,-81.30945587158203,-70.91934967041016,-67.68185424804688,-65.33302307128906,-84.37422180175781,-80.85176086425781,-84.5762710571289,-57.75596618652344,-60.71721649169922,-60.32617950439453
it's themselves that some spotlights astounded.,-105.34471130371094,-103.38141632080078,-101.3994369506836,-76.11551666259766,-74.58042907714844,-85.75626373291016,-120.60000610351562,-113.22716522216797,-112.14698028564453,-76.06749725341797,-78.47913360595703,-84.36331176757812,-106.32937622070312,-99.59674835205078,-104.36940002441406,-85.55659484863281,-84.25436401367188,-84.22561645507812
it's themselves that astounded some spotlights.,-101.99507904052734,-96.998291015625,-100.80427551269531,-76.99141693115234,-78.29737854003906,-84.27498626708984,-113.98794555664062,-111.1144790649414,-102.73819732666016,-80.19769287109375,-78.44257354736328,-83.63236999511719,-99.41425323486328,-95.24452209472656,-97.72046661376953,-86.92045593261719,-84.20077514648438,-89.4950180053711
