sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
dennis has seen this tooth that kristin wasn't concealing that is astounding men.,-141.50363159179688,-145.2757568359375,-144.13824462890625,-115.24673461914062,-104.68045043945312,-109.30757141113281,-151.82861328125,-155.25714111328125,-149.77830505371094,-122.95684051513672,-111.9383773803711,-113.34530639648438,-162.01519775390625,-158.47463989257812,-165.77662658691406,-131.5866241455078,-126.86595153808594,-131.1561737060547
dennis has seen who this tooth that kristin wasn't concealing is astounding men.,-151.56735229492188,-148.12913513183594,-151.84983825683594,-127.27710723876953,-115.91700744628906,-125.07775115966797,-164.04920959472656,-160.8069610595703,-162.17047119140625,-134.41180419921875,-123.65312194824219,-128.98291015625,-174.4051055908203,-169.74923706054688,-173.39515686035156,-157.7901611328125,-147.29209899902344,-152.01553344726562
renee investigates these offspring that some drivers boast about that would heal some dog.,-157.91165161132812,-162.4613037109375,-163.23130798339844,-128.50155639648438,-133.81307983398438,-135.45533752441406,-167.53097534179688,-177.50814819335938,-174.3143768310547,-126.2930679321289,-133.49998474121094,-139.29771423339844,-184.53224182128906,-184.4738006591797,-188.54974365234375,-138.8545379638672,-138.0165557861328,-137.34457397460938
renee investigates what these offspring that some drivers boast about would heal some dog.,-166.9796905517578,-170.909423828125,-169.3058319091797,-129.63491821289062,-135.11451721191406,-142.5326690673828,-172.0105743408203,-182.30096435546875,-182.66339111328125,-130.09567260742188,-134.3554229736328,-146.45738220214844,-195.24554443359375,-199.05300903320312,-196.2008056640625,-148.22544860839844,-148.1088409423828,-146.8558349609375
the cashiers should notice a lot of cafes that roger will drop by that resemble all prints.,-148.70008850097656,-169.61463928222656,-160.16238403320312,-144.3120574951172,-143.9605712890625,-142.91961669921875,-162.35365295410156,-188.9681396484375,-186.83091735839844,-147.83262634277344,-145.23788452148438,-144.3903350830078,-145.73580932617188,-152.5919647216797,-168.26025390625,-137.2484130859375,-133.87612915039062,-135.91311645507812
the cashiers should notice what a lot of cafes that roger will drop by resemble all prints.,-157.1004180908203,-176.74557495117188,-161.62649536132812,-142.6871337890625,-143.1925811767578,-141.51220703125,-171.69619750976562,-185.209716796875,-185.32608032226562,-146.59945678710938,-144.1586456298828,-142.62557983398438,-144.71388244628906,-154.99276733398438,-170.47869873046875,-137.74107360839844,-135.83633422851562,-138.0123748779297
all pedestrians research those ellipses that ellen has appreciated that disgusted this actress.,-176.14157104492188,-175.93600463867188,-173.94644165039062,-103.89730834960938,-120.25343322753906,-108.61347961425781,-191.35206604003906,-200.4688720703125,-187.99505615234375,-98.3653564453125,-119.46366882324219,-106.2208251953125,-199.2044219970703,-200.0541534423828,-209.326171875,-148.14903259277344,-155.80111694335938,-147.61181640625
all pedestrians research who those ellipses that ellen has appreciated disgusted this actress.,-180.8075408935547,-181.98031616210938,-179.45675659179688,-116.1085433959961,-132.48220825195312,-116.03775024414062,-200.19163513183594,-207.29534912109375,-195.8407440185547,-113.90573120117188,-135.42015075683594,-115.08128356933594,-204.391357421875,-201.02684020996094,-213.98577880859375,-162.2491455078125,-170.1966552734375,-159.63861083984375
heidi shouldn't think about many pedestrians that every movie could disagree with that messed up this rug.,-174.83758544921875,-179.47979736328125,-179.6852264404297,-143.90431213378906,-148.56692504882812,-147.54827880859375,-187.1593475341797,-196.60072326660156,-204.6078643798828,-142.83013916015625,-145.95388793945312,-150.29730224609375,-182.97259521484375,-178.45590209960938,-175.0733184814453,-153.95504760742188,-152.58096313476562,-151.1028289794922
heidi shouldn't think about what many pedestrians that every movie could disagree with messed up this rug.,-179.40582275390625,-181.9336700439453,-182.82203674316406,-146.0760955810547,-150.15121459960938,-148.09068298339844,-188.34933471679688,-194.73944091796875,-207.28433227539062,-148.01065063476562,-148.98196411132812,-149.55641174316406,-188.21795654296875,-179.4178009033203,-172.948486328125,-154.4504852294922,-150.8493194580078,-154.82545471191406
