sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
amanda was respected by some waitresses.,-63.6131706237793,-72.10200500488281,-75.18353271484375,-48.776451110839844,-49.59034729003906,-49.43510437011719,-71.44013214111328,-84.32291412353516,-84.51688385009766,-46.97356033325195,-48.00350570678711,-49.887603759765625,-82.32073211669922,-86.45757293701172,-78.3243179321289,-66.31092071533203,-67.57361602783203,-72.40975952148438
amanda was respected by some picture.,-57.161659240722656,-67.33782958984375,-62.272926330566406,-53.510311126708984,-56.74526596069336,-55.68323516845703,-57.7281379699707,-78.43209838867188,-70.3987808227539,-53.75910186767578,-55.298072814941406,-56.42470932006836,-74.01443481445312,-75.23001861572266,-72.06291198730469,-58.343482971191406,-59.281917572021484,-62.00276184082031
some lake was passed by some cashiers.,-65.98565673828125,-80.85686492919922,-72.18785858154297,-72.94259643554688,-78.63607025146484,-72.75834655761719,-67.25212097167969,-83.41698455810547,-79.04337310791016,-76.66810607910156,-77.24485778808594,-73.53079223632812,-79.3792724609375,-72.29680633544922,-80.00875091552734,-76.95478057861328,-75.5259780883789,-79.16145324707031
some lake was passed by some phenomena.,-83.57280731201172,-85.64278411865234,-84.74295806884766,-62.486236572265625,-63.38740539550781,-61.3469352722168,-87.75443267822266,-89.06666564941406,-94.68663024902344,-65.371826171875,-63.52942657470703,-60.534427642822266,-95.53437042236328,-96.35166931152344,-95.22682189941406,-65.05927276611328,-68.27130889892578,-68.94012451171875
lisa was kissed by the boys.,-43.2874755859375,-52.45233154296875,-47.38459014892578,-58.44194412231445,-44.15298843383789,-55.43439483642578,-50.15415573120117,-59.30680465698242,-51.99278259277344,-59.522117614746094,-48.92198181152344,-55.95969772338867,-51.41191482543945,-51.52949142456055,-50.17403793334961,-59.76503372192383,-54.811744689941406,-56.657161712646484
lisa was kissed by the blouses.,-47.74041748046875,-54.800758361816406,-48.33633041381836,-56.78569412231445,-46.98162078857422,-57.532718658447266,-50.15966033935547,-58.22258377075195,-56.66990661621094,-54.842079162597656,-46.68632888793945,-60.62464141845703,-57.271400451660156,-56.96088790893555,-58.05329132080078,-72.47403717041016,-62.994911193847656,-64.5521469116211
amanda isn't respected by the children.,-58.27056121826172,-56.51648712158203,-62.13511657714844,-65.09645080566406,-60.924171447753906,-58.2687873840332,-65.50454711914062,-66.99565124511719,-71.86285400390625,-63.361846923828125,-61.2569694519043,-57.41901779174805,-63.92510986328125,-60.5402717590332,-64.46410369873047,-53.05155563354492,-55.763797760009766,-54.22100830078125
amanda isn't respected by the cups.,-62.856727600097656,-62.22148895263672,-62.956729888916016,-70.3232421875,-66.9220199584961,-63.45498275756836,-73.20557403564453,-70.15040588378906,-73.31800842285156,-68.85231018066406,-69.4753189086914,-63.07835388183594,-67.69922637939453,-61.6645622253418,-67.56275177001953,-55.64472961425781,-54.34416580200195,-56.30564880371094
the glove was noticed by some woman.,-70.81890869140625,-76.26990509033203,-81.40933227539062,-63.678611755371094,-63.46284484863281,-66.23568725585938,-79.51611328125,-88.87337493896484,-94.2134017944336,-62.63127136230469,-68.42813110351562,-68.1113510131836,-71.74226379394531,-72.38164520263672,-75.32733917236328,-49.26726150512695,-55.193138122558594,-55.59306335449219
the glove was noticed by some mouse.,-74.12950134277344,-81.77657318115234,-78.39472198486328,-56.897377014160156,-58.92539596557617,-59.36231994628906,-84.37849426269531,-95.27213287353516,-93.57572174072266,-57.283023834228516,-61.27541732788086,-61.02690887451172,-78.40032196044922,-74.36396789550781,-76.67347717285156,-49.68844223022461,-52.22678756713867,-55.40167236328125
