sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the teenager does tour at most nine restaurants.,-96.17235565185547,-90.5467300415039,-90.3056869506836,-55.42683792114258,-52.2734489440918,-53.7387580871582,-102.4357681274414,-98.97654724121094,-93.24056243896484,-55.17240905761719,-49.031707763671875,-53.23780059814453,-114.6771240234375,-99.89449310302734,-110.49520874023438,-78.11529541015625,-75.1423110961914,-80.17247009277344
no teenager does tour at most nine restaurants.,-101.54647827148438,-95.1498794555664,-97.6546401977539,-52.48536682128906,-54.90039825439453,-54.91510772705078,-105.60443115234375,-101.24253845214844,-100.97608184814453,-55.75553894042969,-53.58317565917969,-55.05557632446289,-122.01931762695312,-102.00713348388672,-115.93904876708984,-85.3315658569336,-79.69348907470703,-85.84361267089844
that car looks like at least seven prints.,-63.29850387573242,-65.07707214355469,-63.5814208984375,-56.59832763671875,-54.6538200378418,-55.23796844482422,-69.4903335571289,-77.74353790283203,-71.38887023925781,-57.27973556518555,-54.702877044677734,-56.23517608642578,-60.206947326660156,-57.1619873046875,-53.2928466796875,-66.47915649414062,-61.940101623535156,-60.958839416503906
no car looks like at least seven prints.,-68.61921691894531,-75.45365142822266,-71.84339904785156,-56.380001068115234,-58.43988800048828,-59.25980758666992,-74.71296691894531,-88.0621566772461,-79.32843780517578,-57.61476516723633,-60.79384231567383,-58.365753173828125,-68.35611724853516,-67.74515533447266,-62.2680778503418,-65.18712615966797,-60.234825134277344,-62.12038803100586
the doctor brought at most eight gates.,-77.31480407714844,-80.22953033447266,-74.06330108642578,-65.53726959228516,-60.37226486206055,-62.15436553955078,-88.77095031738281,-91.72447204589844,-75.87915802001953,-66.79214477539062,-60.53326416015625,-62.52004623413086,-68.42851257324219,-67.0250244140625,-70.18453979492188,-63.26559066772461,-60.84200668334961,-63.83399963378906
no doctor brought at most eight gates.,-85.97285461425781,-87.1575698852539,-80.87098693847656,-66.12151336669922,-63.05731964111328,-64.17948913574219,-94.52195739746094,-100.88984680175781,-86.76044464111328,-67.71891784667969,-62.87055206298828,-63.236961364746094,-77.4245834350586,-76.22709655761719,-81.94522857666016,-73.4583969116211,-69.59038543701172,-70.8553237915039
an actor arrived at at most six lakes.,-88.35336303710938,-88.21375274658203,-81.24537658691406,-68.87154388427734,-77.4476089477539,-70.17436981201172,-100.40270233154297,-105.19296264648438,-99.79802703857422,-69.01287841796875,-78.52520751953125,-69.3187255859375,-93.27855682373047,-92.87861633300781,-87.79685974121094,-75.91776275634766,-77.93233489990234,-74.07866668701172
no actor arrived at at most six lakes.,-92.998291015625,-95.1844482421875,-87.71607971191406,-69.4479751586914,-75.87893676757812,-70.74017333984375,-99.13374328613281,-107.86285400390625,-107.67713928222656,-69.10511016845703,-77.32203674316406,-68.93498229980469,-90.78524017333984,-94.78170776367188,-92.48326110839844,-81.72454071044922,-81.97411346435547,-78.35823059082031
every senator notices at most four windows.,-97.49065399169922,-105.14466857910156,-91.08475494384766,-59.70342254638672,-62.6055908203125,-64.6582260131836,-100.12126922607422,-110.70600128173828,-100.35696411132812,-60.01118850708008,-63.3800048828125,-62.75518035888672,-99.48884582519531,-107.8239974975586,-91.88954162597656,-76.33696746826172,-73.62374877929688,-73.56047821044922
no senator notices at most four windows.,-106.87222290039062,-110.53528594970703,-99.40478515625,-64.39002990722656,-65.44275665283203,-65.94938659667969,-109.85106658935547,-110.58377075195312,-108.37611389160156,-65.57647705078125,-67.49363708496094,-66.2298583984375,-98.22312927246094,-108.58892822265625,-94.5135269165039,-76.61483001708984,-71.99040222167969,-71.2754898071289
the hospital had fired at most four people.,-86.6488265991211,-78.73004150390625,-82.1440658569336,-64.02518463134766,-65.66751098632812,-64.2011947631836,-94.28338623046875,-86.48702239990234,-91.65866088867188,-67.41490936279297,-66.15602111816406,-65.60153198242188,-75.56999206542969,-75.90754699707031,-78.19207000732422,-59.1989631652832,-63.45954895019531,-61.79142379760742
no hospital had fired at most four people.,-92.78917694091797,-86.62528991699219,-89.68257141113281,-62.57978820800781,-65.57312774658203,-65.54175567626953,-100.2945556640625,-93.7370834350586,-102.05547332763672,-65.96900177001953,-65.71731567382812,-65.96224212646484,-84.10247802734375,-85.37481689453125,-90.68406677246094,-68.8027572631836,-72.70413970947266,-68.54238891601562
each customer has watched at least six teenagers.,-84.61917114257812,-76.76918029785156,-75.90750885009766,-42.31806945800781,-48.597381591796875,-39.472408294677734,-97.64443969726562,-87.48680877685547,-79.3228759765625,-43.22245407104492,-46.594459533691406,-39.253204345703125,-92.94558715820312,-92.28468322753906,-84.82566833496094,-68.72830200195312,-62.957786560058594,-63.69349670410156
no customer has watched at least six teenagers.,-91.66529846191406,-86.78954315185547,-80.41507720947266,-47.24696731567383,-50.08272171020508,-42.27416229248047,-101.17144012451172,-99.44291687011719,-87.22726440429688,-47.145103454589844,-46.91614532470703,-42.670166015625,-93.20916748046875,-91.93578338623047,-91.39573669433594,-71.95510864257812,-66.01353454589844,-65.89643859863281
