sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
some dog stunned this committee.,-65.43194580078125,-76.63619232177734,-64.42951965332031,-54.323604583740234,-53.67963790893555,-54.80463790893555,-70.56655883789062,-88.70314025878906,-74.82185363769531,-52.78404235839844,-51.21329116821289,-55.34988021850586,-100.05499267578125,-102.24053192138672,-97.6058349609375,-72.50735473632812,-70.53852081298828,-69.89775085449219
some dog stunned these committee.,-66.52082824707031,-72.86592864990234,-66.45523834228516,-59.28881072998047,-57.349449157714844,-54.76278305053711,-73.2125473022461,-84.71137237548828,-79.54381561279297,-57.09380340576172,-57.41684341430664,-54.46620178222656,-102.2353744506836,-102.17971801757812,-98.60659790039062,-74.39807891845703,-72.19104766845703,-72.53084564208984
tracy passed these art galleries.,-80.00455474853516,-88.31966400146484,-80.1228256225586,-44.68111038208008,-50.413238525390625,-46.25438690185547,-93.86599731445312,-91.7344970703125,-88.49137878417969,-43.61235809326172,-51.58517837524414,-40.01974105834961,-88.23841094970703,-85.91018676757812,-85.1641616821289,-82.31074523925781,-74.10377502441406,-78.89755249023438
tracy passed this art galleries.,-79.52798461914062,-87.64632415771484,-79.5752182006836,-46.52799987792969,-57.052085876464844,-54.63716506958008,-92.27938079833984,-93.0154037475586,-86.36489868164062,-45.902008056640625,-58.28885269165039,-50.03876495361328,-89.2567138671875,-84.15763092041016,-83.10861206054688,-87.6810073852539,-78.74681854248047,-84.05056762695312
sarah has sounded like these children.,-60.02348709106445,-59.065330505371094,-61.73104476928711,-60.47248840332031,-59.776527404785156,-57.04249572753906,-67.78840637207031,-65.57666778564453,-66.73155975341797,-62.75022888183594,-57.330162048339844,-56.39275360107422,-63.9971923828125,-55.808990478515625,-64.99083709716797,-68.32198333740234,-63.7265625,-67.9095230102539
sarah has sounded like this children.,-57.08975601196289,-61.796573638916016,-63.81700134277344,-60.516822814941406,-59.78635025024414,-59.36436462402344,-64.52803039550781,-70.21209716796875,-67.96566009521484,-64.4390640258789,-59.26283645629883,-59.760902404785156,-63.422725677490234,-63.20011520385742,-68.4765853881836,-68.49984741210938,-63.49726104736328,-69.50074768066406
craig had cared for that dancer.,-72.15080261230469,-78.3313217163086,-78.2797622680664,-55.10507583618164,-51.865055084228516,-53.80174255371094,-87.25997924804688,-82.46402740478516,-90.8108139038086,-56.16670227050781,-49.14647674560547,-54.92820739746094,-83.72887420654297,-82.07293701171875,-89.59934997558594,-78.44862365722656,-74.2430419921875,-77.9747085571289
craig had cared for those dancer.,-75.3289794921875,-83.17052459716797,-78.67963409423828,-56.02372741699219,-55.44635009765625,-53.11820602416992,-86.66776275634766,-87.74234008789062,-88.6734619140625,-57.33130645751953,-55.00044631958008,-56.20411682128906,-85.1183853149414,-84.8241195678711,-93.96601104736328,-76.19442749023438,-74.28536987304688,-82.82837677001953
most children return to those senators.,-65.37967681884766,-67.26496887207031,-77.22628021240234,-51.515525817871094,-51.63160705566406,-46.818939208984375,-75.9347915649414,-73.45763397216797,-84.65818786621094,-53.17552185058594,-50.30947494506836,-48.560691833496094,-75.56495666503906,-73.06622314453125,-74.90541076660156,-49.55036926269531,-49.999637603759766,-44.012901306152344
most children return to that senators.,-61.822383880615234,-63.685523986816406,-74.11921691894531,-51.13352584838867,-50.54502868652344,-50.16285705566406,-74.07990264892578,-71.13919067382812,-80.71315002441406,-52.48426818847656,-51.8462028503418,-53.399681091308594,-74.98717498779297,-76.45295715332031,-73.83797454833984,-49.16987991333008,-49.311676025390625,-47.955474853515625
the impressionists impress those hospitals.,-86.0749282836914,-85.23968505859375,-87.43305969238281,-36.79780960083008,-31.609500885009766,-34.508968353271484,-92.697509765625,-87.48690032958984,-98.63936614990234,-33.51726150512695,-27.99964141845703,-33.06901550292969,-86.080810546875,-88.94023132324219,-79.09537506103516,-62.25177001953125,-57.37377166748047,-59.27878189086914
the impressionists impress that hospitals.,-85.73529815673828,-82.35298919677734,-87.30883026123047,-34.62351989746094,-28.90096664428711,-28.99445915222168,-88.98162078857422,-82.56440734863281,-98.1297378540039,-34.3309211730957,-26.31584358215332,-27.505605697631836,-80.22921752929688,-86.23042297363281,-77.76612854003906,-60.6766471862793,-56.6592903137207,-57.300994873046875
carl cures those horses.,-65.3936538696289,-64.40059661865234,-67.78800201416016,-58.89897918701172,-52.874393463134766,-58.95658874511719,-70.79776763916016,-66.1402359008789,-74.26808166503906,-59.564720153808594,-58.29286193847656,-61.557029724121094,-72.2394790649414,-72.0690689086914,-71.8377685546875,-70.14349365234375,-58.63762283325195,-65.91656494140625
carl cures that horses.,-63.9112434387207,-66.26832580566406,-66.6332015991211,-52.60068893432617,-45.784645080566406,-52.1729850769043,-70.30674743652344,-64.83234405517578,-70.27235412597656,-55.880470275878906,-47.9226188659668,-54.324851989746094,-74.42501831054688,-76.56549835205078,-73.82054138183594,-65.82451629638672,-55.66959762573242,-66.12109375
the borgias should pass these college campuses.,-110.3838119506836,-112.77574157714844,-106.29164123535156,-72.34503936767578,-65.02198791503906,-72.24324035644531,-123.62513732910156,-121.75460052490234,-125.77237701416016,-73.41423797607422,-66.56207275390625,-69.5289077758789,-106.54226684570312,-107.6807632446289,-109.7055435180664,-90.8468017578125,-82.33583068847656,-84.036376953125
