sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
dawn's ex-husband wasn't going to one rough grocery store and becca wasn't going to many.,-157.5003662109375,-149.05221557617188,-158.94480895996094,-173.67849731445312,-178.1748046875,-164.15573120117188,-171.37843322753906,-162.16661071777344,-186.35377502441406,-172.18438720703125,-170.2159881591797,-166.55491638183594,-136.6595458984375,-134.64503479003906,-142.3128662109375,-174.9864501953125,-163.10400390625,-178.1418914794922
dawn's ex-husband wasn't going to one grocery store and becca wasn't going to many rough.,-155.06861877441406,-155.0390625,-162.57601928710938,-174.2293243408203,-181.5716552734375,-167.57431030273438,-171.55792236328125,-167.10255432128906,-190.44024658203125,-171.94224548339844,-171.8275909423828,-174.16603088378906,-139.59121704101562,-145.57350158691406,-147.87022399902344,-177.68557739257812,-168.55569458007812,-181.21226501464844
most men irritates two happy students and a snake irritates three.,-100.46317291259766,-101.65008544921875,-100.70075225830078,-108.31849670410156,-112.031494140625,-107.83497619628906,-114.79463958740234,-112.69945526123047,-102.86009979248047,-103.9683837890625,-109.01335144042969,-107.78398132324219,-107.54486083984375,-94.57083129882812,-101.1512222290039,-124.20016479492188,-108.2047119140625,-110.30785369873047
most men irritates two students and a snake irritates three happy.,-97.50642395019531,-102.0653076171875,-103.3227310180664,-100.10350036621094,-105.39936065673828,-106.71633911132812,-110.28350067138672,-107.04914093017578,-106.17933654785156,-91.74490356445312,-100.20752716064453,-106.7186050415039,-103.51368713378906,-95.54472351074219,-95.03479766845703,-124.7442398071289,-114.35944366455078,-114.26455688476562
a pedestrian's brothers had loved one smart dancer and phillip's mother had loved few.,-161.3434600830078,-147.4031982421875,-149.34832763671875,-104.06690216064453,-100.78462982177734,-100.40898132324219,-184.69564819335938,-155.51637268066406,-154.31983947753906,-105.75662994384766,-94.74649047851562,-102.54033660888672,-164.1371307373047,-164.79208374023438,-167.12008666992188,-129.74684143066406,-132.31689453125,-136.96340942382812
a pedestrian's brothers had loved one dancer and phillip's mother had loved few smart.,-159.91213989257812,-144.1548614501953,-150.2533721923828,-99.69183349609375,-96.19065856933594,-89.55684661865234,-175.69573974609375,-149.2176971435547,-159.47198486328125,-101.0432357788086,-91.59172058105469,-90.89694213867188,-160.25669860839844,-159.61375427246094,-164.87742614746094,-130.07415771484375,-134.10691833496094,-137.62295532226562
brad passed one big museum and eva passed several.,-91.22772216796875,-96.75495910644531,-92.30243682861328,-98.06893157958984,-100.19268035888672,-95.97187805175781,-103.37136840820312,-95.10971069335938,-108.44783020019531,-102.5494155883789,-103.36378479003906,-99.60433959960938,-95.0781021118164,-92.95629119873047,-96.37882995605469,-102.31582641601562,-96.06898498535156,-104.82667541503906
brad passed one museum and eva passed several big.,-90.58429718017578,-94.34827423095703,-90.36546325683594,-96.07416534423828,-96.59647369384766,-91.15754699707031,-99.5520248413086,-96.01660919189453,-106.19208526611328,-98.26750946044922,-99.9340591430664,-94.48931884765625,-96.27396392822266,-95.75566864013672,-99.83000183105469,-98.99403381347656,-95.17840576171875,-104.19174194335938
the daughters of michelle weren't hurting one displeased ex-wife and stephanie's classmates weren't hurting three.,-186.40599060058594,-190.36453247070312,-181.2822265625,-167.56236267089844,-150.75181579589844,-161.50088500976562,-208.0157928466797,-224.068115234375,-207.7210693359375,-183.00384521484375,-149.64414978027344,-154.97299194335938,-169.21426391601562,-176.36146545410156,-186.61776733398438,-238.54470825195312,-231.20115661621094,-242.11509704589844
the daughters of michelle weren't hurting one ex-wife and stephanie's classmates weren't hurting three displeased.,-180.0081329345703,-180.1538848876953,-178.94973754882812,-169.12396240234375,-145.13461303710938,-165.27316284179688,-199.58160400390625,-221.3438720703125,-201.6350555419922,-175.30368041992188,-144.02435302734375,-162.2660369873047,-170.29354858398438,-178.9174346923828,-182.60098266601562,-246.06687927246094,-243.6236572265625,-249.740966796875
most ladies can appreciate one good essay and matt's dermatologist can appreciate two.,-152.88153076171875,-144.01683044433594,-144.1066131591797,-121.92537689208984,-112.30947875976562,-108.40292358398438,-165.06373596191406,-174.0258026123047,-157.62501525878906,-125.02838134765625,-112.86280059814453,-108.0908203125,-152.20620727539062,-164.68157958984375,-168.44271850585938,-132.217041015625,-135.531982421875,-138.63681030273438
most ladies can appreciate one essay and matt's dermatologist can appreciate two good.,-153.28213500976562,-145.60069274902344,-144.1666259765625,-129.15823364257812,-115.39994812011719,-108.16126251220703,-163.9839324951172,-167.3948211669922,-160.40602111816406,-130.2764892578125,-113.47413635253906,-107.2468032836914,-147.33642578125,-163.89578247070312,-160.41282653808594,-130.97378540039062,-139.69268798828125,-146.91390991210938
those actresses' guests discovered three hard socks and jason's ex-boyfriends discovered more.,-169.45562744140625,-163.450927734375,-180.54251098632812,-175.8802490234375,-184.63034057617188,-169.47991943359375,-206.08900451660156,-187.8677215576172,-199.4160919189453,-184.2264862060547,-200.63995361328125,-175.522705078125,-182.8701934814453,-181.10678100585938,-171.45716857910156,-203.45101928710938,-203.6575469970703,-195.0362548828125
those actresses' guests discovered three socks and jason's ex-boyfriends discovered more hard.,-173.0320281982422,-170.7642364501953,-178.19155883789062,-174.69635009765625,-184.77288818359375,-170.25747680664062,-201.8883056640625,-194.53956604003906,-196.7769317626953,-184.05926513671875,-200.2589111328125,-174.712646484375,-187.55979919433594,-182.55126953125,-174.67691040039062,-201.6934051513672,-203.51454162597656,-192.08749389648438
that lady has resembled one hidden print and guy's colleague has resembled four.,-155.1522216796875,-155.98110961914062,-146.78871154785156,-123.77870178222656,-125.99172973632812,-114.68962860107422,-168.0821075439453,-188.4378204345703,-163.28457641601562,-130.50643920898438,-134.42233276367188,-120.63255310058594,-153.0194549560547,-143.23741149902344,-160.6427764892578,-125.5623779296875,-116.86168670654297,-122.6731948852539
that lady has resembled one print and guy's colleague has resembled four hidden.,-157.67404174804688,-155.12948608398438,-143.51438903808594,-122.6535415649414,-128.76455688476562,-112.72991180419922,-166.16571044921875,-189.70802307128906,-156.10865783691406,-128.1261444091797,-138.9275665283203,-117.62748718261719,-160.36083984375,-144.0045166015625,-161.320556640625,-128.65414428710938,-122.1828384399414,-125.90290069580078
every actress's piano teachers skate around five messy college campuses and carolyn's dentists skate around four.,-204.37733459472656,-212.5859375,-216.7347869873047,-165.14251708984375,-157.9899444580078,-139.78402709960938,-238.32546997070312,-224.61312866210938,-254.87417602539062,-177.20277404785156,-163.2357940673828,-144.278076171875,-207.30165100097656,-196.5973663330078,-191.4113006591797,-164.9196014404297,-178.47935485839844,-186.3255615234375
every actress's piano teachers skate around five college campuses and carolyn's dentists skate around four messy.,-203.81842041015625,-207.99688720703125,-215.99148559570312,-159.95420837402344,-153.99447631835938,-138.33128356933594,-230.59144592285156,-216.91531372070312,-259.4526062011719,-169.9838104248047,-162.35235595703125,-140.02377319335938,-211.4374542236328,-206.8890838623047,-191.37005615234375,-163.55670166015625,-182.12481689453125,-180.5299072265625
this print scares a lot of busy senators and benjamin scares a few.,-133.1915283203125,-133.1026611328125,-132.05331420898438,-118.30117797851562,-113.73005676269531,-117.96660614013672,-147.27108764648438,-139.1918182373047,-146.70509338378906,-123.94715118408203,-118.37522888183594,-118.60133361816406,-128.8861541748047,-117.89026641845703,-126.91175842285156,-104.51116943359375,-104.11797332763672,-104.26658630371094
this print scares a lot of senators and benjamin scares a few busy.,-134.3875274658203,-133.0854949951172,-132.2942657470703,-112.02326202392578,-113.90794372558594,-110.6064224243164,-150.764404296875,-140.4649200439453,-147.98501586914062,-117.51844024658203,-118.01679229736328,-111.0964584350586,-133.98695373535156,-122.67935943603516,-128.0982666015625,-106.85187530517578,-106.82133483886719,-104.10281372070312
florence's handymen think about no happy best friends and ellen's best friends think about some.,-150.0040740966797,-150.6844482421875,-147.369140625,-143.51309204101562,-146.58529663085938,-148.11083984375,-177.17788696289062,-161.89878845214844,-162.10870361328125,-137.9622039794922,-151.1695098876953,-147.60952758789062,-131.13632202148438,-128.0359649658203,-116.35391235351562,-130.58279418945312,-148.0556182861328,-138.56903076171875
florence's handymen think about no best friends and ellen's best friends think about some happy.,-147.96202087402344,-152.3625946044922,-151.8903350830078,-136.17242431640625,-150.06832885742188,-141.3178253173828,-173.6007843017578,-165.96075439453125,-167.98631286621094,-130.03421020507812,-151.52206420898438,-139.07357788085938,-133.07411193847656,-128.37306213378906,-118.31280517578125,-128.18313598632812,-143.98008728027344,-137.00021362304688
the customers don't walk through one orange public park and ellen might walk through few.,-121.28190612792969,-126.41160583496094,-122.20977783203125,-127.05509948730469,-122.6797103881836,-122.59117126464844,-137.57801818847656,-135.69244384765625,-132.01234436035156,-128.0288848876953,-123.87737274169922,-125.16639709472656,-116.60459899902344,-117.84451293945312,-119.314208984375,-109.46389770507812,-109.69478607177734,-113.81602478027344
the customers don't walk through one public park and ellen might walk through few orange.,-117.29611206054688,-126.13255310058594,-125.31834411621094,-126.7724380493164,-123.51736450195312,-124.3294448852539,-132.81246948242188,-136.83853149414062,-131.20046997070312,-127.13919067382812,-123.92591857910156,-127.0537109375,-116.47145080566406,-116.88721466064453,-120.94139862060547,-101.83258819580078,-104.09209442138672,-107.40447998046875
amy's lawyers examine one upset grandson and a lot of cashiers examine few.,-157.9453125,-149.05747985839844,-150.54705810546875,-138.23941040039062,-133.74127197265625,-137.55767822265625,-180.13800048828125,-172.77963256835938,-174.33885192871094,-139.69056701660156,-146.64613342285156,-141.2293701171875,-162.82154846191406,-163.63644409179688,-165.84901428222656,-149.43638610839844,-141.28399658203125,-147.11627197265625
amy's lawyers examine one grandson and a lot of cashiers examine few upset.,-159.516845703125,-153.0775146484375,-157.49420166015625,-140.4808349609375,-138.61239624023438,-133.6267852783203,-187.18093872070312,-177.4896697998047,-179.290771484375,-138.14886474609375,-151.2632293701172,-138.47047424316406,-161.37257385253906,-160.64968872070312,-163.33740234375,-144.77432250976562,-139.09799194335938,-146.3585205078125
jerry was cleaning few gray public parks and some grandson of ann was cleaning many.,-139.64703369140625,-140.91714477539062,-146.21742248535156,-137.3500213623047,-138.12464904785156,-137.77566528320312,-155.81983947753906,-153.72398376464844,-161.0904083251953,-143.12059020996094,-143.85885620117188,-139.5236358642578,-148.9772186279297,-155.5853271484375,-147.039794921875,-143.94813537597656,-146.9666290283203,-151.46241760253906
jerry was cleaning few public parks and some grandson of ann was cleaning many gray.,-135.9347381591797,-139.37677001953125,-144.42442321777344,-128.00494384765625,-127.50711059570312,-125.86260223388672,-152.4498291015625,-143.42398071289062,-153.44419860839844,-134.38449096679688,-132.3624725341797,-127.6838150024414,-147.5799560546875,-156.3074951171875,-149.06674194335938,-135.19886779785156,-144.48284912109375,-152.38717651367188
jerry fired a few hopeful employees and daniel's sons fired several.,-175.9561309814453,-174.94137573242188,-174.87783813476562,-97.85479736328125,-98.12716674804688,-102.64241027832031,-196.80523681640625,-186.70301818847656,-187.20208740234375,-102.47576141357422,-96.68624877929688,-103.80457305908203,-184.61810302734375,-166.5711669921875,-172.68264770507812,-92.91163635253906,-97.89093780517578,-96.26676940917969
jerry fired a few employees and daniel's sons fired several hopeful.,-175.33059692382812,-169.13134765625,-168.09368896484375,-98.77934265136719,-95.83723449707031,-102.77880859375,-187.01324462890625,-185.56723022460938,-184.0378875732422,-103.0775146484375,-94.64784240722656,-104.68830871582031,-176.31674194335938,-161.5354766845703,-165.26768493652344,-98.14726257324219,-103.13766479492188,-99.7957763671875
a slope isn't shocking few lost colleagues and horses aren't shocking many.,-138.033447265625,-143.72398376464844,-142.1272430419922,-143.42774963378906,-125.61961364746094,-144.57711791992188,-156.83316040039062,-163.708740234375,-166.28526306152344,-149.4566650390625,-128.11058044433594,-146.37142944335938,-146.46343994140625,-131.33761596679688,-146.06480407714844,-116.89939880371094,-114.7765121459961,-113.13093566894531
a slope isn't shocking few colleagues and horses aren't shocking many lost.,-130.002685546875,-138.60012817382812,-134.4979248046875,-141.6409454345703,-135.0133514404297,-140.72503662109375,-150.3620147705078,-158.2626953125,-155.10362243652344,-143.80181884765625,-137.73948669433594,-140.7855987548828,-144.0056610107422,-128.25799560546875,-144.7765350341797,-114.54611206054688,-116.76748657226562,-116.07723999023438
claire could sound like one good college campus and daniel could sound like some.,-117.82530212402344,-120.22213745117188,-111.18116760253906,-110.2884521484375,-111.9067611694336,-115.29173278808594,-137.7521514892578,-127.50658416748047,-129.0565185546875,-110.75553894042969,-112.91831970214844,-116.47439575195312,-115.47013854980469,-107.0655288696289,-111.46575927734375,-109.5875015258789,-119.63864135742188,-118.84815979003906
