sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
a lot of patients who can sell some couch didn't investigate themselves.,-104.69043731689453,-107.444580078125,-107.05775451660156,-100.40692138671875,-103.48518371582031,-103.61624908447266,-116.12673950195312,-106.97798156738281,-113.67827606201172,-101.26902770996094,-106.04989624023438,-111.23680114746094,-104.4036865234375,-106.56868743896484,-110.32249450683594,-78.73782348632812,-74.9572525024414,-78.47010803222656
a lot of patients who can sell some couch didn't investigate itself.,-106.7254638671875,-109.3133544921875,-107.14046478271484,-104.06088256835938,-109.56951141357422,-109.80564880371094,-112.6863021850586,-110.13864135742188,-110.95828247070312,-105.58132934570312,-112.53987121582031,-118.26806640625,-108.23825073242188,-110.14192962646484,-110.348876953125,-76.63423156738281,-77.10981750488281,-79.79217529296875
a lot of actresses that thought about alice healed themselves.,-97.75050354003906,-110.49952697753906,-101.34794616699219,-88.23005676269531,-93.68851470947266,-84.28990936279297,-107.36026763916016,-131.37686157226562,-123.49395751953125,-87.61393737792969,-94.67191314697266,-85.90884399414062,-100.60232543945312,-98.34912109375,-104.42891693115234,-82.81884765625,-79.83114624023438,-80.59481811523438
a lot of actresses that thought about alice healed herself.,-99.39691162109375,-103.87464141845703,-98.45122528076172,-85.31661987304688,-90.79197692871094,-83.48820495605469,-107.40111541748047,-124.55944061279297,-119.39485168457031,-84.64995574951172,-92.43729400634766,-85.3174057006836,-100.59283447265625,-99.3479995727539,-101.98707580566406,-77.79300689697266,-79.95602416992188,-78.81104278564453
a guy that has seen the wheelbarrow notices himself.,-90.33190155029297,-99.55361938476562,-92.74134063720703,-88.64442443847656,-93.65068054199219,-91.1286392211914,-95.89093017578125,-112.89823913574219,-98.74822235107422,-91.27355194091797,-90.87068176269531,-90.82805633544922,-94.64651489257812,-91.82423400878906,-92.48934173583984,-86.75758361816406,-82.63223266601562,-85.58157348632812
a guy that has seen the wheelbarrow notices itself.,-92.43651580810547,-99.48832702636719,-96.35371398925781,-92.85697174072266,-89.29358673095703,-88.39501190185547,-102.00289916992188,-105.76252746582031,-103.57881927490234,-94.97473907470703,-87.98602294921875,-87.79804992675781,-93.530517578125,-88.63229370117188,-93.1928482055664,-86.8240966796875,-81.25223541259766,-85.69566345214844
the children that were complaining about gregory hated themselves.,-83.70101928710938,-99.79753875732422,-88.56593322753906,-78.00425720214844,-78.5817642211914,-75.16849517822266,-90.30349731445312,-104.14999389648438,-97.61243438720703,-78.05094909667969,-76.31002044677734,-78.87979888916016,-92.89344024658203,-90.21265411376953,-92.91770935058594,-80.27379608154297,-74.49942016601562,-78.64791870117188
the children that were complaining about gregory hated himself.,-82.99192810058594,-98.82933044433594,-86.10150146484375,-75.83209228515625,-78.83223724365234,-74.96710968017578,-91.93912506103516,-101.0243911743164,-95.6299057006836,-76.06443786621094,-77.1515884399414,-78.99573516845703,-90.9968490600586,-91.76322174072266,-94.11571502685547,-75.77947235107422,-72.52852630615234,-74.50516510009766
every boy that isn't selling the grocery stores isn't healing himself.,-101.028564453125,-99.2497787475586,-104.24394989013672,-104.80782318115234,-103.22296905517578,-111.55229187011719,-113.7552490234375,-108.39134979248047,-112.86778259277344,-100.67735290527344,-101.26118469238281,-113.5594711303711,-90.92728424072266,-92.66927337646484,-88.46434020996094,-94.24637603759766,-96.13928985595703,-102.48556518554688
every boy that isn't selling the grocery stores isn't healing themselves.,-100.5702133178711,-97.9399642944336,-102.6726303100586,-106.14131927490234,-105.85392761230469,-111.68360900878906,-113.70622253417969,-105.62203216552734,-115.48698425292969,-101.32747650146484,-102.53399658203125,-113.69782257080078,-89.35338592529297,-90.4316635131836,-88.23361206054688,-98.15880584716797,-96.6419677734375,-105.30240631103516
the hospitals that talk to ann talked to themselves.,-85.4134292602539,-95.31863403320312,-93.3385238647461,-73.37642669677734,-82.09550476074219,-71.65692138671875,-89.92530059814453,-104.48258209228516,-101.25179290771484,-75.34571075439453,-85.30030822753906,-73.81015014648438,-81.25733947753906,-79.18122863769531,-81.84159088134766,-80.96314239501953,-79.0912857055664,-78.91993713378906
the hospitals that talk to ann talked to herself.,-83.4774169921875,-90.98893737792969,-90.35807037353516,-77.28929138183594,-80.98533630371094,-73.08955383300781,-84.31360626220703,-102.17517852783203,-96.62227630615234,-80.45199584960938,-85.1767578125,-74.04811096191406,-77.36979675292969,-80.75965118408203,-74.63472747802734,-76.56974029541016,-80.63218688964844,-78.54530334472656
many skirts that stun some waitress are boring themselves.,-106.6893081665039,-111.68013000488281,-116.99907684326172,-81.90656280517578,-86.02915954589844,-83.45171356201172,-129.21136474609375,-119.35877990722656,-127.61354064941406,-82.58799743652344,-80.71675109863281,-87.66724395751953,-114.35609436035156,-121.03861999511719,-114.91368103027344,-102.3680648803711,-96.90699005126953,-96.28829193115234
many skirts that stun some waitress are boring herself.,-111.1628189086914,-112.33668518066406,-118.04701232910156,-84.49317169189453,-84.85726165771484,-87.12364196777344,-132.94163513183594,-122.34323120117188,-134.52838134765625,-84.92868041992188,-79.58515930175781,-91.238525390625,-113.9698715209961,-123.021728515625,-114.1033935546875,-100.03665924072266,-98.09722900390625,-100.51062774658203
all men that might fire tiffany have worked with themselves.,-102.9714584350586,-103.69068145751953,-109.61125946044922,-98.3299331665039,-93.39166259765625,-92.51994323730469,-109.57801055908203,-118.61653137207031,-116.54133605957031,-100.38673400878906,-94.37066650390625,-98.10237121582031,-113.09254455566406,-111.97838592529297,-119.42292785644531,-94.5750503540039,-87.0972671508789,-90.44530487060547
all men that might fire tiffany have worked with herself.,-108.73481750488281,-105.47452545166016,-112.0282974243164,-100.1801986694336,-96.24342346191406,-94.8446044921875,-112.32955169677734,-124.162353515625,-117.99269104003906,-102.52963256835938,-97.75212860107422,-100.59234619140625,-118.43207550048828,-118.16920471191406,-122.8660888671875,-89.1491470336914,-85.02397155761719,-88.17654418945312
that actress who admired the cup praises herself.,-101.0035629272461,-107.0879898071289,-104.99015045166016,-79.1570053100586,-75.66218566894531,-85.55900573730469,-112.77021026611328,-121.23886108398438,-111.74828338623047,-83.65411376953125,-73.15872192382812,-87.73588562011719,-113.59696960449219,-126.32464599609375,-123.9098129272461,-85.13569641113281,-80.75078582763672,-78.63260650634766
that actress who admired the cup praises itself.,-103.34293365478516,-107.53762817382812,-106.45735931396484,-79.70384979248047,-77.98210144042969,-86.36990356445312,-116.03829956054688,-118.40988159179688,-113.70061492919922,-82.0471420288086,-75.8599853515625,-88.6205825805664,-116.63493347167969,-128.725830078125,-125.87322998046875,-86.28202819824219,-76.12200164794922,-77.09310150146484
this lady who is healing charles wasn't hiding herself.,-91.1128921508789,-107.32958221435547,-94.64999389648438,-100.285400390625,-94.34562683105469,-93.61270141601562,-100.18848419189453,-118.0489501953125,-97.80370330810547,-104.02796936035156,-94.61087036132812,-99.56177520751953,-87.25553131103516,-94.4140625,-92.42951202392578,-74.39204406738281,-76.17578125,-84.24855041503906
this lady who is healing charles wasn't hiding himself.,-85.7951889038086,-102.43733978271484,-95.00636291503906,-99.42528533935547,-94.48301696777344,-90.63070678710938,-90.78852844238281,-112.0418701171875,-99.25697326660156,-102.81100463867188,-94.28803253173828,-95.09017944335938,-88.27162170410156,-92.18525695800781,-88.96351623535156,-75.22714233398438,-75.62896728515625,-78.81507873535156
every woman that was hiring the borgias argued about herself.,-109.17900085449219,-107.50936889648438,-98.32339477539062,-93.1501235961914,-87.86604309082031,-92.58973693847656,-128.53369140625,-119.6199951171875,-110.819580078125,-94.73078918457031,-84.53335571289062,-88.5792236328125,-124.18998718261719,-122.33657836914062,-121.56938934326172,-94.7081298828125,-101.48104858398438,-100.08486938476562
every woman that was hiring the borgias argued about themselves.,-105.33248138427734,-108.16673278808594,-96.09394836425781,-93.06613159179688,-87.48715209960938,-90.31269836425781,-126.00399780273438,-118.22857666015625,-107.39714050292969,-95.01996612548828,-86.51528930664062,-85.3974609375,-122.52937316894531,-120.49098205566406,-122.4699935913086,-99.68004608154297,-104.12775421142578,-102.48944854736328
every lady who does walk through a lot of movie theaters hadn't hugged herself.,-127.4626693725586,-135.82139587402344,-126.60358428955078,-112.85053253173828,-118.97840881347656,-122.84188842773438,-133.2694549560547,-148.0128173828125,-144.1013946533203,-116.2127685546875,-121.78477478027344,-133.41526794433594,-119.9118881225586,-120.14998626708984,-111.94932556152344,-99.41264343261719,-95.65564727783203,-105.6646728515625
every lady who does walk through a lot of movie theaters hadn't hugged themselves.,-127.20072937011719,-134.7072296142578,-127.2679214477539,-110.87566375732422,-118.45413208007812,-122.9053955078125,-137.7968292236328,-141.20355224609375,-144.3021240234375,-114.67247009277344,-120.58888244628906,-132.22068786621094,-117.52188873291016,-117.26692199707031,-110.90509796142578,-104.0521011352539,-94.32231140136719,-103.0370101928711
these doctors who do leave melissa fled from themselves.,-99.71733856201172,-107.70198059082031,-100.58950805664062,-85.3431396484375,-79.453125,-80.87488555908203,-120.86801147460938,-123.53348541259766,-116.41294860839844,-86.70220184326172,-83.6996841430664,-83.7629165649414,-86.4981918334961,-96.50859832763672,-97.91063690185547,-84.63998413085938,-76.16442108154297,-85.53345489501953
these doctors who do leave melissa fled from herself.,-104.97119140625,-104.07530212402344,-102.74578857421875,-83.92752075195312,-81.40444946289062,-83.44669342041016,-124.95919799804688,-117.72077941894531,-116.14483642578125,-87.31414031982422,-84.23824310302734,-85.9802017211914,-84.67132568359375,-97.0085678100586,-96.07612609863281,-78.6225814819336,-78.27320098876953,-86.87201690673828
these ladies that hadn't forgotten victoria fled from themselves.,-98.23704528808594,-108.76915740966797,-101.59747314453125,-79.74250030517578,-87.23954772949219,-78.78892517089844,-109.65315246582031,-112.34986877441406,-105.25370788574219,-79.37748718261719,-88.66328430175781,-83.92951202392578,-113.78116607666016,-106.02516174316406,-118.16503143310547,-90.47129821777344,-86.05770874023438,-87.70878601074219
these ladies that hadn't forgotten victoria fled from herself.,-103.24393463134766,-106.16674041748047,-105.86880493164062,-84.00650024414062,-90.85391235351562,-80.15862274169922,-115.12508392333984,-109.32881164550781,-108.39105224609375,-85.40989685058594,-89.29997253417969,-86.32913208007812,-116.02879333496094,-110.18578338623047,-118.42422485351562,-85.75930786132812,-87.91383361816406,-91.360107421875
the customers who embarrass kevin are discussing themselves.,-101.41229248046875,-104.48390197753906,-98.14457702636719,-70.04301452636719,-81.63973236083984,-75.04234313964844,-98.62407684326172,-110.10932922363281,-102.44627380371094,-71.4198989868164,-82.43971252441406,-75.4637680053711,-118.59318542480469,-116.100830078125,-122.85102844238281,-88.77349090576172,-83.35826873779297,-93.26079559326172
the customers who embarrass kevin are discussing himself.,-100.74844360351562,-103.80488586425781,-99.09803771972656,-73.31297302246094,-84.97274780273438,-76.24276733398438,-96.47455596923828,-110.95915222167969,-103.43307495117188,-74.93630981445312,-86.31672668457031,-75.90997314453125,-122.42488861083984,-119.77763366699219,-126.98811340332031,-86.6363525390625,-83.45077514648438,-92.39649200439453
