sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
this color must be white .,-18.929126739501953,-20.337085723876953,-19.586694717407227,-29.570165634155273,-25.241174697875977,-26.80738067626953,-20.832948684692383,-21.234838485717773,-22.56389617919922,-29.506431579589844,-23.96053123474121,-27.837112426757812,-47.4156379699707,-36.05305862426758,-44.38020324707031,-25.371604919433594,-25.175689697265625,-21.61949920654297
this colors must be white .,-23.613319396972656,-23.70138931274414,-22.41515350341797,-29.937036514282227,-30.358230590820312,-31.51089096069336,-27.563358306884766,-26.14089012145996,-25.455718994140625,-29.911035537719727,-30.87592124938965,-30.415023803710938,-48.54923629760742,-39.26630783081055,-47.069549560546875,-30.625885009765625,-31.544803619384766,-27.319061279296875
this color can be white .,-20.682825088500977,-19.909740447998047,-22.66029930114746,-27.768680572509766,-25.0257568359375,-25.364046096801758,-21.83399772644043,-21.64397621154785,-24.853092193603516,-27.87997817993164,-24.845508575439453,-25.35935401916504,-47.9044075012207,-37.4766731262207,-42.76163864135742,-21.94495964050293,-21.930706024169922,-19.342161178588867
this colors can be white .,-25.120832443237305,-22.887924194335938,-26.376998901367188,-28.760528564453125,-30.601022720336914,-29.368589401245117,-27.733592987060547,-24.55059051513672,-28.7813663482666,-29.60489273071289,-31.07175064086914,-28.1108341217041,-47.45686340332031,-40.228206634521484,-45.52473831176758,-26.722919464111328,-28.389339447021484,-24.016559600830078
that color must be white .,-18.562820434570312,-18.321353912353516,-18.663434982299805,-26.509628295898438,-23.283504486083984,-26.48526382446289,-20.0589656829834,-17.202425003051758,-22.088199615478516,-27.65102767944336,-22.880794525146484,-28.243377685546875,-52.35847091674805,-36.09811019897461,-44.86506271362305,-28.43292999267578,-26.627567291259766,-24.50356674194336
that colors must be white .,-23.049915313720703,-22.547163009643555,-21.873455047607422,-28.288284301757812,-29.20730972290039,-28.622629165649414,-28.385562896728516,-24.385469436645508,-25.473649978637695,-29.294979095458984,-31.228309631347656,-28.28860855102539,-52.97555923461914,-38.4206657409668,-46.99339294433594,-33.478553771972656,-31.285001754760742,-29.880348205566406
that color can be white .,-20.871688842773438,-19.908584594726562,-22.434654235839844,-26.093692779541016,-24.137142181396484,-25.392250061035156,-21.516761779785156,-19.503293991088867,-25.061479568481445,-27.099742889404297,-24.91973876953125,-25.640117645263672,-52.678733825683594,-38.440223693847656,-43.7738037109375,-25.994205474853516,-23.553871154785156,-22.870635986328125
that colors can be white .,-25.18168067932129,-23.084936141967773,-24.851959228515625,-27.967660903930664,-29.65431785583496,-27.298030853271484,-28.433135986328125,-23.37604522705078,-28.967710494995117,-29.444622039794922,-31.002365112304688,-26.596406936645508,-51.97639465332031,-40.08108139038086,-45.82811737060547,-30.57981300354004,-28.281129837036133,-27.649272918701172
these colors must be white .,-20.390892028808594,-21.629253387451172,-19.57335662841797,-26.632186889648438,-26.683725357055664,-27.76666259765625,-24.129993438720703,-24.605125427246094,-21.17394256591797,-26.55803680419922,-27.751924514770508,-26.716957092285156,-45.749916076660156,-39.46643829345703,-47.06743240356445,-22.18021011352539,-23.857837677001953,-22.41592025756836
these color must be white .,-22.19527816772461,-20.992637634277344,-22.325990676879883,-30.1177921295166,-29.42534637451172,-29.171409606933594,-24.115175247192383,-23.13538932800293,-25.22006607055664,-30.60040283203125,-29.091899871826172,-29.168437957763672,-46.28184509277344,-38.44681930541992,-47.12751007080078,-27.787609100341797,-28.61455535888672,-26.33129119873047
these colors can be white .,-20.28244400024414,-20.523883819580078,-22.62670135498047,-24.464923858642578,-25.38556671142578,-26.720691680908203,-23.086654663085938,-23.547405242919922,-22.744354248046875,-25.228992462158203,-26.225139617919922,-25.86593246459961,-44.97856903076172,-40.23553466796875,-45.28171157836914,-18.275230407714844,-20.486251831054688,-17.97051239013672
these color can be white .,-22.4005184173584,-21.294261932373047,-24.854642868041992,-27.196781158447266,-27.67831039428711,-28.043228149414062,-24.207000732421875,-24.199264526367188,-25.49627685546875,-28.17928695678711,-28.968124389648438,-27.85271644592285,-46.84827423095703,-39.71619415283203,-45.53314971923828,-24.269817352294922,-24.725669860839844,-22.555553436279297
those colors must be white .,-20.33282470703125,-21.542390823364258,-20.557498931884766,-27.457406997680664,-26.732425689697266,-27.487075805664062,-24.83647346496582,-23.846759796142578,-22.382949829101562,-27.887401580810547,-28.088254928588867,-27.205810546875,-49.16904830932617,-40.0283203125,-46.7081184387207,-29.15337371826172,-33.483238220214844,-29.680315017700195
those color must be white .,-23.059555053710938,-21.21858787536621,-23.072101593017578,-29.990766525268555,-28.631925582885742,-30.531957626342773,-25.780799865722656,-21.63117027282715,-26.83389663696289,-31.213481903076172,-28.07310676574707,-30.76491928100586,-49.4720458984375,-39.431278228759766,-47.0059700012207,-31.17886734008789,-35.489044189453125,-31.639841079711914
those colors can be white .,-20.569908142089844,-21.530540466308594,-22.976390838623047,-24.738414764404297,-25.843048095703125,-26.456371307373047,-23.927104949951172,-22.818374633789062,-23.635150909423828,-25.77069664001465,-26.627634048461914,-25.68126106262207,-47.699134826660156,-41.04933547973633,-45.5070915222168,-25.352523803710938,-30.599552154541016,-27.18534278869629
those color can be white .,-22.55329132080078,-22.407386779785156,-25.880104064941406,-26.64806365966797,-27.835674285888672,-29.242952346801758,-24.368173599243164,-22.621109008789062,-27.676321029663086,-28.490192413330078,-28.765182495117188,-28.99062156677246,-49.47659683227539,-40.83774185180664,-46.098304748535156,-27.625713348388672,-31.95048713684082,-29.97722053527832
this foot must be personal .,-33.588260650634766,-38.25688934326172,-38.63263702392578,-36.02191162109375,-35.67103576660156,-34.17616271972656,-36.7697868347168,-41.79269027709961,-44.60393524169922,-35.495155334472656,-37.815093994140625,-32.51491165161133,-47.62123107910156,-44.20677185058594,-40.88202667236328,-29.642528533935547,-33.02983093261719,-28.0028076171875
this feet must be personal .,-39.058387756347656,-42.316917419433594,-42.79679870605469,-37.33037185668945,-39.3262825012207,-39.985679626464844,-42.69495391845703,-48.7547607421875,-45.94883728027344,-35.13661193847656,-40.1424446105957,-38.273094177246094,-47.7269287109375,-49.48173522949219,-40.83388137817383,-32.04938507080078,-37.34103012084961,-32.48213195800781
this foot can be personal .,-37.60240173339844,-37.68475341796875,-39.808902740478516,-33.66794967651367,-33.97044372558594,-35.51751708984375,-43.49873733520508,-45.137245178222656,-44.315673828125,-33.55218505859375,-37.012351989746094,-33.897483825683594,-47.79590606689453,-44.352760314941406,-40.75040817260742,-29.567768096923828,-31.48676300048828,-26.197677612304688
this feet can be personal .,-40.74416732788086,-40.61945343017578,-42.94407653808594,-33.97801208496094,-36.300453186035156,-40.5218620300293,-44.42732238769531,-50.45473098754883,-45.887542724609375,-32.00459289550781,-36.920658111572266,-39.26442337036133,-47.276222229003906,-48.176002502441406,-40.703311920166016,-32.07170486450195,-35.7274169921875,-30.260974884033203
that foot must be personal .,-34.405147552490234,-38.895973205566406,-37.74674606323242,-32.91685104370117,-31.69622802734375,-34.379478454589844,-36.749351501464844,-42.988521575927734,-40.589393615722656,-33.61546325683594,-33.40919494628906,-33.32498550415039,-52.879302978515625,-44.59696960449219,-42.35236740112305,-28.719951629638672,-31.903629302978516,-29.563488006591797
that feet must be personal .,-40.01519775390625,-43.55451202392578,-42.649993896484375,-38.283409118652344,-38.203712463378906,-38.27391815185547,-42.398231506347656,-50.14850616455078,-43.637786865234375,-38.70500183105469,-38.71344757080078,-36.99909210205078,-54.26353454589844,-50.017398834228516,-42.952091217041016,-31.315105438232422,-34.42426300048828,-33.31379699707031
that foot can be personal .,-37.8119010925293,-38.24925231933594,-38.123695373535156,-32.23130416870117,-31.49453353881836,-35.864891052246094,-43.17982482910156,-45.37570571899414,-40.82481002807617,-32.96037292480469,-34.48014450073242,-34.833465576171875,-52.567115783691406,-45.2860107421875,-42.81901550292969,-29.525115966796875,-30.755693435668945,-28.30996322631836
that feet can be personal .,-41.071590423583984,-41.60847473144531,-41.54109191894531,-36.0614013671875,-36.27815246582031,-38.56272506713867,-44.714149475097656,-51.02914047241211,-43.587242126464844,-35.88785171508789,-36.24134826660156,-37.53284454345703,-53.441978454589844,-49.22515869140625,-43.35381317138672,-31.988683700561523,-33.427730560302734,-31.958593368530273
these feet must be personal .,-36.226165771484375,-40.250633239746094,-38.916622161865234,-34.5272331237793,-34.03681945800781,-35.96237564086914,-38.153297424316406,-43.58456039428711,-38.216224670410156,-33.004146575927734,-34.67589569091797,-34.458648681640625,-47.36885070800781,-48.799949645996094,-40.073516845703125,-26.268402099609375,-33.070648193359375,-28.6119384765625
these foot must be personal .,-38.53680419921875,-40.442466735839844,-40.356327056884766,-39.30712127685547,-40.20103454589844,-38.1673698425293,-41.57992935180664,-42.262603759765625,-45.85958480834961,-38.021240234375,-41.609107971191406,-36.06044387817383,-49.34470748901367,-46.86808395385742,-44.66204071044922,-31.003070831298828,-39.367088317871094,-34.25352096557617
these feet can be personal .,-37.58597183227539,-37.65473556518555,-39.571136474609375,-32.494022369384766,-30.93478012084961,-35.908546447753906,-41.39036560058594,-45.104278564453125,-37.48980712890625,-31.055889129638672,-31.32660675048828,-34.16980743408203,-47.48924255371094,-47.011024475097656,-39.061161041259766,-25.902929306030273,-31.150177001953125,-25.10360336303711
these foot can be personal .,-41.73564529418945,-40.05931091308594,-41.6797981262207,-36.37500762939453,-37.71226119995117,-39.16974639892578,-46.48508834838867,-47.14247512817383,-44.854820251464844,-35.61030197143555,-39.69878387451172,-37.06178283691406,-50.25294494628906,-46.45024871826172,-43.91448211669922,-30.706012725830078,-37.47842788696289,-31.50571060180664
those feet must be personal .,-36.78461456298828,-40.92127227783203,-39.573951721191406,-35.54697799682617,-32.63506317138672,-33.755828857421875,-38.83876037597656,-42.80875778198242,-37.6280517578125,-34.72968292236328,-33.75184631347656,-31.49060821533203,-51.82876205444336,-50.406219482421875,-41.691558837890625,-30.479721069335938,-40.400611877441406,-35.93096923828125
those foot must be personal .,-39.543663024902344,-41.4351806640625,-41.366249084472656,-38.81007385253906,-39.88908004760742,-36.98027420043945,-43.4395637512207,-42.485408782958984,-44.01380920410156,-38.73472213745117,-42.573402404785156,-34.748817443847656,-55.01299285888672,-49.02386474609375,-45.670867919921875,-33.784645080566406,-44.963783264160156,-40.49553680419922
those feet can be personal .,-38.36009979248047,-38.52190017700195,-39.2650260925293,-32.78866958618164,-30.619308471679688,-33.61638259887695,-42.24210739135742,-43.82485580444336,-37.0062255859375,-32.33740997314453,-30.75634765625,-31.590576171875,-51.67182540893555,-49.14231491088867,-41.606868743896484,-30.038074493408203,-39.031211853027344,-34.50440979003906
those foot can be personal .,-42.271095275878906,-41.16945266723633,-41.648353576660156,-37.02263641357422,-39.470741271972656,-38.89706039428711,-47.43567657470703,-46.06261444091797,-43.37720489501953,-37.52069091796875,-41.69944763183594,-36.986717224121094,-55.524658203125,-48.98774719238281,-45.66324234008789,-33.58659362792969,-43.94447326660156,-40.01663589477539
this difference must be ready .,-28.726224899291992,-30.506488800048828,-27.712249755859375,-29.642154693603516,-28.300453186035156,-31.767051696777344,-32.53352355957031,-30.809101104736328,-28.82626724243164,-31.67738151550293,-30.414644241333008,-34.49778747558594,-51.98552703857422,-46.91434097290039,-48.582969665527344,-21.396957397460938,-22.48397445678711,-19.164955139160156
this differences must be ready .,-38.774749755859375,-37.28312301635742,-38.45785903930664,-36.410160064697266,-33.591827392578125,-37.1287841796875,-35.88198471069336,-36.784645080566406,-46.23643493652344,-39.071109771728516,-35.25364685058594,-40.83274459838867,-52.917240142822266,-61.26240158081055,-60.92361068725586,-27.36260223388672,-30.785734176635742,-25.48002052307129
this difference can be ready .,-32.920440673828125,-31.939476013183594,-31.52069091796875,-27.362886428833008,-26.251468658447266,-28.00524139404297,-36.65754318237305,-32.47041702270508,-34.627262115478516,-28.292369842529297,-28.473834991455078,-29.315887451171875,-49.81529235839844,-45.97314453125,-45.67306900024414,-18.07843017578125,-20.33055877685547,-16.593820571899414
this differences can be ready .,-40.16813659667969,-36.44141387939453,-37.468963623046875,-32.65389633178711,-30.04507827758789,-32.62196350097656,-37.93257141113281,-36.101009368896484,-41.377769470214844,-34.36562728881836,-32.059383392333984,-34.284751892089844,-55.61874771118164,-61.40778350830078,-60.445011138916016,-23.559995651245117,-28.605741500854492,-22.26859474182129
