sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
every association figured out that most drivers that forfeit investigated irene.,-133.23651123046875,-146.42982482910156,-146.2957305908203,-110.35932922363281,-105.71675109863281,-105.80586242675781,-139.42381286621094,-171.08599853515625,-152.55984497070312,-111.96820068359375,-107.77933502197266,-111.210693359375,-145.7419891357422,-149.05735778808594,-158.40103149414062,-118.601318359375,-116.7730712890625,-125.13531494140625
every association figured out who most drivers that forfeit investigated irene.,-133.36441040039062,-149.16941833496094,-148.15359497070312,-120.13289642333984,-113.60958862304688,-115.38328552246094,-143.13516235351562,-174.71839904785156,-157.47024536132812,-120.3541488647461,-114.60572814941406,-120.69195556640625,-150.90965270996094,-154.047607421875,-166.0647735595703,-130.71360778808594,-129.78602600097656,-139.13172912597656
kathleen was revealing that this actress that can sit down was skated around this museum.,-168.0771026611328,-164.13609313964844,-165.41421508789062,-129.4970245361328,-125.58085632324219,-124.52310943603516,-186.1281280517578,-193.1240234375,-186.007080078125,-130.72340393066406,-126.29667663574219,-121.94575500488281,-181.17665100097656,-173.29107666015625,-172.46524047851562,-125.51757049560547,-117.07030487060547,-122.37818908691406
kathleen was revealing what this actress that can sit down was skated around this museum.,-168.73684692382812,-170.11447143554688,-173.5496826171875,-133.64683532714844,-129.40562438964844,-128.61666870117188,-187.3995819091797,-194.77935791015625,-193.9331817626953,-135.9427490234375,-129.03062438964844,-128.1050262451172,-185.17034912109375,-176.51255798339844,-174.3544158935547,-133.52664184570312,-125.303466796875,-130.96786499023438
jodi was learning that a library that hadn't communicated was working with randolf.,-132.47390747070312,-134.0288543701172,-132.62330627441406,-117.49301147460938,-122.56016540527344,-114.55201721191406,-145.58685302734375,-137.15347290039062,-150.59609985351562,-119.49493408203125,-126.20673370361328,-118.16696166992188,-147.42886352539062,-143.86587524414062,-155.29652404785156,-101.39173889160156,-101.9050521850586,-103.98922729492188
jodi was learning who a library that hadn't communicated was working with randolf.,-134.93978881835938,-139.2939453125,-134.095458984375,-125.15418243408203,-131.2975616455078,-123.18217468261719,-146.4412841796875,-153.73199462890625,-147.301513671875,-126.73931121826172,-135.94329833984375,-126.09436798095703,-150.26144409179688,-145.5021209716797,-158.41207885742188,-110.97071075439453,-111.09700775146484,-112.07159423828125
drivers remembered that those hospitals that should waste away are listening to angela.,-131.57740783691406,-134.10220336914062,-130.5819091796875,-107.92495727539062,-110.72872161865234,-110.31729125976562,-152.97425842285156,-157.19178771972656,-136.16635131835938,-110.36849975585938,-112.10575103759766,-113.26034545898438,-147.9475860595703,-149.0718536376953,-139.36456298828125,-102.30131530761719,-109.71726989746094,-108.48735046386719
drivers remembered who those hospitals that should waste away are listening to angela.,-136.19586181640625,-136.2835235595703,-136.1483612060547,-119.22527313232422,-115.65626525878906,-119.0337905883789,-156.69924926757812,-155.9594268798828,-145.2498016357422,-124.39810943603516,-118.05148315429688,-120.32130432128906,-151.8671417236328,-150.78555297851562,-142.381591796875,-118.25468444824219,-121.6198501586914,-119.68821716308594
every cashier wouldn't investigate that some birds that weren't distracting steve broke some unicycles.,-150.58399963378906,-152.551513671875,-149.7566680908203,-136.34866333007812,-130.1601104736328,-120.98011779785156,-162.59434509277344,-172.6343231201172,-161.422119140625,-141.67062377929688,-128.39926147460938,-122.73894500732422,-166.02487182617188,-173.5581512451172,-175.21148681640625,-170.66358947753906,-163.57901000976562,-159.53363037109375
every cashier wouldn't investigate what some birds that weren't distracting steve broke some unicycles.,-155.67185974121094,-162.1746826171875,-156.37521362304688,-140.51840209960938,-132.594970703125,-122.93661499023438,-163.19790649414062,-185.83485412597656,-167.2910919189453,-144.5144805908203,-133.5622100830078,-126.2764663696289,-169.6011505126953,-177.32730102539062,-180.8429718017578,-173.85630798339844,-166.71392822265625,-162.12857055664062
tamara had figured out that most governments that had fired these guests won't have a window.,-162.756591796875,-156.93359375,-161.291015625,-113.6968994140625,-120.58517456054688,-123.23696899414062,-176.44688415527344,-159.16932678222656,-175.8012237548828,-108.68071746826172,-121.40786743164062,-120.29974365234375,-161.76805114746094,-155.9739227294922,-169.29843139648438,-117.62223815917969,-124.25190734863281,-121.5778579711914
tamara had figured out what most governments that had fired these guests won't have a window.,-167.42738342285156,-162.9627685546875,-161.3487548828125,-124.24981689453125,-128.11326599121094,-132.8528594970703,-182.64622497558594,-170.38381958007812,-177.37030029296875,-122.2626724243164,-129.78512573242188,-129.83384704589844,-163.34756469726562,-159.47254943847656,-172.5711212158203,-123.52052307128906,-130.16961669921875,-128.61778259277344
adam isn't forgetting that many actors that did buy a snake should pass the high school.,-143.56405639648438,-147.33175659179688,-145.48863220214844,-124.37495422363281,-115.90508270263672,-113.68472290039062,-158.8203125,-158.67678833007812,-162.49240112304688,-126.84306335449219,-114.11143493652344,-117.14556121826172,-149.10739135742188,-137.38951110839844,-149.71307373046875,-100.17485046386719,-98.81229400634766,-100.39042663574219
adam isn't forgetting what many actors that did buy a snake should pass the high school.,-155.60887145996094,-155.0281982421875,-156.0765380859375,-129.86009216308594,-120.84146881103516,-121.0640640258789,-174.009765625,-168.06155395507812,-173.32936096191406,-131.89146423339844,-118.154296875,-126.49137115478516,-152.83917236328125,-141.08233642578125,-150.2923583984375,-102.81105041503906,-103.44996643066406,-103.72906494140625
melinda investigated that this girl that looked like those drawings might attack cindy.,-128.55030822753906,-127.73912048339844,-132.64962768554688,-118.14501190185547,-121.46961212158203,-120.087158203125,-147.0651092529297,-130.8549346923828,-144.20358276367188,-116.66304016113281,-121.65594482421875,-128.97988891601562,-151.39456176757812,-148.91578674316406,-145.20481872558594,-119.9804916381836,-125.49544525146484,-131.03514099121094
melinda investigated who this girl that looked like those drawings might attack cindy.,-132.0320281982422,-132.41307067871094,-140.37435913085938,-128.6968994140625,-131.29269409179688,-130.39892578125,-155.01258850097656,-135.90835571289062,-164.28997802734375,-127.54365539550781,-131.330078125,-139.10794067382812,-152.53543090820312,-154.68655395507812,-148.52804565429688,-135.48106384277344,-139.28921508789062,-144.0098419189453
most cashiers conceal that most guys that can run around a cafe had skated around those banks.,-167.618896484375,-171.10012817382812,-173.0513916015625,-160.90267944335938,-145.05267333984375,-143.73406982421875,-186.55209350585938,-192.95510864257812,-192.3760986328125,-171.19512939453125,-148.40274047851562,-144.22145080566406,-191.51129150390625,-177.54934692382812,-178.72158813476562,-153.6850128173828,-159.983642578125,-163.58694458007812
most cashiers conceal what most guys that can run around a cafe had skated around those banks.,-177.15541076660156,-181.31527709960938,-174.62994384765625,-161.55149841308594,-145.51756286621094,-150.8255615234375,-200.59805297851562,-206.57485961914062,-193.653076171875,-170.57171630859375,-146.45645141601562,-150.8035888671875,-191.69009399414062,-178.15771484375,-181.8151092529297,-156.95982360839844,-162.56809997558594,-169.74252319335938
