sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
does her boat ever play with the growth ?,-46.3983039855957,-50.60424041748047,-50.041316986083984,-67.31094360351562,-73.412109375,-75.58421325683594,-53.12890625,-56.986572265625,-59.15059280395508,-72.23695373535156,-76.92766571044922,-80.68431091308594,-69.03778076171875,-59.00381088256836,-57.98509979248047,-70.13282012939453,-81.10870361328125,-76.2850112915039
her boat does ever play with the growth ?,-51.814571380615234,-51.53217315673828,-51.17488479614258,-66.5611801147461,-67.98141479492188,-71.42254638671875,-61.122642517089844,-59.901588439941406,-61.70558547973633,-67.90422058105469,-70.17350006103516,-74.23201751708984,-64.83654022216797,-61.247352600097656,-55.18033981323242,-60.43511962890625,-70.57234191894531,-67.0755615234375
does mark ever play with the growth ?,-37.73207473754883,-40.000328063964844,-36.83453369140625,-56.08363723754883,-57.613834381103516,-68.39200592041016,-41.94175720214844,-45.438846588134766,-40.069618225097656,-59.009315490722656,-59.06393051147461,-70.68209838867188,-61.33524703979492,-52.658233642578125,-49.488746643066406,-68.14338684082031,-77.20314025878906,-68.50093841552734
mark does ever play with the growth ?,-42.30998611450195,-40.901729583740234,-38.32721710205078,-50.49359130859375,-51.296504974365234,-51.1141471862793,-42.94540786743164,-47.51945495605469,-49.03299331665039,-52.4073600769043,-52.448665618896484,-54.011009216308594,-59.73627471923828,-57.695533752441406,-48.56447982788086,-55.69220733642578,-60.24474334716797,-56.790565490722656
will the dinosaur ever change ?,-25.749374389648438,-25.648651123046875,-22.454626083374023,-49.317447662353516,-53.34540939331055,-47.18915557861328,-27.999778747558594,-28.373777389526367,-25.137714385986328,-48.34708786010742,-51.494815826416016,-49.654075622558594,-60.37453079223633,-55.6239013671875,-48.81175231933594,-59.627384185791016,-67.11970520019531,-61.496917724609375
the dinosaur will ever change ?,-32.06096649169922,-30.687271118164062,-27.693016052246094,-49.435768127441406,-52.02283477783203,-48.0715446472168,-40.662376403808594,-34.96721649169922,-31.178768157958984,-50.38751220703125,-51.673431396484375,-49.44316101074219,-62.96302032470703,-54.83890914916992,-50.01831817626953,-42.65664291381836,-45.4605712890625,-39.928863525390625
will sarah ever change ?,-28.464340209960938,-29.36495590209961,-24.65455436706543,-40.25078582763672,-39.886470794677734,-43.92753601074219,-29.036251068115234,-31.942699432373047,-27.419578552246094,-40.21153259277344,-39.604759216308594,-47.668209075927734,-46.2854118347168,-43.64813995361328,-44.136146545410156,-51.96633529663086,-49.227760314941406,-52.023902893066406
sarah will ever change ?,-25.889009475708008,-33.006866455078125,-28.36922836303711,-37.04471969604492,-37.73084259033203,-38.39097595214844,-30.535053253173828,-36.14158630371094,-31.59286117553711,-36.57900619506836,-36.83589553833008,-36.926727294921875,-44.75083923339844,-44.4350700378418,-45.45399856567383,-39.56620788574219,-42.02505874633789,-41.355995178222656
should her dinosaur ever like ?,-37.647090911865234,-37.907833099365234,-42.151527404785156,-53.436119079589844,-65.37779998779297,-64.63228607177734,-42.301490783691406,-40.56478500366211,-47.07438278198242,-54.22533416748047,-66.02313232421875,-69.05451965332031,-59.18587875366211,-51.51346206665039,-49.77507019042969,-64.29776763916016,-65.9380111694336,-58.38284683227539
her dinosaur should ever like ?,-35.32939910888672,-36.12998962402344,-37.152530670166016,-53.70944595336914,-64.02854919433594,-57.49072265625,-41.62168502807617,-42.80024337768555,-44.808746337890625,-57.2520751953125,-67.64454650878906,-63.361778259277344,-53.1547966003418,-50.29633712768555,-46.671852111816406,-50.47889709472656,-52.96455001831055,-47.79376220703125
should roger ever like ?,-32.191612243652344,-36.61894226074219,-35.48093032836914,-44.058258056640625,-46.667884826660156,-49.591827392578125,-34.12150192260742,-41.411048889160156,-39.85849380493164,-45.586830139160156,-44.743980407714844,-52.36198425292969,-59.44417953491211,-47.99498748779297,-48.837730407714844,-49.53050231933594,-49.95547103881836,-49.19804000854492
roger should ever like ?,-32.37055969238281,-32.146080017089844,-35.096946716308594,-42.36259460449219,-42.88722610473633,-43.194915771484375,-39.596641540527344,-34.305362701416016,-37.1314697265625,-43.40978240966797,-48.66730499267578,-45.06529235839844,-51.96814727783203,-45.06069564819336,-45.07018280029297,-41.75218200683594,-37.17981719970703,-38.769927978515625
could his pig ever like ?,-33.803985595703125,-32.91181182861328,-36.2790412902832,-59.93568420410156,-61.47785186767578,-58.80915832519531,-38.802886962890625,-34.5989875793457,-41.81625747680664,-59.476829528808594,-62.12826919555664,-59.532222747802734,-56.93478012084961,-50.1261100769043,-47.59836959838867,-59.00926971435547,-62.199851989746094,-58.5410270690918
his pig could ever like ?,-35.14641571044922,-37.5311393737793,-38.746192932128906,-48.08785629272461,-55.557647705078125,-48.84912109375,-40.96495056152344,-41.72471618652344,-47.684356689453125,-50.406105041503906,-56.557308197021484,-52.827606201171875,-52.33189392089844,-49.64421081542969,-45.84373474121094,-44.13582992553711,-43.63314437866211,-45.73390197753906
could alexander ever like ?,-36.82691192626953,-32.90632247924805,-41.16339111328125,-47.05315399169922,-43.02215576171875,-47.91431427001953,-36.411041259765625,-37.160064697265625,-37.568668365478516,-46.83270263671875,-41.645015716552734,-47.44158172607422,-51.41656494140625,-44.26920700073242,-46.77433395385742,-50.29690933227539,-55.07001495361328,-45.867008209228516
