sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
teresa had not ever sold a movie theater.,-83.57244873046875,-78.08345031738281,-83.7071762084961,-68.40872192382812,-68.95611572265625,-67.06121826171875,-93.6258544921875,-88.6574478149414,-92.95421600341797,-69.65393829345703,-71.86872863769531,-67.7740249633789,-86.791015625,-86.15177917480469,-81.96300506591797,-68.88846588134766,-67.12086486816406,-71.34608459472656
teresa had probably ever sold a movie theater.,-83.0039291381836,-81.6500473022461,-85.6263427734375,-74.73108673095703,-74.13980865478516,-72.57815551757812,-98.3524398803711,-91.62114715576172,-96.34801483154297,-77.0400619506836,-76.80378723144531,-74.25245666503906,-89.3092269897461,-86.3881607055664,-85.5228271484375,-73.82755279541016,-72.53352355957031,-76.34590911865234
allison has not ever taken that ice cream.,-69.57635498046875,-66.90396118164062,-67.68563842773438,-62.562034606933594,-63.45308303833008,-63.71209716796875,-78.7898178100586,-71.41190338134766,-70.66588592529297,-60.34111404418945,-64.16233825683594,-66.58592224121094,-57.097991943359375,-51.2781982421875,-50.01966857910156,-76.5682144165039,-78.76837921142578,-74.71764373779297
allison has fortunately ever taken that ice cream.,-78.95124816894531,-86.84210205078125,-86.87252807617188,-73.57290649414062,-79.15602111816406,-79.72437286376953,-86.13917541503906,-106.24181365966797,-94.93489837646484,-70.28292846679688,-82.1030044555664,-80.98754119873047,-75.5547103881836,-71.90425109863281,-67.90145874023438,-101.65301513671875,-104.01976013183594,-97.08161926269531
teresa would not ever ascertain carmen to remember jessica.,-117.00379943847656,-119.55655670166016,-122.78760528564453,-96.31319427490234,-95.3548812866211,-98.8355484008789,-130.29202270507812,-133.1858367919922,-151.70651245117188,-99.48501586914062,-98.18875885009766,-102.49241638183594,-125.6346664428711,-134.80609130859375,-134.3959197998047,-112.40966796875,-110.08668518066406,-116.0622329711914
teresa would fortunately ever ascertain carmen to remember jessica.,-126.94624328613281,-131.05812072753906,-139.8704833984375,-115.65840911865234,-114.23184204101562,-118.72354125976562,-145.32806396484375,-146.31089782714844,-168.058349609375,-114.79488372802734,-115.3880615234375,-122.96166229248047,-142.0143280029297,-153.0395965576172,-149.79641723632812,-128.2770233154297,-126.5941162109375,-133.78305053710938
sharon might not ever argue.,-60.462860107421875,-60.67766189575195,-62.81301498413086,-48.50343322753906,-48.34761428833008,-45.769954681396484,-68.64934539794922,-59.33690643310547,-67.59657287597656,-46.28843688964844,-49.247379302978516,-43.09284973144531,-82.55061340332031,-76.1200180053711,-74.75240325927734,-65.16175079345703,-60.283607482910156,-59.98948287963867
sharon might probably ever argue.,-64.93182373046875,-64.66300201416016,-62.840484619140625,-55.97334671020508,-54.046241760253906,-51.638214111328125,-69.25927734375,-60.95103454589844,-66.54684448242188,-54.886634826660156,-54.89677047729492,-49.93782424926758,-83.86727905273438,-77.24518585205078,-76.39093780517578,-71.10706329345703,-69.9159164428711,-66.90191650390625
those banks had not ever lied.,-72.89897155761719,-75.6846923828125,-68.21795654296875,-49.82905960083008,-53.43632125854492,-50.31378173828125,-79.92137908935547,-77.58329772949219,-75.66297912597656,-50.979862213134766,-55.71113586425781,-53.48480987548828,-78.42450714111328,-79.55695343017578,-79.18051147460938,-56.07356262207031,-58.76191329956055,-54.55859375
those banks had really ever lied.,-72.84130859375,-78.3213119506836,-70.25933837890625,-57.69984817504883,-60.41050338745117,-61.37947463989258,-81.65647888183594,-79.7354736328125,-81.47164154052734,-59.68051528930664,-61.77497482299805,-63.890960693359375,-76.30595397949219,-79.727294921875,-78.36173248291016,-61.26894760131836,-63.52497482299805,-60.90748596191406
