sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
alexander didn't walk through that new oasis.,-90.33203887939453,-82.46342468261719,-74.788330078125,-55.698509216308594,-64.42513275146484,-56.721107482910156,-93.70126342773438,-92.17841339111328,-79.14690399169922,-54.71027374267578,-65.65560913085938,-57.78650665283203,-82.78610229492188,-90.34427642822266,-81.51688385009766,-73.30413818359375,-71.63591003417969,-73.18421173095703
alexander didn't walk through those new oasis.,-88.50971984863281,-84.22061920166016,-75.82653045654297,-60.580997467041016,-67.241455078125,-60.53876495361328,-91.04232025146484,-96.04908752441406,-79.4240493774414,-59.09730911254883,-67.51648712158203,-62.00525665283203,-83.42410278320312,-89.29537200927734,-79.92788696289062,-75.32357025146484,-78.28326416015625,-76.989990234375
this hair irritates these old alumni.,-89.24162292480469,-97.29621124267578,-101.67637634277344,-63.94142150878906,-65.82506561279297,-67.10582733154297,-98.87029266357422,-105.02513122558594,-108.06732177734375,-61.4697265625,-64.95301055908203,-72.96385955810547,-110.7303237915039,-107.06443786621094,-100.39099884033203,-77.5341567993164,-70.32592010498047,-70.59281158447266
this hair irritates this old alumni.,-87.70623016357422,-95.09870910644531,-98.97838592529297,-64.33567810058594,-64.24148559570312,-63.914581298828125,-100.38105010986328,-105.4839859008789,-104.15996551513672,-60.667991638183594,-64.90968322753906,-69.56324005126953,-110.29927825927734,-106.78965759277344,-99.14636993408203,-80.74544525146484,-68.47038269042969,-75.2828369140625
winston churchill was escaping from this serious person.,-106.5997543334961,-109.33318328857422,-119.17578887939453,-65.94744110107422,-63.992889404296875,-67.54753112792969,-130.7962188720703,-125.39654541015625,-132.9453887939453,-65.36978912353516,-62.3432731628418,-67.07090759277344,-112.86821746826172,-103.37006378173828,-102.31769561767578,-71.47528076171875,-74.18285369873047,-81.99729919433594
winston churchill was escaping from these serious person.,-106.91885375976562,-112.08585357666016,-120.7000732421875,-71.896728515625,-67.07990264892578,-70.5395736694336,-123.59678649902344,-123.37283325195312,-137.0712432861328,-72.54653930664062,-65.45343780517578,-68.84008026123047,-117.81034088134766,-106.96771240234375,-106.8672866821289,-77.86241912841797,-79.98346710205078,-87.05457305908203
anna walks through these purple oases.,-78.10140991210938,-71.88664245605469,-77.2718505859375,-69.60479736328125,-65.31871032714844,-61.98930740356445,-94.33309936523438,-77.11865234375,-90.25643157958984,-67.29137420654297,-63.50107955932617,-63.130027770996094,-78.44579315185547,-70.72238159179688,-72.7324447631836,-81.19473266601562,-73.65618133544922,-77.1488265991211
anna walks through this purple oases.,-81.09894561767578,-71.30269622802734,-76.5908432006836,-71.8956069946289,-68.165771484375,-63.27544403076172,-96.9823226928711,-77.3826904296875,-90.1148681640625,-70.88722229003906,-66.79704284667969,-66.46752166748047,-78.55741119384766,-74.29801940917969,-76.60103607177734,-76.90060424804688,-73.80156707763672,-76.16651153564453
alicia sounded like this good analysis.,-85.92638397216797,-88.0595703125,-98.51667785644531,-63.906707763671875,-69.11782836914062,-68.80928039550781,-89.62721252441406,-93.2217025756836,-108.19129943847656,-64.66243743896484,-68.99859619140625,-68.18553924560547,-101.2318115234375,-99.469970703125,-103.25780487060547,-76.81817626953125,-74.41390228271484,-77.45716857910156
alicia sounded like these good analysis.,-89.26740264892578,-85.97372436523438,-97.2676773071289,-67.502685546875,-73.60456848144531,-68.03162384033203,-89.83797454833984,-89.42906951904297,-106.1767807006836,-68.70098876953125,-70.87631225585938,-66.4752197265625,-105.86326599121094,-101.75990295410156,-106.61799621582031,-79.92459106445312,-79.40748596191406,-81.79405212402344
