sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
der schriftsteller spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-72.65335083007812,-72.177001953125,-86.56210327148438,-68.63597106933594,-64.64630889892578,-69.92615509033203,-77.10350036621094,-70.68516540527344,-95.76921844482422,-68.73269653320312,-65.53301239013672,-68.10364532470703,-72.44735717773438,-55.031288146972656,-62.05552673339844,-67.414306640625,-70.55126953125,-73.20032501220703
der schriftsteller spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-73.78360748291016,-75.98591613769531,-88.2024154663086,-67.92012023925781,-61.894588470458984,-70.4626235961914,-75.86205291748047,-77.08806610107422,-95.47726440429688,-67.68291473388672,-62.46797180175781,-67.43087768554688,-74.60539245605469,-58.61732482910156,-61.84754180908203,-61.52363586425781,-62.95195388793945,-62.52431106567383
der schriftsteller spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-81.43867492675781,-77.5586929321289,-85.77527618408203,-69.44993591308594,-71.77679443359375,-74.83067321777344,-82.26461029052734,-74.51737976074219,-85.2087173461914,-68.42711639404297,-69.6553955078125,-73.80679321289062,-111.76927185058594,-98.36185455322266,-106.6666259765625,-79.80667114257812,-83.6203384399414,-83.65471649169922
der schriftsteller spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-83.79998779296875,-79.3050308227539,-89.60484313964844,-72.0954818725586,-72.11898803710938,-82.67564392089844,-81.53284454345703,-72.77910614013672,-87.69973754882812,-70.52913665771484,-70.24378967285156,-80.78094482421875,-110.65298461914062,-95.85966491699219,-104.06098937988281,-85.35648345947266,-94.82061004638672,-86.06285095214844
der schriftsteller spricht viele verschiedene sprachen und ist zwanzig jahre alt,-66.08470916748047,-66.72107696533203,-74.83526611328125,-62.12522888183594,-57.40479278564453,-65.54608154296875,-70.45906066894531,-69.59854888916016,-87.65776824951172,-64.48563385009766,-57.015899658203125,-64.75225067138672,-74.0763168334961,-65.84675598144531,-66.7606430053711,-55.293365478515625,-61.15221405029297,-62.901405334472656
der schriftsteller spricht viele verschiedene sprachen und sind zwanzig jahre alt,-67.40351104736328,-68.63883972167969,-76.34136962890625,-65.7728500366211,-61.27446746826172,-66.27262878417969,-71.90593719482422,-69.3458480834961,-88.0145492553711,-68.30499267578125,-60.53900909423828,-66.53585815429688,-73.14715576171875,-64.8210220336914,-64.07039642333984,-54.20568084716797,-59.910926818847656,-62.41835021972656
der schriftsteller spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-98.65245056152344,-94.3794174194336,-103.41702270507812,-116.95848083496094,-110.99797058105469,-116.23890686035156,-105.2474594116211,-98.89071655273438,-113.61428833007812,-122.60698699951172,-113.75437927246094,-121.18447875976562,-130.61183166503906,-120.10932922363281,-118.2186279296875,-100.73107147216797,-109.09815979003906,-109.98458099365234
der schriftsteller spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-96.08380126953125,-97.42295837402344,-107.01331329345703,-113.27590942382812,-108.79753112792969,-111.28507232666016,-102.61846923828125,-103.70219421386719,-112.31552124023438,-115.35453796386719,-111.2493896484375,-112.73080444335938,-136.59967041015625,-123.5949478149414,-123.86970520019531,-98.36190032958984,-105.74864196777344,-108.77536010742188
der schriftsteller spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-103.66376495361328,-100.36224365234375,-114.82498168945312,-83.15901947021484,-82.09330749511719,-83.33104705810547,-107.34379577636719,-99.07379150390625,-118.51396942138672,-83.3562240600586,-81.15140533447266,-82.57799530029297,-112.04476928710938,-106.9322509765625,-100.80792236328125,-62.50859069824219,-65.58345031738281,-68.01703643798828
der schriftsteller spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-104.09568786621094,-102.17060852050781,-114.12875366210938,-90.140869140625,-84.06239318847656,-90.09779357910156,-107.99850463867188,-102.28044128417969,-113.95177459716797,-91.55697631835938,-85.4303970336914,-93.16910552978516,-116.00457763671875,-110.65774536132812,-102.59500122070312,-67.64051818847656,-68.50570678710938,-69.63169860839844
