sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
mark fixed one worn canal and roger fixed more .,-93.62085723876953,-90.35245513916016,-100.69395446777344,-93.27877807617188,-85.44073486328125,-82.14696502685547,-111.1062240600586,-103.90536499023438,-109.02238464355469,-96.81936645507812,-87.16643524169922,-85.50335693359375,-84.30178833007812,-84.46820831298828,-93.29776000976562,-87.15582275390625,-93.06446075439453,-86.66763305664062
mark fixed one canal and roger fixed more worn .,-95.13111877441406,-93.37370300292969,-101.94457244873047,-88.02337646484375,-82.73613739013672,-79.73857116699219,-110.39604187011719,-104.76749420166016,-108.69917297363281,-92.32231903076172,-83.05447387695312,-82.19532012939453,-84.78385162353516,-85.07855224609375,-90.81893920898438,-82.61872863769531,-89.29130554199219,-78.06771850585938
the slave fixed one worn canal and roger fixed more .,-97.25035858154297,-100.56553649902344,-108.84082794189453,-101.57396697998047,-94.41744232177734,-98.15900421142578,-114.95110321044922,-115.97312927246094,-118.58108520507812,-104.84606170654297,-95.50963592529297,-101.54649353027344,-95.61132049560547,-89.63829040527344,-97.60010528564453,-89.98539733886719,-92.38862609863281,-87.12492370605469
the slave fixed one canal and roger fixed more worn .,-100.35101318359375,-104.20249938964844,-110.18685913085938,-96.20294952392578,-94.42315673828125,-96.84005737304688,-109.85132598876953,-124.67596435546875,-117.19602966308594,-103.77798461914062,-94.68814849853516,-99.79279327392578,-96.04573059082031,-90.92687225341797,-94.43873596191406,-83.37897491455078,-88.97152709960938,-74.50152587890625
philip managed one personal duck and laura managed two .,-81.60432434082031,-85.71526336669922,-76.16763305664062,-81.37081909179688,-77.92347717285156,-77.08588409423828,-86.40735626220703,-96.63623809814453,-75.4641342163086,-83.06898498535156,-78.67045593261719,-78.85711669921875,-86.76573181152344,-93.89102172851562,-96.836181640625,-99.7491455078125,-98.03520202636719,-96.36125183105469
philip managed one duck and laura managed two personal .,-82.82341766357422,-83.3662109375,-75.85023498535156,-83.2712173461914,-80.21868133544922,-81.1719970703125,-87.43647766113281,-94.28778839111328,-76.58196258544922,-85.57952117919922,-78.81912231445312,-84.67533874511719,-83.9058837890625,-85.4240493774414,-90.2705307006836,-102.79568481445312,-98.81010437011719,-101.06808471679688
some wolf managed one personal duck and laura managed two .,-80.33984375,-83.35358428955078,-82.86434936523438,-100.44645690917969,-98.37118530273438,-92.50091552734375,-91.95079040527344,-98.0557861328125,-86.0142822265625,-104.04985809326172,-96.9034652709961,-92.21649932861328,-75.21178436279297,-82.08990478515625,-83.49015808105469,-99.06275939941406,-94.93327331542969,-96.21682739257812
some wolf managed one duck and laura managed two personal .,-79.36624145507812,-78.15135192871094,-82.92622375488281,-105.04400634765625,-100.38288879394531,-96.7254638671875,-90.6865005493164,-89.8592300415039,-89.74395751953125,-109.93101501464844,-97.66649627685547,-97.9835433959961,-71.45858001708984,-73.0718765258789,-76.11419677734375,-102.80107116699219,-95.87023162841797,-99.5707778930664
roger married one filled change and mark married two .,-72.32593536376953,-79.94917297363281,-71.17318725585938,-83.95732879638672,-84.13912200927734,-77.57270812988281,-72.28742218017578,-83.25267791748047,-82.07688903808594,-85.38944244384766,-89.27430725097656,-81.1733627319336,-74.97969055175781,-75.05572509765625,-69.09233856201172,-88.93583679199219,-81.56037902832031,-83.45279693603516
roger married one change and mark married two filled .,-67.81303405761719,-71.35557556152344,-72.81472778320312,-83.46800994873047,-79.1200180053711,-76.57276916503906,-66.38286590576172,-72.76519775390625,-80.22244262695312,-84.28263092041016,-81.97061920166016,-80.4227294921875,-78.94898223876953,-74.0789566040039,-69.93299865722656,-84.93545532226562,-78.24014282226562,-77.02750396728516
that wolf married one filled change and mark married two .,-76.282470703125,-86.12732696533203,-79.16231536865234,-93.02247619628906,-87.86442565917969,-81.83944702148438,-79.56339263916016,-96.26229095458984,-92.67095947265625,-94.66321563720703,-92.1922607421875,-82.29552459716797,-82.87423706054688,-78.46217346191406,-81.40862274169922,-95.10308837890625,-85.5911865234375,-91.62104034423828
that wolf married one change and mark married two filled .,-73.15045928955078,-77.87360382080078,-78.80472564697266,-92.93115234375,-83.56755065917969,-78.91358184814453,-78.24134826660156,-84.19622802734375,-88.8140869140625,-92.44479370117188,-85.60210418701172,-80.46755981445312,-87.47544860839844,-76.93089294433594,-80.80686950683594,-91.5135498046875,-82.19011688232422,-85.09662628173828
laura started one ready floor and laura started several .,-56.91817092895508,-59.03071975708008,-61.581321716308594,-88.0000228881836,-92.50947570800781,-84.7556381225586,-57.247169494628906,-65.39126586914062,-62.1077880859375,-89.26655578613281,-96.45108032226562,-82.27734375,-72.14585876464844,-64.45394134521484,-70.99812316894531,-96.58819580078125,-100.60051727294922,-96.64417266845703
laura started one floor and laura started several ready .,-57.43711471557617,-56.76850128173828,-57.61912536621094,-87.39939880371094,-90.93573760986328,-83.45954895019531,-57.7813835144043,-60.03291702270508,-60.39729309082031,-87.84415435791016,-95.60911560058594,-84.44627380371094,-74.08509826660156,-64.9440689086914,-70.83700561523438,-88.07835388183594,-95.20096588134766,-92.5726089477539
this boat started one ready floor and laura started several .,-76.43767547607422,-74.83182525634766,-72.8941650390625,-89.49143981933594,-93.80562591552734,-91.96664428710938,-83.27075958251953,-83.34883117675781,-74.79747772216797,-93.14674377441406,-100.17725372314453,-90.11924743652344,-76.91929626464844,-80.99959564208984,-79.22570037841797,-92.11554718017578,-93.16715240478516,-91.29618835449219
this boat started one floor and laura started several ready .,-75.32542419433594,-70.63479614257812,-68.65718078613281,-89.92767333984375,-92.23988342285156,-90.123779296875,-78.54894256591797,-77.18743133544922,-70.30267333984375,-95.20103454589844,-97.73736572265625,-90.03005981445312,-80.1762466430664,-80.51495361328125,-78.2695083618164,-83.90319061279297,-86.2679443359375,-88.39244842529297
philip visited one positive god and sarah visited several .,-86.1309814453125,-84.23934936523438,-79.29118347167969,-75.24734497070312,-71.57144165039062,-69.69471740722656,-86.5896987915039,-97.41362762451172,-92.38020324707031,-76.92854309082031,-76.00440979003906,-72.27176666259766,-93.0711898803711,-96.83063507080078,-105.62015533447266,-87.32921600341797,-84.37541198730469,-85.2818603515625
philip visited one god and sarah visited several positive .,-76.47696685791016,-79.0226821899414,-75.32061004638672,-76.16188049316406,-71.46308135986328,-70.3639144897461,-77.99445343017578,-89.8945541381836,-85.97525024414062,-78.35794830322266,-74.43659973144531,-72.89823150634766,-90.15763092041016,-90.22047424316406,-100.83216094970703,-87.17444610595703,-79.97183990478516,-83.82982635498047
his slave visited one positive god and sarah visited several .,-93.20759582519531,-93.43572998046875,-90.845947265625,-91.15616607666016,-86.05003356933594,-85.4104995727539,-93.60533905029297,-106.89395904541016,-100.49468231201172,-94.89505767822266,-88.0570297241211,-87.23015594482422,-99.59294128417969,-105.0140609741211,-111.20995330810547,-83.15423583984375,-83.75489807128906,-87.30155944824219
his slave visited one god and sarah visited several positive .,-83.1550064086914,-86.40130615234375,-86.26927947998047,-89.78595733642578,-85.97616577148438,-84.124267578125,-84.8176498413086,-100.2620620727539,-94.60543060302734,-93.04225158691406,-87.10421752929688,-87.95972442626953,-97.91081237792969,-96.63719177246094,-106.43760681152344,-82.6461181640625,-77.71253204345703,-84.80420684814453
michael visited one little whale and roger visited three .,-73.15872192382812,-68.82415771484375,-70.19039916992188,-75.06031799316406,-80.52445220947266,-68.6532211303711,-80.89832305908203,-70.27325439453125,-81.28414154052734,-76.42167663574219,-85.08899688720703,-69.72090148925781,-57.26137924194336,-69.111572265625,-67.04571533203125,-80.08139038085938,-80.6683578491211,-79.02392578125
michael visited one whale and roger visited three little .,-73.42291259765625,-67.20240783691406,-72.7645263671875,-77.1849365234375,-78.34782409667969,-72.08356475830078,-84.37762451171875,-72.8286361694336,-84.34728240966797,-78.3841552734375,-82.73009490966797,-74.05029296875,-62.494239807128906,-73.82733917236328,-72.6354751586914,-84.3606948852539,-84.25594329833984,-83.31016540527344
a sister visited one little whale and roger visited three .,-81.28741455078125,-80.12577819824219,-77.30628967285156,-81.2032241821289,-87.92676544189453,-74.75389862060547,-89.62911224365234,-91.41780853271484,-89.31277465820312,-84.34357452392578,-95.51582336425781,-77.17143249511719,-61.657588958740234,-67.94636535644531,-70.24960327148438,-79.40633392333984,-82.39894104003906,-75.28715515136719
a sister visited one whale and roger visited three little .,-80.07894134521484,-77.6668701171875,-79.76256561279297,-82.4280014038086,-85.14962768554688,-79.37052917480469,-91.70428466796875,-94.28655242919922,-92.47554016113281,-84.92723846435547,-91.18771362304688,-81.1014175415039,-66.9574966430664,-75.55965423583984,-76.6821060180664,-82.51980590820312,-83.68318939208984,-79.42436218261719
william moved one poor circle and alexander moved a lot more .,-74.9502944946289,-76.66584014892578,-80.12356567382812,-82.59086608886719,-77.75931549072266,-76.6761474609375,-82.53350830078125,-90.88310241699219,-84.72553253173828,-87.09996795654297,-77.91690826416016,-77.9935073852539,-60.66831970214844,-68.82730102539062,-70.57325744628906,-73.28064727783203,-73.20687103271484,-77.36327362060547
william moved one circle and alexander moved a lot more poor .,-81.92878723144531,-76.73113250732422,-80.43192291259766,-80.88136291503906,-72.01055145263672,-81.34233093261719,-91.23043823242188,-87.71085357666016,-85.30107879638672,-86.09668731689453,-73.24942016601562,-83.29766082763672,-66.1136703491211,-75.8720703125,-79.5718994140625,-63.57798767089844,-66.30525207519531,-71.0781478881836
her duke moved one poor circle and alexander moved a lot more .,-83.11003112792969,-88.29957580566406,-89.68619537353516,-87.12193298339844,-90.19049835205078,-82.15735626220703,-93.14346313476562,-99.22003936767578,-95.90426635742188,-89.72184753417969,-91.07453155517578,-84.48150634765625,-79.49258422851562,-80.4831314086914,-83.85247802734375,-79.66941833496094,-84.43055725097656,-83.17146301269531
her duke moved one circle and alexander moved a lot more poor .,-90.57044982910156,-90.3903579711914,-88.40916442871094,-85.17237091064453,-83.37024688720703,-86.82312774658203,-101.16201782226562,-98.39250946044922,-99.12571716308594,-89.10989379882812,-84.8071517944336,-89.18258666992188,-86.36502075195312,-87.59820556640625,-92.48696899414062,-69.36509704589844,-76.56344604492188,-78.0029296875
mark entered one hard dog and philip entered a lot more .,-79.73505401611328,-77.71484375,-76.19503021240234,-90.7169418334961,-88.06409454345703,-79.05633544921875,-99.37056732177734,-87.72925567626953,-85.39714050292969,-93.2887954711914,-92.11489868164062,-81.55866241455078,-72.80647277832031,-76.04835510253906,-71.60223388671875,-81.54829406738281,-81.81234741210938,-79.17912292480469
mark entered one dog and philip entered a lot more hard .,-83.20414733886719,-76.15800476074219,-75.79440307617188,-89.34679412841797,-86.50779724121094,-79.9480209350586,-101.80760192871094,-81.48560333251953,-85.99713134765625,-92.43626403808594,-91.06855010986328,-83.75482940673828,-70.95169067382812,-77.7447280883789,-74.42972564697266,-75.51847076416016,-81.96846771240234,-79.8292236328125
this dinosaur entered one hard dog and philip entered a lot more .,-88.71360778808594,-88.21927642822266,-84.94684600830078,-96.41534423828125,-94.04679107666016,-89.35835266113281,-112.61759948730469,-101.42974853515625,-99.91072082519531,-101.6021499633789,-97.79415893554688,-95.84294128417969,-76.14360046386719,-76.53181457519531,-74.31747436523438,-84.02239227294922,-85.51721954345703,-85.070068359375
this dinosaur entered one dog and philip entered a lot more hard .,-90.92127227783203,-84.19828033447266,-84.43477630615234,-92.87776184082031,-93.02779388427734,-92.1855697631836,-112.2196044921875,-93.19839477539062,-97.78619384765625,-95.60879516601562,-97.02203369140625,-100.61695098876953,-75.48567199707031,-78.77632141113281,-78.9068603515625,-79.28348541259766,-85.47119140625,-86.02871704101562
alexander moved one nice pain and michael moved a lot more .,-79.84681701660156,-82.01851654052734,-80.20829010009766,-80.6683120727539,-82.29020690917969,-83.0054702758789,-87.13583374023438,-99.06283569335938,-85.60295104980469,-85.90837860107422,-81.96995544433594,-84.4723129272461,-63.661800384521484,-71.46861267089844,-72.49948120117188,-89.09835815429688,-93.75182342529297,-96.41783142089844
alexander moved one pain and michael moved a lot more nice .,-85.88642883300781,-85.46857452392578,-82.5861587524414,-76.77808380126953,-76.11603546142578,-79.4497299194336,-92.80889129638672,-108.7640380859375,-94.13624572753906,-80.20247650146484,-76.0513687133789,-80.21940612792969,-67.34308624267578,-73.52650451660156,-79.2545166015625,-85.05968475341797,-90.49249267578125,-94.73633575439453
a boat moved one nice pain and michael moved a lot more .,-79.86014556884766,-88.61483764648438,-77.84658813476562,-99.64785766601562,-102.72901153564453,-102.47456359863281,-86.13241577148438,-96.195068359375,-84.89744567871094,-102.2370834350586,-104.68052673339844,-104.40884399414062,-66.55793762207031,-70.439453125,-67.81953430175781,-94.08516693115234,-97.86825561523438,-99.59532165527344
a boat moved one pain and michael moved a lot more nice .,-85.9976577758789,-93.94559478759766,-81.2369384765625,-94.10871124267578,-98.55633544921875,-98.5111083984375,-95.67957305908203,-105.828857421875,-98.35681915283203,-93.79157257080078,-101.34661865234375,-100.42424774169922,-72.11141967773438,-72.72515106201172,-74.52598571777344,-90.2577133178711,-95.71357727050781,-97.95686340332031
richard entered one flat circle and mark entered several .,-79.3317642211914,-78.731201171875,-68.81521606445312,-75.42898559570312,-75.1686782836914,-79.40717315673828,-89.6745834350586,-82.74150848388672,-79.74798583984375,-77.72291564941406,-76.83847045898438,-79.69891357421875,-70.02996826171875,-75.57728576660156,-78.40343475341797,-73.37068176269531,-71.2359848022461,-74.1135482788086
richard entered one circle and mark entered several flat .,-76.90316772460938,-79.37156677246094,-61.02937316894531,-75.19222259521484,-72.80087280273438,-74.96006774902344,-89.19465637207031,-81.53215026855469,-77.31827545166016,-77.51217651367188,-76.65560150146484,-76.41383361816406,-68.27783966064453,-76.28817749023438,-76.37960815429688,-75.33287811279297,-71.72447967529297,-75.53911590576172
your wolf entered one flat circle and mark entered several .,-89.60015869140625,-87.75012969970703,-81.90950775146484,-92.45172119140625,-92.37226867675781,-90.45748901367188,-102.53540802001953,-98.17584228515625,-89.41626739501953,-96.92420196533203,-93.83602142333984,-88.41651916503906,-71.54319763183594,-83.84098815917969,-79.01023864746094,-84.7701644897461,-81.85111999511719,-87.41305541992188
your wolf entered one circle and mark entered several flat .,-86.61099243164062,-86.9425277709961,-73.38143920898438,-91.3931655883789,-91.7955322265625,-87.47784423828125,-102.39972686767578,-96.14922332763672,-85.66610717773438,-96.12384033203125,-96.16319274902344,-87.86009979248047,-73.38404846191406,-84.25774383544922,-76.76116943359375,-87.27815246582031,-82.5667724609375,-88.37579345703125
michael carried one yellow dog and richard carried three .,-57.573036193847656,-60.08574295043945,-59.51209259033203,-73.80110168457031,-69.7845687866211,-71.65011596679688,-65.63253021240234,-63.690608978271484,-63.924346923828125,-73.555419921875,-71.94888305664062,-72.20149230957031,-58.38095474243164,-60.35914611816406,-61.56133270263672,-80.52569580078125,-78.88931274414062,-78.27456665039062
michael carried one dog and richard carried three yellow .,-61.01006317138672,-59.304718017578125,-60.84915542602539,-74.132568359375,-70.3067398071289,-67.51724243164062,-68.77210998535156,-65.6312484741211,-72.63999938964844,-74.89891815185547,-72.81452178955078,-69.35749816894531,-65.44252014160156,-63.642791748046875,-63.79380798339844,-88.12355041503906,-83.04717254638672,-83.46810913085938
a duke carried one yellow dog and richard carried three .,-70.3383560180664,-80.78143310546875,-74.17610168457031,-83.11743927001953,-82.2300796508789,-79.09626770019531,-83.50605773925781,-90.25130462646484,-79.80142211914062,-81.75613403320312,-85.76866149902344,-80.97429656982422,-69.53148651123047,-70.49309539794922,-74.36809539794922,-79.01732635498047,-81.22924041748047,-72.63601684570312
a duke carried one dog and richard carried three yellow .,-75.0303955078125,-80.04955291748047,-75.58418273925781,-82.49095153808594,-82.56352996826172,-76.42709350585938,-86.19075775146484,-90.40031433105469,-90.24764251708984,-81.2778091430664,-86.13681030273438,-78.14567565917969,-73.880615234375,-75.05864715576172,-77.84283447265625,-85.17506408691406,-84.1520767211914,-77.0601577758789
sarah visited one nice telephone and richard visited more .,-65.52592468261719,-68.50750732421875,-65.07904052734375,-88.2623291015625,-92.10388946533203,-88.23391723632812,-70.3053970336914,-77.51538848876953,-78.61915588378906,-86.8835678100586,-94.7449951171875,-93.51158142089844,-62.521121978759766,-67.65088653564453,-80.42449951171875,-96.47528839111328,-104.07121276855469,-95.90486145019531
