sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the women meet.,-41.968589782714844,-43.75127410888672,-45.24500274658203,-37.426395416259766,-40.93054962158203,-39.592811584472656,-47.310951232910156,-46.157447814941406,-46.872222900390625,-37.13916778564453,-41.63039016723633,-40.11426544189453,-42.05058670043945,-41.005069732666016,-42.67123031616211,-33.9752197265625,-29.85944366455078,-34.427955627441406
the woman meet.,-41.744537353515625,-44.24395751953125,-44.95770263671875,-42.36350631713867,-42.35896682739258,-40.36573028564453,-44.719120025634766,-48.434696197509766,-47.28516387939453,-42.731651306152344,-42.89697265625,-41.961944580078125,-42.04344177246094,-40.26089096069336,-41.35830307006836,-31.958032608032227,-30.884075164794922,-35.64757537841797
the child isn't attacking becky.,-56.32764434814453,-60.566925048828125,-58.280372619628906,-61.12989044189453,-61.445003509521484,-58.83999252319336,-59.772377014160156,-61.4998664855957,-66.00010681152344,-59.447242736816406,-61.466819763183594,-60.86521911621094,-66.61146545410156,-70.04084014892578,-63.421470642089844,-49.135765075683594,-52.93816375732422,-59.886085510253906
the children isn't attacking becky.,-55.67591857910156,-57.143104553222656,-57.79869079589844,-64.20359802246094,-67.90966796875,-61.58594512939453,-61.28928756713867,-65.11109924316406,-64.0555419921875,-61.97388458251953,-69.7896728515625,-63.234310150146484,-59.10697937011719,-70.0890121459961,-62.74075698852539,-53.959903717041016,-57.93334197998047,-64.8613052368164
the woman cleans every public park.,-64.70358276367188,-65.64488983154297,-65.50545501708984,-69.6556625366211,-71.27493286132812,-68.46485900878906,-72.95122528076172,-77.00739288330078,-62.2655029296875,-71.5498046875,-72.31086730957031,-68.98126983642578,-77.810302734375,-74.64730834960938,-77.06758880615234,-62.1087532043457,-58.52423858642578,-58.292118072509766
the women cleans every public park.,-66.82892608642578,-65.4200668334961,-64.65752410888672,-70.8370361328125,-72.81185913085938,-71.43115997314453,-76.93721771240234,-75.76049041748047,-64.34217071533203,-72.17027282714844,-73.79737854003906,-72.04634094238281,-76.82902526855469,-74.75147247314453,-76.6839599609375,-60.23141098022461,-54.70406723022461,-57.72418212890625
the man works with some pedestrian.,-65.59519958496094,-64.06085968017578,-63.61963653564453,-41.766937255859375,-44.865638732910156,-46.195396423339844,-71.26942443847656,-71.27462768554688,-71.57897186279297,-44.027862548828125,-45.05830383300781,-46.53898620605469,-71.55917358398438,-71.37606048583984,-72.78262329101562,-63.223934173583984,-60.11692810058594,-63.5307731628418
the men works with some pedestrian.,-70.68416595458984,-66.76051330566406,-70.4448013305664,-44.149513244628906,-47.90235137939453,-47.9078369140625,-74.82123565673828,-72.54026794433594,-76.27161407470703,-44.79390335083008,-47.305477142333984,-49.366966247558594,-71.57500457763672,-76.4779281616211,-78.4673080444336,-66.97151947021484,-58.98429870605469,-64.8089828491211
the men have revealed christina.,-56.070770263671875,-56.848392486572266,-62.8562126159668,-54.50351333618164,-56.65451431274414,-52.20734405517578,-59.086280822753906,-67.51690673828125,-61.5014762878418,-55.69636154174805,-60.48284912109375,-55.25716781616211,-85.93792724609375,-81.17415618896484,-82.72798919677734,-50.30599594116211,-47.423362731933594,-52.12226486206055
the man have revealed christina.,-64.8755111694336,-64.29434967041016,-70.44762420654297,-55.98113250732422,-61.82707214355469,-57.80093765258789,-68.02765655517578,-67.47301483154297,-71.1528549194336,-57.98788070678711,-65.91484832763672,-61.262901306152344,-90.91746520996094,-86.94780731201172,-88.37682342529297,-53.54961395263672,-52.38920211791992,-59.81809997558594
the men weren't benefiting.,-68.07769012451172,-71.53785705566406,-74.31266021728516,-36.74238586425781,-34.824432373046875,-35.850074768066406,-71.83966064453125,-74.6551284790039,-78.83322143554688,-37.906036376953125,-35.10099792480469,-30.19782257080078,-68.04920196533203,-68.70268249511719,-68.81954956054688,-66.1490249633789,-67.27715301513672,-67.24654388427734
the man weren't benefiting.,-74.20642852783203,-74.29966735839844,-78.92949676513672,-38.86529541015625,-41.36695861816406,-40.30011749267578,-83.4206314086914,-76.4717788696289,-83.58375549316406,-41.527198791503906,-45.107643127441406,-35.92921447753906,-74.3150863647461,-72.0572280883789,-73.38155364990234,-69.30392456054688,-67.14837646484375,-71.27693939208984
the children haven't loved julie.,-57.94075393676758,-62.46321105957031,-57.05796432495117,-48.3214111328125,-51.504268646240234,-50.40061950683594,-61.423587799072266,-68.98754119873047,-61.02176284790039,-49.15585708618164,-54.015445709228516,-48.799346923828125,-53.75123977661133,-55.21099090576172,-52.437252044677734,-65.94645690917969,-68.04441833496094,-67.47675323486328
