sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the authors laugh and swim,-48.4455680847168,-47.116233825683594,-53.982051849365234,-44.05827331542969,-33.86745834350586,-41.617427825927734,-57.11566162109375,-47.01994323730469,-64.63046264648438,-46.40854263305664,-36.18644714355469,-47.7226448059082,-51.054168701171875,-51.00957107543945,-60.0401611328125,-37.3194580078125,-37.49197769165039,-38.99028396606445
the authors laugh and swims,-50.0036506652832,-49.3533821105957,-54.62186050415039,-45.24101257324219,-37.5610237121582,-40.361507415771484,-59.04443359375,-50.40524673461914,-65.43701934814453,-45.32524108886719,-41.14020919799805,-46.6967658996582,-54.837074279785156,-50.63374328613281,-62.09128952026367,-44.77804946899414,-39.90861892700195,-43.95478820800781
the authors laugh and smile,-48.37308120727539,-46.375572204589844,-52.42544937133789,-41.37021255493164,-33.7632942199707,-44.32500457763672,-51.60453796386719,-46.95864486694336,-61.86991882324219,-43.220947265625,-35.984371185302734,-50.80540084838867,-52.0670166015625,-53.33529281616211,-60.01277160644531,-41.350914001464844,-39.87737274169922,-43.84740447998047
the authors laugh and smiles,-52.960601806640625,-50.937129974365234,-56.152957916259766,-42.34182357788086,-35.58280944824219,-40.79422378540039,-59.63688659667969,-51.18750762939453,-62.847190856933594,-43.43086242675781,-38.034393310546875,-46.04023361206055,-52.0682373046875,-55.95256042480469,-55.426124572753906,-46.45970153808594,-42.3138542175293,-45.475223541259766
the authors laugh and are tall,-59.500526428222656,-58.1386833190918,-63.86490249633789,-47.23406219482422,-40.80250930786133,-48.30631637573242,-67.3452377319336,-60.82872009277344,-72.75067138671875,-50.00389862060547,-42.32252883911133,-54.72503662109375,-54.46554183959961,-65.40194702148438,-62.932979583740234,-43.07176971435547,-45.50690460205078,-44.58873748779297
the authors laugh and is tall,-59.128726959228516,-54.31252670288086,-62.572208404541016,-50.461483001708984,-42.763851165771484,-48.03825759887695,-68.09333801269531,-55.28133010864258,-69.72297668457031,-54.137786865234375,-44.94021987915039,-54.94075393676758,-54.43263626098633,-63.501312255859375,-60.85969543457031,-42.3221321105957,-43.60127639770508,-42.554954528808594
the authors laugh and are old,-58.85190200805664,-57.008121490478516,-60.129878997802734,-45.536643981933594,-36.83224105834961,-46.75467300415039,-67.5202407836914,-60.79254150390625,-66.86226654052734,-47.23786544799805,-38.564701080322266,-52.2366828918457,-53.509403228759766,-61.130462646484375,-61.679656982421875,-38.9965934753418,-45.645999908447266,-43.03468704223633
the authors laugh and is old,-59.58143997192383,-54.591129302978516,-61.305904388427734,-49.509254455566406,-39.438053131103516,-47.36348342895508,-69.10871887207031,-56.66231918334961,-66.66724395751953,-52.94216537475586,-42.927242279052734,-53.493587493896484,-52.20351791381836,-59.030982971191406,-61.347496032714844,-39.74163055419922,-46.10823440551758,-42.52227783203125
the authors laugh and are young,-56.842281341552734,-57.36439895629883,-61.30514907836914,-43.8886604309082,-35.59231185913086,-43.75055694580078,-66.00382995605469,-61.89693832397461,-70.4180908203125,-45.47749710083008,-36.75802230834961,-49.74143981933594,-54.17415237426758,-59.70875549316406,-62.27646255493164,-40.892295837402344,-40.13622283935547,-40.82822036743164
the authors laugh and is young,-57.7698860168457,-55.81306076049805,-62.21477127075195,-47.81547546386719,-39.82980728149414,-45.75820541381836,-68.29496765136719,-57.413570404052734,-69.61446380615234,-50.734886169433594,-42.62112045288086,-51.70817947387695,-54.429378509521484,-58.186126708984375,-61.0308837890625,-41.88913345336914,-41.33924102783203,-42.13039016723633
