sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
i brought the wolf my hill .,-41.934566497802734,-39.078853607177734,-42.406402587890625,-43.68927001953125,-47.7124137878418,-42.94902038574219,-40.69439697265625,-40.748779296875,-48.67168426513672,-43.19698715209961,-49.6020622253418,-43.622703552246094,-65.11576080322266,-48.810272216796875,-50.204898834228516,-47.19984817504883,-50.10356903076172,-45.35811996459961
the wolf brought i my hill .,-46.45391845703125,-47.79084014892578,-51.549320220947266,-58.08496856689453,-56.65300750732422,-55.0733528137207,-43.656227111816406,-55.541019439697266,-60.01940155029297,-58.701812744140625,-58.21822738647461,-56.37168502807617,-65.68736267089844,-51.69706726074219,-51.05388641357422,-44.245208740234375,-47.21116256713867,-45.0943489074707
i gave the wolf her night .,-42.56510925292969,-40.299781799316406,-40.12855529785156,-38.029911041259766,-41.046234130859375,-40.91905212402344,-48.868133544921875,-46.695159912109375,-43.610382080078125,-37.94969940185547,-40.3094596862793,-40.966468811035156,-62.100894927978516,-44.94343185424805,-46.809173583984375,-40.837181091308594,-45.60743713378906,-39.03363037109375
the wolf gave i her night .,-45.13948059082031,-46.09904098510742,-44.66127014160156,-53.5042724609375,-52.002784729003906,-52.908599853515625,-53.06163024902344,-54.18458557128906,-50.632816314697266,-54.1026496887207,-52.903968811035156,-54.03367614746094,-61.31564712524414,-47.82987976074219,-48.18555450439453,-40.482391357421875,-43.8757438659668,-42.75835418701172
we showed the dinosaur this person .,-34.59406280517578,-35.265594482421875,-36.43665313720703,-44.877071380615234,-49.38645935058594,-47.094295501708984,-40.730010986328125,-40.014251708984375,-37.51665496826172,-46.09244918823242,-49.99854278564453,-48.480369567871094,-57.567684173583984,-47.29682159423828,-47.014190673828125,-56.9031867980957,-59.47450256347656,-61.084327697753906
the dinosaur showed we this person .,-39.711612701416016,-45.46088409423828,-42.688907623291016,-60.212364196777344,-55.17594909667969,-59.822120666503906,-44.7799072265625,-54.27286148071289,-48.341243743896484,-61.14167785644531,-54.664024353027344,-60.38364791870117,-59.650245666503906,-47.286930084228516,-48.01936340332031,-51.32598876953125,-56.987083435058594,-48.23609161376953
they built the doctor her dance .,-42.07489013671875,-45.729957580566406,-41.016483306884766,-47.79545211791992,-47.4991340637207,-45.40217590332031,-47.09526062011719,-49.401817321777344,-41.93156814575195,-49.641380310058594,-49.077781677246094,-47.226226806640625,-63.64170455932617,-61.331451416015625,-57.54856872558594,-43.729469299316406,-46.7230224609375,-42.885536193847656
the doctor built they her dance .,-46.29481887817383,-46.274776458740234,-44.69052505493164,-58.718101501464844,-51.93418502807617,-54.822967529296875,-50.4922981262207,-45.78876495361328,-46.20741271972656,-59.95965576171875,-52.74278259277344,-55.89069366455078,-67.21835327148438,-60.730384826660156,-60.953155517578125,-51.69038391113281,-59.55011749267578,-53.135643005371094
i brought the dinosaur one memory .,-36.55732345581055,-38.38338851928711,-34.2822265625,-44.861839294433594,-47.23808288574219,-49.20085906982422,-38.43952178955078,-44.007041931152344,-37.29783630371094,-47.04623031616211,-47.740821838378906,-49.88611602783203,-59.36528396606445,-50.84428024291992,-47.35411834716797,-57.829254150390625,-62.27093505859375,-59.4161376953125
the dinosaur brought i one memory .,-47.09165954589844,-48.654762268066406,-45.87107849121094,-62.439422607421875,-59.521995544433594,-65.6306381225586,-51.584877014160156,-55.519805908203125,-53.24081802368164,-65.31582641601562,-63.050209045410156,-68.77465057373047,-62.41554641723633,-54.050315856933594,-48.62042236328125,-56.11034393310547,-61.845550537109375,-57.34560012817383
they gave the pig his suit .,-34.99317932128906,-33.538543701171875,-34.51886749267578,-42.136695861816406,-43.34294128417969,-38.95088195800781,-40.72035598754883,-37.790367126464844,-42.719425201416016,-41.52174758911133,-41.26876449584961,-40.19024658203125,-50.711082458496094,-53.83036422729492,-49.83123779296875,-42.69469451904297,-43.45050048828125,-41.00379943847656
the pig gave they his suit .,-44.0817756652832,-42.18495178222656,-47.36615753173828,-50.17134094238281,-50.07022476196289,-48.174320220947266,-52.451202392578125,-47.522247314453125,-55.510074615478516,-50.79499053955078,-49.78227233886719,-52.36225509643555,-53.3077392578125,-54.81041717529297,-50.995052337646484,-48.063690185546875,-52.28121566772461,-49.521446228027344
they brought the slave this label .,-44.71982955932617,-40.96220779418945,-41.724952697753906,-41.079368591308594,-43.0152473449707,-40.302268981933594,-44.78826904296875,-41.47672653198242,-50.943519592285156,-42.00147247314453,-45.4169807434082,-42.39093017578125,-51.80971145629883,-60.98365783691406,-52.73332595825195,-38.94213104248047,-43.255828857421875,-41.98412322998047
the slave brought they this label .,-52.54303741455078,-47.411964416503906,-55.465736389160156,-47.63797378540039,-48.64762496948242,-50.66619873046875,-49.18446350097656,-51.42229461669922,-64.73370361328125,-49.41975021362305,-49.36307144165039,-52.72914123535156,-58.327537536621094,-66.52544403076172,-59.55998992919922,-48.29961013793945,-54.75722122192383,-54.219505310058594
i gave the doctor my camera .,-32.61863708496094,-32.70208740234375,-33.55283737182617,-39.06572341918945,-40.40182876586914,-35.323265075683594,-34.03172302246094,-35.57838821411133,-34.652931213378906,-40.608890533447266,-42.12841796875,-35.028289794921875,-61.189849853515625,-50.51879119873047,-50.090187072753906,-39.562339782714844,-42.27070236206055,-39.9838752746582
the doctor gave i my camera .,-37.42549133300781,-38.82917404174805,-35.575077056884766,-53.46369934082031,-48.73234558105469,-50.661746978759766,-40.28382873535156,-41.77859878540039,-36.36357879638672,-55.158931732177734,-50.810791015625,-48.90074920654297,-61.85716247558594,-53.420772552490234,-52.99992370605469,-39.49551010131836,-42.49356460571289,-40.93943786621094
we brought the slave the mind .,-46.77493667602539,-41.24845886230469,-45.41312789916992,-38.385868072509766,-41.39816665649414,-42.5760612487793,-51.320762634277344,-45.17608642578125,-50.14398193359375,-39.409767150878906,-41.24170684814453,-44.603336334228516,-58.21261978149414,-51.1694221496582,-50.26382064819336,-37.853492736816406,-41.322235107421875,-40.31241989135742
the slave brought we the mind .,-53.2019157409668,-50.68934631347656,-55.58162307739258,-55.573333740234375,-46.75374984741211,-56.735591888427734,-54.3166618347168,-62.38904571533203,-61.505104064941406,-57.00077819824219,-46.16594314575195,-57.02627944946289,-61.3980827331543,-55.39026641845703,-55.445831298828125,-38.38628387451172,-44.11445236206055,-43.15010452270508
we showed the boat his game .,-38.6396484375,-39.88035583496094,-38.02547073364258,-46.91552734375,-48.2188606262207,-49.11714553833008,-41.07492446899414,-42.554412841796875,-37.695858001708984,-47.721012115478516,-46.263309478759766,-50.976898193359375,-63.24381637573242,-51.16541290283203,-50.58657455444336,-47.328330993652344,-52.081031799316406,-45.787391662597656
the boat showed we his game .,-39.74760818481445,-46.152099609375,-43.07330322265625,-56.14356231689453,-59.337467193603516,-57.73368835449219,-41.87993621826172,-52.14215850830078,-43.294681549072266,-56.49262237548828,-58.486392974853516,-60.276893615722656,-63.43068313598633,-53.507476806640625,-51.16909408569336,-51.99538803100586,-52.746925354003906,-44.74721145629883
we gave the slave one memory .,-46.452579498291016,-45.0075798034668,-41.520835876464844,-40.730308532714844,-44.59067153930664,-48.08739471435547,-51.282989501953125,-49.113075256347656,-46.911834716796875,-40.33806228637695,-44.50239562988281,-47.882179260253906,-59.59542465209961,-54.90985870361328,-53.45735549926758,-51.88362121582031,-54.77409362792969,-49.43238067626953
the slave gave we one memory .,-49.9809684753418,-47.02619552612305,-50.22557067871094,-55.39807891845703,-54.44295883178711,-63.97087860107422,-52.856571197509766,-53.285526275634766,-53.14045715332031,-57.332069396972656,-56.244388580322266,-62.612037658691406,-59.09733200073242,-54.797481536865234,-55.468074798583984,-53.09874725341797,-54.02812576293945,-54.228111267089844
we made the pig the sky .,-31.6424560546875,-32.33315658569336,-31.111221313476562,-33.22709655761719,-38.65397262573242,-38.08679962158203,-37.85231018066406,-35.45403289794922,-30.440837860107422,-33.13398361206055,-39.237064361572266,-40.91680145263672,-59.16454315185547,-48.0076904296875,-47.7834358215332,-40.85682678222656,-37.3685188293457,-36.31126403808594
the pig made we the sky .,-44.352012634277344,-43.14048767089844,-45.13732147216797,-55.44972610473633,-53.424068450927734,-54.99946594238281,-46.35282897949219,-45.081138610839844,-49.10651779174805,-57.20368957519531,-51.36031723022461,-57.35408401489258,-61.77777099609375,-47.82490921020508,-50.50404357910156,-46.75114059448242,-47.62430191040039,-44.34846878051758
i built the pig my book .,-33.352928161621094,-34.14335250854492,-37.70100402832031,-43.56877136230469,-43.473899841308594,-42.84211730957031,-39.708370208740234,-35.04526138305664,-41.651947021484375,-42.75542068481445,-40.3143310546875,-43.435768127441406,-59.82149887084961,-52.34441375732422,-54.92111587524414,-47.4553337097168,-54.25555419921875,-49.49887466430664
the pig built i my book .,-44.65019226074219,-39.793304443359375,-44.281219482421875,-58.979766845703125,-60.088478088378906,-56.839759826660156,-48.70686340332031,-43.382179260253906,-46.959075927734375,-62.78647232055664,-60.988685607910156,-56.36420822143555,-61.35348129272461,-56.2828483581543,-55.4391975402832,-52.38035583496094,-57.95753479003906,-50.925331115722656
we brought the doctor that fuel .,-38.22574234008789,-37.840938568115234,-38.08310317993164,-37.83389663696289,-44.142879486083984,-41.45488739013672,-40.35771942138672,-43.14806365966797,-40.17937088012695,-37.39451217651367,-46.18640899658203,-41.87310028076172,-60.52214431762695,-56.697784423828125,-51.64997863769531,-50.70295333862305,-49.59010314941406,-47.738975524902344
the doctor brought we that fuel .,-42.862762451171875,-42.806053161621094,-37.869937896728516,-57.440673828125,-52.95631408691406,-55.69382858276367,-42.15987014770508,-47.00914001464844,-38.20372009277344,-57.40190505981445,-54.61424255371094,-56.166255950927734,-63.146644592285156,-58.203094482421875,-54.92152786254883,-54.89931869506836,-55.270912170410156,-52.08441925048828
we built the sister the bet .,-41.64311218261719,-41.00803756713867,-45.717864990234375,-45.87590026855469,-43.44585418701172,-46.85511016845703,-46.007301330566406,-47.16304397583008,-46.2707633972168,-46.15147018432617,-43.021507263183594,-48.11371612548828,-55.40082550048828,-50.23432159423828,-48.495243072509766,-50.03436279296875,-48.23479461669922,-47.10960388183594
the sister built we the bet .,-51.21265411376953,-45.37310028076172,-53.24348449707031,-58.233211517333984,-53.953243255615234,-59.71617889404297,-59.954368591308594,-50.465606689453125,-61.466617584228516,-59.81309127807617,-55.58395004272461,-57.57844924926758,-59.56660461425781,-50.36193084716797,-51.21868896484375,-52.88227844238281,-53.64229202270508,-50.79072952270508
she built the sister her hill .,-43.38274383544922,-38.77156066894531,-45.13739776611328,-41.73249816894531,-42.36973571777344,-43.072940826416016,-47.75494384765625,-41.32906723022461,-46.958499908447266,-43.45994186401367,-43.528377532958984,-45.85145950317383,-56.058326721191406,-50.58982849121094,-48.30692672729492,-48.28694534301758,-46.8731575012207,-45.56397247314453
the sister built she her hill .,-49.30330276489258,-45.52315139770508,-51.62965774536133,-59.080631256103516,-58.50110626220703,-61.13651657104492,-57.69151306152344,-49.25870895385742,-58.549652099609375,-61.45700454711914,-62.26039123535156,-60.06926727294922,-56.684730529785156,-50.69918441772461,-50.25214767456055,-56.04386520385742,-56.53765106201172,-50.228431701660156
i showed the sister this book .,-32.958770751953125,-31.54161834716797,-29.796649932861328,-47.815216064453125,-42.221031188964844,-45.999141693115234,-36.12965393066406,-33.204463958740234,-33.93067932128906,-46.44469451904297,-43.3953742980957,-47.859397888183594,-52.0327033996582,-46.28752899169922,-46.99728012084961,-47.051422119140625,-48.57343292236328,-45.50417709350586
the sister showed i this book .,-35.71321487426758,-37.204925537109375,-31.504907608032227,-53.63721466064453,-50.849430084228516,-52.530364990234375,-39.808204650878906,-46.80999755859375,-36.86949920654297,-54.18647003173828,-50.74358367919922,-53.777915954589844,-57.7208366394043,-49.396671295166016,-49.50135040283203,-51.572227478027344,-56.045589447021484,-49.22356414794922
they built the boat her lady .,-45.79707336425781,-42.515724182128906,-43.668521881103516,-44.41864013671875,-44.47628402709961,-47.50005340576172,-52.08226013183594,-47.58841323852539,-48.2882080078125,-45.36827087402344,-45.245460510253906,-48.25338363647461,-52.74530792236328,-51.95193099975586,-51.81817626953125,-33.60906219482422,-41.395904541015625,-35.03705978393555
the boat built they her lady .,-52.779396057128906,-53.290714263916016,-52.12928009033203,-52.695411682128906,-56.015464782714844,-59.41864776611328,-58.88438034057617,-57.406681060791016,-55.14359664916992,-55.07577896118164,-57.29058074951172,-60.348060607910156,-55.34083938598633,-55.372554779052734,-54.815879821777344,-42.86903762817383,-51.07109069824219,-46.64114761352539
i gave the duke her person .,-48.1180305480957,-41.176963806152344,-43.437747955322266,-38.315406799316406,-40.53883361816406,-37.184730529785156,-49.60780334472656,-44.46388244628906,-48.94099044799805,-39.75922775268555,-41.86428451538086,-38.305423736572266,-62.23096466064453,-54.162254333496094,-53.5283088684082,-34.856101989746094,-42.086524963378906,-33.52589797973633
the duke gave i her person .,-45.152305603027344,-52.348636627197266,-45.82068634033203,-48.92963790893555,-43.60620880126953,-44.718021392822266,-52.06776428222656,-56.3167839050293,-55.345298767089844,-49.487701416015625,-44.034297943115234,-46.34831619262695,-62.83641052246094,-60.882598876953125,-54.62632369995117,-37.4404182434082,-38.683597564697266,-36.61895751953125
