sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
l' auteur déménage et déménage,-45.616546630859375,-41.1960334777832,-44.77335739135742,-97.16017150878906,-111.92768859863281,-101.5532455444336,-46.40859603881836,-58.28010177612305,-72.2939224243164,-99.98078155517578,-130.656005859375,-120.43450164794922,-136.39588928222656,-133.0464630126953,-135.91600036621094,-38.891292572021484,-42.15070724487305,-36.622493743896484
l' auteur déménage et déménagent,-51.76734924316406,-48.0590934753418,-48.40433120727539,-99.85382080078125,-117.74409484863281,-100.58480072021484,-50.36833953857422,-64.59652709960938,-68.3376693725586,-98.45048522949219,-137.23789978027344,-125.8156509399414,-132.170166015625,-136.78814697265625,-137.0084228515625,-55.09683609008789,-53.36065673828125,-49.64666748046875
l' auteur déménage et parle,-42.442474365234375,-43.55714416503906,-45.48611831665039,-66.93896484375,-73.00054168701172,-70.30058288574219,-42.8408203125,-58.30391311645508,-70.9397964477539,-73.3305892944336,-92.00355529785156,-85.23560333251953,-84.19981384277344,-87.80327606201172,-87.8492431640625,-47.0966796875,-49.919952392578125,-42.04253387451172
l' auteur déménage et parlent,-45.722084045410156,-46.752296447753906,-47.187156677246094,-71.90138244628906,-78.69486999511719,-74.86882019042969,-45.5233154296875,-64.33877563476562,-73.07373046875,-77.85197448730469,-95.67298126220703,-98.54743194580078,-87.14961242675781,-89.81637573242188,-95.08381652832031,-48.62527847290039,-52.805442810058594,-46.08132553100586
l' auteur déménage et retourne,-44.63847732543945,-45.65281677246094,-46.31413269042969,-68.0411376953125,-77.89111328125,-73.25191497802734,-50.511512756347656,-62.07194900512695,-67.62298583984375,-75.58434295654297,-97.32970428466797,-83.78175354003906,-86.23981475830078,-88.28300476074219,-94.09310150146484,-42.689453125,-49.61131286621094,-39.06463623046875
l' auteur déménage et retournent,-47.37310028076172,-48.79034423828125,-44.735572814941406,-73.29276275634766,-79.14521789550781,-76.52782440185547,-48.501731872558594,-64.97575378417969,-69.71527862548828,-81.60987854003906,-97.62139129638672,-89.4477767944336,-86.24398040771484,-85.69902038574219,-91.04883575439453,-48.404747009277344,-53.94767379760742,-48.24159240722656
l' auteur déménage et est petit,-47.542938232421875,-50.81460189819336,-46.04301834106445,-73.37637329101562,-82.96250915527344,-78.06072235107422,-46.805606842041016,-67.8172378540039,-67.82286071777344,-79.1478042602539,-100.59333801269531,-92.30868530273438,-90.61126708984375,-92.39453887939453,-93.58011627197266,-52.57755661010742,-55.62175750732422,-43.07278060913086
l' auteur déménage et sont petits,-49.72578430175781,-51.95689392089844,-50.0937614440918,-79.517333984375,-88.73284912109375,-82.80221557617188,-53.90400695800781,-73.79879760742188,-73.28041076660156,-88.02395629882812,-107.49195098876953,-102.0291748046875,-90.6537857055664,-91.50119018554688,-98.34835815429688,-53.51327896118164,-55.448158264160156,-41.44383239746094
l' auteur déménage et est grand,-46.87763595581055,-51.210357666015625,-47.41160583496094,-74.47331237792969,-82.93417358398438,-76.79361724853516,-48.830223083496094,-69.02383422851562,-70.55357360839844,-80.73409271240234,-99.29973602294922,-94.40985107421875,-89.00546264648438,-92.18861389160156,-95.35924530029297,-53.88788604736328,-56.554664611816406,-43.65753936767578
l' auteur déménage et sont grands,-49.42229080200195,-51.021881103515625,-49.17308807373047,-78.19564819335938,-86.17684936523438,-82.79731750488281,-52.495628356933594,-69.85981750488281,-73.63652038574219,-86.08556365966797,-105.31971740722656,-101.91387939453125,-90.61522674560547,-89.19054412841797,-97.1493911743164,-55.1534423828125,-55.873050689697266,-43.75372314453125
l' auteur déménage et est vieux,-51.29204559326172,-52.83136749267578,-50.24973678588867,-76.96794891357422,-84.64323425292969,-80.83076477050781,-55.62957763671875,-69.91325378417969,-76.6451644897461,-85.35899353027344,-102.90934753417969,-96.26850891113281,-93.44603729248047,-95.09144592285156,-97.92343139648438,-55.190223693847656,-60.207275390625,-45.73481369018555
l' auteur déménage et sont vieux,-54.533241271972656,-55.653160095214844,-52.537025451660156,-80.7296142578125,-87.80085754394531,-84.14388275146484,-55.91606140136719,-70.97602081298828,-79.11211395263672,-91.28366088867188,-105.36848449707031,-102.96173858642578,-96.53628540039062,-96.10184478759766,-99.9324951171875,-64.41900634765625,-66.8748550415039,-54.32720184326172
l' auteur déménage et est jeune,-50.45330810546875,-52.43364715576172,-51.45207214355469,-72.5274887084961,-82.46971130371094,-77.83260345458984,-54.73461151123047,-74.49300384521484,-77.53230285644531,-80.19022369384766,-98.4237289428711,-92.6607894897461,-87.927001953125,-90.8696060180664,-94.34722900390625,-51.86248016357422,-54.823448181152344,-44.86994934082031
l' auteur déménage et sont jeunes,-58.21510314941406,-57.40058898925781,-55.858150482177734,-79.2708969116211,-87.58262634277344,-83.4195327758789,-63.292842864990234,-74.3079833984375,-80.39855194091797,-89.04434204101562,-108.05364227294922,-101.34134674072266,-94.39441680908203,-94.29403686523438,-100.87010192871094,-72.13700103759766,-74.86613464355469,-61.21761703491211
le directeur déménage et déménage,-41.50172805786133,-42.09590530395508,-44.146751403808594,-88.91217041015625,-97.3680191040039,-91.56961059570312,-61.01976776123047,-53.6466178894043,-65.27395629882812,-91.6797866821289,-112.28475952148438,-107.22091674804688,-129.09088134765625,-131.42710876464844,-133.11737060546875,-40.47404098510742,-33.98349380493164,-34.970359802246094
le directeur déménage et déménagent,-47.7052116394043,-49.345069885253906,-50.064727783203125,-92.24900817871094,-101.99870300292969,-91.10657501220703,-63.56687927246094,-57.58449935913086,-62.55177688598633,-90.6678237915039,-118.35032653808594,-112.41352081298828,-125.05862426757812,-135.16717529296875,-133.42422485351562,-52.33513641357422,-42.78888702392578,-48.637115478515625
