sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
where does the horse go ?,-8.37295150756836,-8.526066780090332,-7.841895580291748,-37.8834342956543,-40.833335876464844,-35.866634368896484,-7.537013530731201,-8.38100528717041,-8.41977596282959,-38.780670166015625,-41.622222900390625,-36.60358428955078,-48.32037353515625,-33.12567138671875,-31.986671447753906,-35.59632873535156,-37.504913330078125,-37.82963180541992
where does the horses go ?,-14.503040313720703,-11.942754745483398,-12.546513557434082,-40.5132942199707,-39.79951095581055,-33.68727111816406,-14.994975090026855,-13.78829574584961,-13.532886505126953,-40.78006362915039,-40.66152572631836,-34.90247344970703,-51.257240295410156,-34.768089294433594,-37.80126953125,-35.206268310546875,-37.84052276611328,-37.8872184753418
what does the horse do ?,-8.924601554870605,-10.404742240905762,-9.563406944274902,-31.72697639465332,-29.688058853149414,-31.065643310546875,-8.43284797668457,-9.78996753692627,-9.456992149353027,-31.045394897460938,-28.631534576416016,-31.688095092773438,-51.9169921875,-33.30316925048828,-32.14727020263672,-31.045333862304688,-34.4538459777832,-34.829254150390625
what does the horses do ?,-14.386541366577148,-12.355301856994629,-13.649673461914062,-34.745079040527344,-28.61199188232422,-30.72954750061035,-14.83576774597168,-13.969759941101074,-14.015488624572754,-33.34245681762695,-28.199186325073242,-30.26182746887207,-53.32616424560547,-34.075592041015625,-36.59837341308594,-30.118932723999023,-32.41693115234375,-32.93072509765625
how does the horse fit in here ?,-19.938268661499023,-21.35211181640625,-17.831052780151367,-62.858375549316406,-55.914554595947266,-53.88131332397461,-21.290002822875977,-25.364151000976562,-17.854846954345703,-64.22798156738281,-54.63962936401367,-53.599281311035156,-42.52332305908203,-37.82353591918945,-32.358055114746094,-52.517181396484375,-55.74248123168945,-60.63702392578125
how does the horses fit in here ?,-24.104629516601562,-23.946971893310547,-23.64983367919922,-63.42145538330078,-56.952728271484375,-55.09743118286133,-27.74771499633789,-29.08246612548828,-24.269203186035156,-64.79287719726562,-56.0041389465332,-54.568031311035156,-46.73737335205078,-40.174415588378906,-38.294837951660156,-53.9322624206543,-57.130523681640625,-58.4173583984375
how does the horse become expected ?,-31.37751007080078,-33.066162109375,-30.385019302368164,-61.45075225830078,-55.92403793334961,-54.054107666015625,-40.058441162109375,-36.634010314941406,-35.86801528930664,-62.52198791503906,-55.63876724243164,-57.220558166503906,-55.143733978271484,-56.49034118652344,-49.07035446166992,-50.23698043823242,-54.288414001464844,-56.890811920166016
how does the horses become expected ?,-34.97185516357422,-33.671531677246094,-32.380645751953125,-63.0108642578125,-57.3271484375,-52.54975509643555,-41.8572883605957,-38.52125549316406,-34.50872802734375,-63.84705352783203,-55.78636169433594,-54.2859001159668,-56.25543212890625,-56.08990478515625,-53.3808708190918,-50.20708084106445,-54.693687438964844,-55.46577072143555
when does the horse stop working ?,-25.167673110961914,-26.552692413330078,-25.9141845703125,-52.865291595458984,-50.07754898071289,-49.13628005981445,-27.945934295654297,-27.822586059570312,-34.08159637451172,-55.03395080566406,-50.60253143310547,-48.9512825012207,-61.234886169433594,-47.21159362792969,-45.84716033935547,-56.43470001220703,-59.97427749633789,-57.22637176513672
when does the horses stop working ?,-29.35547637939453,-28.60845184326172,-30.193464279174805,-53.04126739501953,-52.35326385498047,-47.34931182861328,-32.460784912109375,-31.918399810791016,-37.86009979248047,-55.45920944213867,-53.4509391784668,-47.08765411376953,-63.086219787597656,-48.41752624511719,-51.97364807128906,-54.87158966064453,-58.8259391784668,-56.644866943359375
