sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
aaron breaks the glass.,-52.18905258178711,-57.681922912597656,-52.57312774658203,-45.30866622924805,-43.6418571472168,-44.13805389404297,-60.87202453613281,-66.17545318603516,-56.663536071777344,-47.74985122680664,-44.6899299621582,-46.06945037841797,-53.92469787597656,-55.39799499511719,-51.20351791381836,-57.117393493652344,-59.644691467285156,-56.552513122558594
aaron appeared the glass.,-51.36818313598633,-58.151973724365234,-54.03856658935547,-49.13044738769531,-48.0693244934082,-46.895530700683594,-62.10597610473633,-63.859039306640625,-61.82423782348633,-49.14358139038086,-48.66745376586914,-50.74970626831055,-55.30722427368164,-55.51490783691406,-60.60124206542969,-65.49337005615234,-65.92911529541016,-64.55389404296875
april had dropped the truck.,-52.29746627807617,-50.03179931640625,-47.489990234375,-51.43751907348633,-54.58100891113281,-47.46657180786133,-60.601200103759766,-52.37053680419922,-53.89960861206055,-53.15655517578125,-53.720428466796875,-49.00332260131836,-57.442893981933594,-49.29368591308594,-55.09592819213867,-58.21075439453125,-56.03740692138672,-55.55326843261719
april had existed the truck.,-61.60730743408203,-58.7326545715332,-51.84857940673828,-55.33530807495117,-53.79093551635742,-49.514217376708984,-65.579345703125,-64.05005645751953,-61.81282043457031,-58.1667366027832,-54.3950080871582,-50.25423049926758,-72.79071044921875,-65.10073852539062,-64.50405883789062,-60.638267517089844,-63.075130462646484,-63.5296516418457
all actors train tonya's brothers.,-92.74067687988281,-86.41738891601562,-94.58158111572266,-65.01582336425781,-70.39283752441406,-65.63636779785156,-101.05519104003906,-96.9603042602539,-105.11861419677734,-68.1923828125,-72.59561157226562,-67.80985260009766,-104.11190032958984,-96.01107788085938,-102.9970474243164,-62.96022415161133,-61.6729736328125,-62.80162048339844
all actors appeared tonya's brothers.,-92.39054870605469,-92.67597961425781,-95.90292358398438,-63.30195999145508,-70.35107421875,-59.550941467285156,-107.06570434570312,-112.51800537109375,-104.88734436035156,-64.83660125732422,-74.22359466552734,-62.3465461730957,-94.55756378173828,-87.71951293945312,-94.3926010131836,-64.40415954589844,-64.62895202636719,-68.22132873535156
raymond was stretching that shirt.,-73.63495635986328,-74.92413330078125,-66.94148254394531,-47.40346908569336,-62.09909439086914,-49.12469482421875,-77.1026840209961,-82.65762329101562,-76.0350112915039,-46.57747268676758,-61.10944366455078,-47.77159881591797,-75.09935760498047,-68.79686737060547,-68.21104431152344,-62.149044036865234,-57.8748893737793,-65.26825714111328
raymond was vanishing that shirt.,-84.6241683959961,-84.97537231445312,-78.2952880859375,-44.061920166015625,-46.13493728637695,-34.712013244628906,-90.65196228027344,-93.47611236572266,-80.08397674560547,-42.258056640625,-44.96973419189453,-35.47780227661133,-83.41976928710938,-77.54486083984375,-84.36126708984375,-62.59934997558594,-60.75627517700195,-62.40924072265625
benjamin would wrinkle every scarf.,-68.5757064819336,-74.83587646484375,-71.58087921142578,-54.198768615722656,-56.85359573364258,-58.53496551513672,-78.2994613647461,-87.02770233154297,-81.17784881591797,-55.01008987426758,-55.429622650146484,-61.58957290649414,-80.95701599121094,-75.67440795898438,-79.94192504882812,-79.4545669555664,-70.86966705322266,-83.46924591064453
benjamin would fall every scarf.,-65.62640380859375,-71.39152526855469,-68.0742416381836,-53.36595916748047,-59.55530548095703,-54.811946868896484,-72.81228637695312,-80.59895324707031,-78.83988189697266,-56.025264739990234,-59.064476013183594,-56.66530990600586,-69.70061492919922,-66.65740203857422,-67.05622100830078,-67.5132064819336,-58.69879150390625,-64.92462921142578
