sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
l' auteur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-101.36505889892578,-110.93818664550781,-107.06570434570312,-223.17568969726562,-211.97828674316406,-196.83872985839844,-122.40911865234375,-153.47946166992188,-148.46949768066406,-247.44383239746094,-241.95809936523438,-249.8753662109375,-288.70709228515625,-274.4617004394531,-277.0021057128906,-102.79043579101562,-105.50373840332031,-78.7778091430664
l' auteur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-103.48456573486328,-110.89106750488281,-107.1496810913086,-199.7462921142578,-189.64370727539062,-183.32638549804688,-123.50495910644531,-159.1853790283203,-148.2869110107422,-232.2838592529297,-232.10641479492188,-226.28993225097656,-242.80238342285156,-232.42572021484375,-234.01483154296875,-96.44413757324219,-107.30198669433594,-88.68896484375
l' auteur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-107.86268615722656,-114.48372650146484,-101.85258483886719,-222.00619506835938,-242.54669189453125,-223.5633544921875,-120.25557708740234,-150.79293823242188,-138.466796875,-249.42221069335938,-290.212646484375,-257.8689880371094,-273.9099426269531,-268.4849853515625,-276.00616455078125,-154.86888122558594,-153.3354034423828,-116.61194610595703
l' auteur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-108.51054382324219,-114.26447296142578,-102.43411254882812,-228.47015380859375,-244.19866943359375,-227.96176147460938,-123.51868438720703,-152.56588745117188,-141.1095428466797,-261.2940979003906,-292.1396484375,-267.9920349121094,-280.42864990234375,-274.76055908203125,-282.5767517089844,-151.06932067871094,-152.65699768066406,-117.52827453613281
l' auteur connaît beaucoup de langues étrangères et a vingt trois ans,-89.63624572753906,-93.36305236816406,-88.7659912109375,-150.40464782714844,-143.7595672607422,-140.03292846679688,-112.70550537109375,-132.58721923828125,-127.1256103515625,-171.60232543945312,-168.58453369140625,-166.50839233398438,-173.9495391845703,-167.93276977539062,-164.84620666503906,-106.98605346679688,-108.77638244628906,-80.65591430664062
l' auteur connaît beaucoup de langues étrangères et ont vingt trois ans,-91.07342529296875,-93.98870086669922,-92.12698364257812,-151.03102111816406,-146.04412841796875,-140.2213897705078,-109.31575775146484,-136.6374969482422,-130.88320922851562,-171.20730590820312,-170.6998291015625,-168.80551147460938,-178.7971954345703,-171.33653259277344,-169.7303924560547,-110.8757553100586,-115.89028930664062,-86.5888900756836
l' auteur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-104.2864761352539,-106.38836669921875,-106.54800415039062,-230.50405883789062,-228.86288452148438,-219.51597595214844,-130.97601318359375,-154.91311645507812,-155.82887268066406,-265.76654052734375,-264.663330078125,-269.9489440917969,-277.4620361328125,-278.4775695800781,-280.5738830566406,-132.40780639648438,-137.33721923828125,-99.2557601928711
l' auteur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-105.70577239990234,-108.2481460571289,-102.76226043701172,-231.51547241210938,-231.8485870361328,-216.60040283203125,-128.43264770507812,-156.12673950195312,-155.14633178710938,-268.2785339355469,-265.7277526855469,-263.41619873046875,-275.3607177734375,-275.8448181152344,-276.46905517578125,-145.18003845214844,-154.06471252441406,-100.23892211914062
l' auteur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-109.29546356201172,-110.38654327392578,-109.3313217163086,-168.9028778076172,-163.10057067871094,-150.91357421875,-139.38047790527344,-159.8512420654297,-147.97572326660156,-185.97979736328125,-188.80763244628906,-185.921142578125,-197.2737579345703,-193.75521850585938,-196.77578735351562,-125.68132019042969,-121.57040405273438,-94.63389587402344
l' auteur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-108.35025787353516,-108.19612121582031,-114.1298828125,-172.84640502929688,-169.0446014404297,-149.78504943847656,-138.19175720214844,-160.17208862304688,-156.2109375,-192.1908721923828,-194.40914916992188,-181.6842498779297,-200.20684814453125,-195.54368591308594,-200.89498901367188,-132.34254455566406,-135.34970092773438,-104.31100463867188
