sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the picker grinds the coffee beans and exaggerates with laughs,-25.756030082702637,-23.05246877670288,-23.244579792022705,-10.682672023773193,-15.871853351593018,-15.915490627288818
the pickers grind the coffee beans and exaggerates with laughs,-26.224190711975098,-24.31049919128418,-23.369892597198486,-11.542098045349121,-16.655733108520508,-15.337289333343506
the pickers grind the coffee beans and exaggerate with laughs,-25.388343811035156,-23.239086151123047,-20.404014587402344,-11.25936508178711,-15.80025863647461,-14.657186031341553
the picker grinds the coffee beans and exaggerate with laughs,-24.80837917327881,-21.9808406829834,-20.258103370666504,-11.475800037384033,-17.024909496307373,-15.554356098175049
the picker grinds the coffee beans and screams very loudly,-16.425708770751953,-14.176487922668457,-15.774846076965332,-8.587148666381836,-11.72780704498291,-10.249927043914795
the pickers grind the coffee beans and screams very loudly,-18.02843475341797,-14.471394538879395,-16.678215980529785,-8.737217903137207,-12.392958641052246,-10.420909404754639
the pickers grind the coffee beans and scream very loudly,-13.866020202636719,-12.822754859924316,-13.170389175415039,-7.847890853881836,-11.682642936706543,-10.080295085906982
the picker grinds the coffee beans and scream very loudly,-13.642389297485352,-13.62631607055664,-13.83914566040039,-8.33539867401123,-11.552739143371582,-9.87796926498413
the picker grinds the coffee beans and swims in the pool,-14.033123970031738,-15.818449020385742,-13.954705238342285,-12.117602348327637,-15.29162073135376,-12.934586524963379
the pickers grind the coffee beans and swims in the pool,-13.64531135559082,-15.008282661437988,-13.334372520446777,-11.767024993896484,-15.586620330810547,-13.601031303405762
the pickers grind the coffee beans and swim in the pool,-11.231952667236328,-10.688227653503418,-10.0527982711792,-7.244239807128906,-8.054241180419922,-8.660930633544922
the picker grinds the coffee beans and swim in the pool,-11.415495872497559,-11.665857315063477,-10.879738807678223,-7.564330101013184,-8.448226928710938,-8.466024398803711
