sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
what senators was alicia approaching and some teachers scaring?,-125.26937103271484,-127.16275787353516,-123.51029968261719,-108.21867370605469,-106.80619812011719,-110.15962982177734,-138.0806427001953,-139.9228973388672,-128.6215362548828,-111.49783325195312,-112.11382293701172,-107.94366455078125,-135.45489501953125,-120.04629516601562,-118.86060333251953,-117.70082092285156,-122.82396697998047,-115.835693359375
what was alicia approaching senators and some teachers scaring?,-125.06385803222656,-118.32928466796875,-115.25101470947266,-103.12298583984375,-103.03825378417969,-109.50567626953125,-134.6848907470703,-129.27415466308594,-119.50224304199219,-103.42276000976562,-113.11631774902344,-108.36962890625,-132.33885192871094,-122.9196548461914,-116.86642456054688,-112.98886108398438,-112.8201675415039,-109.96815490722656
whose restaurants is clyde exiting and amelia talking about?,-119.09961700439453,-107.31611633300781,-118.21780395507812,-118.49819946289062,-120.04973602294922,-118.15780639648438,-129.1318817138672,-126.70083618164062,-118.41239166259766,-122.8790283203125,-120.57614135742188,-120.1326904296875,-122.01192474365234,-111.1121597290039,-114.35322570800781,-136.93972778320312,-130.10646057128906,-130.0248260498047
whose is clyde exiting restaurants and amelia talking about?,-111.38687896728516,-106.70366668701172,-112.67488861083984,-124.30157470703125,-118.90772247314453,-112.51518249511719,-112.43400573730469,-119.2333755493164,-121.9342269897461,-128.50314331054688,-115.87700653076172,-111.45048522949219,-116.91891479492188,-109.8822250366211,-111.95345306396484,-129.71714782714844,-124.13014221191406,-124.43621063232422
which teenagers had tamara hired and grace fired?,-129.52894592285156,-118.50543975830078,-128.8612518310547,-111.77609252929688,-106.27884674072266,-102.16331481933594,-153.2339324951172,-137.2783660888672,-148.19859313964844,-115.410888671875,-110.33277893066406,-102.57457733154297,-127.3486557006836,-121.24308013916016,-127.00027465820312,-109.8063735961914,-114.61253356933594,-110.98680114746094
which had tamara hired teenagers and grace fired?,-130.45008850097656,-117.90377044677734,-127.20476531982422,-109.44775390625,-95.38639068603516,-97.3076171875,-147.23281860351562,-134.45904541015625,-147.16403198242188,-111.96968841552734,-97.15030670166016,-100.00520324707031,-131.7278594970703,-124.04398345947266,-130.96832275390625,-112.09097290039062,-113.59212493896484,-110.142578125
what lights could spain sell and andrea discover?,-107.86125946044922,-109.08858489990234,-108.47903442382812,-100.39169311523438,-108.28667449951172,-104.98746490478516,-122.51756286621094,-119.27189636230469,-110.6842041015625,-99.7010726928711,-113.31570434570312,-111.76860046386719,-105.14024353027344,-107.41720581054688,-106.50126647949219,-111.92324829101562,-116.02067565917969,-117.09735107421875
what could spain sell lights and andrea discover?,-106.75481414794922,-106.99762725830078,-107.49470520019531,-99.49903106689453,-102.29660034179688,-107.15472412109375,-118.93356323242188,-122.40909576416016,-119.04844665527344,-101.94810485839844,-102.61515045166016,-113.666015625,-102.46964263916016,-105.306396484375,-102.29193115234375,-104.88703155517578,-108.50743103027344,-113.25517272949219
what paintings has melissa looked like and erin revealed?,-95.81991577148438,-95.00148010253906,-95.24585723876953,-105.27731323242188,-107.13119506835938,-96.79007720947266,-106.22291564941406,-100.82012939453125,-96.89744567871094,-111.87812042236328,-108.6715316772461,-97.70845031738281,-104.93511962890625,-97.31554412841797,-111.11048126220703,-122.24556732177734,-114.12095642089844,-125.38111114501953
what has melissa looked like paintings and erin revealed?,-89.69769287109375,-88.18543243408203,-94.27403259277344,-97.9955062866211,-97.0390625,-93.39552307128906,-93.12525177001953,-93.48723602294922,-99.33818817138672,-104.73113250732422,-97.55879211425781,-93.7900619506836,-100.17716979980469,-88.96354675292969,-103.40302276611328,-113.48675537109375,-102.02686309814453,-115.92741394042969
