sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
todd can't yawn.,-57.15190887451172,-53.58403396606445,-53.75358200073242,-57.074092864990234,-49.75313186645508,-57.440128326416016,-59.93479919433594,-59.74693298339844,-60.96147918701172,-58.161155700683594,-52.43851089477539,-58.59627914428711,-62.510101318359375,-57.833248138427734,-62.486698150634766,-66.94178771972656,-60.841636657714844,-59.737518310546875
todd can't walk through.,-56.18217468261719,-50.016563415527344,-53.62316131591797,-56.02056884765625,-52.48358154296875,-52.81985855102539,-59.50524139404297,-58.28718948364258,-66.41009521484375,-56.57173156738281,-54.58195877075195,-55.239219665527344,-57.31205368041992,-48.94048309326172,-55.19451141357422,-56.88767623901367,-52.12617874145508,-53.1265983581543
some guests hadn't left.,-50.519264221191406,-57.233646392822266,-53.76494216918945,-47.1048698425293,-51.26740264892578,-53.70477294921875,-59.14577865600586,-60.50019836425781,-55.91366195678711,-49.41345977783203,-52.404842376708984,-55.706722259521484,-51.76519012451172,-49.535152435302734,-48.54108428955078,-41.67511749267578,-39.52952194213867,-40.10810852050781
some guests hadn't boasted about.,-59.037506103515625,-68.30765533447266,-59.63706970214844,-57.518436431884766,-53.6744270324707,-56.92112731933594,-69.02423095703125,-71.65914154052734,-65.51439666748047,-57.29720687866211,-52.45298385620117,-55.05201721191406,-71.15301513671875,-65.51468658447266,-65.22112274169922,-50.83374786376953,-50.892372131347656,-51.42185592651367
this niece of elizabeth protests.,-72.7649154663086,-76.17021179199219,-72.25323486328125,-57.582313537597656,-52.89904022216797,-55.33244323730469,-78.77356719970703,-83.49775695800781,-78.4530029296875,-56.87615966796875,-54.23095703125,-60.06053924560547,-88.94140625,-84.72588348388672,-83.43175506591797,-56.97856903076172,-58.43839645385742,-57.01029586791992
this niece of elizabeth walks through.,-73.66328430175781,-77.5858383178711,-67.3888931274414,-72.86939239501953,-64.9013900756836,-69.0241928100586,-80.99370574951172,-86.1870346069336,-80.47865295410156,-76.68794250488281,-69.43999481201172,-75.04737854003906,-74.17411804199219,-68.26164245605469,-70.72087097167969,-64.09571075439453,-61.90363311767578,-66.3375473022461
regina is shouting.,-40.28489685058594,-38.37648391723633,-41.17975997924805,-45.94384765625,-42.83763885498047,-47.339447021484375,-45.230098724365234,-40.038307189941406,-44.510807037353516,-47.26511764526367,-45.304222106933594,-48.191810607910156,-62.151161193847656,-54.9180908203125,-54.75849151611328,-59.27191162109375,-55.78158187866211,-53.15666198730469
regina is boasting about.,-53.04393005371094,-46.34905242919922,-43.08650207519531,-48.990745544433594,-54.41453170776367,-44.80879592895508,-53.64741516113281,-53.39954376220703,-55.248023986816406,-48.01676559448242,-53.987525939941406,-43.88266372680664,-73.95277404785156,-65.14868927001953,-67.90557861328125,-54.71953201293945,-52.63703918457031,-54.00559616088867
this guest's plumber complains.,-71.54331970214844,-70.45849609375,-68.30453491210938,-47.268524169921875,-48.333953857421875,-53.92255783081055,-75.56881713867188,-78.07841491699219,-69.0345458984375,-51.23209762573242,-46.58317184448242,-58.36293411254883,-76.17964935302734,-69.55916595458984,-68.31883239746094,-65.54415893554688,-65.30531311035156,-67.7623291015625
this guest's plumber wore.,-65.4888687133789,-72.3318862915039,-65.97484588623047,-53.93739318847656,-54.48021697998047,-53.096221923828125,-76.75940704345703,-76.35929107666016,-74.25654602050781,-57.958839416503906,-54.70410919189453,-56.59074401855469,-71.43269348144531,-61.95616149902344,-64.40465545654297,-66.90951538085938,-64.71605682373047,-66.47349548339844
anna's grandmothers aren't benefiting.,-71.53321075439453,-81.97760009765625,-81.43035888671875,-50.217525482177734,-41.488624572753906,-48.59476852416992,-82.13493347167969,-83.94173431396484,-85.48319244384766,-47.70680618286133,-43.89356231689453,-46.952980041503906,-79.26323699951172,-76.14656066894531,-77.92756652832031,-58.56596374511719,-59.318077087402344,-61.75959777832031
anna's grandmothers aren't arguing about.,-51.09941482543945,-63.60042190551758,-58.662899017333984,-59.586299896240234,-52.72706604003906,-53.57475662231445,-56.96169662475586,-67.92715454101562,-69.41768646240234,-59.435791015625,-58.958770751953125,-54.309837341308594,-70.49454498291016,-62.77252960205078,-66.72081756591797,-58.23740768432617,-58.15998077392578,-57.50619125366211
some glaciers are vaporizing.,-56.07635498046875,-54.912879943847656,-55.4178581237793,-39.251407623291016,-40.96009063720703,-41.01474380493164,-61.73162841796875,-59.435768127441406,-58.696537017822266,-35.27384948730469,-40.321197509765625,-37.61537551879883,-84.35013580322266,-81.8970947265625,-83.9594497680664,-52.936492919921875,-50.55772399902344,-54.380126953125
some glaciers are scaring.,-50.36810302734375,-49.22095489501953,-45.79869842529297,-42.32548904418945,-46.34942626953125,-49.382686614990234,-54.69232940673828,-48.34330368041992,-48.31758117675781,-43.38813781738281,-44.98525619506836,-50.76467514038086,-64.44952392578125,-60.133262634277344,-64.3952865600586,-52.60618209838867,-48.73056411743164,-50.74156188964844
stephanie succeeds.,-45.03459930419922,-47.4422721862793,-55.07248306274414,-20.772960662841797,-19.902135848999023,-16.734542846679688,-49.942710876464844,-50.88745880126953,-48.94243621826172,-17.908767700195312,-19.475624084472656,-15.454523086547852,-76.65644836425781,-69.3275146484375,-82.28034210205078,-53.365081787109375,-55.1314582824707,-53.73316192626953
stephanie boasts about.,-52.046470642089844,-56.006004333496094,-50.22117614746094,-36.79352569580078,-36.02580642700195,-33.74724578857422,-52.16555404663086,-56.917083740234375,-64.29199981689453,-36.08335876464844,-37.76018524169922,-30.745540618896484,-83.1246337890625,-72.40316772460938,-76.01542663574219,-54.607322692871094,-59.95132064819336,-57.98329544067383
tara's contractors scream.,-61.12489700317383,-72.48753356933594,-69.92801666259766,-47.083011627197266,-51.44785690307617,-48.89507293701172,-65.77348327636719,-79.24653625488281,-78.94850158691406,-49.2308235168457,-54.81315612792969,-51.10306930541992,-82.43675994873047,-79.99533081054688,-83.19558715820312,-56.470123291015625,-59.35137176513672,-57.9495964050293
tara's contractors drive to.,-58.24196243286133,-72.31221771240234,-68.68592071533203,-54.81786346435547,-54.8942985534668,-58.64111328125,-62.421810150146484,-78.70326232910156,-81.6690444946289,-55.061676025390625,-54.93689727783203,-60.85995864868164,-85.87028503417969,-77.96873474121094,-84.56936645507812,-54.71055603027344,-55.62674331665039,-52.074066162109375
all gloves weren't crumpling.,-61.423099517822266,-58.14447021484375,-60.4592170715332,-38.39614486694336,-40.041908264160156,-42.321956634521484,-68.49431610107422,-61.417572021484375,-64.44823455810547,-37.608219146728516,-42.647525787353516,-42.996421813964844,-70.78265380859375,-60.90895080566406,-67.84343719482422,-98.66730499267578,-86.64167785644531,-94.87593078613281
all gloves weren't looking like.,-60.21483612060547,-56.8824348449707,-57.357933044433594,-44.13397216796875,-50.76939392089844,-46.276432037353516,-62.102386474609375,-62.641624450683594,-63.68817901611328,-43.761253356933594,-48.67385482788086,-46.17079162597656,-55.30147171020508,-52.26058578491211,-55.29666519165039,-79.92230224609375,-70.60970306396484,-75.54647827148438
patricia's hairdressers hadn't cooked.,-73.18859100341797,-77.58612823486328,-82.4373779296875,-69.0068359375,-72.62751770019531,-66.75089263916016,-82.44934844970703,-83.60789489746094,-87.85294342041016,-70.32972717285156,-74.79261779785156,-68.25012969970703,-82.90702056884766,-77.99061584472656,-83.33406066894531,-78.4236068725586,-74.78839111328125,-73.07928466796875
