sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
der feind zweifelt und konstruiert,-10.317781448364258,-16.21903705596924,-14.753067016601562,-11.440367698669434,-11.130499839782715,-13.570460319519043
die feinde zweifeln und konstruiert,-12.918499946594238,-14.35610580444336,-15.6207857131958,-15.632987976074219,-15.84060001373291,-14.308504104614258
die feinde zweifeln und konstruieren,-11.807476997375488,-12.420783996582031,-14.926116943359375,-14.843221664428711,-14.402843475341797,-15.102723121643066
der feind zweifelt und konstruieren,-10.081791877746582,-15.800041198730469,-14.993514060974121,-14.550811767578125,-14.187840461730957,-16.98171901702881
der feind zweifelt und fürchtet,-11.567802906036377,-12.327803611755371,-10.972509860992432,-11.531668186187744,-10.123156070709229,-16.46338701248169
die feinde zweifeln und fürchtet,-14.052793025970459,-14.765164852142334,-12.97507619857788,-14.76771879196167,-15.098343849182129,-20.10384702682495
die feinde zweifeln und fürchten,-15.045734882354736,-15.748526096343994,-14.723704814910889,-12.828404903411865,-14.599841594696045,-12.79290246963501
der feind zweifelt und fürchten,-14.849757194519043,-14.340482711791992,-12.91738748550415,-12.074060916900635,-9.886106014251709,-11.159573554992676
der feind zweifelt und schält,-13.984417915344238,-11.978867530822754,-10.383883476257324,-14.709538459777832,-17.25728178024292,-15.455196857452393
die feinde zweifeln und schält,-14.607895851135254,-12.26899242401123,-13.638038635253906,-15.055772304534912,-16.222416400909424,-15.898796558380127
die feinde zweifeln und schälen,-12.911418914794922,-11.889654159545898,-12.905155181884766,-13.087911128997803,-13.053398132324219,-15.689848899841309
der feind zweifelt und schälen,-14.835047721862793,-14.516630172729492,-11.639082908630371,-17.912633419036865,-18.744905948638916,-17.017839908599854
der feind zweifelt und taucht,-10.970721244812012,-10.98676872253418,-12.145069122314453,-9.812803268432617,-10.399820804595947,-10.801903247833252
die feinde zweifeln und taucht,-13.958097457885742,-13.430065155029297,-13.7576265335083,-13.33631706237793,-11.222673416137695,-11.89826488494873
die feinde zweifeln und tauchen,-10.668885231018066,-10.672137260437012,-10.34699535369873,-11.239215850830078,-9.618865966796875,-9.19133186340332
der feind zweifelt und tauchen,-10.873431205749512,-10.279950141906738,-10.395661354064941,-9.719654083251953,-11.72944688796997,-10.146378993988037
der feind zweifelt und kennt,-8.763882637023926,-10.040987014770508,-10.158773422241211,-10.282236099243164,-10.431970596313477,-12.617610931396484
die feinde zweifeln und kennt,-11.833111763000488,-12.168279647827148,-13.350247383117676,-13.63947868347168,-12.154903411865234,-11.474327087402344
die feinde zweifeln und kennen,-10.957184791564941,-9.784046173095703,-12.665229797363281,-13.329487800598145,-15.155107498168945,-12.882942199707031
der feind zweifelt und kennen,-10.255375862121582,-10.88882064819336,-12.442733764648438,-14.007759094238281,-14.167850494384766,-14.832335472106934
der feind zweifelt und schreibt,-8.91721248626709,-9.051173210144043,-10.905473709106445,-11.242826461791992,-11.57826042175293,-11.964510917663574
die feinde zweifeln und schreibt,-11.096288681030273,-12.284407615661621,-12.261253356933594,-12.961581230163574,-14.556513786315918,-12.933022499084473
die feinde zweifeln und schreiben,-8.456011772155762,-8.209803581237793,-10.037891387939453,-15.219470024108887,-14.446646690368652,-11.929847717285156
der feind zweifelt und schreiben,-10.386518478393555,-10.458040237426758,-11.406009674072266,-13.916213989257812,-9.531611442565918,-11.804291725158691
der feind zweifelt und erzählt,-8.724898338317871,-8.87129020690918,-10.2111234664917,-9.85684871673584,-7.656520843505859,-9.316120147705078
die feinde zweifeln und erzählt,-12.645501136779785,-11.042661666870117,-13.228894233703613,-14.691184997558594,-17.801530838012695,-13.874011039733887
die feinde zweifeln und erzählen,-10.589232444763184,-9.90557861328125,-9.698867797851562,-15.127020835876465,-13.301191329956055,-12.921664237976074
der feind zweifelt und erzählen,-9.054941177368164,-10.927851676940918,-8.45394229888916,-13.249061584472656,-11.616554260253906,-12.456599235534668
der feind zweifelt und spielt,-6.698480129241943,-6.8336567878723145,-8.560964584350586,-10.60061264038086,-9.658148765563965,-11.693363189697266
die feinde zweifeln und spielt,-11.767078399658203,-11.783923149108887,-12.21402645111084,-13.698609352111816,-14.859955787658691,-12.96541690826416
