sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
there was a documentary about music irritating allison.,-126.07738494873047,-128.3704071044922,-126.56092834472656,-67.2376708984375,-71.1233139038086,-67.64124298095703,-135.80340576171875,-147.43792724609375,-148.3061981201172,-67.87850189208984,-71.64220428466797,-71.07017517089844,-124.65123748779297,-120.87577819824219,-114.978759765625,-68.75554656982422,-63.09954833984375,-72.5451431274414
there was each documentary about music irritating allison.,-141.58709716796875,-144.6124267578125,-142.46209716796875,-79.17542266845703,-80.11927032470703,-77.06456756591797,-150.1639404296875,-165.5986328125,-160.79811096191406,-79.68883514404297,-81.02096557617188,-79.51911926269531,-132.59693908691406,-130.68972778320312,-129.6081085205078,-81.80104064941406,-74.87403869628906,-84.36333465576172
there were no legislatures working hard.,-93.46400451660156,-96.73091125488281,-89.30755615234375,-51.406063079833984,-54.54814910888672,-56.860294342041016,-108.03675079345703,-101.7302474975586,-101.5632095336914,-52.767974853515625,-54.085845947265625,-58.67287063598633,-95.8237075805664,-89.62371063232422,-88.85045623779297,-55.1777229309082,-52.08241653442383,-55.15285873413086
there were most legislatures working hard.,-96.22620391845703,-93.15375518798828,-93.07171630859375,-58.479305267333984,-59.80187225341797,-60.40744400024414,-115.39476013183594,-105.15181732177734,-97.54823303222656,-60.93335723876953,-57.570594787597656,-61.595272064208984,-100.45355987548828,-97.27854919433594,-96.27230072021484,-56.918216705322266,-57.0424690246582,-60.117488861083984
there was a sweater shocking david.,-61.94332504272461,-59.94783020019531,-58.64875793457031,-69.25112915039062,-72.01557922363281,-65.68415832519531,-67.73226928710938,-61.16767120361328,-65.60440063476562,-69.71583557128906,-77.12079620361328,-68.69384765625,-72.09298706054688,-65.36933135986328,-71.1217269897461,-60.58953857421875,-62.04405975341797,-68.921875
there was each sweater shocking david.,-76.71314239501953,-75.53671264648438,-73.28266906738281,-78.49700164794922,-79.46018981933594,-78.82379150390625,-85.85914611816406,-81.3523178100586,-77.39854431152344,-77.58197021484375,-83.71623992919922,-83.11962127685547,-83.73387908935547,-75.99190521240234,-87.64473724365234,-73.17391967773438,-73.60234069824219,-82.63816833496094
there are some brothers of rachel arriving at a library.,-84.6078109741211,-93.4277572631836,-91.44416809082031,-58.230377197265625,-62.688819885253906,-59.75957489013672,-88.47149658203125,-101.1716537475586,-95.30408477783203,-56.760414123535156,-61.285484313964844,-61.49267578125,-89.8947525024414,-81.6510009765625,-86.18917083740234,-72.2553482055664,-76.04859924316406,-75.97138977050781
there are all brothers of rachel arriving at a library.,-87.92744445800781,-96.08324432373047,-92.11640930175781,-61.094444274902344,-67.63398742675781,-62.762359619140625,-92.48179626464844,-100.51345825195312,-96.69686889648438,-60.481929779052734,-67.67781829833984,-63.385128021240234,-94.30712890625,-85.74067687988281,-94.5621566772461,-73.47050476074219,-75.70423889160156,-77.09005737304688
there aren't many lights darkening.,-70.98434448242188,-70.452392578125,-66.80622863769531,-54.00871658325195,-59.539520263671875,-60.308204650878906,-77.55485534667969,-78.01356506347656,-68.58937072753906,-53.417747497558594,-60.696250915527344,-61.90156936645508,-68.38887023925781,-59.3908576965332,-60.752105712890625,-49.41950988769531,-54.17681121826172,-49.91508483886719
there aren't all lights darkening.,-73.13899230957031,-76.81211853027344,-71.84259796142578,-57.48261642456055,-59.81769943237305,-62.06343078613281,-83.80622863769531,-83.20683288574219,-76.1951675415039,-57.33970260620117,-62.364524841308594,-64.92266845703125,-75.0772705078125,-69.25090789794922,-69.99454498291016,-48.36704635620117,-50.534481048583984,-48.23736572265625
