sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
rebecca was criticizing those good documentaries.,-120.9261474609375,-120.09430694580078,-121.52632141113281,-63.46844482421875,-71.88248443603516,-70.96929168701172,-130.0948944091797,-129.27210998535156,-131.22271728515625,-63.36086654663086,-73.09425354003906,-71.86447143554688,-131.29135131835938,-133.13075256347656,-142.77394104003906,-82.92205047607422,-78.28197479248047,-86.82860565185547
rebecca was criticizing those good documentary.,-114.62753295898438,-114.7227554321289,-116.71109771728516,-62.56172180175781,-73.10050964355469,-73.9395980834961,-120.48033905029297,-126.3172378540039,-125.28722381591797,-63.25096893310547,-74.77935791015625,-75.5011978149414,-124.81981658935547,-124.65389251708984,-134.7519073486328,-83.80500030517578,-75.67438507080078,-78.54889678955078
some college campus embarrassed those bad legislatures.,-129.02374267578125,-133.6929473876953,-125.58926391601562,-64.05084991455078,-50.396018981933594,-62.46443557739258,-137.33282470703125,-153.17251586914062,-140.31820678710938,-59.49858474731445,-54.81145095825195,-63.43587112426758,-149.50506591796875,-142.70394897460938,-145.09365844726562,-100.31180572509766,-92.57039642333984,-101.81623077392578
some college campus embarrassed those bad legislature.,-128.0989532470703,-133.2672119140625,-127.29056549072266,-64.2663803100586,-49.841163635253906,-62.29359817504883,-127.4081039428711,-152.1680450439453,-143.6146697998047,-59.2122688293457,-55.53945541381836,-63.661930084228516,-144.54714965820312,-139.02896118164062,-139.07968139648438,-97.47930908203125,-92.47272491455078,-99.36837005615234
all men weren't questioning these unemployed cashiers.,-115.04846954345703,-125.22903442382812,-122.6867446899414,-70.95130920410156,-79.31847381591797,-77.44390869140625,-142.83590698242188,-122.12894439697266,-127.9893569946289,-74.02825164794922,-76.5627212524414,-75.71851348876953,-135.6318359375,-127.75736236572266,-133.60186767578125,-102.0291748046875,-99.09221649169922,-98.98320007324219
all men weren't questioning these unemployed cashier.,-113.79255676269531,-119.11186981201172,-118.69420623779297,-65.7964096069336,-75.58867645263672,-75.4990234375,-140.15255737304688,-114.78044128417969,-123.96234130859375,-67.88194274902344,-73.41561126708984,-74.19480895996094,-135.74661254882812,-126.85224151611328,-134.32447814941406,-96.81230163574219,-100.9629135131836,-93.46903991699219
sara hasn't bored this displeased senator.,-88.64229583740234,-101.76292419433594,-104.62569427490234,-71.0487060546875,-68.29141235351562,-73.50792694091797,-94.25872802734375,-102.91289520263672,-114.38509368896484,-73.49414825439453,-68.82209014892578,-78.07337951660156,-105.0802993774414,-102.29704284667969,-106.42723846435547,-83.50910186767578,-79.44080352783203,-85.16954803466797
sara hasn't bored this displeased senators.,-91.67475891113281,-101.86742401123047,-110.6865463256836,-73.21605682373047,-70.84332275390625,-79.59977722167969,-100.0224609375,-109.5019302368164,-124.00682830810547,-74.83736419677734,-72.05508422851562,-80.96100616455078,-112.5387954711914,-107.18641662597656,-116.85640716552734,-87.90127563476562,-80.2496337890625,-88.82508850097656
a lot of pedestrians kiss this displeased teenager.,-109.58990478515625,-106.63025665283203,-107.9458236694336,-50.51551055908203,-46.05400848388672,-52.333404541015625,-112.3214340209961,-113.5443115234375,-117.74871063232422,-52.18306350708008,-44.90686798095703,-53.43244552612305,-126.85157012939453,-128.41712951660156,-129.1529998779297,-107.00181579589844,-102.6221923828125,-107.76679229736328
a lot of pedestrians kiss this displeased teenagers.,-115.76732635498047,-113.98668670654297,-114.06669616699219,-49.76947784423828,-47.836692810058594,-51.515228271484375,-122.01879119873047,-126.63340759277344,-128.68789672851562,-50.336822509765625,-45.3610725402832,-51.84803771972656,-127.0511703491211,-125.89207458496094,-131.95590209960938,-109.58231353759766,-103.08185577392578,-107.59819793701172
