sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
there are many books about soft birds .,-31.50640869140625,-34.75558090209961,-35.63329315185547,-37.33219909667969,-37.889644622802734,-37.692588806152344,-38.36503219604492,-40.05875778198242,-36.32797622680664,-38.99533462524414,-38.218421936035156,-40.08191680908203,-62.3944091796875,-48.316246032714844,-45.29648208618164,-33.58919906616211,-33.05073547363281,-32.56861114501953
there are most books about soft birds .,-41.88316345214844,-39.000736236572266,-43.02349090576172,-43.74806594848633,-44.332298278808594,-45.217044830322266,-49.02073287963867,-50.746360778808594,-42.272727966308594,-46.809288024902344,-44.99441909790039,-48.234073638916016,-67.04741668701172,-57.534141540527344,-54.22191619873047,-40.18208694458008,-39.6438102722168,-38.587989807128906
there are many birds that sarah made .,-28.573625564575195,-28.677906036376953,-29.43855094909668,-45.33676528930664,-48.3497200012207,-47.29226303100586,-29.220016479492188,-32.25576400756836,-30.04693603515625,-48.48362350463867,-51.909217834472656,-49.657447814941406,-51.238677978515625,-47.23176956176758,-42.389530181884766,-39.071128845214844,-37.35430908203125,-33.82914733886719
there are most birds that sarah made .,-38.97532653808594,-35.98101806640625,-37.16640853881836,-54.28276443481445,-58.05807876586914,-54.7595100402832,-44.250160217285156,-43.098445892333984,-33.5384521484375,-57.29973220825195,-60.705650329589844,-57.85373306274414,-57.451995849609375,-58.345863342285156,-49.96493911743164,-41.788604736328125,-41.82349395751953,-37.71144485473633
there aren't many movies about good differences .,-53.824920654296875,-51.1739387512207,-51.64503479003906,-45.35468673706055,-45.12242889404297,-44.485435485839844,-48.938053131103516,-57.84697723388672,-49.2711296081543,-44.673641204833984,-46.11537551879883,-44.90452575683594,-60.9083251953125,-62.18359375,-67.17561340332031,-41.405235290527344,-41.68744659423828,-38.388450622558594
there aren't every movies about good differences .,-64.36058807373047,-57.379493713378906,-62.04290008544922,-50.47572326660156,-50.49325180053711,-51.4296989440918,-66.57275390625,-62.94047927856445,-64.53533935546875,-51.63277816772461,-51.510658264160156,-53.84838104248047,-71.09690856933594,-75.02210998535156,-78.6824951171875,-50.3503303527832,-47.61209487915039,-45.048851013183594
there aren't many differences that laura made .,-56.02268981933594,-48.37498092651367,-48.27091979980469,-50.9303092956543,-48.31156921386719,-47.831321716308594,-57.22700119018555,-58.25215148925781,-50.58304977416992,-47.567970275878906,-49.533939361572266,-49.48072814941406,-53.21342468261719,-63.78947448730469,-55.27727508544922,-52.460662841796875,-48.86491394042969,-46.283203125
there aren't every differences that laura made .,-58.90830612182617,-49.628849029541016,-53.920372009277344,-56.27105712890625,-53.184593200683594,-58.61325454711914,-62.05992889404297,-56.96094512939453,-58.351226806640625,-53.92725372314453,-53.43614959716797,-60.29349899291992,-65.4286117553711,-71.12122344970703,-66.73137664794922,-59.792205810546875,-56.31957244873047,-54.180599212646484
there aren't some stories about purple eggs .,-40.32386016845703,-38.22328186035156,-41.476444244384766,-48.2372932434082,-53.75762176513672,-53.762577056884766,-45.9052848815918,-42.511234283447266,-43.55387496948242,-50.673553466796875,-53.75916290283203,-56.012142181396484,-54.13632583618164,-55.21250534057617,-50.293678283691406,-43.94255828857422,-43.89957046508789,-42.81672668457031
there aren't most stories about purple eggs .,-47.03186798095703,-41.01131820678711,-49.701576232910156,-55.614078521728516,-59.58048629760742,-60.12146759033203,-53.96851348876953,-46.620601654052734,-53.31938934326172,-57.586788177490234,-59.581790924072266,-64.17222595214844,-58.32331848144531,-61.115299224853516,-54.38823699951172,-49.19952392578125,-47.72675323486328,-46.2999153137207
there aren't some eggs that william made .,-37.64466094970703,-38.9445686340332,-35.83724594116211,-54.4925537109375,-53.40377426147461,-53.99324035644531,-41.2919807434082,-42.32696533203125,-38.006439208984375,-53.173439025878906,-57.12554931640625,-55.13974380493164,-48.53357696533203,-48.89893341064453,-47.238162994384766,-50.474151611328125,-58.96189880371094,-48.47418975830078
there aren't most eggs that william made .,-47.373321533203125,-47.42881774902344,-43.936622619628906,-59.779151916503906,-58.10945510864258,-59.349082946777344,-51.26875305175781,-53.55258560180664,-45.61892318725586,-58.726993560791016,-61.49702072143555,-60.7149658203125,-53.485328674316406,-58.89218521118164,-54.67405700683594,-55.24012756347656,-62.8922233581543,-53.445068359375
there are some signs about wrong stars .,-46.003700256347656,-43.445953369140625,-45.78009796142578,-39.504615783691406,-45.957489013671875,-45.01988983154297,-53.02403259277344,-42.927127838134766,-52.62989807128906,-42.919677734375,-46.64418411254883,-49.636043548583984,-62.64067077636719,-60.39767837524414,-56.54209899902344,-43.151954650878906,-44.39384078979492,-43.145694732666016
there are most signs about wrong stars .,-55.221351623535156,-50.67005157470703,-53.589637756347656,-46.36516571044922,-48.052085876464844,-52.25823974609375,-62.69873046875,-54.16510772705078,-61.81318664550781,-51.177730560302734,-48.383766174316406,-58.74161911010742,-65.59060668945312,-64.87178802490234,-60.359405517578125,-47.49198532104492,-48.91048049926758,-46.78092956542969
there are some stars that mark made .,-32.046173095703125,-28.536006927490234,-28.706491470336914,-42.387699127197266,-41.012779235839844,-44.54983139038086,-31.579025268554688,-32.95473098754883,-28.507537841796875,-44.39836502075195,-43.78624725341797,-44.76044845581055,-59.054649353027344,-56.864952087402344,-44.94681167602539,-40.22196578979492,-43.01596450805664,-37.57881546020508
there are most stars that mark made .,-42.79032897949219,-38.20039749145508,-37.67989730834961,-46.63819122314453,-46.13303756713867,-51.85011291503906,-44.19160079956055,-44.89600372314453,-37.60401153564453,-48.772705078125,-49.20454406738281,-52.99342727661133,-60.79425811767578,-63.57033157348633,-51.97150421142578,-43.39094924926758,-47.003074645996094,-40.52533721923828
there was no movie about purple guys .,-36.98430252075195,-38.12523651123047,-38.83360290527344,-44.86094665527344,-45.93482208251953,-45.992462158203125,-37.944454193115234,-39.84962463378906,-44.77717971801758,-45.16946029663086,-45.22504425048828,-47.62969970703125,-67.68428802490234,-56.01742172241211,-54.0089225769043,-53.77419662475586,-47.66410827636719,-47.80099105834961
there was all movie about purple guys .,-43.605751037597656,-48.61545944213867,-44.57303237915039,-55.007469177246094,-56.69562911987305,-57.62328338623047,-45.44751739501953,-54.332759857177734,-52.77238845825195,-56.19682312011719,-56.80561447143555,-58.701087951660156,-75.48563385009766,-57.96295166015625,-56.23886489868164,-68.3403091430664,-59.9962158203125,-60.62253952026367
there was no guy that roger made .,-41.11073684692383,-44.29332733154297,-45.391414642333984,-47.780128479003906,-46.50200653076172,-48.424583435058594,-45.57333755493164,-50.688228607177734,-52.10643768310547,-47.993736267089844,-48.040748596191406,-48.65613555908203,-57.77247619628906,-61.746124267578125,-50.72669982910156,-55.12869644165039,-46.68449020385742,-46.468528747558594
