sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who had the patients' cleaning those banks upset.,-93.62745666503906,-99.66329956054688,-98.20703125,-113.27783203125,-101.24272155761719,-103.93511199951172,-110.861083984375,-97.58051300048828,-101.86272430419922,-114.80448913574219,-103.10970306396484,-106.2947769165039,-98.9894790649414,-106.98754119873047,-98.95391845703125,-109.76331329345703,-107.82005310058594,-110.40750122070312
who had the patients' cleaning upset those banks.,-89.93551635742188,-99.81250762939453,-90.8963851928711,-112.08466339111328,-103.18132019042969,-97.9840316772461,-111.52596282958984,-99.52919006347656,-95.5929946899414,-112.64302062988281,-105.97137451171875,-101.41858673095703,-98.47428894042969,-101.63121032714844,-96.8045425415039,-107.108642578125,-103.30052947998047,-110.15190124511719
who has the waitress's observing christine bothered.,-97.33831024169922,-100.7437515258789,-106.87300109863281,-78.63713073730469,-96.0130386352539,-89.22431182861328,-96.37097930908203,-111.12952423095703,-119.40142822265625,-75.83573913574219,-94.21727752685547,-93.51049041748047,-128.64678955078125,-129.25909423828125,-125.65312194824219,-119.38589477539062,-113.77684020996094,-117.98478698730469
who has the waitress's observing bothered christine.,-94.51441192626953,-96.79895782470703,-106.61845397949219,-76.92123413085938,-91.99156188964844,-84.43350219726562,-97.82099151611328,-105.83123016357422,-116.28985595703125,-73.41291046142578,-89.30827331542969,-85.46797943115234,-129.1401824951172,-128.8858184814453,-129.02822875976562,-117.99778747558594,-113.90692901611328,-116.6122055053711
who have a lot of adults' scanning this play disagreed with.,-93.5362319946289,-89.48108673095703,-99.46726989746094,-93.50811767578125,-95.13206481933594,-94.19575500488281,-98.8191909790039,-97.23878479003906,-107.06282043457031,-94.85202026367188,-97.55464172363281,-89.64022064208984,-118.84361267089844,-120.88484191894531,-119.8647689819336,-117.23338317871094,-106.35926818847656,-117.10086822509766
who have a lot of adults' scanning disagreed with this play.,-95.94285583496094,-95.55885314941406,-98.09342956542969,-86.83698272705078,-86.38618469238281,-87.01646423339844,-101.53474426269531,-102.74981689453125,-113.3980712890625,-87.82748413085938,-89.272216796875,-83.82989501953125,-113.78341674804688,-115.07359313964844,-122.03372192382812,-120.57524871826172,-106.99052429199219,-118.83313751220703
who have many women's touring spain embarrassed.,-108.30233764648438,-101.4468765258789,-108.71971130371094,-55.024803161621094,-57.301513671875,-56.04130935668945,-107.24481964111328,-103.73782348632812,-118.90959930419922,-53.31646728515625,-50.48678207397461,-55.66633605957031,-131.47482299804688,-113.29632568359375,-116.35550689697266,-100.19689178466797,-89.41361999511719,-98.92090606689453
who have many women's touring embarrassed spain.,-105.76118469238281,-95.3554458618164,-104.17469787597656,-56.92921447753906,-61.97471618652344,-61.48905944824219,-104.48184204101562,-106.24200439453125,-105.38958740234375,-56.4807014465332,-57.17747497558594,-63.1159782409668,-128.39688110351562,-107.35090637207031,-115.96871185302734,-94.363037109375,-90.31224060058594,-95.06681060791016
who should pedestrians' curing deanna scare.,-132.12648010253906,-123.69103240966797,-120.77587890625,-86.43914794921875,-85.4996337890625,-77.92251586914062,-148.12257385253906,-136.69151306152344,-130.1642303466797,-93.33235931396484,-90.78636169433594,-78.16260528564453,-123.60833740234375,-132.2092742919922,-137.71299743652344,-126.4334487915039,-121.36250305175781,-125.49314880371094
who should pedestrians' curing scare deanna.,-122.58454132080078,-119.1471939086914,-113.09297180175781,-89.12545776367188,-88.04029846191406,-86.6776123046875,-133.71160888671875,-134.8764190673828,-122.00436401367188,-96.63188934326172,-94.55441284179688,-83.87602996826172,-128.30357360839844,-130.57603454589844,-135.5962371826172,-125.30613708496094,-122.38137817382812,-126.49559020996094
who are a lot of guys' kissing heather aggravating.,-103.78910827636719,-97.01133728027344,-100.31646728515625,-85.26049041748047,-69.80712890625,-78.50274658203125,-108.76402282714844,-110.75370025634766,-99.11048889160156,-88.63300323486328,-69.72054290771484,-75.67217254638672,-120.57330322265625,-108.73733520507812,-107.73382568359375,-125.62000274658203,-126.01290130615234,-121.99095153808594
who are a lot of guys' kissing aggravating heather.,-107.54975891113281,-101.51734924316406,-98.65220642089844,-92.43165588378906,-74.95228576660156,-93.2327880859375,-104.9913558959961,-117.3334732055664,-95.06648254394531,-93.6998291015625,-72.99446868896484,-93.66969299316406,-115.97247314453125,-104.22578430175781,-108.94799041748047,-121.52918243408203,-121.14189147949219,-117.83782196044922
