sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
brian had questioned an association that can astound diana.,-121.47027587890625,-125.62190246582031,-120.28726196289062,-80.54946899414062,-81.58206939697266,-80.43943786621094,-130.99061584472656,-143.20242309570312,-130.16281127929688,-85.48471069335938,-85.5111312866211,-84.07807159423828,-124.656982421875,-121.7444839477539,-123.2824478149414,-87.76151275634766,-90.27765655517578,-85.02801513671875
brian had questioned who an association can astound diana.,-125.10514068603516,-129.52676391601562,-120.63643646240234,-85.95059967041016,-88.95980072021484,-88.21713256835938,-132.9769744873047,-149.2097930908203,-128.04945373535156,-89.08602142333984,-93.58421325683594,-91.17051696777344,-134.1160125732422,-131.54710388183594,-128.23687744140625,-100.46435546875,-102.62251281738281,-95.01139068603516
leslie remembered some guest that has bothered women.,-96.31660461425781,-99.56395721435547,-103.53649139404297,-81.34740447998047,-78.87446594238281,-74.26957702636719,-111.83712768554688,-113.8430404663086,-111.79615020751953,-84.9164810180664,-78.74958038330078,-76.37847137451172,-118.7744140625,-104.49069213867188,-114.94467163085938,-100.35637664794922,-96.92633819580078,-106.25212097167969
leslie remembered who some guest has bothered women.,-101.03326416015625,-102.38908386230469,-109.91655731201172,-86.74752807617188,-85.2486801147461,-77.01261138916016,-116.3244857788086,-117.00977325439453,-114.03466796875,-91.95012664794922,-83.70478820800781,-77.1248779296875,-115.84071350097656,-105.17346954345703,-111.21336364746094,-107.30365753173828,-99.05646514892578,-113.31886291503906
deanna discovers all essays that hadn't bored elaine.,-110.31839752197266,-120.73600006103516,-121.24431610107422,-101.63871765136719,-92.55999755859375,-96.00872039794922,-123.32294464111328,-127.88412475585938,-130.95773315429688,-107.68284606933594,-96.95580291748047,-95.1643295288086,-120.6756591796875,-119.07267761230469,-119.91334533691406,-98.07682800292969,-92.60038757324219,-94.64154052734375
deanna discovers who all essays hadn't bored elaine.,-114.11180877685547,-122.96015167236328,-117.1269760131836,-103.8460922241211,-98.88169860839844,-102.1517333984375,-127.64266967773438,-133.6558074951172,-128.51251220703125,-111.20315551757812,-104.1460189819336,-104.10324096679688,-126.21212768554688,-124.41277313232422,-128.10009765625,-106.25192260742188,-102.89031982421875,-105.77046203613281
the woman hadn't thought about those screens that aren't worrying andrew.,-98.05841064453125,-100.66232299804688,-100.35364532470703,-106.50967407226562,-112.318603515625,-104.26472473144531,-103.95341491699219,-108.49130249023438,-106.79241180419922,-108.10067749023438,-115.87335205078125,-104.89437866210938,-100.04393768310547,-104.30241394042969,-106.78472900390625,-92.990478515625,-87.16169738769531,-88.26748657226562
the woman hadn't thought about who those screens aren't worrying andrew.,-102.531494140625,-107.43936920166016,-104.66786193847656,-113.83599853515625,-111.50457763671875,-114.05126953125,-114.4614028930664,-119.45195007324219,-116.68113708496094,-114.3114242553711,-115.34660339355469,-115.36277770996094,-107.46708679199219,-106.71361541748047,-108.91619873046875,-96.39866638183594,-91.69817352294922,-95.74726867675781
phillip sees some teeth that are upsetting kendra.,-86.53611755371094,-81.43156433105469,-92.02595520019531,-73.18329620361328,-73.50670623779297,-68.78690338134766,-91.38202667236328,-85.60050964355469,-98.72862243652344,-70.20268249511719,-74.14493560791016,-67.77311706542969,-111.07755279541016,-111.16793060302734,-113.70887756347656,-91.0928726196289,-89.7716293334961,-92.62919616699219
phillip sees who some teeth are upsetting kendra.,-99.46296691894531,-91.64461517333984,-99.58894348144531,-83.14234924316406,-78.41728210449219,-73.52513122558594,-110.00397491455078,-102.05272674560547,-104.71052551269531,-79.93721008300781,-80.53430938720703,-73.98644256591797,-121.90248107910156,-118.4567642211914,-118.82102966308594,-96.60215759277344,-100.42027282714844,-96.7164535522461
