sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
where is the way ?,-13.319283485412598,-14.192909240722656,-13.746042251586914,-25.441513061523438,-24.662677764892578,-23.98394012451172,-15.952322006225586,-13.599428176879883,-14.55295181274414,-27.215147018432617,-25.282588958740234,-24.935832977294922,-49.21136474609375,-32.895816802978516,-32.26487731933594,-19.849853515625,-23.072235107421875,-20.617446899414062
where is the ways ?,-19.923484802246094,-21.649232864379883,-20.766979217529297,-26.944400787353516,-26.059463500976562,-26.747140884399414,-22.827457427978516,-23.20458221435547,-22.540569305419922,-28.934255599975586,-27.045364379882812,-27.303403854370117,-52.39439010620117,-39.98152160644531,-33.30982971191406,-28.126361846923828,-31.528417587280273,-27.254405975341797
what is the way ?,-15.732853889465332,-16.579872131347656,-14.826181411743164,-21.156272888183594,-17.852439880371094,-19.520456314086914,-18.52911376953125,-16.77859115600586,-16.247472763061523,-21.96609878540039,-18.469398498535156,-20.282562255859375,-48.63401794433594,-34.60711669921875,-34.778778076171875,-18.376272201538086,-21.39674186706543,-16.52252769470215
what is the ways ?,-23.903474807739258,-22.95517349243164,-22.73155975341797,-22.04677963256836,-21.832969665527344,-21.47637367248535,-26.82434844970703,-24.36939239501953,-27.123571395874023,-23.394023895263672,-23.014568328857422,-22.261104583740234,-50.6303596496582,-38.854087829589844,-34.94959259033203,-26.686450958251953,-27.946575164794922,-24.04501724243164
what color is the way ?,-17.043855667114258,-15.983652114868164,-16.700027465820312,-36.595611572265625,-33.94822692871094,-34.673492431640625,-19.208152770996094,-16.7166748046875,-16.46202850341797,-39.964927673339844,-35.15117263793945,-37.52060317993164,-59.077178955078125,-39.125282287597656,-38.04636764526367,-29.901880264282227,-32.59585952758789,-30.228397369384766
what color is the ways ?,-24.425859451293945,-22.980323791503906,-22.615570068359375,-37.733253479003906,-37.025856018066406,-35.388919830322266,-24.22014617919922,-24.87816619873047,-23.420291900634766,-41.916412353515625,-38.627017974853516,-37.523990631103516,-61.44776916503906,-44.00593185424805,-38.920555114746094,-36.87736892700195,-40.26902770996094,-37.334228515625
is the way not quick ?,-33.1825065612793,-34.59912872314453,-32.41913604736328,-38.72956466674805,-40.098243713378906,-38.207191467285156,-37.360679626464844,-31.37714385986328,-33.88928985595703,-40.76716613769531,-40.362606048583984,-40.51773452758789,-61.66718292236328,-45.484378814697266,-42.19684600830078,-39.75312042236328,-44.86204528808594,-44.01062774658203
is the ways not quick ?,-42.00602340698242,-40.43897247314453,-39.21623992919922,-36.855648040771484,-43.23881530761719,-41.68730926513672,-44.404170989990234,-41.25603485107422,-41.65686798095703,-39.92585754394531,-44.0384635925293,-44.46738052368164,-62.507835388183594,-48.47195816040039,-41.90937042236328,-43.3879280090332,-48.6290283203125,-47.62278747558594
is the way where it should be ?,-27.832120895385742,-27.784330368041992,-27.82684326171875,-35.275394439697266,-36.21589660644531,-38.23186111450195,-33.32398986816406,-25.87387466430664,-26.8966007232666,-36.93456268310547,-36.96466827392578,-40.86133575439453,-53.8766975402832,-32.449771881103516,-36.60000228881836,-31.351951599121094,-35.03611755371094,-34.41311264038086
is the ways where it should be ?,-36.49309158325195,-34.4344596862793,-36.25015640258789,-32.1724967956543,-37.03057098388672,-39.660377502441406,-43.57469940185547,-34.67966842651367,-34.17755126953125,-34.93788146972656,-37.03594970703125,-42.126338958740234,-58.96735382080078,-44.939308166503906,-38.35305404663086,-39.845008850097656,-41.60100555419922,-42.945838928222656
is the way something you like ?,-24.701377868652344,-29.958553314208984,-27.887235641479492,-37.607765197753906,-33.729164123535156,-36.760135650634766,-31.050296783447266,-32.251319885253906,-30.367111206054688,-37.932350158691406,-34.26884078979492,-35.34041213989258,-54.86720275878906,-41.53443908691406,-40.40938949584961,-34.74848175048828,-35.43986129760742,-35.6970100402832
is the ways something you like ?,-34.54189682006836,-34.374515533447266,-35.90323257446289,-37.49460983276367,-38.321231842041016,-37.56010437011719,-39.92049789428711,-39.765506744384766,-39.816829681396484,-40.18894577026367,-39.748619079589844,-36.070213317871094,-58.697959899902344,-44.707000732421875,-41.72117233276367,-41.38723373413086,-41.527496337890625,-43.19975280761719
is the way a good idea ?,-25.75157356262207,-24.42255973815918,-22.441085815429688,-33.65058517456055,-37.079071044921875,-35.39608383178711,-30.151260375976562,-25.450843811035156,-23.996051788330078,-33.09377670288086,-36.3297233581543,-36.35259246826172,-57.74658203125,-38.57815933227539,-42.466739654541016,-35.76884078979492,-40.458927154541016,-36.23969650268555
is the ways a good idea ?,-34.766849517822266,-32.889678955078125,-30.71902084350586,-33.2407341003418,-39.87234878540039,-38.98655700683594,-37.51451873779297,-36.74504470825195,-33.628944396972656,-33.75935363769531,-40.513484954833984,-40.18370819091797,-60.53758239746094,-46.91633605957031,-42.69884490966797,-41.611183166503906,-44.71480941772461,-41.120025634765625
where was the way ?,-15.79343032836914,-15.542882919311523,-16.19124984741211,-28.818572998046875,-28.578001022338867,-30.128427505493164,-18.546009063720703,-15.283380508422852,-18.917179107666016,-30.5798282623291,-29.24538803100586,-31.439319610595703,-51.56636428833008,-36.1961784362793,-34.79790115356445,-24.25409698486328,-27.9996395111084,-25.986787796020508
where was the ways ?,-21.323387145996094,-22.35881996154785,-22.064071655273438,-30.346881866455078,-30.822540283203125,-32.19854736328125,-24.71175193786621,-23.376575469970703,-24.937671661376953,-32.485374450683594,-31.816062927246094,-33.07904052734375,-53.090030670166016,-41.004638671875,-34.88996887207031,-33.00194549560547,-36.288265228271484,-33.04751205444336
what was the way ?,-15.632177352905273,-17.43718147277832,-16.123079299926758,-23.704574584960938,-19.714344024658203,-22.664764404296875,-19.07928466796875,-19.250442504882812,-17.615509033203125,-23.973560333251953,-20.36029815673828,-22.34793472290039,-49.614532470703125,-36.33332061767578,-36.33176040649414,-21.866296768188477,-25.24556541442871,-20.48975944519043
what was the ways ?,-22.88089370727539,-22.863962173461914,-22.181842803955078,-24.92729949951172,-24.079004287719727,-25.023670196533203,-27.114730834960938,-23.069782257080078,-26.817604064941406,-25.84212875366211,-24.868083953857422,-25.030059814453125,-50.578330993652344,-38.85911560058594,-35.487648010253906,-30.469751358032227,-31.758163452148438,-28.46258544921875
what color was the way ?,-18.853500366210938,-18.663307189941406,-19.337556838989258,-38.80300521850586,-36.65400314331055,-35.99109649658203,-21.892616271972656,-19.35575294494629,-19.3466796875,-41.61577606201172,-38.86405563354492,-37.80685043334961,-58.812416076660156,-42.59297180175781,-41.095787048339844,-32.483680725097656,-37.55963897705078,-33.71186065673828
what color was the ways ?,-25.5778865814209,-25.05079460144043,-25.007261276245117,-40.865386962890625,-40.286590576171875,-37.74604797363281,-26.472461700439453,-26.374481201171875,-26.732864379882812,-43.96687316894531,-41.705322265625,-39.396820068359375,-60.59412384033203,-44.93471908569336,-41.41501998901367,-39.852378845214844,-44.72254943847656,-41.2886962890625
was the way not quick ?,-31.811004638671875,-35.524349212646484,-32.497047424316406,-41.83769226074219,-45.62480163574219,-44.697513580322266,-37.14744186401367,-33.64152526855469,-31.84691047668457,-44.277183532714844,-48.38512420654297,-44.298004150390625,-62.97684097290039,-48.92865753173828,-45.55010223388672,-48.080196380615234,-49.45864486694336,-50.82957458496094
was the ways not quick ?,-38.0792236328125,-40.63618469238281,-38.47578811645508,-42.443851470947266,-48.68413543701172,-46.638999938964844,-42.18061828613281,-40.43741989135742,-38.46650695800781,-44.46927261352539,-51.51217269897461,-47.46208953857422,-62.76258850097656,-50.58543014526367,-44.178688049316406,-51.81071472167969,-53.775630950927734,-54.00653839111328
was the way where it should be ?,-28.29736328125,-27.33062171936035,-29.387802124023438,-40.360595703125,-42.14562225341797,-44.22785186767578,-31.40935707092285,-29.162982940673828,-28.428203582763672,-42.36985778808594,-43.94319534301758,-44.50715637207031,-57.41529846191406,-38.95243453979492,-43.488304138183594,-39.5191764831543,-39.51436996459961,-39.757667541503906
was the ways where it should be ?,-34.99530029296875,-34.32878494262695,-36.182743072509766,-40.4763069152832,-43.219573974609375,-45.10234832763672,-41.3573112487793,-36.556732177734375,-37.82262420654297,-42.880958557128906,-44.31861877441406,-45.527076721191406,-60.95230484008789,-46.535316467285156,-43.983436584472656,-47.09278106689453,-46.03757858276367,-47.879852294921875
was the way something you like ?,-26.328414916992188,-28.989131927490234,-29.053768157958984,-41.599830627441406,-39.748199462890625,-44.6098518371582,-32.7288818359375,-34.192230224609375,-30.555049896240234,-41.17350387573242,-40.65165710449219,-40.62050247192383,-57.68674087524414,-44.277278900146484,-45.70016098022461,-41.296966552734375,-39.636940002441406,-41.93246841430664
was the ways something you like ?,-35.531105041503906,-33.715110778808594,-37.7559814453125,-43.02515411376953,-44.40678787231445,-44.688392639160156,-42.141212463378906,-40.43071746826172,-40.96783447265625,-44.46091079711914,-46.96549987792969,-41.40616989135742,-58.86381530761719,-45.449241638183594,-45.494781494140625,-47.860084533691406,-46.31380081176758,-48.84687423706055
was the way a good idea ?,-25.05440330505371,-24.043867111206055,-21.379497528076172,-40.678977966308594,-43.128807067871094,-41.464439392089844,-29.80170440673828,-25.816606521606445,-23.123065948486328,-39.32696533203125,-43.559940338134766,-39.745540618896484,-61.18983459472656,-42.385929107666016,-47.09035110473633,-45.171546936035156,-45.47461700439453,-43.585716247558594
