sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
there is soon to be a cat existing.,-69.83389282226562,-66.07476043701172,-71.71449279785156,-57.14571762084961,-59.56572341918945,-63.1893196105957,-73.69947814941406,-68.5996322631836,-71.00767517089844,-58.941226959228516,-60.53860092163086,-62.511436462402344,-72.06861877441406,-76.26679992675781,-74.78770446777344,-54.267635345458984,-51.283329010009766,-51.772003173828125
there is willing to be a cat existing.,-66.1996078491211,-67.72578430175781,-71.74893951416016,-57.02472686767578,-64.02806091308594,-66.69291687011719,-71.70056915283203,-67.0364990234375,-72.08289337158203,-59.05638122558594,-64.79258728027344,-66.2754135131836,-80.05879211425781,-82.36885070800781,-81.9847183227539,-55.82732391357422,-55.51463317871094,-57.6212272644043
there was bound to be a fish escaping.,-70.88595581054688,-72.9268569946289,-67.44918823242188,-57.35524368286133,-63.84065246582031,-61.66810989379883,-79.62974548339844,-75.0495376586914,-71.64575958251953,-57.71993637084961,-67.8911361694336,-59.71096420288086,-72.38008117675781,-71.82316589355469,-72.08920288085938,-68.16732025146484,-65.43582153320312,-64.84165954589844
there was unable to be a fish escaping.,-73.87702178955078,-73.57810974121094,-71.17740631103516,-57.925331115722656,-60.43003845214844,-59.93349838256836,-78.85211944580078,-79.73828125,-73.50990295410156,-58.36653137207031,-61.95037841796875,-60.15913772583008,-81.47361755371094,-87.61455535888672,-80.5320053100586,-58.6376953125,-56.71945571899414,-56.622920989990234
there weren't about to be few prints of this eggplant scaring paula.,-108.54437255859375,-127.07621765136719,-122.16925811767578,-108.85698699951172,-114.79608154296875,-114.8211669921875,-120.0976333618164,-141.0315399169922,-136.7607421875,-107.99657440185547,-117.65814208984375,-114.79120635986328,-123.38838195800781,-118.37953186035156,-123.8538589477539,-143.78466796875,-142.7388458251953,-139.685791015625
there weren't unwilling to be few prints of this eggplant scaring paula.,-125.49005889892578,-146.29904174804688,-135.06472778320312,-106.27974700927734,-110.29600524902344,-116.57048034667969,-140.652587890625,-158.5877685546875,-157.2086944580078,-106.82677459716797,-113.52176666259766,-116.4946060180664,-142.1571807861328,-142.3701171875,-143.59213256835938,-142.642822265625,-147.6685791015625,-142.37477111816406
there were looking to be a lot of children assembling.,-83.25389099121094,-89.44829559326172,-86.4135513305664,-53.98442077636719,-63.133480072021484,-56.33059310913086,-93.16889953613281,-89.33746337890625,-80.05362701416016,-55.05597686767578,-65.52909851074219,-55.622493743896484,-76.42204284667969,-75.81678009033203,-77.30694580078125,-51.75450134277344,-57.448875427246094,-60.00017166137695
there were hoping to be a lot of children assembling.,-83.17958068847656,-80.51799011230469,-84.29852294921875,-52.947914123535156,-56.69254684448242,-56.07621765136719,-90.52345275878906,-81.21488952636719,-80.82830047607422,-53.554561614990234,-60.15638732910156,-54.91434860229492,-73.11400604248047,-73.36515045166016,-76.87600708007812,-52.5845832824707,-59.35569763183594,-64.03829193115234
there were likely to be some books about the borgias disturbing this senator.,-129.42491149902344,-140.6670684814453,-130.7755584716797,-84.64701843261719,-88.45963287353516,-91.01683807373047,-136.26573181152344,-154.95655822753906,-132.53172302246094,-85.92730712890625,-84.50686645507812,-87.24717712402344,-134.7413787841797,-141.0623321533203,-141.87295532226562,-101.31652069091797,-99.2320327758789,-98.72145080566406
there were ready to be some books about the borgias disturbing this senator.,-126.05594635009766,-135.2289581298828,-127.44489288330078,-94.67427825927734,-91.01609802246094,-98.53201293945312,-128.81080627441406,-148.84014892578125,-131.84506225585938,-93.79432678222656,-89.51180267333984,-95.33551788330078,-123.16957092285156,-128.0616455078125,-128.84188842773438,-110.24501037597656,-108.98491668701172,-108.76244354248047
there can't threaten to be hair confusing travis.,-103.9792709350586,-101.63385009765625,-102.51551055908203,-87.84919738769531,-92.68199157714844,-90.95423889160156,-112.84932708740234,-120.0572280883789,-107.3324966430664,-91.61619567871094,-92.95645141601562,-97.85498046875,-105.61116790771484,-102.45759582519531,-110.41033172607422,-93.94110107421875,-100.32560729980469,-95.02476501464844
there can't want to be hair confusing travis.,-77.22624969482422,-80.6449966430664,-77.92088317871094,-72.91008758544922,-80.40420532226562,-82.51779174804688,-85.79890441894531,-97.35851287841797,-84.65451049804688,-74.4402084350586,-81.70384979248047,-88.07075500488281,-76.96159362792969,-76.14987182617188,-84.50254821777344,-76.07666015625,-78.60665893554688,-72.6917953491211
there wasn't about to be a light fading.,-65.29022216796875,-67.61717224121094,-65.45417785644531,-62.39378356933594,-66.47390747070312,-62.46124267578125,-65.90416717529297,-68.83555603027344,-62.89699935913086,-66.19142150878906,-69.8602294921875,-63.597774505615234,-64.70384979248047,-57.745662689208984,-61.099700927734375,-61.45669174194336,-60.58102798461914,-58.52106475830078
there wasn't willing to be a light fading.,-73.05989837646484,-79.84478759765625,-73.59495544433594,-61.46733856201172,-64.14326477050781,-65.922607421875,-72.17374420166016,-80.31124114990234,-77.99571228027344,-64.07294464111328,-65.51810455322266,-67.96448516845703,-79.98197174072266,-72.98041534423828,-74.20285034179688,-63.763038635253906,-61.19729232788086,-61.92027282714844
there are appearing to be many pedestrians falling asleep.,-93.1357650756836,-97.50177001953125,-97.22949981689453,-71.77925109863281,-64.71849822998047,-67.64326477050781,-101.5451431274414,-103.82172393798828,-106.81939697265625,-69.34142303466797,-61.48606872558594,-61.83634948730469,-93.49767303466797,-95.9527587890625,-102.92144775390625,-88.32423400878906,-88.30284118652344,-92.80656433105469
there are neglecting to be many pedestrians falling asleep.,-124.373779296875,-120.9676513671875,-127.23367309570312,-71.63313293457031,-71.28358459472656,-65.77923583984375,-137.2677459716797,-131.79583740234375,-149.03912353515625,-64.63590240478516,-70.85272216796875,-65.44554901123047,-115.57124328613281,-110.095458984375,-110.45111083984375,-96.45106506347656,-97.11560821533203,-98.121337890625
