sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der feind , der das mitglied mag , zweifelt",-17.237335681915283,-17.942195892333984,-18.158323287963867,-19.81140375137329,-22.4812273979187,-21.507216930389404
"die feinde , die das mitglied mögen , zweifelt",-18.044025421142578,-19.327473640441895,-18.727752685546875,-17.676642894744873,-24.86420488357544,-21.356999397277832
"der feind , der die mitglieder mag , zweifelt",-16.842188358306885,-18.030662059783936,-18.4175968170166,-20.143364906311035,-22.17447280883789,-20.26093292236328
"die feinde , die die mitglieder mögen , zweifelt",-17.538512706756592,-18.9106502532959,-18.782337188720703,-17.96505880355835,-25.09940004348755,-19.84711503982544
"die feinde , die das mitglied mögen , zweifeln",-19.774438858032227,-19.68678092956543,-18.045536041259766,-13.98648738861084,-17.929116249084473,-13.97987985610962
"der feind , der das mitglied mag , zweifeln",-18.91472053527832,-18.365711212158203,-17.497384071350098,-15.498018741607666,-18.598002433776855,-17.817532062530518
"die feinde , die die mitglieder mögen , zweifeln",-19.303671836853027,-19.30704116821289,-17.977092742919922,-14.591188907623291,-17.847451210021973,-12.307924747467041
"der feind , der die mitglieder mag , zweifeln",-18.564273834228516,-18.502485275268555,-17.68925428390503,-15.201672077178955,-17.753260612487793,-15.138388633728027
"der feind , der das mitglied vermeidet , zweifelt",-16.939836502075195,-16.936179161071777,-19.065638542175293,-19.933602333068848,-25.043667793273926,-21.9392147064209
"die feinde , die das mitglied vermeiden , zweifelt",-18.263290405273438,-18.44032096862793,-19.644640922546387,-21.377501964569092,-28.14925527572632,-21.86997890472412
"der feind , der die mitglieder vermeidet , zweifelt",-16.895715713500977,-16.732054710388184,-19.370433807373047,-19.326786041259766,-23.274964332580566,-20.47509002685547
"die feinde , die die mitglieder vermeiden , zweifelt",-18.06420660018921,-17.931757926940918,-19.63076114654541,-21.066964626312256,-27.904645442962646,-20.6791033744812
"die feinde , die das mitglied vermeiden , zweifeln",-20.673675537109375,-19.44882297515869,-19.102907180786133,-15.415744304656982,-18.52272605895996,-15.12326955795288
"der feind , der das mitglied vermeidet , zweifeln",-19.28312397003174,-18.185407638549805,-18.65386199951172,-14.995662689208984,-19.183349609375,-16.855435371398926
"die feinde , die die mitglieder vermeiden , zweifeln",-20.37683868408203,-18.934358596801758,-18.995158195495605,-15.532041072845459,-18.543701648712158,-14.559027194976807
"der feind , der die mitglieder vermeidet , zweifeln",-19.21757698059082,-18.11573314666748,-18.92294692993164,-14.584218502044678,-17.643808841705322,-14.583090782165527
"der feind , der das mitglied mag , konstruiert",-14.952269554138184,-14.156084060668945,-17.185215950012207,-12.990842819213867,-14.817131996154785,-11.245441436767578
"die feinde , die das mitglied mögen , konstruiert",-15.007383346557617,-13.963530540466309,-17.357704162597656,-12.288579940795898,-15.698161125183105,-11.022782325744629
"der feind , der die mitglieder mag , konstruiert",-14.96478271484375,-14.162627220153809,-17.158703804016113,-13.655913352966309,-16.819994926452637,-12.20567798614502
"die feinde , die die mitglieder mögen , konstruiert",-15.178779602050781,-14.07028579711914,-16.925715446472168,-12.632123947143555,-17.639219284057617,-12.248579025268555
"die feinde , die das mitglied mögen , konstruieren",-15.25778865814209,-13.572550773620605,-18.46819305419922,-14.560261726379395,-15.552343368530273,-13.09505558013916
"der feind , der das mitglied mag , konstruieren",-14.865960121154785,-13.780367851257324,-18.217673301696777,-17.40345001220703,-16.90184783935547,-14.117805480957031
"die feinde , die die mitglieder mögen , konstruieren",-15.204874992370605,-13.783608436584473,-17.7059965133667,-14.47311019897461,-17.311911582946777,-13.943231582641602
"der feind , der die mitglieder mag , konstruieren",-14.689019203186035,-13.912365913391113,-18.1790828704834,-17.222363471984863,-17.749267578125,-14.11152172088623
"der feind , der das mitglied vermeidet , konstruiert",-14.496350288391113,-13.905373573303223,-16.501898765563965,-11.475560188293457,-12.478248596191406,-12.086555480957031
"die feinde , die das mitglied vermeiden , konstruiert",-14.655582427978516,-13.382882118225098,-16.14327621459961,-12.31556510925293,-13.438669204711914,-11.144943237304688
"der feind , der die mitglieder vermeidet , konstruiert",-14.4481840133667,-13.490011215209961,-16.47026824951172,-11.809378623962402,-14.128207206726074,-13.13142204284668
"die feinde , die die mitglieder vermeiden , konstruiert",-14.869665145874023,-12.979365348815918,-15.608256340026855,-12.7522611618042,-14.985214233398438,-12.792399406433105
"die feinde , die das mitglied vermeiden , konstruieren",-15.48340129852295,-13.331618309020996,-17.36201286315918,-14.651583671569824,-13.571671485900879,-12.988699913024902
"der feind , der das mitglied vermeidet , konstruieren",-15.790928840637207,-14.106956481933594,-18.270238876342773,-15.717304229736328,-14.4362154006958,-15.471238136291504
"die feinde , die die mitglieder vermeiden , konstruieren",-15.454224586486816,-13.235527992248535,-16.57405662536621,-14.353362083435059,-14.724207878112793,-14.181366920471191
"der feind , der die mitglieder vermeidet , konstruieren",-15.694692611694336,-14.156553268432617,-18.104483604431152,-15.665640830993652,-15.242728233337402,-15.898015022277832
"der feind , der das mitglied mag , fürchtet",-15.541066646575928,-18.10573959350586,-15.041247844696045,-15.4142165184021,-14.095987796783447,-20.184556484222412
"die feinde , die das mitglied mögen , fürchtet",-16.67740535736084,-19.026904106140137,-14.696268081665039,-12.823899269104004,-12.419690132141113,-19.078566551208496
"der feind , der die mitglieder mag , fürchtet",-16.156237602233887,-18.76492404937744,-14.90524673461914,-15.489287376403809,-14.48939847946167,-21.01712465286255
"die feinde , die die mitglieder mögen , fürchtet",-17.06850528717041,-19.09053325653076,-14.646276950836182,-12.664660930633545,-12.623042583465576,-19.23808240890503
"die feinde , die das mitglied mögen , fürchten",-18.214268684387207,-18.713224411010742,-13.507001876831055,-13.34274435043335,-12.40379810333252,-11.80773401260376
"der feind , der das mitglied mag , fürchten",-18.107012271881104,-17.766234397888184,-13.313490867614746,-15.62263298034668,-13.165199279785156,-13.710208892822266
"die feinde , die die mitglieder mögen , fürchten",-18.62136936187744,-19.323030471801758,-13.663785457611084,-13.177737712860107,-12.1703782081604,-11.102734088897705
"der feind , der die mitglieder mag , fürchten",-18.612886428833008,-18.715593338012695,-13.512227535247803,-15.120052814483643,-12.276268482208252,-13.43267011642456
"der feind , der das mitglied vermeidet , fürchtet",-16.70431661605835,-17.189159393310547,-14.26701831817627,-13.310518264770508,-13.988905429840088,-15.442580223083496
"die feinde , die das mitglied vermeiden , fürchtet",-17.351165771484375,-17.698832511901855,-14.425747394561768,-14.082334518432617,-14.401204586029053,-18.305704593658447
"der feind , der die mitglieder vermeidet , fürchtet",-17.26741933822632,-17.30207633972168,-14.266409397125244,-13.15605115890503,-13.751358032226562,-16.03280544281006
"die feinde , die die mitglieder vermeiden , fürchtet",-17.59882116317749,-17.431729316711426,-14.184861660003662,-13.670979499816895,-13.897358894348145,-18.319260597229004
"die feinde , die das mitglied vermeiden , fürchten",-18.116432189941406,-17.120553016662598,-13.343470573425293,-14.640482902526855,-14.503441333770752,-12.797597885131836
