sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
look at this purple thing .,-15.688270568847656,-14.672403335571289,-15.397248268127441,-39.16838073730469,-37.55899429321289,-41.2380485534668,-17.927337646484375,-14.406707763671875,-17.052295684814453,-36.953643798828125,-35.688323974609375,-40.44692611694336,-45.33344650268555,-42.53171920776367,-37.05622863769531,-44.407127380371094,-42.678916931152344,-41.770591735839844
look at this purple things .,-19.613149642944336,-20.300369262695312,-21.431507110595703,-42.71504211425781,-41.729026794433594,-44.93964385986328,-22.813720703125,-21.941116333007812,-23.754518508911133,-40.628662109375,-39.01880645751953,-43.32159423828125,-49.71444320678711,-45.637664794921875,-40.397823333740234,-57.322120666503906,-50.93204116821289,-48.24998092651367
this purple thing went there .,-25.657955169677734,-27.850440979003906,-26.236387252807617,-38.97747802734375,-41.241573333740234,-41.60870361328125,-29.097623825073242,-30.95918846130371,-27.438377380371094,-40.66984939575195,-40.06657791137695,-44.79893493652344,-47.59319305419922,-48.003414154052734,-45.74341583251953,-36.92633056640625,-39.2674560546875,-38.79193115234375
this purple things went there .,-32.612667083740234,-32.590328216552734,-32.50815200805664,-44.880943298339844,-44.85641098022461,-47.973873138427734,-38.50172805786133,-34.737117767333984,-34.19115447998047,-45.32233428955078,-44.77384948730469,-48.9302864074707,-52.08218002319336,-53.17349624633789,-49.2112922668457,-50.158260345458984,-47.46411895751953,-43.97644805908203
this purple thing did not happen .,-28.71573829650879,-29.98610496520996,-31.189485549926758,-35.28178787231445,-36.611473083496094,-36.51604461669922,-34.43265151977539,-32.36086654663086,-32.897640228271484,-35.42212677001953,-34.47511291503906,-38.81660461425781,-58.58464813232422,-54.007591247558594,-47.66019821166992,-34.043495178222656,-33.2302360534668,-34.74054718017578
this purple things did not happen .,-35.24159622192383,-34.53466033935547,-36.930816650390625,-42.54905319213867,-39.99049377441406,-42.32468795776367,-40.75181198120117,-37.63093948364258,-38.84806823730469,-41.50878143310547,-39.515804290771484,-42.50347900390625,-62.052879333496094,-57.90747833251953,-50.749393463134766,-43.59988021850586,-40.644805908203125,-37.90174102783203
i saw this purple thing .,-20.304227828979492,-22.57879638671875,-22.347917556762695,-27.053508758544922,-28.898958206176758,-27.46381950378418,-20.37099266052246,-23.710018157958984,-21.199281692504883,-27.583709716796875,-27.591114044189453,-29.424541473388672,-50.811161041259766,-45.982566833496094,-42.6632080078125,-35.24382400512695,-37.16282653808594,-31.44103240966797
i saw this purple things .,-24.95600700378418,-27.544994354248047,-28.245697021484375,-35.474815368652344,-34.82067108154297,-33.7183837890625,-26.55908203125,-29.591190338134766,-28.471323013305664,-36.86125183105469,-33.37128448486328,-34.764610290527344,-53.779518127441406,-50.03851318359375,-46.34231185913086,-46.39266586303711,-43.98228454589844,-36.481300354003906
look at that purple thing .,-15.23776912689209,-14.521780014038086,-15.087430953979492,-39.09339141845703,-45.35639572143555,-41.759681701660156,-17.00839614868164,-15.261576652526855,-17.8284912109375,-37.054988861083984,-41.83531951904297,-40.790992736816406,-45.362056732177734,-44.853248596191406,-38.91266632080078,-53.037017822265625,-50.139869689941406,-47.39049530029297
look at that purple things .,-19.388633728027344,-20.357379913330078,-21.038158416748047,-41.58390808105469,-45.0369873046875,-44.768768310546875,-22.958866119384766,-23.600242614746094,-24.311290740966797,-39.695674896240234,-42.82712173461914,-43.99220275878906,-49.692073822021484,-47.655799865722656,-42.12468719482422,-60.249324798583984,-56.037113189697266,-51.18653106689453
that purple thing went there .,-24.108320236206055,-27.046052932739258,-23.37128448486328,-37.70064926147461,-46.04174041748047,-41.36933135986328,-28.862010955810547,-33.004249572753906,-26.898658752441406,-39.5357666015625,-46.11723327636719,-44.73585891723633,-51.38018798828125,-47.18098449707031,-45.60881805419922,-41.83785629272461,-45.14842987060547,-42.61204528808594
