sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
eric imagines himself taking every rug.,-82.24760437011719,-88.40003204345703,-85.78408813476562,-67.50603485107422,-70.51329040527344,-69.1423568725586,-93.77720642089844,-87.6763687133789,-93.83758544921875,-68.49996185302734,-67.02731323242188,-69.09797668457031,-95.87036895751953,-92.08975219726562,-92.54009246826172,-81.36145782470703,-76.43050384521484,-75.39895629882812
eric imagines himself took every rug.,-82.54145812988281,-88.70521545410156,-88.9014663696289,-65.9678726196289,-70.59020233154297,-70.7872085571289,-96.12803649902344,-88.20843505859375,-95.51111602783203,-69.20283508300781,-70.79481506347656,-72.86408996582031,-96.5894775390625,-93.08850860595703,-93.03010559082031,-84.9765396118164,-81.46473693847656,-80.16614532470703
stacy imagines herself praising this actress.,-105.42817687988281,-109.12017059326172,-114.12262725830078,-82.470703125,-73.3852767944336,-80.4423599243164,-125.36547088623047,-120.02906799316406,-128.58212280273438,-83.3612289428711,-76.66141510009766,-84.8489990234375,-121.79023742675781,-120.03094482421875,-110.7221450805664,-78.9976577758789,-82.05494689941406,-84.13583374023438
stacy imagines herself praises this actress.,-103.80243682861328,-110.52645874023438,-115.17961120605469,-84.49867248535156,-76.50131225585938,-82.35002899169922,-125.5307846069336,-124.73460388183594,-134.08486938476562,-86.77741241455078,-79.13969421386719,-86.08489227294922,-118.42032623291016,-116.66110229492188,-104.1842041015625,-83.23865509033203,-86.54722595214844,-89.3038558959961
all pedestrians think about themselves exploring museums.,-89.24840545654297,-93.65907287597656,-93.00410461425781,-56.45701217651367,-69.736328125,-61.92670440673828,-101.05624389648438,-85.78822326660156,-99.79893493652344,-56.96802520751953,-67.99513244628906,-62.49309158325195,-111.03068542480469,-108.4124755859375,-112.69803619384766,-82.56497192382812,-84.42283630371094,-85.43842315673828
all pedestrians think about themselves explored museums.,-99.40501403808594,-108.3259506225586,-103.42657470703125,-58.246158599853516,-68.98930358886719,-65.5121841430664,-115.56420135498047,-105.36170959472656,-119.25869750976562,-58.2462272644043,-67.09016418457031,-66.676025390625,-108.22837829589844,-108.75015258789062,-109.21009063720703,-86.40780639648438,-86.98724365234375,-87.97277069091797
cheryl is forgetting about herself thinking about beverly.,-94.18241882324219,-98.69444274902344,-95.89637756347656,-80.82559967041016,-82.83841705322266,-86.4197006225586,-106.56619262695312,-102.90900421142578,-105.36461639404297,-80.30206298828125,-82.95503997802734,-90.30036163330078,-100.4999008178711,-98.9936752319336,-101.00360870361328,-81.8128433227539,-89.17084503173828,-82.41743469238281
cheryl is forgetting about herself thought about beverly.,-98.42105865478516,-100.27770233154297,-99.79134368896484,-89.6257553100586,-87.4832992553711,-92.18099975585938,-113.0691146850586,-103.48394012451172,-112.2755355834961,-87.68280029296875,-89.29920959472656,-98.86980438232422,-109.89814758300781,-109.74925231933594,-109.9316177368164,-83.9766616821289,-95.6843032836914,-87.41238403320312
some guests imagine themselves exploring a library.,-74.00469970703125,-72.42435455322266,-74.28585815429688,-76.05470275878906,-77.29206848144531,-75.78202819824219,-76.25225067138672,-75.80433654785156,-74.79576110839844,-79.11597442626953,-79.01126861572266,-78.19098663330078,-85.35041809082031,-86.76815795898438,-91.00856018066406,-71.0584487915039,-69.83841705322266,-71.32658386230469
some guests imagine themselves explored a library.,-87.68606567382812,-82.48927307128906,-83.53248596191406,-77.29964447021484,-76.31687927246094,-75.25503540039062,-96.5747299194336,-90.59886169433594,-89.9944076538086,-80.47653198242188,-77.05836486816406,-76.11690521240234,-83.37254333496094,-87.09093475341797,-86.97325897216797,-75.35956573486328,-76.44692993164062,-77.01112365722656
tonya is thinking about herself listening to andrew.,-71.95533752441406,-76.04813385009766,-74.95221710205078,-88.77845001220703,-80.61973571777344,-78.265380859375,-81.05443572998047,-86.16187286376953,-83.81610870361328,-92.92329406738281,-84.17522430419922,-83.08647918701172,-74.03192138671875,-68.14692687988281,-73.75859832763672,-73.79759216308594,-74.5348892211914,-77.8309097290039
