sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who must philip and the dinosaur turn ?,-50.59345626831055,-48.05003356933594,-47.74528884887695,-72.46151733398438,-71.74461364746094,-70.39421081542969,-55.26082992553711,-56.47283935546875,-57.42595672607422,-79.40412139892578,-75.00513458251953,-69.56526947021484,-69.2768783569336,-65.4561538696289,-65.71971130371094,-69.99219512939453,-76.5383071899414,-73.80256652832031
who must philip turn and the dinosaur ?,-55.52371597290039,-51.753726959228516,-54.01314926147461,-63.570457458496094,-68.97396087646484,-68.78292846679688,-58.78461456298828,-59.40098571777344,-66.4625473022461,-64.81637573242188,-73.79266357421875,-69.88723754882812,-74.7620849609375,-73.13444519042969,-73.50590515136719,-77.18461608886719,-81.23220825195312,-81.11479949951172
who were philip and the dinosaur taking ?,-46.69819641113281,-43.52542495727539,-42.55458068847656,-70.56715393066406,-68.34326171875,-68.24573516845703,-53.06082534790039,-51.9482421875,-49.53191375732422,-71.00225830078125,-71.46784973144531,-70.84984588623047,-72.30677795410156,-59.891998291015625,-60.13842010498047,-75.85745239257812,-73.76226806640625,-73.0057373046875
who were philip turn and the dinosaur ?,-53.43870544433594,-47.04696273803711,-49.81061935424805,-63.978904724121094,-69.71607208251953,-69.55027770996094,-58.54021453857422,-57.38035583496094,-65.0633773803711,-64.94087219238281,-73.88008880615234,-68.74991607666016,-75.81486511230469,-69.95616149902344,-66.68111419677734,-78.14868927001953,-78.26644134521484,-82.40618133544922
what did philip and the dinosaur turn ?,-42.252838134765625,-35.41222381591797,-37.562252044677734,-64.45347595214844,-57.640262603759766,-58.85118103027344,-41.818912506103516,-40.91619110107422,-40.942169189453125,-67.40293884277344,-58.10015106201172,-58.22446823120117,-60.693031311035156,-52.9471435546875,-53.66173553466797,-58.79026794433594,-65.56948852539062,-61.344200134277344
what did philip turn and the dinosaur ?,-45.39335250854492,-41.729373931884766,-43.7108039855957,-58.17768859863281,-54.94316864013672,-60.42578125,-46.41378402709961,-49.408016204833984,-54.186927795410156,-60.221805572509766,-56.485809326171875,-58.932228088378906,-64.80799865722656,-61.91313934326172,-60.811553955078125,-67.19945526123047,-66.39337158203125,-67.03179931640625
what were philip and the dinosaur taking ?,-45.889305114746094,-40.048118591308594,-39.65791702270508,-68.03600311279297,-61.993263244628906,-62.622169494628906,-46.08430862426758,-46.71836471557617,-46.529319763183594,-68.85696411132812,-65.26107788085938,-65.23311614990234,-73.82617950439453,-57.1685791015625,-57.55908203125,-66.10514068603516,-66.08690643310547,-60.820899963378906
what were philip taking and the dinosaur ?,-47.578670501708984,-42.40464782714844,-48.88556671142578,-65.11119079589844,-60.08460235595703,-63.44576644897461,-51.044960021972656,-52.200157165527344,-52.311195373535156,-65.30358123779297,-62.38496780395508,-63.205867767333984,-73.1981430053711,-63.094879150390625,-64.28331756591797,-71.33826446533203,-73.33186340332031,-68.80699157714844
what did roger and the sister work for ?,-46.180572509765625,-46.0539665222168,-42.569034576416016,-70.22693634033203,-62.21378707885742,-64.26808166503906,-50.7974853515625,-50.63336944580078,-44.947906494140625,-71.98627471923828,-61.07111740112305,-64.05174255371094,-65.046142578125,-54.51408767700195,-55.86710739135742,-70.54663848876953,-65.1769027709961,-62.97415542602539
what did roger work for and the sister ?,-49.55305862426758,-52.597938537597656,-51.51286315917969,-68.84320068359375,-69.11656951904297,-65.45115661621094,-54.84188461303711,-58.242897033691406,-59.23419952392578,-70.9997329711914,-73.59664916992188,-67.6851806640625,-66.07979583740234,-55.948272705078125,-60.746395111083984,-73.31501007080078,-69.09416961669922,-67.55408477783203
