sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who should william have without watching the baby ?,-44.523685455322266,-44.16664505004883,-47.127864837646484,-67.8190689086914,-65.99668884277344,-66.69630432128906,-42.35051727294922,-50.806304931640625,-58.09321212768555,-67.73155975341797,-66.76467895507812,-67.63485717773438,-74.31104278564453,-63.832115173339844,-59.94343566894531,-73.86298370361328,-79.51618194580078,-76.60419464111328
who should william have the baby without watching ?,-48.46584701538086,-43.34364700317383,-50.78681564331055,-69.55220031738281,-69.94635009765625,-70.30938720703125,-49.732383728027344,-52.26979446411133,-56.66262435913086,-68.65410614013672,-71.39346313476562,-70.92386627197266,-75.63099670410156,-62.69622802734375,-59.90478515625,-74.53768157958984,-79.80461120605469,-76.9942398071289
what did william have without watching the baby ?,-42.48897171020508,-43.360679626464844,-46.17529296875,-61.89828109741211,-58.33246994018555,-60.30967330932617,-43.559329986572266,-49.92230987548828,-54.330257415771484,-62.6606559753418,-58.58744430541992,-61.179874420166016,-73.05687713623047,-56.01052474975586,-55.99238967895508,-64.60790252685547,-66.8691635131836,-65.52615356445312
what did william have the baby without watching ?,-45.44482421875,-44.10444259643555,-48.550193786621094,-65.3302001953125,-64.44161987304688,-63.43479537963867,-50.624305725097656,-53.63134765625,-52.90362548828125,-65.52667236328125,-63.637474060058594,-63.478919982910156,-76.25985717773438,-57.54543685913086,-58.53376770019531,-66.55307006835938,-67.45075225830078,-66.8010025024414
who should roger have while washing the procedure ?,-69.30030059814453,-70.35824584960938,-67.47491455078125,-75.37889099121094,-76.83576202392578,-79.37686920166016,-69.87678527832031,-67.5184555053711,-68.12704467773438,-74.7355728149414,-78.3978271484375,-79.84137725830078,-85.64486694335938,-86.02926635742188,-82.85427856445312,-79.39791107177734,-82.548828125,-81.8785629272461
who should roger have the procedure while washing ?,-66.4419937133789,-72.99088287353516,-66.8988037109375,-70.22953033447266,-70.3502426147461,-74.63115692138672,-61.89141082763672,-80.01093292236328,-72.73925018310547,-70.47767639160156,-71.93630981445312,-75.4289779663086,-86.01913452148438,-85.69532775878906,-77.08766174316406,-80.72361755371094,-84.419677734375,-81.11971282958984
what did roger have while washing the procedure ?,-64.16043853759766,-64.70869445800781,-68.09990692138672,-75.08002471923828,-70.15494537353516,-72.8334732055664,-67.94458770751953,-64.35174560546875,-70.27388763427734,-77.8090591430664,-71.76338958740234,-73.67847442626953,-75.37980651855469,-78.75077819824219,-74.21953582763672,-73.4835433959961,-74.98113250732422,-72.97251892089844
what did roger have the procedure while washing ?,-60.93292999267578,-66.07354736328125,-65.05805206298828,-70.69317626953125,-67.33045196533203,-70.93533325195312,-64.76686096191406,-70.9125747680664,-73.15113067626953,-70.88935852050781,-68.53301239013672,-72.57919311523438,-78.9669418334961,-79.79380798339844,-71.72713470458984,-74.71186828613281,-76.00432586669922,-72.70775604248047
who should mark turn while facing the color ?,-64.6724853515625,-56.41376495361328,-61.00328063964844,-63.388648986816406,-64.34999084472656,-69.6719970703125,-74.96361541748047,-64.87598419189453,-68.6296615600586,-62.666786193847656,-68.51960754394531,-74.49362182617188,-72.23377990722656,-72.93317413330078,-70.91698455810547,-73.0973129272461,-77.91896057128906,-70.78787994384766
who should mark turn the color while facing ?,-66.54122161865234,-56.39876174926758,-63.19346618652344,-62.8482551574707,-64.02393341064453,-71.14443969726562,-74.03932189941406,-66.69247436523438,-71.32373809814453,-62.0744514465332,-67.15693664550781,-79.1241226196289,-72.31259155273438,-73.44145202636719,-71.2901611328125,-80.92598724365234,-82.03174591064453,-76.35741424560547
