sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
susan revealed herself.,-53.34834289550781,-52.177120208740234,-44.96472930908203,-41.997562408447266,-37.968177795410156,-36.46428298950195,-64.78364562988281,-55.10388946533203,-47.34504318237305,-43.40919494628906,-37.35950469970703,-37.083438873291016,-72.5633773803711,-68.16354370117188,-71.2131118774414,-50.05095672607422,-48.1954460144043,-56.411590576171875
susan revealed themselves.,-52.79975128173828,-59.5647087097168,-48.76429748535156,-44.19620132446289,-43.77882385253906,-36.94904327392578,-59.83637619018555,-64.24617004394531,-53.436519622802734,-45.10564041137695,-46.60243606567383,-35.9398307800293,-72.33757019042969,-64.656494140625,-69.495361328125,-53.66731262207031,-48.79643249511719,-53.93880844116211
renee hasn't hurt herself.,-56.38878631591797,-64.20909881591797,-56.930870056152344,-62.6787109375,-57.856712341308594,-60.76272964477539,-54.14903259277344,-68.15973663330078,-61.95808410644531,-66.07861328125,-59.62348937988281,-63.896873474121094,-59.55994415283203,-56.22602462768555,-51.90007400512695,-47.455162048339844,-49.32338333129883,-50.33271026611328
renee hasn't hurt themselves.,-58.430023193359375,-65.47374725341797,-59.50877380371094,-58.94770431518555,-59.9180908203125,-56.813133239746094,-60.08863830566406,-62.3879280090332,-65.6414794921875,-57.89036560058594,-62.21354293823242,-56.771514892578125,-61.3266487121582,-58.53962326049805,-55.67021942138672,-52.070091247558594,-48.18189239501953,-47.85329055786133
these patients do respect themselves.,-59.01182174682617,-64.12797546386719,-60.73326873779297,-51.02684783935547,-52.55659866333008,-49.3808479309082,-64.91508483886719,-65.89666748046875,-68.40365600585938,-51.967594146728516,-52.57304000854492,-50.24617385864258,-67.27919006347656,-68.06425476074219,-72.14848327636719,-47.26666259765625,-44.98162078857422,-43.01606369018555
these patients do respect himself.,-62.94230270385742,-62.96229934692383,-62.638694763183594,-55.25288391113281,-59.51435470581055,-55.50618362426758,-72.02233123779297,-66.75708770751953,-69.72518920898438,-56.690887451171875,-59.95618438720703,-58.88105773925781,-70.87704467773438,-73.40144348144531,-72.46511840820312,-49.210418701171875,-46.33341598510742,-44.686737060546875
mary should criticize herself.,-69.03350830078125,-68.86870574951172,-65.1754150390625,-47.61579132080078,-49.66468811035156,-52.4150276184082,-76.0772933959961,-74.78923034667969,-75.09986114501953,-48.27411651611328,-50.5130729675293,-53.64945983886719,-80.25980377197266,-82.31673431396484,-77.17303466796875,-55.434024810791016,-53.37134552001953,-53.37792205810547
mary should criticize themselves.,-69.29435729980469,-72.6014633178711,-69.09291076660156,-51.26211166381836,-53.311588287353516,-54.16333770751953,-77.02337646484375,-81.98965454101562,-77.49329376220703,-53.35166931152344,-54.94000244140625,-55.13257598876953,-81.28634643554688,-82.68074035644531,-79.60538482666016,-56.555030822753906,-50.92289733886719,-53.33512496948242
kristin irritated herself.,-64.41801452636719,-67.84481811523438,-65.76774597167969,-42.51847839355469,-44.04391098022461,-42.477439880371094,-67.623046875,-78.1182632446289,-78.19557189941406,-38.392616271972656,-41.869850158691406,-45.99969482421875,-87.24205780029297,-90.11698913574219,-85.29452514648438,-56.379173278808594,-53.01996994018555,-61.6943473815918
kristin irritated themselves.,-66.00790405273438,-70.22235107421875,-66.91661834716797,-44.436744689941406,-46.06818389892578,-43.965030670166016,-72.75782775878906,-79.25157165527344,-76.37386322021484,-41.97962188720703,-45.374755859375,-46.068031311035156,-87.98291015625,-84.187744140625,-86.0599136352539,-68.40796661376953,-54.91908264160156,-64.82909393310547
tracy described herself.,-67.13487243652344,-66.245849609375,-63.40419387817383,-46.58008575439453,-40.96590805053711,-46.03596496582031,-73.68268585205078,-66.64440155029297,-71.47753143310547,-46.42129898071289,-38.65788269042969,-46.638309478759766,-80.33976745605469,-79.92667388916016,-78.62876892089844,-47.26545715332031,-50.49152374267578,-56.4931640625
tracy described themselves.,-68.04315948486328,-67.37709045410156,-64.99842071533203,-46.87456130981445,-44.187950134277344,-46.31013488769531,-74.22804260253906,-67.49811553955078,-71.47793579101562,-49.08002471923828,-45.77484130859375,-46.45304870605469,-76.31111145019531,-73.17044830322266,-71.032470703125,-52.47249221801758,-49.0076789855957,-51.86477279663086
a lot of girls had bothered themselves.,-59.45047378540039,-64.57569885253906,-64.04269409179688,-56.90651321411133,-64.37543487548828,-57.327266693115234,-64.05809020996094,-64.56207275390625,-69.37699890136719,-58.992923736572266,-63.94526290893555,-57.357791900634766,-64.82232666015625,-65.64080047607422,-66.33148956298828,-63.30049133300781,-59.254276275634766,-66.11752319335938
a lot of girls had bothered himself.,-57.37205505371094,-66.4141616821289,-62.357688903808594,-56.48433303833008,-62.64420700073242,-58.90837478637695,-59.76177978515625,-68.59654998779297,-67.53104400634766,-57.09011459350586,-62.6706657409668,-58.771976470947266,-65.05060577392578,-68.48876190185547,-69.19654083251953,-61.40377426147461,-58.62080001831055,-62.97517013549805
many teenagers were helping themselves.,-63.030677795410156,-66.85568237304688,-65.16415405273438,-37.112510681152344,-45.347774505615234,-38.755165100097656,-76.6713638305664,-69.76409149169922,-70.57421112060547,-34.92858123779297,-43.08804702758789,-42.8232536315918,-68.84806823730469,-73.06195831298828,-67.94214630126953,-57.03584289550781,-50.28015899658203,-55.20595932006836
many teenagers were helping herself.,-65.88617706298828,-70.26036834716797,-66.81685638427734,-40.30160140991211,-45.49122619628906,-46.69870376586914,-77.38175964355469,-72.88670349121094,-72.81327056884766,-39.832305908203125,-43.015838623046875,-50.66339874267578,-70.41195678710938,-78.20010375976562,-70.55374145507812,-52.58942794799805,-52.641502380371094,-58.965667724609375
girls talked to themselves.,-43.2030143737793,-49.418880462646484,-41.95893096923828,-47.97649002075195,-49.900264739990234,-46.700653076171875,-48.001731872558594,-57.875980377197266,-51.75590515136719,-47.27824783325195,-50.134971618652344,-49.92601013183594,-49.66423797607422,-50.00335693359375,-50.615394592285156,-54.12620544433594,-49.31891632080078,-54.642059326171875
girls talked to itself.,-49.001407623291016,-51.01586151123047,-49.182106018066406,-51.44124221801758,-50.5398063659668,-48.21977233886719,-55.45991516113281,-58.12300109863281,-57.591102600097656,-51.075172424316406,-51.88457489013672,-50.017913818359375,-52.54745864868164,-52.058250427246094,-51.29274368286133,-52.328125,-51.265071868896484,-53.49166488647461
all senators listened to themselves.,-69.11490631103516,-75.15569305419922,-73.41537475585938,-43.59076690673828,-48.1464729309082,-47.94771957397461,-72.96110534667969,-81.39185333251953,-80.85964965820312,-42.125640869140625,-50.088768005371094,-50.032135009765625,-75.2674560546875,-78.99282836914062,-82.31309509277344,-50.666259765625,-46.74617004394531,-50.108367919921875
all senators listened to itself.,-75.40542602539062,-76.43972778320312,-78.24665832519531,-48.619380950927734,-52.126163482666016,-53.18527603149414,-80.03140258789062,-83.25991821289062,-85.31620788574219,-46.61360168457031,-54.566856384277344,-56.36640167236328,-81.68341064453125,-84.30443572998047,-85.89749145507812,-48.43090057373047,-48.504310607910156,-48.16728210449219
laura hired herself.,-56.88926315307617,-58.7843132019043,-54.53189468383789,-42.86558151245117,-48.36956787109375,-44.724822998046875,-68.03335571289062,-66.51097106933594,-61.26715087890625,-44.39433670043945,-50.7025146484375,-47.937828063964844,-53.04383850097656,-55.18104553222656,-56.24297332763672,-53.017333984375,-55.9293212890625,-52.3280143737793
laura hired themselves.,-57.09126281738281,-63.27112579345703,-56.275047302246094,-42.588043212890625,-52.317535400390625,-49.67255783081055,-68.95368957519531,-71.93180847167969,-65.62198638916016,-43.384788513183594,-52.816864013671875,-51.88661193847656,-54.50053024291992,-56.32102966308594,-59.056575775146484,-60.230350494384766,-60.32762908935547,-58.65052795410156
claire won't conceal herself.,-73.09919738769531,-73.90338134765625,-74.17402648925781,-42.38979721069336,-47.91408157348633,-51.94482421875,-82.68437957763672,-80.1736068725586,-80.17821502685547,-41.79463577270508,-51.41867446899414,-54.280391693115234,-82.46875762939453,-80.3492660522461,-83.38299560546875,-69.13379669189453,-61.8209228515625,-66.0723648071289
