sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
the author knows many different foreign languages and likes to watch television shows,-111.15372467041016,-114.7802505493164,-119.12825775146484,-75.23265075683594,-74.94511413574219,-78.28861236572266,-117.73204040527344,-124.71025848388672,-128.9716796875,-79.37734985351562,-75.58956909179688,-76.8812026977539,-110.22608947753906,-105.59275817871094,-115.5014419555664,-71.85888671875,-71.52506256103516,-70.62628936767578
the author knows many different foreign languages and like to watch television shows,-108.7398681640625,-114.56295013427734,-117.03174591064453,-75.14801025390625,-77.0642318725586,-80.62835693359375,-114.87371826171875,-126.51004028320312,-124.82703399658203,-77.4423599243164,-77.3088150024414,-80.87005615234375,-110.86027526855469,-103.64630126953125,-114.0444564819336,-73.06559753417969,-71.2162857055664,-74.2060546875
the author knows many different foreign languages and is twenty three years old,-101.289794921875,-109.70526885986328,-114.4317855834961,-67.75209045410156,-69.58257293701172,-73.8785400390625,-107.98167419433594,-114.93367004394531,-123.45198059082031,-71.19827270507812,-70.70858764648438,-72.41446685791016,-107.6553726196289,-94.25108337402344,-102.17626953125,-59.212364196777344,-62.557682037353516,-61.16545867919922
the author knows many different foreign languages and are twenty three years old,-103.2213134765625,-111.65389251708984,-113.53450012207031,-66.12644958496094,-74.88069915771484,-78.57962799072266,-109.21504211425781,-118.98867797851562,-122.17102813720703,-71.50498962402344,-75.88905334472656,-78.38931274414062,-107.3017578125,-96.91680145263672,-102.8114013671875,-60.39800262451172,-62.91023635864258,-61.78095245361328
the author knows many different foreign languages and enjoys playing tennis with colleagues,-143.81167602539062,-148.956298828125,-154.37974548339844,-84.15354919433594,-85.474365234375,-88.6237564086914,-158.99952697753906,-165.02114868164062,-180.1721649169922,-85.85823059082031,-85.38631439208984,-88.59950256347656,-142.6929473876953,-147.34637451171875,-160.9522705078125,-85.06324005126953,-83.57518005371094,-85.24880981445312
the author knows many different foreign languages and enjoy playing tennis with colleagues,-137.2237091064453,-145.0151824951172,-143.13157653808594,-86.16275787353516,-92.27934265136719,-93.45284271240234,-154.57664489746094,-153.57241821289062,-166.33282470703125,-88.880126953125,-92.046142578125,-95.77979278564453,-138.0157928466797,-131.75404357910156,-140.77951049804688,-88.27264404296875,-79.92667388916016,-84.33988189697266
the author knows many different foreign languages and writes in a journal every day,-119.58932495117188,-126.13158416748047,-131.16558837890625,-75.46195983886719,-72.48279571533203,-75.33282470703125,-124.73638916015625,-135.1564178466797,-148.24490356445312,-78.30621337890625,-71.90232849121094,-72.53563690185547,-120.91173553466797,-116.50791931152344,-123.40304565429688,-63.41401672363281,-65.35166931152344,-61.89109420776367
the author knows many different foreign languages and write in a journal every day,-121.16435241699219,-125.50941467285156,-130.10055541992188,-75.23444366455078,-79.69779205322266,-79.6783218383789,-128.1055908203125,-134.82150268554688,-147.56661987304688,-78.2020034790039,-78.84588623046875,-77.8404541015625,-123.35980987548828,-118.75691986083984,-120.09548950195312,-63.87578201293945,-65.15142822265625,-62.591712951660156
the author likes to watch television shows and knows many different foreign languages,-110.72005462646484,-117.3533935546875,-119.62841796875,-76.9496078491211,-73.68744659423828,-80.91943359375,-118.35991668701172,-124.39826965332031,-130.10328674316406,-79.68785858154297,-74.83287811279297,-76.6505126953125,-113.8608627319336,-109.61768341064453,-114.36119079589844,-73.06120300292969,-68.17996978759766,-69.7809829711914
the author likes to watch television shows and know many different foreign languages,-108.30123138427734,-116.31941223144531,-117.41429138183594,-76.83419036865234,-72.28380584716797,-84.64207458496094,-113.96723937988281,-123.09598541259766,-128.7567138671875,-78.85829162597656,-75.09769439697266,-82.00675964355469,-111.42066192626953,-108.28479766845703,-112.94062042236328,-75.34480285644531,-74.36876678466797,-70.5733642578125
the author likes to watch television shows and is twenty three years old,-72.39397430419922,-86.956298828125,-80.85542297363281,-71.29887390136719,-65.86920166015625,-79.06605529785156,-78.36070251464844,-83.43888854980469,-89.01651000976562,-73.79226684570312,-68.53604888916016,-75.830322265625,-73.17031860351562,-66.62147521972656,-70.91394805908203,-68.19599151611328,-70.86543273925781,-63.212486267089844
