sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
william has declared there to be no guests getting fired.,-108.62297821044922,-101.92536926269531,-107.0318832397461,-70.4976806640625,-72.55838775634766,-73.65615844726562,-116.01982116699219,-114.12769317626953,-115.20378112792969,-72.07179260253906,-74.91063690185547,-73.76698303222656,-113.1473388671875,-110.68453216552734,-115.63455200195312,-75.5570068359375,-76.5298080444336,-70.14946746826172
william has obliged there to be no guests getting fired.,-112.92060852050781,-111.40685272216797,-115.12347412109375,-76.29833984375,-80.9942398071289,-75.50701904296875,-129.59776306152344,-126.32428741455078,-121.13629150390625,-77.16099548339844,-81.99085235595703,-75.3138427734375,-114.87079620361328,-115.05294799804688,-120.69294738769531,-81.13748168945312,-79.22032165527344,-73.9959716796875
richard believed there to be many boxes stunning ellen.,-99.30872344970703,-110.47512817382812,-114.29794311523438,-75.84034729003906,-77.37996673583984,-77.96190643310547,-116.18877410888672,-128.2589569091797,-118.45350646972656,-76.45006561279297,-79.1693115234375,-74.75788116455078,-116.00953674316406,-115.01326751708984,-122.89153289794922,-90.78094482421875,-86.67124938964844,-89.20519256591797
richard sways there to be many boxes stunning ellen.,-101.94772338867188,-115.22415161132812,-120.5071792602539,-87.90241241455078,-81.45482635498047,-82.26656341552734,-119.36524963378906,-131.1418914794922,-127.51060485839844,-88.28811645507812,-78.93153381347656,-75.94109344482422,-113.83717346191406,-109.4508285522461,-114.42132568359375,-109.98080444335938,-103.21952819824219,-101.83157348632812
teresa finds there to be many bananas stunning claire.,-104.6278076171875,-109.776611328125,-109.73997497558594,-91.30943298339844,-89.67526245117188,-98.0505599975586,-121.49293518066406,-131.7264404296875,-122.64768981933594,-92.49411010742188,-86.20867156982422,-104.01687622070312,-117.21015930175781,-111.86896514892578,-105.62748718261719,-115.94210052490234,-114.630859375,-114.95414733886719
teresa swayed there to be many bananas stunning claire.,-112.32785034179688,-114.09089660644531,-113.4920654296875,-93.80791473388672,-93.74980926513672,-101.37105560302734,-139.33718872070312,-132.64297485351562,-123.61461639404297,-91.51515197753906,-94.34477233886719,-107.4744644165039,-128.64840698242188,-126.73039245605469,-115.31398010253906,-126.57698059082031,-124.1364974975586,-127.58484649658203
mary can declare there to be some ladders falling.,-91.65157318115234,-93.22503662109375,-97.663818359375,-79.53166961669922,-83.81806945800781,-90.20848083496094,-100.34772491455078,-103.78187561035156,-111.86415100097656,-84.79192352294922,-87.29228973388672,-90.0244369506836,-103.55582427978516,-103.30638122558594,-98.8533935546875,-81.59666442871094,-78.33164978027344,-80.88291931152344
mary can entreat there to be some ladders falling.,-92.40130615234375,-98.63233184814453,-103.55662536621094,-87.68990325927734,-95.98960876464844,-99.21788024902344,-103.40422058105469,-115.99117279052734,-115.03490447998047,-93.48519897460938,-98.0584487915039,-102.63045501708984,-104.33699798583984,-105.85203552246094,-105.15777587890625,-92.21662902832031,-88.48746490478516,-90.92411041259766
an actress wouldn't declare there to be a print looking like that ice.,-122.95573425292969,-134.09881591796875,-132.6678466796875,-108.48870086669922,-103.40048217773438,-107.90677642822266,-136.5507354736328,-159.4307098388672,-145.9528045654297,-109.48960876464844,-103.57206726074219,-109.55216979980469,-135.91165161132812,-124.67213439941406,-116.13835906982422,-82.15442657470703,-82.06522369384766,-83.02037048339844
an actress wouldn't command there to be a print looking like that ice.,-119.65186309814453,-136.5521240234375,-132.8129425048828,-111.5939712524414,-106.56998443603516,-111.05964660644531,-136.43580627441406,-158.83567810058594,-143.52377319335938,-113.01104736328125,-106.13032531738281,-113.27275848388672,-131.2972412109375,-122.40036010742188,-114.24504852294922,-85.90756225585938,-82.85150146484375,-82.84770202636719
