sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
joel discovered the vase that patricia might take.,-90.22328186035156,-93.51393127441406,-93.1468734741211,-76.50845336914062,-79.06312561035156,-78.78118896484375,-100.5904769897461,-105.1108627319336,-103.93936157226562,-79.22261810302734,-83.5275650024414,-77.99784851074219,-90.09488677978516,-113.82600402832031,-101.38286590576172,-88.11093139648438,-86.54999542236328,-77.32610321044922
joel discovered what patricia might take the vase.,-96.83853912353516,-103.28669738769531,-92.83795928955078,-75.58653259277344,-70.18267822265625,-71.96284484863281,-109.8601303100586,-116.20402526855469,-101.83040618896484,-79.22602844238281,-71.84671020507812,-72.42015075683594,-88.93396759033203,-113.63362884521484,-102.09366607666016,-87.49568176269531,-87.17053985595703,-79.81130981445312
rodney thought about many paintings that wendy had thought about.,-89.5660629272461,-88.00963592529297,-91.23389434814453,-82.93138885498047,-86.57274627685547,-81.2444839477539,-98.9560775756836,-96.99656677246094,-96.80491638183594,-83.72459411621094,-89.58912658691406,-87.7625961303711,-90.3193588256836,-90.79519653320312,-87.801025390625,-86.21435546875,-85.2763900756836,-87.8132095336914
rodney thought about what wendy had thought about many paintings.,-91.28144836425781,-91.53644561767578,-91.30059814453125,-88.01033020019531,-91.1836166381836,-81.78126525878906,-106.97250366210938,-98.84488677978516,-97.84646606445312,-93.31108856201172,-89.13410949707031,-88.34618377685547,-89.94893646240234,-87.11237335205078,-90.51197052001953,-91.61955261230469,-92.88652801513672,-90.7120132446289
susan wasn't thinking about the rivers that kenneth wasn't bringing.,-107.23810577392578,-99.91978454589844,-101.85896301269531,-89.37933349609375,-94.17973327636719,-89.94877624511719,-119.03794860839844,-93.74588012695312,-108.26519012451172,-93.5947494506836,-96.04373931884766,-91.84858703613281,-97.86572265625,-97.91484832763672,-100.03265380859375,-94.62631225585938,-90.67716979980469,-101.89276123046875
susan wasn't thinking about what kenneth wasn't bringing the rivers.,-104.25971221923828,-96.79608154296875,-97.66921997070312,-95.32064819335938,-101.43829345703125,-89.15657806396484,-114.14053344726562,-95.517822265625,-109.46358489990234,-99.6002197265625,-104.8948974609375,-92.73247528076172,-97.86750793457031,-103.40428161621094,-107.10823059082031,-93.26461029052734,-85.26734161376953,-96.9910888671875
a driver has thought about those deer that many pictures look like.,-102.1403579711914,-102.15440368652344,-99.24030303955078,-108.0853042602539,-106.11624908447266,-104.06719207763672,-107.58999633789062,-106.00483703613281,-111.9308853149414,-111.29515838623047,-111.01271057128906,-109.75401306152344,-97.36396789550781,-94.54100036621094,-98.69916534423828,-85.5840835571289,-82.43157958984375,-87.89874267578125
a driver has thought about what many pictures look like those deer.,-99.41392517089844,-101.56980895996094,-100.51335906982422,-94.97174835205078,-92.59727478027344,-91.90397644042969,-109.68047332763672,-104.29412841796875,-116.2540054321289,-100.15736389160156,-94.29288482666016,-93.6944351196289,-96.144775390625,-95.00080871582031,-101.78079223632812,-83.12206268310547,-76.55315399169922,-81.35328674316406
amy has seen every skateboard that all guests see.,-98.56094360351562,-94.3659439086914,-90.99308013916016,-95.55425262451172,-86.33060455322266,-84.81195831298828,-105.78258514404297,-102.87733459472656,-105.58274841308594,-100.10665130615234,-86.48282623291016,-93.3729248046875,-106.03946685791016,-105.9410629272461,-109.39787292480469,-83.34101867675781,-86.63897705078125,-88.13837432861328
amy has seen what all guests see every skateboard.,-94.13349914550781,-98.61275482177734,-95.74649810791016,-98.02985382080078,-90.5491714477539,-88.8199691772461,-105.48837280273438,-109.7984848022461,-104.51335144042969,-101.0978012084961,-96.52021026611328,-98.3956069946289,-107.99455261230469,-100.23451232910156,-102.37767028808594,-84.9384536743164,-80.90769958496094,-86.61579132080078
michelle can see this banana that maria did sell.,-87.74107360839844,-103.18646240234375,-96.48265075683594,-81.29438781738281,-83.47457885742188,-79.16331481933594,-88.57321166992188,-105.80396270751953,-110.07103729248047,-81.79987335205078,-85.14754486083984,-80.50849151611328,-109.07190704345703,-104.85177612304688,-105.74498748779297,-93.10294342041016,-92.84612274169922,-92.49307250976562
michelle can see what maria did sell this banana.,-88.76403045654297,-101.65496826171875,-92.90730285644531,-74.21400451660156,-81.16822814941406,-71.62431335449219,-91.12532806396484,-103.93535614013672,-96.75706481933594,-74.07673645019531,-76.63331604003906,-73.7908935546875,-110.05496978759766,-100.99267578125,-100.45480346679688,-94.69945526123047,-97.09590148925781,-93.32032775878906
rachelle thought about a screen that galileo hides.,-105.1109619140625,-102.44486999511719,-108.80047607421875,-72.72233581542969,-76.51622772216797,-85.51219940185547,-118.84432983398438,-121.41294860839844,-124.89938354492188,-72.7166519165039,-80.81474304199219,-89.57514953613281,-127.31331634521484,-119.73770141601562,-125.87588500976562,-94.80667877197266,-93.23539733886719,-96.57328033447266
rachelle thought about what galileo hides a screen.,-109.43995666503906,-104.50799560546875,-109.4544448852539,-77.6713638305664,-80.14900207519531,-85.52452087402344,-123.32356262207031,-121.07916259765625,-126.34911346435547,-82.97769165039062,-80.87631225585938,-90.0427017211914,-132.42347717285156,-121.25091552734375,-132.3587188720703,-84.63958740234375,-86.91990661621094,-82.24639892578125
these waitresses see some mirrors that phillip found.,-99.94800567626953,-107.9552001953125,-103.82383728027344,-77.42352294921875,-77.56793212890625,-80.8866195678711,-111.98238372802734,-101.99176788330078,-108.70840454101562,-78.45157623291016,-77.121337890625,-82.08612823486328,-117.25597381591797,-119.28390502929688,-117.40962219238281,-87.45068359375,-88.41650390625,-89.67520904541016
these waitresses see what phillip found some mirrors.,-105.09732055664062,-109.55903625488281,-104.25638580322266,-76.37410736083984,-74.83255767822266,-77.38093566894531,-124.3204345703125,-105.72322845458984,-110.47496032714844,-76.75518035888672,-75.51343536376953,-78.24358367919922,-116.71112823486328,-112.50999450683594,-113.82972717285156,-91.15227508544922,-87.01644897460938,-87.9048080444336
pamela thought about most students that a lot of libraries haven't praised.,-126.74630737304688,-125.1278305053711,-126.09605407714844,-75.91482543945312,-84.3265151977539,-87.16392517089844,-144.056884765625,-137.38287353515625,-142.11866760253906,-74.18666076660156,-81.95038604736328,-88.0682144165039,-135.68052673339844,-128.20387268066406,-127.34981536865234,-115.51850128173828,-104.25200653076172,-107.99317932128906
pamela thought about who a lot of libraries haven't praised most students.,-128.6251983642578,-134.9619903564453,-134.5238037109375,-97.79685974121094,-102.399658203125,-97.55199432373047,-141.1442108154297,-146.03463745117188,-154.63987731933594,-97.0718994140625,-103.28044891357422,-97.01569366455078,-138.59532165527344,-134.0109405517578,-136.6758270263672,-118.3746109008789,-110.83296966552734,-117.19087219238281
