sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
laura married the dinner that the wolf could close .,-63.45698928833008,-62.03253173828125,-62.933013916015625,-69.55609130859375,-69.6564712524414,-66.56221771240234,-69.13599395751953,-70.78933715820312,-72.28237915039062,-69.14845275878906,-73.61737060546875,-68.91990661621094,-81.90255737304688,-71.46190643310547,-65.19464874267578,-69.27042388916016,-66.05571746826172,-65.17478942871094
laura married what the dinner could close the wolf .,-70.72543334960938,-70.2709732055664,-67.0667953491211,-68.24463653564453,-71.6474380493164,-72.7342300415039,-72.31698608398438,-74.05805969238281,-80.25590515136719,-67.80968475341797,-74.148681640625,-74.98992919921875,-87.24980926513672,-75.10266876220703,-72.47003936767578,-69.26305389404297,-70.06275939941406,-68.10000610351562
laura married the dinner that the wolf got .,-55.6224365234375,-56.409976959228516,-53.728599548339844,-64.8892822265625,-64.26805877685547,-61.56032943725586,-58.79472732543945,-64.76593017578125,-59.643035888671875,-64.4105224609375,-66.52713775634766,-62.61458969116211,-72.86225891113281,-63.15855026245117,-62.324703216552734,-69.07950592041016,-62.552120208740234,-57.94112777709961
laura married what the dinner got the wolf .,-64.0042724609375,-59.04109191894531,-58.71747589111328,-59.527122497558594,-64.19757843017578,-62.06843566894531,-64.39854431152344,-66.2394027709961,-72.81697845458984,-56.83659362792969,-68.91273498535156,-62.332977294921875,-79.12738800048828,-66.69131469726562,-68.03157806396484,-62.750732421875,-65.57821655273438,-62.155067443847656
sarah got the plan that the dinosaur could study .,-54.596405029296875,-51.89842224121094,-50.559757232666016,-55.97578430175781,-57.36114501953125,-60.49163055419922,-55.5,-59.80031204223633,-50.68865966796875,-54.89287185668945,-57.82485580444336,-59.143463134765625,-69.51787567138672,-66.69525146484375,-57.64080810546875,-63.304752349853516,-69.04681396484375,-67.63510131835938
sarah got what the plan could study the dinosaur .,-57.560482025146484,-61.14541244506836,-60.42045211791992,-59.89021682739258,-60.286903381347656,-57.97050094604492,-62.22428512573242,-69.29998779296875,-64.03375244140625,-60.51593017578125,-62.412200927734375,-57.457740783691406,-70.80830383300781,-65.13941955566406,-65.089111328125,-66.92296600341797,-71.06205749511719,-72.2258071899414
sarah got the plan that the dinosaur ended .,-46.73832321166992,-45.09733963012695,-44.01081085205078,-52.70342254638672,-53.7476806640625,-56.06869125366211,-45.52824401855469,-52.538944244384766,-50.16610336303711,-53.01662826538086,-54.25078201293945,-55.677223205566406,-67.05878448486328,-59.82229232788086,-54.14181900024414,-55.18888473510742,-62.561370849609375,-59.74908447265625
sarah got what the plan ended the dinosaur .,-56.69936752319336,-54.51020431518555,-51.19878005981445,-57.42709732055664,-59.03511428833008,-56.26153564453125,-62.32422637939453,-61.555782318115234,-53.26069259643555,-58.590389251708984,-58.44541549682617,-57.15883255004883,-69.21617126464844,-56.926063537597656,-58.745235443115234,-62.29435348510742,-68.27693939208984,-67.41630554199219
donald marked the sky that the pig could find .,-61.68150329589844,-57.03056716918945,-61.159889221191406,-58.01245880126953,-56.43041229248047,-58.594818115234375,-78.22868347167969,-64.561279296875,-67.21656799316406,-55.99531173706055,-56.578956604003906,-59.25069046020508,-61.92184066772461,-60.37431716918945,-58.08285140991211,-48.5653190612793,-51.669769287109375,-50.96060562133789
donald marked what the sky could find the pig .,-69.01168823242188,-64.12985229492188,-62.071678161621094,-62.177101135253906,-56.09595489501953,-60.73533248901367,-82.98165130615234,-74.33731079101562,-77.16378784179688,-62.86925506591797,-56.37907409667969,-61.09109878540039,-72.4548110961914,-71.18612670898438,-66.2534408569336,-50.24645233154297,-51.46146774291992,-51.18932342529297
