sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
mark figured out that most governments appreciate steve.,-107.35369110107422,-113.94505310058594,-113.7677230834961,-60.95802307128906,-66.45452880859375,-66.8663330078125,-119.99665832519531,-112.54280853271484,-114.02005767822266,-66.4574966430664,-68.69407653808594,-62.37358856201172,-106.87384796142578,-109.4579086303711,-105.7908706665039,-77.99185180664062,-72.58509063720703,-85.11911010742188
mark figured out who most governments appreciate steve.,-109.65797424316406,-114.10553741455078,-113.94829559326172,-73.44509887695312,-75.94522857666016,-78.94713592529297,-124.0111312866211,-115.0288314819336,-110.24520874023438,-81.56520080566406,-76.30877685546875,-72.06348419189453,-111.10557556152344,-115.0725326538086,-107.18301391601562,-90.48450469970703,-87.23085021972656,-100.26225280761719
danielle finds out that many organizations have alarmed chad.,-113.38733673095703,-111.58474731445312,-113.32913970947266,-74.06790161132812,-75.00299835205078,-75.38766479492188,-116.52342224121094,-118.37223815917969,-123.62315368652344,-78.4669418334961,-74.64088439941406,-76.85336303710938,-124.08258819580078,-113.12059783935547,-119.41870880126953,-94.44731140136719,-86.99226379394531,-89.44461059570312
danielle finds out who many organizations have alarmed chad.,-117.9613265991211,-114.07284545898438,-114.77659606933594,-88.85088348388672,-86.84537506103516,-89.36046600341797,-122.55805206298828,-118.6038818359375,-126.62797546386719,-92.85406494140625,-87.6693344116211,-89.38540649414062,-128.2777862548828,-123.77896118164062,-126.29993438720703,-104.6148681640625,-101.64486694335938,-102.83073425292969
veronica investigated that students might remember julie.,-96.63975524902344,-90.11663055419922,-97.32691192626953,-66.83348083496094,-66.52925109863281,-68.76618194580078,-108.40476989746094,-96.06642150878906,-99.65973663330078,-68.55491638183594,-70.90899658203125,-72.61600494384766,-110.77911376953125,-113.90272521972656,-106.6524658203125,-80.16095733642578,-78.39543914794922,-81.45982360839844
veronica investigated who students might remember julie.,-101.58236694335938,-96.2333755493164,-103.31238555908203,-77.88923645019531,-74.62528228759766,-77.83039093017578,-119.03684997558594,-102.58674621582031,-109.0892333984375,-79.36912536621094,-77.35785675048828,-80.9529800415039,-113.95719146728516,-118.38851928710938,-105.94841003417969,-92.08151245117188,-86.82514953613281,-91.94149017333984
the impressionists learn that some stories can't sound like carl.,-110.11326599121094,-110.15338897705078,-113.78787994384766,-74.53995513916016,-78.49027252197266,-80.46986389160156,-117.93832397460938,-111.6048583984375,-122.08556365966797,-76.69761657714844,-76.82078552246094,-81.27853393554688,-106.51367950439453,-106.64237976074219,-104.43193054199219,-70.77082824707031,-73.5267333984375,-72.00908660888672
the impressionists learn who some stories can't sound like carl.,-116.86099243164062,-113.82210540771484,-120.82745361328125,-84.88634490966797,-87.46253204345703,-86.68195343017578,-133.10061645507812,-117.83967590332031,-135.41305541992188,-88.48197174072266,-86.4826889038086,-90.16060638427734,-110.02954864501953,-109.24554443359375,-102.62879943847656,-84.19149017333984,-85.7100601196289,-81.72427368164062
the waiters learn that most guests wouldn't have every hospital.,-103.16724395751953,-114.48711395263672,-103.44896697998047,-97.73381042480469,-93.39334869384766,-95.19867706298828,-120.16075134277344,-123.01485443115234,-120.03179168701172,-99.7916030883789,-96.84834289550781,-93.34136962890625,-91.74309539794922,-84.76426696777344,-93.74043273925781,-78.95758056640625,-67.12271118164062,-75.88661193847656
the waiters learn what most guests wouldn't have every hospital.,-108.15223693847656,-117.24320220947266,-108.43150329589844,-99.61917114257812,-98.8242416381836,-99.02696990966797,-124.00615692138672,-128.81752014160156,-127.03163146972656,-101.37474822998047,-102.26897430419922,-96.1175537109375,-93.66384887695312,-86.5609130859375,-96.89518737792969,-83.05952453613281,-72.21842956542969,-80.71279907226562
some girls revealed that all waitresses hadn't cleaned the cup.,-112.70913696289062,-110.85861206054688,-115.102783203125,-87.17312622070312,-89.82624816894531,-88.45277404785156,-124.60430908203125,-117.25920104980469,-116.89910125732422,-94.20924377441406,-93.4776382446289,-91.85709381103516,-116.7012939453125,-115.58622741699219,-114.99598693847656,-78.30390930175781,-74.57377624511719,-76.71414947509766
some girls revealed what all waitresses hadn't cleaned the cup.,-111.8263931274414,-111.34710693359375,-118.92779541015625,-91.76707458496094,-99.68287658691406,-96.8954086303711,-127.69288635253906,-116.26788330078125,-118.52023315429688,-96.76809692382812,-101.6329116821289,-101.55027770996094,-121.82850646972656,-120.48661804199219,-120.10293579101562,-87.249267578125,-83.73869323730469,-86.9031753540039
sandra was figuring out that these guys saw douglas.,-77.38899993896484,-76.9677963256836,-83.0384292602539,-72.0962142944336,-83.23187255859375,-75.93932342529297,-92.01791381835938,-82.13121795654297,-93.38290405273438,-73.36028289794922,-85.85425567626953,-77.66040802001953,-86.44139099121094,-77.17884826660156,-72.95763397216797,-92.2168197631836,-87.55256652832031,-92.58263397216797
sandra was figuring out who these guys saw douglas.,-79.47711181640625,-79.0352554321289,-81.5522689819336,-83.96167755126953,-92.7304916381836,-86.08438873291016,-95.11251068115234,-84.1880874633789,-92.99008178710938,-84.74490356445312,-95.92296600341797,-88.57687377929688,-84.74325561523438,-74.84967803955078,-73.7069320678711,-102.97557830810547,-102.74752807617188,-105.11246490478516
the lutherans know that some fungi were alarming that association.,-134.94332885742188,-126.58928680419922,-119.5928726196289,-90.35348510742188,-88.86900329589844,-91.17448425292969,-158.1768798828125,-137.34335327148438,-139.05966186523438,-94.78455352783203,-91.78251647949219,-91.59693145751953,-122.17056274414062,-122.34888458251953,-128.32937622070312,-81.4651870727539,-85.56420135498047,-84.9887466430664
the lutherans know what some fungi were alarming that association.,-136.42117309570312,-129.36289978027344,-118.78740692138672,-96.63662719726562,-95.02631378173828,-100.08216094970703,-159.65829467773438,-142.41250610351562,-136.1407470703125,-101.16399383544922,-98.65501403808594,-102.3802490234375,-123.42101287841797,-120.23914337158203,-127.79080200195312,-84.5359878540039,-92.00325012207031,-87.19749450683594
carmen finds out that the customers have run around many cafes.,-104.83329010009766,-100.7208251953125,-104.92413330078125,-84.54130554199219,-86.36799621582031,-78.28028869628906,-124.39434814453125,-117.50001525878906,-112.04376220703125,-84.09489440917969,-82.12382507324219,-76.00798034667969,-123.01750183105469,-110.46829986572266,-121.53947448730469,-92.86983489990234,-94.28803253173828,-97.72930908203125
carmen finds out what the customers have run around many cafes.,-93.86825561523438,-97.83460235595703,-97.68404388427734,-92.67967224121094,-93.25597381591797,-82.89619445800781,-114.30958557128906,-118.4990234375,-106.15672302246094,-93.69513702392578,-88.78003692626953,-81.40129089355469,-121.42975616455078,-107.60191345214844,-121.17984771728516,-99.36439514160156,-100.48097229003906,-103.24443054199219
carrie should find out that some cart disturbs nancy.,-98.49504852294922,-106.5941162109375,-111.57514190673828,-84.47128295898438,-86.97899627685547,-94.45294189453125,-106.0339126586914,-104.88018035888672,-124.20545959472656,-92.2498550415039,-89.8870849609375,-92.41065979003906,-128.02183532714844,-121.94723510742188,-125.81968688964844,-101.1468734741211,-97.93891906738281,-97.68131256103516
carrie should find out who some cart disturbs nancy.,-100.7196044921875,-105.09521484375,-105.87130737304688,-97.47530364990234,-95.32875061035156,-101.99895477294922,-107.36012268066406,-107.53736877441406,-115.28166961669922,-106.32484436035156,-100.00115966796875,-100.0467758178711,-127.77836608886719,-121.11563110351562,-124.73491668701172,-116.8869400024414,-115.37136840820312,-114.53296661376953
deborah has forgotten that the offspring ran around the mountains.,-100.4410629272461,-104.12359619140625,-94.07145690917969,-73.08805847167969,-69.79959106445312,-66.45358276367188,-105.04550170898438,-122.0534896850586,-102.88690185546875,-77.020751953125,-65.38941955566406,-68.64506530761719,-105.56405639648438,-103.042724609375,-111.50553131103516,-99.4021987915039,-94.27144622802734,-98.48927307128906
deborah has forgotten what the offspring ran around the mountains.,-102.2957534790039,-105.34596252441406,-95.17462158203125,-79.18753051757812,-76.50772857666016,-69.68347930908203,-109.49473571777344,-123.04893493652344,-105.01050567626953,-84.20529174804688,-70.50141143798828,-72.14762878417969,-106.14468383789062,-103.33053588867188,-111.24942779541016,-105.08606719970703,-101.1833724975586,-104.89306640625
katherine found out that that cashier didn't sell some ice cream.,-92.5016098022461,-91.47294616699219,-97.17536926269531,-83.53600311279297,-95.61898040771484,-92.24725341796875,-102.65457916259766,-104.14168548583984,-105.42678833007812,-83.23509216308594,-92.91256713867188,-93.80810546875,-105.7042007446289,-98.9354248046875,-97.18106842041016,-104.83560180664062,-108.0791244506836,-110.2039794921875
katherine found out what that cashier didn't sell some ice cream.,-93.16751861572266,-91.93287658691406,-94.22972106933594,-79.86598205566406,-100.2945785522461,-95.49686431884766,-99.15702056884766,-105.2863998413086,-103.31597137451172,-78.74337005615234,-99.70880126953125,-95.81083679199219,-101.04546356201172,-96.27540588378906,-97.45143127441406,-108.20492553710938,-112.53822326660156,-111.9447250366211
connie forgot that the woman doesn't describe some stories.,-91.16830444335938,-88.91067504882812,-94.910400390625,-96.84605407714844,-97.80574798583984,-93.82359313964844,-96.87409973144531,-98.50890350341797,-109.12902069091797,-98.98912811279297,-97.85809326171875,-100.27215576171875,-81.5676498413086,-74.75263214111328,-83.26507568359375,-80.35681915283203,-82.29634094238281,-82.6136703491211
connie forgot what the woman doesn't describe some stories.,-91.6571044921875,-90.94634246826172,-92.00727844238281,-97.91307067871094,-100.70440673828125,-93.76649475097656,-97.18245697021484,-105.33357238769531,-109.20285034179688,-99.57429504394531,-100.8350601196289,-99.52055358886719,-80.36604309082031,-73.33959197998047,-84.4005126953125,-84.62251281738281,-85.01166534423828,-82.9374008178711
randolf has found out that a lot of adults aren't working with these teenagers.,-138.26251220703125,-137.00111389160156,-134.18875122070312,-75.12235260009766,-84.93355560302734,-71.75546264648438,-152.9028778076172,-154.9475860595703,-139.9681396484375,-76.52532958984375,-82.22086334228516,-71.0149917602539,-118.04856872558594,-121.55722045898438,-115.97918701171875,-95.71905517578125,-88.06559753417969,-95.35039520263672
randolf has found out who a lot of adults aren't working with these teenagers.,-142.11705017089844,-135.03207397460938,-133.97000122070312,-87.44540405273438,-93.74149322509766,-82.31531524658203,-155.84603881835938,-149.83970642089844,-145.23219299316406,-88.19126892089844,-91.51335906982422,-81.33924102783203,-120.58316040039062,-124.67477416992188,-118.12028503417969,-102.8233871459961,-99.50762939453125,-104.89794158935547
rebecca has forgotten that a pepper upset ronald.,-99.1143569946289,-97.87743377685547,-95.44869232177734,-60.083778381347656,-74.2794189453125,-69.64077758789062,-102.49242401123047,-106.05501556396484,-103.48074340820312,-56.121978759765625,-71.68274688720703,-69.08177185058594,-123.38700103759766,-115.33833312988281,-126.12129974365234,-121.69263458251953,-112.80670166015625,-124.14741516113281
rebecca has forgotten who a pepper upset ronald.,-102.65626525878906,-104.00775909423828,-94.8042221069336,-68.67829895019531,-82.44611358642578,-74.90971374511719,-104.19241333007812,-110.27103424072266,-98.25443267822266,-64.78797912597656,-82.90958404541016,-76.00643157958984,-125.45191192626953,-117.38591003417969,-125.01634216308594,-128.15890502929688,-120.47229766845703,-129.6127166748047
margaret knows that all octopi have descended some slopes.,-107.91700744628906,-120.12933349609375,-118.50765991210938,-73.56918334960938,-82.96157836914062,-79.6871109008789,-118.04618835449219,-130.28170776367188,-120.78184509277344,-75.51232147216797,-84.5064468383789,-79.65779113769531,-130.515869140625,-131.55335998535156,-129.42930603027344,-108.30752563476562,-103.72959899902344,-100.47650146484375
margaret knows what all octopi have descended some slopes.,-106.92366027832031,-120.38311767578125,-115.11900329589844,-81.672119140625,-91.34492492675781,-88.5887451171875,-112.64666748046875,-133.68258666992188,-115.13377380371094,-86.80264282226562,-91.56246948242188,-88.42749786376953,-131.3802947998047,-131.35177612304688,-130.73141479492188,-116.56640625,-109.5531234741211,-104.64435577392578
denise does realize that every car isn't shocking susan.,-90.83322143554688,-98.698974609375,-91.26644897460938,-97.33232879638672,-95.75557708740234,-99.72714233398438,-93.32421875,-103.69877624511719,-100.82144165039062,-98.89781188964844,-99.31084442138672,-103.48300170898438,-103.32718658447266,-106.41874694824219,-97.9782943725586,-88.75326538085938,-88.64088439941406,-92.92694091796875
denise does realize who every car isn't shocking susan.,-93.82536315917969,-108.27806854248047,-96.73426055908203,-109.70636749267578,-101.1239013671875,-108.849853515625,-99.3976058959961,-122.44581604003906,-110.6889419555664,-111.23036193847656,-105.66342163085938,-113.95063018798828,-107.14016723632812,-112.88182830810547,-106.3668212890625,-98.73297119140625,-102.48856353759766,-103.58179473876953
these museums might realize that many senators drove to art galleries.,-127.820068359375,-134.9536590576172,-132.47625732421875,-78.60128021240234,-80.13794708251953,-78.52185821533203,-143.99819946289062,-136.09689331054688,-138.63922119140625,-81.22972106933594,-79.23230743408203,-76.0391616821289,-133.93540954589844,-126.35330200195312,-133.6214599609375,-93.12956237792969,-91.08219146728516,-91.79503631591797
these museums might realize what many senators drove to art galleries.,-133.77943420410156,-142.11862182617188,-136.79165649414062,-82.67829132080078,-85.25142669677734,-84.51983642578125,-146.78607177734375,-148.77023315429688,-146.9518585205078,-83.83238220214844,-84.49931335449219,-82.04220581054688,-134.84976196289062,-129.1423797607422,-136.6780548095703,-98.42858123779297,-97.0789566040039,-97.20418548583984
