sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der feind , den das mitglied mag , zweifelt",-17.929044723510742,-18.43411636352539,-18.35637855529785,-21.039182662963867,-23.495776653289795,-21.255698204040527
"die feinde , die das mitglied mag , zweifelt",-17.648808002471924,-18.791356086730957,-18.717199325561523,-19.83692502975464,-22.539756774902344,-20.871408939361572
"der feind , den die mitglieder mögen , zweifelt",-17.97679090499878,-18.78440284729004,-18.573863983154297,-18.331148624420166,-24.56295871734619,-20.331408500671387
"die feinde , die die mitglieder mögen , zweifelt",-17.538512706756592,-18.9106502532959,-18.782337188720703,-17.96505880355835,-25.09940004348755,-19.84711503982544
"die feinde , die das mitglied mag , zweifeln",-18.99507236480713,-19.151283264160156,-17.970425605773926,-16.61434555053711,-18.113786220550537,-16.96619987487793
"der feind , den das mitglied mag , zweifeln",-19.52467155456543,-18.705430030822754,-17.653955459594727,-16.29128122329712,-18.693528652191162,-16.69634485244751
"die feinde , die die mitglieder mögen , zweifeln",-19.303671836853027,-19.30704116821289,-17.977092742919922,-14.591188907623291,-17.847451210021973,-12.307924747467041
"der feind , den die mitglieder mögen , zweifeln",-19.958153247833252,-19.22778606414795,-17.82301425933838,-13.626236915588379,-17.92656421661377,-12.525814533233643
"der feind , den das mitglied vermeidet , zweifelt",-17.475899696350098,-17.297740936279297,-19.2018461227417,-20.291253566741943,-24.97901964187622,-21.659043788909912
"die feinde , die das mitglied vermeidet , zweifelt",-17.44643497467041,-17.682265281677246,-19.742921829223633,-18.926464557647705,-23.762904167175293,-21.395820140838623
"der feind , den die mitglieder vermeiden , zweifelt",-18.272175312042236,-17.66041660308838,-19.453712463378906,-20.9449520111084,-26.702939987182617,-20.812586784362793
"die feinde , die die mitglieder vermeiden , zweifelt",-18.06420660018921,-17.931757926940918,-19.63076114654541,-21.066964626312256,-27.904645442962646,-20.6791033744812
"die feinde , die das mitglied vermeidet , zweifeln",-19.591936111450195,-18.96356201171875,-19.165422439575195,-15.000997543334961,-17.705486297607422,-16.540305614471436
"der feind , den das mitglied vermeidet , zweifeln",-19.75045871734619,-18.460244178771973,-18.709270477294922,-14.763273239135742,-18.46192455291748,-15.973831176757812
"die feinde , die die mitglieder vermeiden , zweifeln",-20.37683868408203,-18.934358596801758,-18.995158195495605,-15.532041072845459,-18.543701648712158,-14.559027194976807
"der feind , den die mitglieder vermeiden , zweifeln",-20.84097957611084,-18.66925048828125,-18.827887535095215,-14.743257999420166,-19.17035150527954,-13.35991382598877
"der feind , den das mitglied mag , konstruiert",-15.4735107421875,-14.402120590209961,-18.05592155456543,-12.578752517700195,-15.406760215759277,-12.01182746887207
"die feinde , die das mitglied mag , konstruiert",-15.226527214050293,-14.013705253601074,-17.741832733154297,-12.970584869384766,-14.482743263244629,-10.908597946166992
"der feind , den die mitglieder mögen , konstruiert",-15.142142295837402,-14.673640251159668,-17.41607666015625,-12.470088958740234,-17.510833740234375,-12.748294830322266
"die feinde , die die mitglieder mögen , konstruiert",-15.178779602050781,-14.07028579711914,-16.925715446472168,-12.632123947143555,-17.639219284057617,-12.248579025268555
"die feinde , die das mitglied mag , konstruieren",-15.029984474182129,-13.325145721435547,-18.87089443206787,-16.552125930786133,-15.741522789001465,-13.654119491577148
