sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13
"der fahrgast , der der matrose mag , schaukelt",-13.256044387817383,-13.919084548950195,-12.600894927978516,-23.681503772735596,-21.00108242034912,-24.214370250701904
"die fahrgäste , die der matrose mögen , schaukelt",-12.927189826965332,-13.742990493774414,-13.569853782653809,-24.663133144378662,-20.535093784332275,-21.664796352386475
"der fahrgast , der die matrosen mag , schaukelt",-12.726378440856934,-14.224996566772461,-12.715675354003906,-23.93892002105713,-21.442769050598145,-22.540602207183838
"die fahrgäste , die die matrosen mögen , schaukelt",-12.769279479980469,-14.303186416625977,-13.666991233825684,-24.221888542175293,-21.162420749664307,-20.123212814331055
"die fahrgäste , die der matrose mögen , schaukeln",-15.511375427246094,-15.690185546875,-14.924101829528809,-27.037938117980957,-19.388948440551758,-24.411187171936035
"der fahrgast , der der matrose mag , schaukeln",-14.576275825500488,-14.497017860412598,-14.09433650970459,-29.96852397918701,-23.290653705596924,-29.19920825958252
"die fahrgäste , die die matrosen mögen , schaukeln",-15.376482963562012,-16.522384643554688,-14.947030067443848,-25.420363426208496,-19.24626111984253,-22.929412841796875
"der fahrgast , der die matrosen mag , schaukeln",-14.906285285949707,-15.432662963867188,-14.627562522888184,-27.00504207611084,-21.828763008117676,-26.554299354553223
"der fahrgast , der der matrose vermeidet , schaukelt",-12.306258201599121,-13.839436531066895,-12.069308280944824,-23.661417961120605,-22.832386016845703,-24.41534662246704
"die fahrgäste , die der matrose vermeiden , schaukelt",-12.183216094970703,-13.888553619384766,-12.437448501586914,-24.078702449798584,-21.394651889801025,-20.73460292816162
"der fahrgast , der die matrosen vermeidet , schaukelt",-11.942256927490234,-14.075769424438477,-12.347599029541016,-23.849160194396973,-23.647362232208252,-23.46347188949585
"die fahrgäste , die die matrosen vermeiden , schaukelt",-11.96069622039795,-14.48658275604248,-12.869192123413086,-24.15408229827881,-22.65453338623047,-20.84754180908203
