sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
donald can imagine those college campuses are boring themselves.,-98.67707824707031,-104.16292572021484,-107.27770233154297,-96.16463470458984,-92.86978912353516,-94.43363189697266,-116.23323059082031,-108.61797332763672,-131.2546844482422,-96.94073486328125,-95.62052917480469,-99.04605102539062,-96.0524673461914,-93.69309997558594,-102.3586654663086,-100.1577377319336,-94.43111419677734,-102.73146057128906
donald can imagine those college campuses are boring himself.,-101.59650421142578,-105.0173110961914,-107.53003692626953,-94.44573211669922,-91.7206802368164,-93.73145294189453,-115.89924621582031,-108.12387084960938,-132.92709350585938,-96.00044250488281,-94.9725570678711,-98.93069458007812,-96.37889862060547,-95.13312530517578,-105.4360580444336,-99.63986206054688,-94.26707458496094,-102.06194305419922
gerald was explaining patricia was revealing herself.,-75.3638687133789,-77.20782470703125,-77.41720581054688,-76.28097534179688,-69.85417938232422,-77.09083557128906,-78.10734558105469,-76.79924774169922,-85.30050659179688,-78.7853012084961,-67.33321380615234,-82.7292251586914,-104.22211456298828,-97.15648651123047,-102.31941223144531,-99.07279205322266,-97.48578643798828,-109.61761474609375
gerald was explaining patricia was revealing himself.,-71.40200805664062,-72.78260803222656,-75.26925659179688,-73.59143829345703,-70.64320373535156,-70.73907470703125,-73.54486846923828,-71.26049041748047,-81.8743896484375,-73.49908447265625,-70.9275131225586,-74.03997039794922,-102.46324920654297,-94.31636047363281,-101.75279235839844,-97.53783416748047,-92.17113494873047,-102.9372329711914
mark imagines erin might admire herself.,-86.81680297851562,-93.50225067138672,-95.22099304199219,-72.0856704711914,-72.55950164794922,-71.00979614257812,-102.70082092285156,-97.66400146484375,-107.81212615966797,-74.25918579101562,-79.08720397949219,-70.29157257080078,-95.21694946289062,-107.31929016113281,-95.36459350585938,-95.911865234375,-89.34107208251953,-92.12276458740234
mark imagines erin might admire himself.,-84.32067108154297,-93.55659484863281,-95.82708740234375,-71.89901733398438,-73.53791809082031,-68.0518569946289,-98.54468536376953,-97.42811584472656,-109.92780303955078,-71.09111022949219,-81.0709457397461,-66.12786865234375,-96.86624145507812,-109.18931579589844,-97.14656066894531,-97.33442687988281,-89.27409362792969,-92.52429962158203
gary imagined most reports upset themselves.,-93.76162719726562,-94.00296783447266,-88.24590301513672,-82.11363983154297,-91.271240234375,-85.35403442382812,-107.03363037109375,-107.80506896972656,-93.54544067382812,-80.46908569335938,-94.84929656982422,-91.27310180664062,-96.089111328125,-98.97462463378906,-104.5894775390625,-85.67546081542969,-84.792236328125,-81.86717987060547
gary imagined most reports upset himself.,-92.87646484375,-94.11658477783203,-88.95702362060547,-83.85585021972656,-89.67550659179688,-82.24420928955078,-108.15589904785156,-106.28142547607422,-93.76473999023438,-83.9897689819336,-92.59262084960938,-87.27891540527344,-96.66565704345703,-100.64439392089844,-104.38652801513672,-83.08169555664062,-83.0042495727539,-78.86243438720703
a lot of doctors hadn't imagined denise notices herself.,-104.60729217529297,-117.69914245605469,-106.54674530029297,-98.19837951660156,-98.10979461669922,-103.27466583251953,-127.78001403808594,-125.8253173828125,-114.57708740234375,-102.007080078125,-101.813720703125,-106.28858184814453,-103.43367004394531,-103.6722412109375,-105.91960144042969,-85.021728515625,-87.10939025878906,-88.1935043334961
a lot of doctors hadn't imagined denise notices themselves.,-103.5179214477539,-117.05948638916016,-105.18770599365234,-91.51538848876953,-100.76338195800781,-98.48674011230469,-132.33001708984375,-121.53968811035156,-113.36351013183594,-93.40997314453125,-104.36442565917969,-99.07453918457031,-104.85623931884766,-102.74726867675781,-104.96837615966797,-84.47254943847656,-81.72093200683594,-82.85075378417969
