sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13,en_childes_convergence_clm_42,en_childes_convergence_clm_30,en_childes_convergence_clm_13,en_wikipedia_convergence_clm_42,en_wikipedia_convergence_clm_30,en_wikipedia_convergence_clm_13,en_childes_best_mlm_42,en_childes_best_mlm_30,en_childes_best_mlm_13,en_wikipedia_best_mlm_42,en_wikipedia_best_mlm_30,en_wikipedia_best_mlm_13
who aren't most hospitals that hadn't talked about most waitresses alarming?,-118.99293518066406,-123.93130493164062,-135.30514526367188,-117.48262786865234,-104.30492401123047,-116.4394302368164,-142.55972290039062,-137.45755004882812,-156.21009826660156,-120.59774017333984,-108.12908172607422,-116.11642456054688,-110.6469497680664,-114.2690200805664,-105.46208190917969,-129.55850219726562,-134.68869018554688,-139.52984619140625
who aren't most waitresses alarming most hospitals that hadn't talked about?,-118.6939926147461,-130.44052124023438,-135.35433959960938,-118.79403686523438,-110.65325164794922,-118.93446350097656,-137.3748779296875,-146.10670471191406,-150.44041442871094,-121.54471588134766,-111.42122650146484,-121.57646179199219,-114.87757873535156,-119.47708892822266,-117.9476318359375,-128.32162475585938,-133.32403564453125,-139.0734100341797
who hasn't this sister of these dancers who shocked cheryl attacked?,-124.16654968261719,-120.13688659667969,-122.39707946777344,-131.1752471923828,-140.5398712158203,-124.18428039550781,-131.07015991210938,-130.9999237060547,-130.9418182373047,-126.796142578125,-139.1951904296875,-130.36279296875,-118.48978424072266,-108.90169525146484,-117.03633117675781,-124.61363220214844,-122.82393646240234,-121.54146575927734
who hasn't cheryl attacked this sister of these dancers who shocked?,-118.31836700439453,-113.58169555664062,-119.5324478149414,-115.66404724121094,-126.55863952636719,-117.4261474609375,-131.80267333984375,-123.64041137695312,-133.04510498046875,-118.24375915527344,-125.07117462158203,-121.5025405883789,-117.53042602539062,-107.1923828125,-118.65689849853516,-130.84068298339844,-129.14283752441406,-125.53063201904297
who should lawrence's lawyers who have scared some grandsons of janice hate?,-166.99539184570312,-162.9825439453125,-158.48602294921875,-129.882568359375,-130.7189178466797,-128.71580505371094,-187.79721069335938,-189.9349365234375,-167.2952117919922,-128.70364379882812,-134.55931091308594,-128.54776000976562,-161.8466796875,-150.29537963867188,-163.19537353515625,-154.77035522460938,-144.28968811035156,-150.38699340820312
who should some grandsons of janice hate lawrence's lawyers who have scared?,-169.39654541015625,-161.37661743164062,-155.50962829589844,-123.2142562866211,-129.6832275390625,-118.68338012695312,-185.63755798339844,-189.85296630859375,-165.5045928955078,-125.9514389038086,-134.43226623535156,-113.17503356933594,-160.28143310546875,-153.87710571289062,-161.02330017089844,-150.0843963623047,-151.02752685546875,-150.2694854736328
who hadn't some driver who would fire jennifer's colleague embarrassed?,-155.15863037109375,-144.18197631835938,-144.99534606933594,-81.92214965820312,-80.61144256591797,-85.15437316894531,-163.25526428222656,-162.61582946777344,-155.9601287841797,-77.13378143310547,-78.97237396240234,-84.23725891113281,-155.88076782226562,-150.80238342285156,-141.30201721191406,-125.25723266601562,-128.29647827148438,-139.125732421875
who hadn't jennifer's colleague embarrassed some driver who would fire?,-147.80023193359375,-141.49273681640625,-145.57095336914062,-89.21371459960938,-85.61656188964844,-90.17802429199219,-157.77127075195312,-170.18133544921875,-165.61460876464844,-85.71983337402344,-88.92432403564453,-95.11103820800781,-145.12677001953125,-143.2833709716797,-139.5692596435547,-127.83465576171875,-128.177734375,-138.83343505859375
who haven't these fathers of gerald who impressed deborah's tutors loved?,-148.90550231933594,-146.41580200195312,-148.083984375,-124.81913757324219,-128.45777893066406,-126.2575454711914,-160.8562469482422,-157.13327026367188,-155.3477783203125,-116.1073989868164,-129.49560546875,-126.1695327758789,-126.62751007080078,-131.0543212890625,-136.92320251464844,-160.74972534179688,-160.26522827148438,-161.16659545898438
who haven't deborah's tutors loved these fathers of gerald who impressed?,-149.6407012939453,-146.24911499023438,-145.23220825195312,-119.12184143066406,-125.27407836914062,-124.59877014160156,-164.12680053710938,-161.95899963378906,-159.66184997558594,-115.99750518798828,-125.65653228759766,-122.9045639038086,-128.72274780273438,-130.9253387451172,-143.05325317382812,-153.94320678710938,-159.85833740234375,-159.71400451660156
